en_text,jp_text,google_translated,score
"[NARRATOR]
The fate of the planet","(ﾅﾚｰｼｮﾝ)
〈まんまと ﾌﾘｰｻﾞの宇宙船から➡",<From the spacecraft of Manga and Frieza,0.15384615384615385
"But is the noble
Namek warrior prepared for","不安定となった
制御コントロールのため➡","It became unstable
For control control",0.08333333333333333
His... power...,(悟空)ううっ…｡,Uuu ....,0.2
"I've sensed it
somewhere before!","１時間もかかったら
もちませんよ！","If it takes one hour
I'm sorry!",0.23076923076923078
This doesn't look good.,(ブリーフ博士)完全にこれだよ｡,Completely this.,0.2857142857142857
"[MAN A] C'mon!
What're you waiting for?!",何とかなりませんか!?,What do you do?,0.23076923076923078
Hm?!,かめはめ波ーっ！,Kamehame!,0.25
"[MAN A gasps, groans]","(ﾌﾞﾙﾏ)何が最悪よ｡
結構 いい男じゃない｡","What is the worst.
He is not a pretty good man.",0.125
out of the way...,さ… 最悪だ｡,... ... Event.,0.14285714285714285
"This... can't be...!
What's going on?!","(ｻﾞｰﾎﾞﾝ)貴様ら つるんでいたのか｡
(ﾌﾞﾙﾏ)あ…｡ ヤッホー！ フフッ｡","Did you have?
 ... Yaho!Fufu.",0.17647058823529413
Whoa... He's right...!,"やってみろよ｡
(ｻﾞｰﾎﾞﾝ)フフフ…｡ 懲りんやつめ｡","Let's do it.
 Huhufu .... Shinren.",0.16666666666666666
"What's the matter?
You seem afraid, Piccolo.",フッ｡ 知るか｡,Hook. Do you know?,0.21428571428571427
"Now tell me
how you know that name!","美を好む私にとって
そのことばは最大の侮辱！","For me who like beauty
That word is the biggest jealousy!",0.16666666666666666
What?!,"何!?
(ﾍﾞｼﾞｰﾀ)ザーボン！","what!?
 Zarbon!",0.75
But that's madness!,そうはさせんぞ！,That's right!,0.5
Me too! But it feels like,私をなめるなよ！,Don't lick me!,0.2
Uh. Uuh!,"はっ！
(ﾍﾞｼﾞｰﾀ)とりゃ！","Hey!
!",0.2
"--[YAMCHA] Ah!
--[KRILLIN gasps]","あっ！
(ﾌﾞﾙﾏ)うわーっ！","Ah!
 Wow!",0.2222222222222222
I'm nearing section 1051.,"(ﾌﾘｰｻﾞ)《覚悟はよろしいですね｡
１時間たっても➡","""I'm ready.
Even if it is 1 hour",0.21428571428571427
"Now, if you think you've
finished showing off...","ﾍﾞｼﾞｰﾀを ここに連れてくることが
できなかったら…》","Vegeta will be taken here
If not ... """,0.11764705882352941
I want answers. Who are you?,フッ｡ やっと その気になったか｡,Hop. I finally worried about it.,0.15384615384615385
Heh.,ふんっ…｡,Fun ....,0.25
Such a fighter's spirit!,ふんっ！,Fun!,0.14285714285714285
"[PICCOLO] Allow me
to introduce myself!","な… 何だ!?
あいつ 化け物に…｡➡","... what!?
To the genus ....",0.13333333333333333
"[PICCOLO] The Piccolo
that you know is gone.","そうか｡ 村の人が
慌てて隠したのかもしれないな｡","Is that person of the village
It may be hidden.",0.23529411764705882
"[PICCOLO]
And as for you... well...","(ブリーフ博士)うん!?
何するんだ 悟空！ や… やめろ！","Yeah!?
What do you do Goku!And ... Stop!",0.1875
You're history!,(ﾍﾞｼﾞｰﾀ)でやーっ！,!,0.25
"Oh good.
I'm glad I found you.","設計してあるんだぞ｡
(ｳｰﾛﾝ)苦しいって｡ 苦しい｡","I'm designed.
 is painful. It is painful.",0.25
"[KRILLIN]
Ha-ha! He did it! Yeah!",(ﾌﾟｰｱﾙ･ブリーフ博士)やったー！,I did!,0.2
"Yep, that's right.
Piccolo's become a Super Namek!","すごいなぁ！
(ｳｰﾛﾝ)すごい！ ハハッ｡","It's amazing!
 is great!Haha.",0.17647058823529413
"And a big one, too.
I wonder what it was.",くそ…｡ さすがに100倍の重力だ｡,It is a 100x gravity.,0.2
Because you did not ask!,(ｻﾞｰﾎﾞﾝ)うりゃーっ！,Uray!,0.14285714285714285
"Quiet! I heard what you said
quite clearly the first time.",ふっ！ くくっ…｡,Fuck!Kuwaku ....,0.125
Nobody is as strong as I am.,"《分かってるって｡
こんなとこで オラ 死ねねえ｡➡","""I know.
In this cousin, she died.",0.13333333333333333
"[ANDROID 18] Let's go, 16.","ハハッ｡ あっちこっちの骨
折れちまってる》","Haha.
It's broken",0.15384615384615385
[growls lowly],(ﾍﾞｼﾞｰﾀ)《かかったな ザーボン》,"""Sorbon""",0.0
"[CREATURE]
Special Beam Cannon!",(ﾍﾞｼﾞｰﾀ)てやーっ！,!,0.14285714285714285
[CREATURE] Huh? Ah...!,(ｻﾞｰﾎﾞﾝ)うわーっ！ くくっ…｡,Wow!Kuwaku ....,0.18181818181818182
"You're a lot stronger
than I gave you credit for.","笑わせるんじゃない！
私は貴様より戦闘力が高いんだ！","I'm not laughing!
I have a high combat power than you!",0.21052631578947367
"I was not able to gather
enough energy in this city","詳しく知っているはずじゃあ
なかったのか？","You should know in detail
Did not?",0.11764705882352941
to reach my full power.,"ザーボンさんよ｡
あんたの死は もう近いようだな｡","Mr. Zarbon.
My death seems to be closer.",0.25
Ah huh...,あ… あ… あ…｡,Oh ... A ... ....,0.16666666666666666
"It is their living energy
that gives me my power!",まずかったな｡ そうだろう？,It was bad. Is that so?,0.1875
I... I'm sensing Goku again!,"ようし 元気が戻ったぞ！
100倍の特訓は…｡ あ…｡","I'm going to go back!
100x special training ....",0.26666666666666666
Fa-Father...?,"ヒヤーッ！
(ｸﾘﾘﾝ)そ… そうか｡","Hiya!
 ... so?",0.3333333333333333
Haaaa!,見てろー！,Look!,0.3333333333333333
