en_text,jp_text,google_translated,score
What's the matter with you?,と申しますと？,What to say?,0.2222222222222222
A woman's skin really does need to be fair!,特別 作戦を考える必要もない,There is no need to consider special operations,0.11764705882352941
"I've bought all kinds of creams,","必ず最後は あの兜剣造の
息の根を止めてやるのだ","Always last is that
I will stop the roots of my breath",0.1111111111111111
That's not true.,それだけで十分だ,That's enough,0.3333333333333333
This is why can't find a husband.,"行け　やつらに
休む時間を与えてはならん","To go
Don't give a rest time",0.13333333333333333
If only I'd been born light-skinned!,たとえ遠回りをしても,Even if it is far,0.08333333333333333
Will never be able to get married?,よいしょ… どうした どうした,Good luck ... What's wrong?,0.07142857142857142
"I was born to a black father
and a Japanese mother.","私なんか
ずいぶんクリーム 買ってみたけど","Mine
I bought a cream a lot",0.13333333333333333
"No makeup will cover
this dark skin of mine...",ああ もう これもう…,Oh now ...,0.08333333333333333
I envy you young people.,"そんなことありませんわ
今の若い人なんか","There is no such thing
Young people now",0.16666666666666666
"It will never be enough
to make my skin white.",白く生まれたかったわ,I wanted to be born in white,0.2
"You're such a worrywart, Director.","こんなことしたって
私の肌は白くならない","Such a thing
My skin is not white",0.14285714285714285
"Oh, is that all?",うん？,Yes?,0.14285714285714285
I'm back!,恥ずかしかっただけよ,I just embarrassed,0.16666666666666666
"Doc, have you seen Jun?",ジュン どうしたんだ？,What happened to Jun?,0.2
She didn't join us at the pool!,苦労性ね 所長も,The director,0.1
"I can swim 50 meters now, easy!","これから どうにでも
染まっていけるんですもの","From now on
I can dye",0.25
I wish could have shown Jun!,ジュン…,Jun ...,0.125
"Hey, what's she doing there?",なんだ そうだったのか,What was it?,0.2
"I'm sorry, Tetsuya.",ただいま,I'm back,0.2857142857142857
"I went to the beautician
and didn't want to ruin it.","とうとうプールに
来なかったんだよ","Finally in the pool
I did not come",0.17647058823529413
That's all right.,"ジュンお姉ちゃんに
見せてやりたかったんだよなあ","To Jun's sister
I wanted to show me",0.08333333333333333
What did you say?,"先生
ジュンお姉ちゃん 知らない？","teacher
Do you know Jun sister?",0.2
What's this?,ん？何か言ったかい,Yeah?What told,0.3333333333333333
"That's bad... we haven't
fully fixed the engine room.","分からないわ 誰にも…
分かっちゃいないのよ","I do not know anyone ...
I do not know",0.058823529411764705
Stop being so spoiled.,"まあ いいさ
女は気まぐれだってことぐらい","Goodness
Women are so much",0.1111111111111111
"but crying and resenting our
parents won't get us anywhere.","ゴルドバにグレートマジンガーを
おびき出してもらおう","Great Mazinger in Goldba
Let's get out",0.05263157894736842
"If we resent our parents, the future will seem
so bleak, there'll be no point in going on.","科学要塞研究所の
海底レーダーに引っかかるぞ","Of Scientific Laboratory Research Institute
I get caught in the seabed radar",0.06451612903225806
"T-Tetsuya. They said they picked
up something weird on the radar.","あっ 所長
未確認物体が接近してきます","Chief
The unconfirmed object is approaching",0.0625
What?,"何？
ええっ？","what?
Eh yeah?",0.5
"You idiot...
why didn't you say that sooner?",甘ったれたことを言うな,Don't say sweets,0.16666666666666666
Jun... heard.,あっ…,Ah…,0.0
I'm sorry.,"俺たちは お互いに孤児だが
親を恨んでメソメソしたって","We are orphans each other
I was addicted to my parents",0.07142857142857142
"It's all right. You couldn't
understand anyway.",何の足しにもならねえんだ,It's true for anything,0.16666666666666666
"Tetsuya. We can't let them get
close until the engine room is fixed.","肌が白く生まれようと
黒く生まれようと","If the skin is born white
Let's born black",0.14285714285714285
Okay!,"お先真っ暗で
生きてるかいもねえんだぞ","During darkness
I'm alive",0.0
He needs to clear them up right away.,"いいのよ　どうせ
あんたには分からないことよ","Good for
I do not know what to know",0.0625
Mazin Go!,ううん 鉄也もそうだわ,Ummmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmmm,0.0
"Goldoba, now's our chancel!",チャンスだ　雪がやんだぞ,It's a chance snow,0.09090909090909091
Great Mazinger is skimming over the water.,"鉄也くん
発電室の修理が終わるまで","Tetsuya-kun
Until the repair of the power generation room is over",0.2
"Draydou. Goldoba has locked
down Great Mazinger perfectly.","グレートマジンガーが
海面すれすれに飛んでくるぞ","Great Mazinger
I'm flying to the sea level",0.125
"Go, Gidonius!",マジン ゴー！,Mazin Go!,0.4
"Attack the Institute from land.
Destroy it, and Kenzo Kabuto with it!",やつを海底で始末しちまえ,Starting with the seabed,0.125
Tetsuya. Good luck.,ゴルドバ うまくいったぞ,Goldba is good,0.16666666666666666
Director. The oxygen meter is dropping.,"ｺﾞﾙﾄﾞﾊﾞは見事に
ｸﾞﾚｰﾄﾏｼﾞﾝｶﾞｰを押さえ込んだぞ","Goldba is wonderfully
I have pressed the Great Mazinger",0.14285714285714285
Jun. Move out!,ギドニアスを出せ,Get Gydronia,0.0
Jun. You have to go!,"聞け ギドニアスよ
陸上から一気に研究所へ向かい","Listen Gydronas
Go to the laboratory at once from the land",0.13333333333333333
Doc. Jun's been acting weird.,ジュン 出撃だ,It is Jun's dispatch,0.2
"<i>Hey, Doc!</i>",ああ やっぱり海の中じゃなあ,"Oh, I'm still in the sea",0.14285714285714285
But what's going on?,"それにしてもジュンお姉ちゃんは
一体どうしちゃったんだろう","But also Jun's sister
What did you do?",0.3333333333333333
"Tetsuya, beat that Battle Beast already!","街の戦闘獣を
お前の手で処理するんだ","Town battle beast
I will process by your hand",0.13333333333333333
Jun must surely realize that.,ジュン 出撃するんだ,I will shoot Jun,0.1111111111111111
Tetsuya. Hurry!,"鉄也お兄ちゃん 早いとこ
戦闘獣 やっつけてくれよ","Tetsuya brother early cousin
Take a battle beast",0.09090909090909091
Tell Jun to take care of it!,"聞いてるのか ジュン！
ジュンお姉ちゃん…","Are you listening to Jun!
Jun's sister ...",0.21428571428571427
What? Venus did?,うん？あっ…,Yes?Ah…,0.16666666666666666
