en_text,jp_text,google_translated,score
"Beyond the veil of midnight,",常世の闇か,Is it the dark of the regular?,0.18181818181818182
the retribution that you are\Nhelpless to reap shall be yours.,守りたいのは 己か 人か,Do you want to protect?,0.13333333333333333
Itsuka hikari ni mukau sakasama no chou.,失権　加点～,Possession point-,0.0
Kimi to kami o kiru kagami no naka.,迂回　強化,Bypass,0.0
Jugyou-chuu no rouka hibiku ashioto.,ちょっとー！,A little bit!,0.0
Taezu ame no oto ga tsuite-kuru yo.,食らえ,Eating,0.0
Doku no mi ni mo naru.,危ないよ,It is dangerous,0.0
Kyou mo ame.,っは　はい,Yes,0.0
Ano hi to ima o\Nsora to sora de tsunagitai no.,輪入道も先生やってみりゃいいのさぁ,I'm going to do a teacher or a teacher,0.058823529411764705
"In this craziness, uncertainty.",じゃ　これで,With this,0.14285714285714285
Hitori hitori no omoi o bokura wa\Ndokoka ni nokoseru darou ka,明日の実験の準備があるんで,There is a preparation for tomorrow's experiment,0.0
"ln this craziness, you gave me life.",あ　そういえば　あたしも,"Oh, for example, me",0.16666666666666666
Hitori hitori no katachi o bokura wa\Ndokoka ni nokoseru darou ka.,湯川君　変わった,Yukawa-kun has changed,0.0
Sorezore no katachi o bokura wa\Ndoko made mamoreru darou ka.,大哥,Era,0.0
Junko's been wanting a doggy!,そうだなあ　三万,"That's right A 30,000",0.2
"Thank you, Mother! Father!",ところで俺今日データなんだけど,"By the way, I'm data today",0.07692307692307693
Poor thing.,ないです,Not,0.0
"""Kanno Family Grave""\NTo lose her parents\Nwhen she's only 10 years old...",だから…湯川,So ... Yukawa,0.05555555555555555
"Junko, why don't we get going?",いくら…ですか？,How much is it?,0.07692307692307693
"Dr. Honjo, it's terrible!",まあ　言われて見たら…,"If you look at it, if you look at ...",0.16666666666666666
"Oh, I'll leave it to you\Nto take care of that dog.",授業中もぼうっとしたとことがあったような,It seems that there was a lot of things during the class,0.13043478260869565
I have to go see\NAssemblyman Koizumi's dog now.,そうですか,I see,0.09090909090909091
Bones grow back together by themselves.,そうりゃあ,Especially,0.0
"Okay, I'm counting on you.",良し　果てるぜ,Good luck,0.0
Ms. Sekimoto.,こんの,Hello,0.0
I see.,覚えてるよ,I remember,0.25
"So anyway, are you feeling\Na little better now?",大丈夫か？,Are you okay?,0.2727272727272727
"but moping about it forever\Nwon't help anything, either.",でも　よく言われます,But it is often said,0.14285714285714285
"Well, please give the doctor my regards.",さぁ　親に聞いたこと無いんで…,"Well, I have never heard of my parents ...",0.1875
Candy...,大学生…ですよねぇ,College student ... it is,0.16666666666666666
"Please, don't die!",頑張ってください,Please do your best,0.25
I'm sorry for calling you out here.,受からにゃならんのだけどなあ,I'm not from receiving,0.16666666666666666
What do you mean?!,強くなりたくないのか！,Do you want to get stronger!,0.3
"Golf, is it?",このままやられっぱなしでもいいのか！,Is it okay to do this?,0.3333333333333333
