en_text,jp_text,google_translated,score
What'll I get if I win?,"（中尾平吉(なかおへいきち)）
どないしようかな？",")
What should I do?",0.3
Let's do it!,"（信子）あっ！
中尾っち 占いしよう","!
Let's talk nakao",0.42857142857142855
What the heck is that?,（田中(たなか)千春）何占い？,What kind of horoscope?,0.2222222222222222
A brush? A sea urchin?,（千春・鈴木涼二(りょうじ)）え？,)?,0.16666666666666666
"Don't touch me, idiot!",（信子）ほら やってやって！,"Oh, do it!",0.3333333333333333
And then you'll be buying those new shoes for me.,"（中尾）
千春ちゃんと鈴木(すずき)もやったら？",If you do Chiharu and Suzuki ?,0.11764705882352941
An opening!,ほい！ ほい！,Hope!Hope!,0.25
Nobu-chan! Chiharu-chan! Let's go home.,海坊主？ マジで？ 行く！,Main?seriously?go!,0.18181818181818182
"What should we do now, darling?",えっ 小泉も好きなん？,Do you like Ehoizumi?,0.18181818181818182
"Man, you ruined my perfectly styled hair after it took so long it almost made me late for school.",せやろ？ やっぱりシブいやんな？,Is it?After all she is shibay?,0.08
You're still going on about that?,何 言うてんの？,What do you say?,0.18181818181818182
"Not only are you small in body, you're small in character, too.",強いて言うなら“海坊主”らへんが,"If you say strong, ""Marubo Lord""",0.10526315789473684
I'm gonna sue you for defamation!,（大谷）そうそう！,yeah!,0.1
Fortunes?,（大谷・リサ）はあ？,?,0.5
HIRORIRARIN!,タマ違いや！,Tomorrow!,0.3333333333333333
Couple Compatibility,相性もぴったりやと思うねん,I think compatibility is perfect,0.16666666666666666
What do you want to eat?,"これは いっとかな
あかんやないですか！","This is the case
Do you want?",0.36363636363636365
Umibouzu?! Seriously? I'll go!,出会いが欲しー！,I want a meeting!,0.2
"Yeah, he's totally awesome, isn't he?!","（千春）うん
（リサ）やめて！","Yeah
 stop!",0.18181818181818182
Of course I have! it's freaking awesome!,"私は自分より背の高い人が
ええの！","I have a taller from myself
Yeah!",0.21428571428571427
Your compatibility must be pretty high.,"（信子）ほら あの人ら
多分 ２年か３年の人と思うけど",Maybe I think there may be people from two or three years,0.05555555555555555
How are we compatible?!,マジで？,seriously?,0.14285714285714285
"I did not say ""balls""!",あっ ボール取った！,I got a ball!,0.18181818181818182
"Um... excuse me, are you ready to order?","なんで怒られんの？
今 入ったやんなあ","Why are you getting angry?
I got it now",0.16666666666666666
Oh! A new item on the menu..,"ちびのくせに あんなとこで
カッコつけてシュートすんな！","In such a cock
I put a handle and shoot!",0.125
One Hawaiian Dancer!,なあ！,!,0.25
I want to be in love!,"何や あのオッサン
腹立ってきた！","What to do with that Ossan
I'm angry!",0.21428571428571427
Like l said. You should just go for Otani-kun.,（女子生徒２）ホンマやあ,Honma Ya,0.0
"Right, Chiharu-chan?",（リサの声）カ… カワイイ？,Kawaii?,0.2
Give it a rest.,なんと卑怯(ひきょう)な！,What a wolf!,0.125
I need someone who is at least taller than me.,"（女子生徒１）
また先生に怒られてるう","Also, I'm angry at the teacher",0.11764705882352941
"Then let's go watch the basketball team practice after school, okay?","お花ちゃんのピン留めで
かわいらしさをアピールでちゅか？","In the pigment of flowers
Is the cuteness in appeal?",0.09523809523809523
Are you serious?,（リサの声）何とかせなあかん,What do you do?,0.3333333333333333
"Hey, Otani!",（リサの声）よっしゃ！,!,0.25
Why is the coach so upset?,（信子）へ？,?,0.14285714285714285
He got it in didn't he?,"信ちゃん！
コンパない？ コンパ！","Shin-chan!
Isn't it a compass?Compa!",0.23076923076923078
Awww...,（リサの声）馬…,Horse ...,0.3333333333333333
C-Cute?,それに 豚？,And pig?,0.25
He is so—,（男子生徒たち）どうもー,Thank you,0.0
Oh? How cute.,（リサ）ん？,?,0.2
What the hell is your problem?!,肝心なんは中身や！,It is the contents and the contents!,0.2727272727272727
"I need to do something, otherwise...",（リサ）フフッ フフッ フッ…,Fufufufufu ...,0.1111111111111111
I need to do something.,"今 そんなデカかったら
卒業するころには—","If it is such a big deal now
When I graduate-",0.0625
Nobu-Chan!,"（男子生徒）
へえー デカいなあ！",Hey big!,0.25
All right.,結局 いつもこんな扱いや,"After all, I always treat this",0.1111111111111111
I'm going to surprise him and find a great guy.,ハハッ よう言われんねん 俺,I'm telling me haha,0.13333333333333333
A horse...,ウフッ アハッ ハハッ…,Uhuhua Ha Haha ...,0.16666666666666666
What the hell?!,なあ どうやった？ 昨日,What did you do?yesterday,0.2222222222222222
"Well, zoos aren't so bad.","どんな人がいいか聞かれたら
そりゃ いろいろ注文はあるけど—","If you asked what kind of people
Well, there are various orders-",0.16666666666666666
"I'm a giraffe too, after all, aren't I?","まさか本気で そんな人がおると
思って言ってるわけじゃ…","I really feel that kind of person
I think I'm thinking ...",0.1
Yep. It's fine. This is fine.,"人として 女として
このままではヤバい","As a woman
With this as it is",0.2727272727272727
What's important is what's on the inside.,"（リサ）そやな
理想が高すぎるねん",The ideal is too high,0.18181818181818182
Feeling down?,（リサ）え？,?,0.3333333333333333
It came over.,"（大谷）さっき中尾から
譲り受けてきてん","From Nakao
I will receive it",0.1111111111111111
Just kidding.,"（大谷）12月25日
恋人たちのクリスマス","December 25th
Lovers Christmas",0.0
