en_text,jp_text,google_translated,score
"Warning
Dear Viewers Sitting in Front of the Television,","（神山(かみやま)）前略
テレビの前の視聴者様",")
Viewer in front of TV",0.23076923076923078
Do not imitate! Or this will happen!,"このアニメのマネは
しないでください","The mane of this animation is
please do not",0.21428571428571427
There are songs of hope too,"何もかも完璧であり
何一つ落ち度はなかった","Nothing is perfect
There was no difference",0.08333333333333333
I would happily sacrifice my life for this world,"俺は この日のために
特訓を重ねてきた","I am for this day
I have repeated special training",0.2
Cromartie Municipal High School,"（相棒ジャック）
高校生の修学旅行と思って
安心してたけど","I think that high school student's school trip
I was relieved",0.16666666666666666
"I got it, Hayashida.","改心してハイジャックをするのを
やめるって流れになるべきだろ！","I will be a hijack
It should be a flow to stop!",0.13333333333333333
"What? Really, Kamiyama?
What's the title of this song?","（ハイジャック犯）
よし じゃあ とりあえず飛行機を
飛ばしてから ハイジャックしよう","Well, for the time being for the time being
Let's hijack after skipping",0.15789473684210525
"Well, unfortunately I don't know the title either,
Takashi Kamiyama",俺も一緒だ　気持ちはよく分かる,I understand the feelings together,0.13333333333333333
but I know that song.,気が動転しちまって,I feel motivated,0.125
"Then I'll sing it this time.
Something may come out.","すまん 実は 俺も
飛行機乗るの初めてなもんで","I'm really sorry
It is the first time riding a plane",0.14285714285714285
"Are you ready, Maeda? Listen carefully, okay?","よ〜し！
お前ら全員 ここから帰れ！","Yo!
All you are here!",0.15384615384615385
What? Me?,"（林田(はやしだ)）えっ？
じゃ 修学旅行はどうなるんだ？",") Eh?
What happens to school trips?",0.2222222222222222
"Hold on a second. Sorry, but I feel
that it's different from my song.","なんだか あんたといると
心強くなってくるぜ","Somehow I'm sorry
It's getting stronger",0.19047619047619047
What? Different?,"（竹之内）えっ？
（相棒ジャック）そうだよ","?
 Yes",0.25
The song I'm talking about goes...,"なんで俺がアメリカ行きの
飛行機に乗ってんだよ！","Why are I go to the United States
I'm getting on the plane!",0.16666666666666666
...like that.,"（竹之内）ヤバイ… いつの間にか
共犯者みてえになってる風情だ","Yabai ... What time
It is the taste that is a accomplice",0.15384615384615385
"Hold on a second, then what's
the song that I just sang?",だが それも過去の話だ,But that is also a story in the past,0.15
Who cares?!,そして ここは どこなんだろう？,And where is this?,0.125
Let's take care of Hayashida's song first.,堂々と日本に帰ろう,Let's go back to Japan,0.15384615384615385
"Why don't you guys go to a CD store
or something and sing there?","修学旅行に行くはずが
ハイジャック騒ぎで","You should go on a school trip
Hijack",0.14285714285714285
The store clerks might know it.,アメリカに来ちまったようだ,It seems to come to the United States,0.16666666666666666
"That's right. It's true that we can sing here
because we know everyone.","みんな無事だったっていうのが
何よりだな","Everyone said that everyone was safe
Above all",0.1111111111111111
That's enough.,（ワル）それだ！,That's it!,0.3333333333333333
"A song you unexpectedly heard
never leaves your head,",なんて星がきれいなんだ,What a star is beautiful,0.07142857142857142
but you don't know the title of the song.,"日本にいる俺の仲間も
同じ星を眺めているんだろうか","My friend in Japan is also
Are you looking at the same star?",0.09090909090909091
Thanks. Then I'll sing it this time.,妙に憎めねえヤツらだったぜ,It was strangely hate.,0.16666666666666666
"I've heard of it, but I still
can't remember the title.","（ワル）あっちの都合っていうか
ハイジャックの都合だけどな","I mean the convenience
It is convenient for hijack",0.15
"It's just on the tip of my tongue, but...
As I thought, it's different somehow.","途中キャンセルってことで
半額しか返ってこなかったよ","By cancellation on the way
I only returned half",0.125
I'll do whatever it takes to remember it!,全額戻ってきて当然だろうが！,It will be natural to return full!,0.21428571428571427
"Like that, right? I've heard of it. What was it?","（ワル）いいかげんにしろよ
これで何回目だと思ってるんだ","good
I think this is what it is",0.17647058823529413
Like that!,"（ワルＣ）
おう！　そうだ！",King! That's it!,0.3333333333333333
Yutaka Takenouchi,頼むぜ 竹之内！,Request Takenouchi!,0.25
By the way...,"（ワルＡ）
竹之内… スゲえ変わったな",Takeuchi ... Sugen has changed,0.125
"Was someone able to remember
the title of the song?","俺が昔
メキシコの刑務所にいたころ","I used to
It was in Mexico prison",0.125
"We don't know the title, but one thing I can say
is that everyone's singing has improved.","（マスクド竹之内）
狭い独房に何日も閉じ込められて
何もすることがなかった","It is confined for many days in a narrow conger
I did not do anything",0.09090909090909091
"Wouldn't it be better if we sang in parts
of high tone and low tone?","しかも俺は
無実の罪で投獄されてな","And I am
It is imprisoned in innocent sin",0.13636363636363635
"No, that's not the point.","だが 力を入れれば入れるほど
知恵の輪は外れない","But if you put a force,
I can not miss the ring of wisdom",0.15
"We didn't figure out the title of this song after all,","数日間 知恵の輪と
格闘しているうちに俺は","With the circle of wisdom for several days
While fighting, I am",0.13043478260869565
That's it! It's that song!,すると どうだろう？,How about it?,0.125
Probably.,いとも簡単に抜けていく,Get out easily,0.0
Mechazawa!,（一同）こ… これが！,this ... This is!,0.2
Takashi Kamiyama,数日後 裁判が行われ…,A few days after a few days ...,0.0
Do you often hum that song?,"（マスクド竹之内）
どうだ？　外してみろ",How is it?Remove,0.09090909090909091
"Yeah, I like this song.",びくともしねえよ,I'm sorry,0.1111111111111111
"Darn! I just carelessly answered
his question without thinking.",（ワル）おおっ 外れたぞ！,I'm off!,0.15384615384615385
"Next Episode
Dear Mother,",（神山）前略 オフクロ様,Previous Off-Curd,0.0
"Next Episode
But... Let me see... We have another episode.",お体には気をつけて,Be careful with your body,0.0
"Sakigake!! Cromartie High School
The title of the humming
song: ""Ningen Nante""
Later",「魁(さきがけ)!!　クロマティ高校」,""" !! Chromati High School""",0.29411764705882354
