en_text,jp_text,google_translated,score
but you musn't make light of the chicken and rice underneath.,〈しかし　時がたつと\Nモノには魂が宿り〉,<But sometimo \ N \ N thing is the soul of the soul>,0.14285714285714285
Love is like curry.,こうありたいわ　古道具屋として,It is like this,0.2857142857142857
Nanairo no Tasogare Oritekite,こんなおいしい話って\Nないものかねえ,Such a delicious talk \ Na no,0.1
Everyone's happy.,やはりアイツ\N勝手に俺のコレクションを…→,After all Issu \ N.,0.1111111111111111
So let's go downtown!,すまん　あれを売ってくれ！,Sell me!,0.125
Where the hell am I supposed to go on a weekday?,（ご主人）これは譲れん\N（マダム）私と壷のどっちが大事なの！？,This is a gonna-n  I and the 壷 大 大!?,0.19047619047619047
So now you've started talking back to the TV.,え～っと　５回往復したんで\Nしめて　これだけになります,Yes I'm going to go back to 5 times \ N.,0.15
Crab first thing in the morning is one of life's little nuggets of joy.,"{\fad(100,200)}風はなんだか涼しげ",The wind is cool,0.11764705882352941
"Oh, it's just you, Arashiyama.","{\fad(200,100)}Down Townへくりだそう",Down Town,0.0
"Well, no shit!","{\fad(200,500)}Down Townへくりだそう",Down Town,0.0
Ba-dum-tish!,（男子Ａ）真田！,Sanada!,0.3333333333333333
Whaaaat!?,ゴリ！\N（浅井）うんッ？,Gori!\ N  Yeah?,0.2857142857142857
I was up all night finishing this.,分かんねえっての\N悪い,I'm sorry I'm sorry.,0.2
Who cares who did it?,（福沢）何見てんの？,What is it?,0.2857142857142857
Thank God!,うわッ　先生！,Uwa teacher!,0.2
"Thank you so much, God!",着地点に立ってたら\N危ないじゃないですか！,If you start at the arrival point \ N is dangerous!,0.11764705882352941
Such supreme bliss...,て　何やってんの？\Nいや…,What do you do?\ N ...,0.1
Why must I suffer the torture of ending it with a single push of my finger!?,タッツン　テスト終わったの？\Nそりゃあもう　きれいにクルリンパとね,Did you finish the Tatsun Test?\ N. It is beautifully beautifully cleanpa,0.1111111111111111
"Umm, where are we?",私　結構うまいんじゃない？,Aren't you very good?,0.2
I gained 2 kilos in one day.,ほら　うまいよ,I'm really good,0.09090909090909091
"Aw, crud! First period's already started.",よッ！,Good!,0.09090909090909091
S-Sorry about that.,〈意外にも　この時\N左右２．０を誇る歩鳥の目は〉,<Surveys \ N.,0.125
I uh... dozed off as well.,打たせてあげてるの…,I'm giving up ...,0.18181818181818182
"I thought so too, but I guess not.",〈がッ！〉,<But!>,0.08333333333333333
Sure is nice out.,嵐山さんの相手じゃ　役不足でしょ,Arashiyama's opponent is missing,0.1111111111111111
"We don't have gym class today, right?",久しぶりに　どう？,How long ago?,0.07692307692307693
Kind of a waste being cooped up in the classroom all day.,あの２人は「南三中の妖精と\N南三中の死に神」と→,"That two people are ""Death of the Fairy in South Three and Death in Minami Three"" →",0.11538461538461539
Why don't we just take the day off?,あれも同じ中学でしょ？,Is that the same junior high school?,0.125
You think so?,へえ～　あッ　じゃあ紺先輩は？,Hey ~ Aya A senior?,0.1111111111111111
It's a whole new town!,どこの村人だ！,Where is the villager!,0.09090909090909091
She sure changes gears quickly.,南三中の魔王　もしくは邪神→,Demon King or Evil God in South Three,0.0
"Yeah, there are people living outside our tiny little reality too.",またはダースベイダー　巨神兵,Or Darth Vader Giant Chest,0.0
"Okay! Let's blaze a trail, Sanada!",〈強い　やはり辰野さんのセンスは\N並じゃない〉,"<Strongly, Sensei Sono's sense is \ N,",0.11764705882352941
"I have two really young siblings, so it's just a habit.",ちょっと本気になっても\Nいいかしら？,Even if it's a bit really serious \ N.,0.25
A high school girl holding hands with just anyone is kind of...,あの構えはッ\Nまさか　アレをやる気？,That kind of thing is motivated to do it?,0.15
"I, Hiroyuki Sanada, am truly proud to have been chosen!",出るわよ　針原名物·死に神の鎌！,I'm going out Needlehara specialty · Death God's sickness!,0.09090909090909091
I can't hold on anymore!,返した！,I returned!,0.25
"Yeah, but your legs will be worn down to stumps by then.",ああ　しかしタッツン選手\Nバランス崩して　あとがな～い,"Oh, but Tatsun player \ n Balance breaks up",0.09090909090909091
"School isn't the only important thing in life, right?",私は推理する者であって\N犯人を追いかける者ではない,I am a person who is dedicated and is not a person who chases the criminal,0.09090909090909091
But what if I get called into the teacher's lounge tomorrow?,結局どうなったの？,After all what happened?,0.125
We used to play all the time as kids.,将来　探偵になるにあたって,To become a detective for the future,0.13333333333333333
I wonder why we stopped...,ふ～ん　私ゃ　今日悟ったね,Fu-san I realized today,0.1111111111111111
Huh?,卓球は関係ないでしょ？,Table tennis does not matter?,0.14285714285714285
You don't remember?,あんた　さっきから\N私のことバカにしてるの？,\ N. Do you make me idiot?,0.3
I think I do.,なぐさめてんの？\Nそれも分からんほど,What is it?\ N I do not understand,0.16666666666666666
It's not that big of a deal.,特出できない運命なんだよ\N笑うがいいよ,It is a destiny that can not be unique \ N.,0.3125
I'm home.,天才と努力家に\N追い越されちゃうんだよね,You will be driven by a genius and an effort home.,0.14285714285714285
"Umm, today... today, I...",ところが\Nある程度で止まっちゃって→,"However, I stopped in some extent →",0.18181818181818182
"Today, I skipped school with Arashiyama and we hung out.",やっぱ　特出してるよな,After all I'm out,0.13333333333333333
‘Guess I'll read a bit to improve my vocabulary.,〈目ざとく\N見つけてしまうのである〉,<I'll find a mandatory \ Nn>,0.16666666666666666
Love is like a delicious blend...,ゆれ…　ゆれ…,Yuray ...,0.125
yet it also grants us irresistible comfort and tranquility.,〈石の上にも三年\Nコケの一念　岩をも通す〉,<Three years on stone also \ N \ N-kokei one skull>,0.047619047619047616
And it's recipe contains misunderstandings and false assumptions.,〈人は　それを奇跡と呼ぶ〉,<People call it miracle>,0.07142857142857142
And I said who the heck is that?,えッ　私も母も　大好物なのに,Emi and my mother is also a favorite,0.13333333333333333
Can't sleep...,そんな…　この先\Nこれがない人生なんて,Such ... This ahead \ N Never life,0.09090909090909091
"A little early, but I think I'll visit the potty and call it a night.",（男）たつ前に　食べておこうと\N思いまして,I think I ate it before I ate \ N,0.15
What are you doing up so late?,うんッ？,Yeah?,0.1111111111111111
What the heck is that supposed to mean?,じいちゃん　店にあった\N変な色のお菓子　どうしたの？,It was in the grande-chan store \ N. What happened to strange colors?,0.21052631578947367
"Hey, have you seen a bottle of about this size?",（じいちゃん）えッ　ちょっと前に\N散歩してたら,If you take a walk in front of you,0.17647058823529413
I need it for a project.,知らん　おっさんが　くれたんだ,I did a name,0.2222222222222222
"But thanks to that, I was able to make a really cool castle.",ああ　そういや　ずいぶん昔に\N聞いたことが…,"Oh, I heard \ N a lot ago ...",0.14285714285714285
Really? For real?,じいちゃん　知ってた？,Did you know your grandfather?,0.1111111111111111
Aren't you just a wee bit excited?,コンビニに売ってるかな？,Do you sell to a convenience store?,0.21428571428571427
I'll give you a shoulder to cry on.,食パンに　トランス脂肪酸\N塗りたくって食ったよ,I was eaten by the bread to the bread.,0.2
All the strong monsters come out at night!,何で　そんな言い回しが\Nサラッと出てくるかな,Why does such a saying will come out \ N \ N.,0.1111111111111111
Huh? Seaside's still lit up.,何それ　うまいもの？\Nそれが　うまいんだよ,What's wrong?\ N That's she is good,0.125
Are they still open?,べちこ焼？　知らな～い,Bachikaro?Unknown,0.14285714285714285
Look.,ふ～ん　若者の食べ物でも\Nなかったか,Fu-san Young food or \ N.,0.125
It becomes a hangout for seedy middle-aged guys.,（静）こりゃ　ご当地銘菓の\Nたぐいかねえ,I'm going to be a good place for the local confectionery.,0.15789473684210525
"I'll be just fine, thank you!",取り寄せできるといいなあ,I hope you can order it,0.15384615384615385
What am I supposed to do with these?,どういうこと？\Nお菓子屋も連絡先もデタラメ…,What do you mean?\ N candy shop and contact information too ...,0.15
That's not it?,そんなバカな,It is a such a fool,0.1111111111111111
"Jeez, I'll get it myself!",〈（静）もらった　ってところに\N何らかの意図を感じる〉,< I got some intention of some intentions to see if I got it>,0.1111111111111111
"The season's over, so I've only got two D.D. left.",《（じいちゃん）散歩してたら\N知らんおっさんが　くれたんだ》,""" If I walked a walk \ N, I gave me a name.",0.125
One word can totally change the meaning!,〈明日　この局番の範囲を\Nしらみつぶしに走って〉,<Tomorrow Running the range of this station number \ N Shiramitsu>,0.05
"Ah, nevermind.",この辺りに　毛利屋っていう\Nお菓子屋さんはありませんか？,There is no candy shop \ N.,0.09090909090909091
What'd you say?,もしかして　べちこ焼かい？,Sometimes it is crazy?,0.1111111111111111
I'll apologize to him next year.,お客さんも東京？　わざわざ\N東京から訪ねてくるんだから,Customers are also Tokyo?I'm going to visit from Tokyo,0.11764705882352941
"Well, there is a ramen stand by the station.",ちなみにですけど,By the way,0.16666666666666666
"Wow, this late at night? No way!",この時間からだと\N晩ごはん出ませんけど,"If it is from this time, I will not go out \ N late",0.13636363636363635
Doesn't take much to amuse you.,おなかすいてるなら\Nこれありますけど,If you are stomatized \ N.,0.15384615384615385
"Ah, but I wonder if that'll make me fat...",よほど　うまいんだろうねえ,I wonder if it is good,0.2
My tummy's telling me a little bit is okay.,食べてきたんで大丈夫です,It's okay to eat,0.14285714285714285
"Well, pops?",べちこ焼って\Nご存じないですよね？,"I don't know \ N, right?",0.18181818181818182
What part of that includes Hotori-chan?,〈何のために？〉,<For what?>,0.2
Thought I'd almost caught her.,〈私　小説書いてる時より\N頭が起きてるなあ　今〉,<I'm getting up \ Now from the time I write my novel.,0.10526315789473684
Don't you dare get caught before I find you!,〈あのお菓子\N私は本当に食べたのか？〉,<That sweets \ N do you really eat?>,0.10526315789473684
Can't hear a thing. Must really not be there.,〈こんな奇妙なことに\N私が首を突っ込んでいるなんて〉,<Such a strange thing \ N \ N.,0.1875
"I guess convenience stores are the only sure places we could go to, huh?",私は　ついに海羽空市に来れたのだ,I finally came to the sea sky,0.15
It is now the 1st of May.,ここが　海羽空市,Here is the sea sky,0.18181818181818182
Yup. That's right.,そうだろうけどさあ\N本当に食べたの？,"That's right, but I'm really eating?",0.25
"Just mere seconds ago, it was April 30th,",Ｃ県まで捜しにいったのに\Nなかったんでしょ？,"It was not \ N, though I went to County?",0.16666666666666666
but now it's May 1st.,それだ！　フューチャーメガネ,That's it!Futha glasses,0.18181818181818182
Yup. You've just witnessed firsthand one of the world's secrets.,というわけで\Nべちこ焼の自作は諦めよう,So let's give up the self-made of \ Needo grass,0.14285714285714285
I wonder when it was I first watched the date change.,賞味期限って　西暦下２ケタしか\N書いてないじゃん,The expiration date is only 2 ketsetsu \ Niwa,0.1111111111111111
"Ah, right!",いやあ　まだ時差ボケで　何とも,"No, there still still",0.14285714285714285
Think you can sleep now?,今　いかがですか？,How are you now?,0.375
Probably.,べちこ焼というお菓子が\N好きだったんですが,I liked \ N.,0.16666666666666666
W-What makes you say that?,庶民的…\N知ってるんですか？　べちこ焼を,Are you sure you know? \ \ N?Bachiko grilled,0.15384615384615385
You know quite a few tricks to not getting caught.,（Ｄ）どこにでも\N売ってるじゃないですか,Do you not sell \ N.,0.2
"Today wasn't the first time, was it?",（Ｃ）べちこ焼ですよね,It is the cousin,0.18181818181818182
and we aren't trying to reach nirvana.,"{\fad(100,100)}卓球に　命を捧げ　足腰を",Life to Table Tennis Dedicating Life,0.07692307692307693
"We are the invincible Maids, yeah!",我らはメイズ「Yeah!」　メイド姿で　参上参上!,"We join the mates ""Yeah!"" Maid figure!",0.2857142857142857
"If you're constipated, you'll be in pain giving birth.","{\fad(100,200)}こんなバンドでも　やらせじゃねえ",Even such a band can not be done,0.05263157894736842
Love is like a banana.,無敵のメイズ「Yeah!」　便秘は難産　浣腸浣腸!,"Invincible Maze ""Yeah!"" Constipation is a laboratory enema enema!",0.13333333333333333
"Yes... no weapons, only the banana peel remains!",ねえ　家族に\Nこれ欲しい人いない？,"Hey, there is no one who wants to \ N.",0.09523809523809523
and it's the perfect cover up!,いいよ　捨てるよりマシだから,It's better than throwing away,0.16666666666666666
I wouldn't want to eat a banana I just used to whack someone.,しないよ　そんなの\Nでも　もしかしたら,I do not do that \ N.,0.1111111111111111
We live in the 21st century!,何で！？,why!?,0.1111111111111111
It's still yet ages before we can truly call it fully-automatic.,一番おいしい部分だったかも\Nしれないよ,It may not be \ N \ N.,0.11764705882352941
Next time: Eighth Street.,次回,next time,0.3333333333333333
