en_text,jp_text,google_translated,score
"Kind of your mistake, isn't it?",グルメクラゲがいると＞,If there is gourmet clause>,0.07142857142857142
You never know what's going to happen.,何度も再生する　グルメクラゲ＞,Gourmet clarage to play many times>,0.06666666666666667
"You should eat the things you have your eye on, your favorite foods, immediately.","美味なるものを
食べれば食べるほど→","Delicious things
I eat if I eat →",0.1111111111111111
I always leave my favorite foods for the end.,"＜このクラゲを食べた
生物の中には→","<I ate this jellyfish
In the living thing →",0.1111111111111111
you'll make it through any tough situation.,"グルメ細胞を持つ生物が
現れたと＞","An organism with gourmet cells
If it appeared>",0.058823529411764705
While giving thanks to the ingredients.,"リーガルマンモスの体内へ
向かった＞","To the body of Legal mammoth
Headed>",0.15384615384615385
I guess so.,遭遇してしまった＞,I encountered>,0.16666666666666666
The Bubble Fruits?,（トリコ）《はっ…　俺？》,"""Ha ... I?""",0.1111111111111111
Yes!,（トリコ）はっ。,Yes.,0.3333333333333333
"Um, what is that?","（鬼神）《細胞は　進化する》
（トリコ）《何？》","""Cells evolve""
 ""What?""",0.2
I just finally finished it a little while ago.,"（リン）トッ　トリコ
せめて　痛みを和らげてあげる。","Tottorico
At least I will relieve pain.",0.125
Over 100?!,"（小松）
トリコさん！　トリコさ～ん！",Mr. Toriko!Trico!,0.14285714285714285
Of course.,（トリコ）うっ…。,Uh ....,0.2
And quite an ingredient to save for the last.,（ティナ）待ってて　リン。,waiting and phosphorus.,0.16666666666666666
The IGO has issued a level 5 state of emergency.,伝書風船バトの帰巣本能。,Drive institute of the carburring Bat.,0.2
30 Billion People Being Advised to Take Shelter,出口まで連れていって！,Take it to the exit!,0.16666666666666666
Please evacuate as soon as possible.,"うう…。
リンさん！","UU….
Mr. Lynn!",0.1
"Okay, that's a wrap!",うわ！,Wow!,0.125
Director General Uumen...,ああ…　くっ。,Oh ... ...,0.2
Is the evacuation of mankind finished?,（スタージュン）うん？,Yeah?,0.125
There's no avoiding it.,トリコさん。,Mr. Toriko.,0.125
but their favorite food is humans.,はっ…　はあ　はあ…。,Hmm ... is.,0.2222222222222222
But humans... mankind will not lose.,（ハイエナギャング）キキキ…。,Kiki ....,0.2222222222222222
What?! Zebra you bastard!,"（リン）《あっ》
《大丈夫か？》","""""
""Are you okay?""",0.2
I just eat the stuff I wanna eat.,でも　うれしかったんだよ。,But I was happy.,0.18181818181818182
"Yeah, I get that!","《うん　平気だし。
…っていうか　この傷→","""Yeah I'm sorry.
... or this wound →",0.13333333333333333
"but the four of you do not have one millimeter of nervousness, it would seem.",鏡だから逆だったんだよね。,It was the inverse of the mirror.,0.21052631578947367
It is a special menu made without one millimeter of skimping.,"トリコ
最後に一つだけ　お願いがあるの。","Trico
There is only one request last.",0.17647058823529413
Optimal for food immersion.,ううう…。,Uuu….,0.16666666666666666
So fahst!,フォーク！,fork!,0.25
