0,1,2,3
Release.,無に還れ,None,0.0
Special thanks to Zurenriri \Nfor Q-checking this episode,お前ら　人として生きるありがたみを知れよ,I know how to live as a person,0.06666666666666667
"My, my...",あらあら,Oh dear,0.0
you have not received the protection of God.,あなた神の御加護を受けていないのねえ,You have not received God of God,0.6666666666666666
"If God really did exist, then I wouldn't be living this kind of life.",俺はもう生きる価値なんてないんだ,I'm not worth living already,0.09523809523809523
Isn't there anything that you want to do before you die?,死んじゃう前に何かやりたい事はないの?,Is there anything I want to do before you die?,0.7692307692307693
they'll definitely come true.,魂をかけて願いなさい　必ず叶うわ,Soul and wish you always come true,0.18181818181818182
"And so from that point on, his life was filled with happiness, as if his previous existence was just a nightmare.",今までの生活が嘘だったのように,Like the past life was a lie,0.12
The trade is complete. I will find you again should I need anything.,又いい物を頼むよ,I will ask for a good thing,0.1111111111111111
Wonderful! All of this money now belongs to me!,この金は俺だけのモノだ,This money is only me,0.25
"If you don't want your secret exposed, then you will split that money with me.",あんたの秘密をばらされたくなかったら,If you do not want to be able to spend your secret,0.2727272727272727
I finally got lucky!,やっと俺にも運が向いてきたぞ,Finally I have been lucky to me,0.3333333333333333
Congratulations.,おめでとう～,Congratulations-,0.0
"And now according to the contract, I will be collecting your soul.",あなたの魂をいただくわ～,I will give you your soul ~,0.23529411764705882
Wait...!,ま、待て,"Well, wait",0.2
Second Wish: Isn't your beloved woman lying there for you?,2つ目の夢　愛する女ならそこに転がっているし,Second Dream Love Woman Rolled there,0.1875
And then you made your third wish on your woman's dead body.,そしてその愛する女から3つ目の夢　自由を得られたじゃない,And I did not get the third dream freedom from the woman who loved,0.13043478260869565
If you had used the correct methods...,使い方を間違えなければ,If you do not make a mistake,0.15384615384615385
"No matter what happens, the sun will still rise every morning.",太陽は必ず昇るんだな,The sun always rises,0.13333333333333333
"Until now, I never took notice of such small things.",今までそんな事にも気付かなかったなんて,I did not notice such a thing until now,0.3125
Hey you there!,そこのお前,You,0.25
