en_text,jp_text,google_translated,score,semantic_score
To think that he was able to enter the church and challenge me like that...,教会に入り込んで私を挑発するとは,When I get into the church and provoke me,0.21052631578947367,0.46500856
He must be very confident in his power.,よほど自らの力に自信があるのか,Are you confident in your own power?,0.21428571428571427,0.60095567
"Whether it's a good seed or a bad seed, you won't be able to tell until it blossoms.",悪い蕾も良い蕾も花を咲かせるまではわからないからね,I don't know until I make a bad bud also a good bud also blooming,0.19230769230769232,0.53735316
I'll protect everyone.,なに　オレが守ってやる,"Well, I will protect",0.25,0.7990848
Excuse me--,失礼しま…,Excuse me ...,0.5,0.767073
"If you stay up too late, you won't be up in time for tomorrow's training.",夜更かしすると明日の訓練に障りましたよ,"When I stayed up late, I felt for tomorrow's training",0.3333333333333333,0.7998296
"Please have a good night's sleep, okay?",今夜はゆっくりお休みなさいませ,Please take a rest slowly tonight,0.14285714285714285,0.49501997
Yes ma'am!,はい,Yes,0.3333333333333333,0.35542682
Sister Rosalie is sooo cute!,就寝の時間ですよ,It is a bedtime time,0.1,0.046614744
But Sister Libelle is really scary!,でもシスータリベールおっかねぇ,But Sistarri Bele,0.1111111111111111,0.3546056
What did you say?,何か,something,0.0,0.2295858
Honestly! I really question the applicants' maturity this year.,今年の受験生たちは,The students of this year,0.21428571428571427,0.45906985
I wonder how. It seems like the standard keeps dropping every year.,年々レベルが下がっているような,It seems that the level is falling year by year,0.2222222222222222,0.55246776
Even Bishop Frau is like that. ,それもそうね,That is also,0.25,0.24721624
"He won't come back, even if you keep doing that!",そんなことしてもあいつは戻ってこないぞ,That's why he does not come back,0.2352941176470588,0.70327395
Geez.,ったく,Geez,0.5,0.9028009
You want some milk?,ミルクでも飲むか,Do you drink even milk,0.25,0.644107
Father and Frau...,ファーザって人も,A father is a person,0.14285714285714285,0.5228092
Is it okay? Can I really trust him?,いいのか,Is it good?,0.3,0.12062988
"So, shall we begin your special training for tonight?",さあ　今夜も特訓ですよ,"Well, tonight is also special training",0.2857142857142857,0.69460046
"Today we will focus on your mental energy, Teito-kun.",今日はテイト君の精神力を鍛えましょう,Today I will train Tate's mental power,0.1875,0.4151338
"Yesterday, you broke your second Bascule.",昨日の特訓であなたは二本目のバクルスを破壊しました,Yesterday's special training destroyed the second buckle,0.14285714285714285,0.29663566
Your Zaiphon has a swift and explosive characteristic.,あなたのザイフォンは爆発的な瞬発力を持っています,Your Zyphon has an explosive moment,0.25,0.7691984
"In that case, I would like you to first run around the church.",まずは教会の周りを走って頂きましょう,"First of all, let's run around the church",0.3157894736842105,0.7951766
Running? Is that all there is to it?,走る？それだけで良いの？,Run?Is it just good?,0.2727272727272727,0.7765376
"That's why I've brought these ""Uplifting Supporters"".",それだけではありません,That's not only,0.14285714285714285,0.18342474
"Today's training will end when you give in, and lose to them in a race.",今日の特訓は終了です,Today's special training is over,0.15,0.5278027
"Speaking of which, where's the real Frau?",そういえば本物のフラウは,Speaking of which the real flag is,0.4166666666666667,0.28482267
He's usually busy at night.,彼は夜のほうが忙しいのです,He is busy at night,0.5,0.8936662
"Well then, I will make the path that you are to run on.",最初からオレが負ける前提かよ,Is it a premise that I will lose from the beginning,0.18181818181818185,0.27979076
Is it okay to just run on this?,この上を走ればいいの,Should I run on this,0.2727272727272727,0.80914456
That's right.,そうです,that's right,0.75,0.88832206
"However, it will send you flying about two meters up if you step on it, so be careful.",ですが　踏むと2メート飛ばされるので  気をつけてください,But please be careful because 2 meters are blown away,0.12,0.49394324
They're fast!,先に言え！,Say ahead!,0.16666666666666666,0.3489249
"Ah, it's so fun to teach the hot-blooded ones.",ではそのままよーい　ドン,"Well, it is good",0.13333333333333333,0.1315457
Even so...,あれは…,That is…,0.0,0.21744503
"There are hostilities on the road of life, as well.",人生に平坦な道などありません,There is no flat road to life,0.1875,0.5443079
Damn it!,にこやかにスパルタ!,Sparta smiling!,0.2,0.23117685
"Kuroyuri-sama, isn't this our chance?",黒ユリさま　チャンスでは,In black lily chance,0.09090909090909093,0.24948916
There's too many bodyguards too.,護衛が多すぎる,There are too many escort,0.375,0.5726262
"We can't gain anything from being too hasty, Haruse.",ハルセ,Haruse,0.08333333333333333,0.53817695
Sorry! I left you behind.,ごめん,sorry,0.14285714285714285,0.4386595
That's... the mark of a battle slave!,あれは戦闘用スクラーの烙印じゃないか,That is a seal of battle scarring,0.3076923076923077,0.49655673
"Oh, sorry. Did I wake you?",そいつお前がいない間　落ち着きなくて大変だったぜ,It was hard to settle down while I did not have,0.1111111111111111,0.07328201
"Well, he's the reincarnation of my friend.",こいつはオレのダチの生まれ変わりなんだ,This guy is born in my dachi,0.0625,0.36210164
B-But you don't need to believe me!,別に信じなくでもいいんだぜ,You do not need to believe it separately,0.4166666666666667,0.43485588
"So that guy, he must be like a brother to you, right?",だろう？,right?,0.14285714285714285,0.27989897
I'm actually taking this exam for his sake.,オレはこいつのために試験を受けるんだ,I will receive a test for this guy,0.2,0.46693215
