en_text,jp_text,google_translated,score,semantic_score
This is ALSUS?,これがアルサス？,Is this Alcas?,0.6,0.3519531
"Yes, the multipurpose surgical installation, ALSUS.",そうだ 多目的手術装置アルサス,That's right Multipurpose Surgical Equipment Alters,0.15384615384615385,0.5487657
"However, the body of the Matter has engulfed it.",だが マターの本体がアルサスを のみ込んでしまっている,But the main body of Matter is wearing Arsas,0.26666666666666666,0.54878604
"So, this giant blob of stuff is...",じゃあ この大きい塊みたいなのが…,Then it's like this big mass ...,0.13333333333333333,0.49239513
That's right. It's your artificial body that caused the Burst.,そう バーストを起こした 君の人工生体の体,So the body of your artificial biological body that caused burst,0.5,0.86857396
The head's buried in the stomach!,く… 首が腹に突き刺さってる,Ku ... The neck is sticking to the belly,0.07142857142857142,0.47261658
"Her body turned to Matter, and is looking for its own brain.",マター化した体が 自分の脳を探し求めた結果だろう,It will be the result of looking for my own brain,0.19047619047619047,0.43038455
Can you hear me?,聞こえるか？,Can you hear it?,0.6666666666666666,0.79899883
Hey! Let me hear your voice again!,ねえ もう一度 声 聞かせて,"Hey, let me hear the voice again",0.6,0.8307335
How did this happen?,どうして こんなことに,Why,0.0,0.1717542
"Thank you, everyone.",皆さん ありがとう,thank you everyone,0.6,0.88335603
"For creating me,",私を生み出してくれて,Creating me,0.5,0.77585495
and for finding the place where I could be myself.,私が私になれる場所を 見つけてくれて,I found a place where I can become me,0.1875,0.6462889
What are you doing?,どうしたんだ！ 神崎,What happened!Kanzaki,0.125,0.14211136
"If this mission succeeded,",このミッションが成功したら,If this mission is successful,0.42857142857142855,0.90310526
I was going to end my own life along with yours.,僕は君とともに 僕自身を終わらせるつもりでいた,I was going to finish myself with you,0.3333333333333333,0.6338508
It was what he intended to inject Aiko with to end the Burst.,バーストを… マターを消滅させるために,Burst ... To eliminate Matter,0.125,0.48485804
I don't want to kill you.,君を死なせたくない,I do not want you to die,0.5,0.75776696
"No, I promise the surgery will be a success.",いや 手術は必ず成功させる,No surgery must be successful,0.2307692307692308,0.69577736
"I, Toshihide Yura, was going to take responsibility for what I had done",僕は… 由良俊英は すべてを元へと帰すことで,I ... Yoshiyuki Yoshinu is all of all,0.05263157894736842,0.3163317
by returning everything to the way it was.,無に戻すことで 責を果たそうとした,I tried to fulfill my responsibility by restoring,0.13333333333333333,0.4431556
That's why I brought you here.,そのために 君をここまで連れてきた,"To that end, you have taken you",0.15384615384615385,0.29013357
you accepted the fact that you're not the real Aiko Tachibana.,君は 自分が本物の 橘アイコでないことを受け止め,You receive that you are not a real Tachibana Aiko,0.42857142857142855,0.8517721
That's no decision a fake human could make.,その決断は偽物じゃない,That decision is not fake,0.25,0.74520254
"When I made you, you were not fake.",君は僕が作り出した ウソなんかじゃなかった,You were not a lie that I created,0.3076923076923077,0.5943228
"From the moment you were born, you were the real you.",この世に生まれた瞬間から 君は本物の君なんだ,From the moment you born this world you are a real thing,0.42857142857142855,0.81911695
I cannot deny that you ever existed.,そんな君を なかったことになんかできない,I can not do something that I did not like that,0.3076923076923077,0.21937494
