en_text,jp_text,google_translated,score,semantic_score
Chiyu...,"（ハルユキ）
ち… チユ…",Chi ... Chiyu ...,0.6666666666666666,0.9073175
"No! If Taku's copy fails,
I want to install it from you.","ハルからインストール
してもらうんだから！","Install from Hull
Because I'm sorry!",0.2,0.37259173
Are we ready?,"（タクム）
準備はいいかい？",Are you ready?,0.6,0.8223695
Why didn't you bring a cable?,"つうか
ケーブル 持ってこなかったのかよ","Wid
Did not bring a cable",0.4,0.6752051
Why don't you have two long cables?,いけないんでしょ？,Don't you do it?,0.4,0.1305205
"Chiyu, I have to warn you
for the last time.","（タクム）
チーちゃん 最後に
もう一度 確認しておくけど―","Chi-chan last
I will check again-",0.125,0.57491606
"The Brain Burst program
I'm going to send you","僕が 今から送信する
ブレイン･バーストは―","I will send from now
Brain Burst-",0.21428571428571427,0.7607822
is more than just a game.,ゲームであって ゲームじゃない,It is a game and is not a game,0.3,0.7442881
You might regret doing this some day.,いつか後悔するかもしれないよ,Someday may regret,0.1,0.62262386
"That's right. If you just think
it's an easy way to get amazing power...","そうだぞ　単純に すごい力が
手に入るなんて軽い気持ちで…","That's right Simple power
It feels like getting into hand ...",0.2608695652173913,0.6344122
I already told you!,ほら早く！,Hey quickly!,0.14285714285714285,0.33916348
I don't really want powers.,私は 別に力が欲しいんじゃないの,I do not want a force separately,0.2727272727272727,0.3267989
"I just want to teach you two
to enjoy the game","ゲームは楽しんでやるものだって
教えたいだけ","The game is fun
I just want to teach",0.5833333333333334,0.79881924
Let's get on with it!,分かった,Do you get it,0.2222222222222222,0.19713685
<i>Haru. I'm scared.</i>,"（タクム）
ハル 僕は怖いよ
チーちゃんが変わってしまうのが","Hull I'm scared
Chi chan will change",0.14285714285714285,0.4197177
"<i>If we. I mean you.
look after her she'll be fine.</i>","（ハルユキ）
俺たちが
いや お前が守れば 大丈夫だろう","We are
No, if you protect it",0.14285714285714285,0.22542326
<i>And it might not even install successfully.</i>,"インストールが成功すると
決まったわけじゃないし","When the installation is successful
It is not decided",0.1176470588235294,0.34483233
What is this?,"（チユリ）
何これ",What's this,0.4,0.66143996
"""Welcome to the Accelerated World?""","ウェルカム･トゥ･ジ…
アクセラレーテッド･ワールド？","Welcome to ...
Accelerated World?",0.5555555555555556,0.75317514
"Here's today's orders, piggy.","（荒谷(あらや)）
豚君に 今日のコマンドを命令する",")
Order today's command to pig",0.16666666666666666,0.75659066
Why am I still having this dream?,まだ こんな夢 見るなんて,I still have such a dream,0.2727272727272727,0.69416285
"CHIYURI KURASHIMA
<i>Chiyu?</i>","（ハルユキ）
チユ？",Chiyu?,0.25,0.69215375
<i>I just woke up.</i>,"（ハルユキ）
ついさっき 目が覚めたとこ",I just woke up,0.375,0.71114457
<i>It's so windy.</i>,"（チユリ）
いいでしょ 決まりね",It is good,0.1,0.21772371
<i>It'll blow away the cherry blossoms.</i>,"（チユリ）
風 すごいもんね",Wind of the wind,0.07692307692307693,0.22020027
"<i>I'll leave the gate open
so dive into my home server.</i>","うちのホームサーバーに
ダイブしてきてよ","On my home server
Have a dive",0.15789473684210525,0.5558438
<i>What? Now?</i>,"（ハルユキ）
えっ？　今から？",eh? from now?,0.2222222222222222,0.37312526
Direct Link.,ダイレクト･リンク,Direct link,0.6666666666666666,0.92758477
What's this?,"お前こそ このクッションじご…
天国は何だよ","You are this cushion ...
What is heaven",0.2,0.1283825
"An anomalocaris.
A creature from the Cambrian era.","（チユリネコ）
カンブリア時代の生き物",Cambria era creature,0.2,0.5453923
You're still using that avatar?,"あんた
まだ そのアバター使ってんのね","Aunt
He still uses that avatar",0.3,0.5969559
You should change it.,変えればいいのに,I wish I could change it,0.25,0.65018517
I've grown used to it.,"（ハルユキ）
慣れちゃってるからな これに",Because I'm used to this,0.3,0.51894414
It goes on for 15 km at this resolution.,"この解像度で
端から端まで15キロもあるんだよ","At this resolution
There are 15 kilometers from the end to the end",0.2352941176470588,0.6768924
No chance!,駄目！,Waste!,0.25,0.31425095
"If you customize it,
it'll smell of oil, iron and smoke.","ハルにカスタマイズされたら
油と鉄と煙臭くなるもん","If it is customized to Hull
Oil and iron and smoke",0.35294117647058826,0.6867447
"We could have a Tiger tank
and a BF109 fighter plane here.","タイガー戦車や
ＢＦ109戦闘機あたりを ここに","Tiger tank and
BF109 here here",0.4166666666666667,0.7444092
No way!,"（ハルユキ）
うわっ！",Wow!,0.25,0.28546414
What are you playing at?,"（ハルユキ）
お… おい 何だよ",Oh ... what is it?,0.2,0.15781006
"Because you told me I might have
a scary dream tonight,","怖い夢を見るかもしれないとか
言うから―","You may see a scary dream
-Free",0.26666666666666666,0.66233164
I don't want to go to sleep.,はい 動かないで,Don't move,0.2222222222222222,0.33242613
It can't be helped.,"（ハルユキ）
しかたないだろう",It will only be,0.25,0.22985785
"If you don't have that dream
you can't make your duel avatar.",その夢 見ないと―,If you don't dream-,0.2857142857142857,0.49713632
But wait...,でも 待てよ,But wait,0.6666666666666666,0.76199794
If you've never had any trauma...,トラウマがない人間だったら…,If you are a human who has no trauma ...,0.2857142857142857,0.83659196
"Once on a school trip, someone got car sick
and my knees got covered in...","どっかの誰かが
バスに酔って 私の膝の上に…","Someone of someone
Drunk on the bus on my knees ...",0.25,0.4836714
"Sorry. I apologize.
Please don't tell me any more.","（ハルユキ）
すみません ごめんなさい
それ以上 言わないでください","I'm sorry I'm sorry
Please do not say more",0.35714285714285715,0.6777255
I'm glad you understand.,分かれば よろしい,I understand,0.3333333333333333,0.53948855
A pillow?,"（ハルユキ）
枕？",pillow?,0.6666666666666666,0.9136846
"I remember once you came to
stay at my house and...","（チユリ）
昔 ハルが
うちに泊まりに来てたころ―","A long ago Hal
He came to stay at home-",0.2222222222222222,0.36936998
"I tried really hard, you know.","（チユリネコ）
私 頑張ったんだよ",I worked hard,0.2222222222222222,0.50884235
In order to become a Burst Linker.,"バーストリンカーになるために
頑張ったんだから","To become a bursting car
Because I worked hard",0.21428571428571427,0.36302534
"So we can go back again to that time
when we all played together.","だから 戻れるよね
みんなで遊んだ あのころに","So you can return
She played with everyone at that time",0.25,0.6254056
I'm so nervous.,"（ハルユキ）
ああ 緊張するな",Oh nervous,0.16666666666666666,0.6067587
Please be okay...,タ… タク,Tack ...,0.2,0.2896513
"Hi, Haru.",やあ ハル,Haru Haru,0.25,0.81929076
"What, what? Why are you crying?",何 何… 何で泣いてるの,What's what ... what's crying,0.2222222222222222,0.65897346
