en_text,jp_text,google_translated,score
It's you two.,"（コバルト）
そうだ
勝つことができれば お前は自由だ","That's it
If you can win, you are freedom",0.25
"Then you can go to the Black King
or whomever you like.","（マンガン）
黒の王だろうと 誰であろうと
好きな所に行くがよい","Who would be black king
Good to go",0.25
What? Over already?,"（マンガン）
どうした もう終わりか",What's wrong?,0.3333333333333333
You never had a chance.,今 愚考を改めるというのなら…,If you're now reforming a foolishness ...,0.16666666666666666
This guy!,こ… こいつ,This ...,0.25
"Bearing all this pain we're inflicting
is quite something.","（マンガン）
痛覚拡張を加えたうえで
ここまで耐えられるとは","After adding an augmentation extension
It is possible to withstand this",0.1
"Don't say you're going
to let me go.","僕を
自由にさせてくれとは言わない","Me
I do not say that it is free",0.17647058823529413
I just need a little more time.,"ただ ほんの少しでいい
時間が… 時間が欲しいんです","I'm just a little good
Time ... I want time",0.4166666666666667
"Cobal, Marga.","（ナイト）
コバル マーガ",Kobar Marga,0.2
Sir!,"（コバルト･マンガン）
はっ！",!,0.5
Throw him into the portal.,"（ナイト）
ポータルに捨ててこい",Think to throw it away from the portal,0.2727272727272727
Thank you.,"（パイル）
ありがとうございます",thank you,0.6666666666666666
13.66 seconds.,"（チユリ）
13秒66",13 seconds 66,0.2
Haru.,あっ ハル,Haul,0.0
"<i>Are you sure you want
your hair up like this?</i>","（恵(めぐみ)）
こんなにアップにしちゃって
いいの？","I'm going to get up like this
okay?",0.2631578947368421
I don't care. I just want a change.,"（黒雪姫(くろゆきひめ)）
構わない
気分を変えたいのでな",")
I do not care
I want to change my mood",0.35714285714285715
when you lie down.,横になったとき邪魔よ,When I'm sideways,0.125
I wrote down some instructions.,"（黒雪姫）
指示を書いておいた",I wrote an instruction,0.25
Please inform the student council.,生徒会のみんなに伝えてくれ,Tell me to everyone of the student council,0.2727272727272727
Huh?,"（ハルユキ）あっ ど… どうも
（恵）あっ えっ？","Yuki ...
 Yes?",0.2
"Have fun, Haruyuki Arita.",ごゆっくり 有田春雪(ありたはるゆき)君,Yourito Yuki Yuki Yuki Yuki,0.0
Don't worry about it.,いや 気にするな,Don't worry,0.5
How are you feeling?,"（ハルユキ）
お邪魔でしたか？",Were you disturbed?,0.2857142857142857
the food is awful.,"病院という所は
慎重すぎていけない","The hospital is
Don't be too cautious",0.18181818181818182
"Just do what they say
so you can fully recover.","ちゃんと言うこと聞いて
完全に治してください","Listen to say
Please cure completely",0.0625
it's evening.,もう すっかりいいのだがな,It's already good,0.3333333333333333
It's a beautiful sunset.,"（ハルユキ）
そ… そうですね
きれいな夕日ですね","That's right ...
It is a beautiful sunset",0.5
I just wasn't sure what to say.,ただ 何て言えばいいのかなって,Just what should I say,0.4
Doesn't it suit me?,"（黒雪姫）
完全に 無理強いではないか",Isn't completely unreasonable?,0.2222222222222222
No! It looks great!,いえ 違います 似合ってます！,No difference looks good!,0.42857142857142855
No! It really suits you.,違います！　似合ってます！,wrong!  It suits you!,0.5
I'm sorry.,"えっと だから その…
何か すいません","Because it is fine ...
I'm sorry",0.3333333333333333
So you went to see Kurashima?,"（黒雪姫）
そうか 倉嶋(くらしま)君の所に","Oh, Kurashima",0.1111111111111111
"Yes, with Taku.
We told her everything.","（ハルユキ）
はい タクと２人で行って
全部 話してきました","Go with Yai Taku and 2 people
I talked all",0.11764705882352941
"About Accel World,
Taku's back door and...","加速世界のことも タクが
バックドアを仕掛けたことも―","The accelerated world is also a tack
Back door was also set-",0.16666666666666666
How did she take it?,だましていたことも,It was also true,0.1111111111111111
I see.,すごい怒ってました,I was very angry,0.16666666666666666
It's only natural she's angry.,"（黒雪姫）
まあ 怒りは当然だな",Well anger is natural,0.1
Taku and I have to make this right.,きちんと罪を償うつもりだって,I'm planning to pay crime properly,0.14285714285714285
Taku said...,タクも言ってました,I also said,0.2
Make up for it?,償う？,compensate?,0.16666666666666666
"He goes to a school
in Shinjuku, right?","（黒雪姫）
確か タクム君は
新宿(しんじゅく)区の中学に通っていたな","Certainly Takumu
I went to junior high school in Shinjuku",0.25
"Yes,","（ハルユキ）
はい",Yes,0.5
"He should be a good fighter
for Nega Nebulous.","だから ネガ･ネビュラスの
すごい戦力になると思うんです","So Nega Nebulus
I think it will be a great strength",0.16666666666666666
"We're going to fight as
a tag team tomorrow.","あしたも ２人で
タッグ戦に行こうって誘われてて","It is two people
I was invited to go to the tag match",0.09523809523809523
You seem to really like him.,好きなのだな 彼のことが,I like him,0.25
I'm jealous.,親友ですから タクは,I'm a close friend,0.2857142857142857
they've betrayed and hurt you.,"裏切られ 傷つけられても
なお 許し合える","Even if it is scalled and damaged
Recommendation",0.07142857142857142
Are you sure about this?,決意は変わらないのか,Is the determination not change?,0.09090909090909091
Those two!,ああ いらいらする！,Oh yeah!,0.2
"I told them to come and see me
if they had anything to say.",ちゃんと言いに来なさいっての,Come to say properly,0.2
That's the flying avatar.,"（アバター１）
あれが 完全飛行型",That is full flying type,0.2222222222222222
Five seconds left!,"（クロウ）
あと５秒",5 seconds,0.2
Two...,２…,2 ...,0.3333333333333333
One!,この野郎！,This bastard!,0.25
Yes! Three wins in a row!,"（クロウ）
やった ３連勝！",Three consecutive wins played!,0.3333333333333333
What's this?,"（クロウ）
これって",is this,0.2
"Now I can tell everyone
I've fought with the flying avatar.","（アバター１）
完全飛行型と戦えて
話の種になるよ　また よろしくな","Fighting flying type
She is also a seed of the story",0.09523809523809523
Thanks.,"（アバター１）
おめっとさん",Thanks,0.5
Choose your level up bonus wisely.,"（アバター２）
レベルアップボーナスは
考えて選べよ","Level up bonus
Think and choose",0.4444444444444444
See ya.,じゃあな,See you,0.25
Congratulations!,"（パイル）おめでとう
（ハルユキ）ありがとう","congratulations
Thank you for Haruyuki",0.16666666666666666
"Or is Level 2 still too low
to be of use.","って レベル２じゃ
まだまだ力になれないか","Level 2
Can you still be powerful?",0.25
"I'm going to help you
reach Level 4 at least.","少なくとも レベル４になるまで
僕がバックアップする","At least until at level 4
I will back up",0.3125
It's my duty.,それが 僕の義務だよ,That's my obligation,0.2857142857142857
Duty?,"（クロウ）
義務？",Duty?,1.0
but it was my stupid fault...,俺が ばかちんだったせいだろう？,Is it because I was tired?,0.16666666666666666
that Kuroyukihime got hurt.,それは…,that is…,0.16666666666666666
My crime was much worse.,僕の罪が いかに重いか,How heavy my sins,0.1111111111111111
I'm not so sure.,"（パイル）
駄目だ 僕が犯した罪は
そんな軽いものじゃない","The sin that I committed
It's not such a light",0.13333333333333333
"Well that's enough for today.
Let's Burst Out.","（パイル）
さあ 今日は ここまでにして
バーストアウトしよう","Well, she is here
Let's burst out",0.35714285714285715
"What are you doing?
Don't level up yet!","（パイル）
何やってるんだ",What are you doing,0.36363636363636365
Remaining Burst Points...,保有バーストポイント―,Burst Points-,0.2
Eight?,８？,8?,0.3333333333333333
Haru! Burst Out!,ハル！　バーストアウト！,Spring!Burst out!,0.6
I'm really sorry.,"（タクム）
僕のせいだ ごめんよ
本当に ごめん","I'm sorry I'm sorry
really sorry",0.8
level up right away.,"レベルアップには
300ポイントを消費するって―","Level up
It consumes 300 points-",0.2222222222222222
"No, I was an idiot.","（ハルユキ）
いや 俺が ばかだったんだよ","No, he was stupid",0.3333333333333333
"There was a warning that
leveling up would cost 300 points,",警告が出ていたんだから―,Because there was a warning-,0.21428571428571427
"I should have worked it out,","少し考えれば分かったはずなのに
有頂天になって","If you think a little, you should understand
It becomes ecstatic",0.2
"First, let's check where we stand.","（タクム）
とにかく まず 現状確認しよう","Anyway, let's confirm the same way first",0.2857142857142857
You're sure you only have eight points?,"今の保有ポイントは
８で間違いないね？","Now holding points
There is no doubt in 8?",0.125
"Yep. If I lost a duel now,",ああ 今のままじゃ―,"Oh, it's now.",0.25
I'd lose all the rest.,バーストポイント 全損,Burst point all loss,0.1
"Then we'll pick our fights,",それから 場所と時間を選んで―,Then choose place and time-,0.09090909090909091
"and get your points back
through tag matches.","少しずつ
タッグ戦でポイントを戻していく","little by little
Return points in tag match",0.14285714285714285
Wait a minute.,ちょ… ちょっと待ってよ,Cho ... Wait a minute,0.5
You're going to let me...,"もしかして タクが無抵抗で
俺に負け続けるってことか？","Maybe the tax is no
Do you keep losing to me?",0.1875
It's the only way.,"この方法が いちばんいいはずだ
さあ","This way should be the best
here we go",0.15384615384615385
"If you get to zero points,
you'll lose Brain Burst and...","君は ブレイン･バーストを
強制アンインストールされ―","You are brain burst
Forced uninstalled-",0.1875
this power forever.,この力を 未来永ごう 失うんだぞ,I'm losing this power,0.2857142857142857
"I know,",分かってるよ,I know,0.6666666666666666
Don't you trust me?,もしかして 疑っているのか？,Are you suspicious?,0.25
reduce your points to zero.,"君のポイントを０にするのは
難しいことじゃない","To make your point 0
It is not difficult",0.15384615384615385
"No, it's not that.","（ハルユキ）
ち… 違うよ そんなんじゃない",Chi ... It's not like that,0.4
