en_text,jp_text,google_translated,score,semantic_score
"Okay, so Inuzuka-sensei is out today...","（熊谷(くまがや)先生）はーい
今日は 犬塚(いぬづか)先生が休みなので…","teacher) is
Today is a rest of Inuzuka  ...",0.21428571428571427,0.5490824
Nope!,"（熊谷）ちが〜う
（生徒たち）あらら〜","Chi ~
 Ara ~",0.0,0.17634442
Handouts?,（男子１）えーっ プリント？,Eh-Print?,0.3333333333333333,0.20162176
"He said if you can understand this, \Nyour final should be easy.",これが理解できていれば—,If this is understood-,0.125,0.41180503
Did something happen\Nto Tsumugi-chan?,"（女子１）休むって
昨日 何か言ってたっけ？","rest
Did you say something yesterday?",0.3333333333333333,0.22485724
Y-You're so bold about eating in class...,（熊谷）な なんて大胆な早弁,What a bold valve,0.08333333333333333,0.198893
"Okay, today is the day we \Nbring our families to school!","（幼稚園の先生）はーい 今日は
おうちの人が来てくれています！","Yo Today
The house of the house is coming!",0.2352941176470588,0.47795358
Let's all do morning greetings together!,"みんなで一緒に
朝のご挨拶をしましょう","Everybody together
Let's say the morning greetings",0.4545454545454545,0.8593629
Okay!,（園児たち）はーい！,!,0.5,0.55605143
Fine! Fine! ... one surprise after another!,（犬塚(いぬづか)つむぎ）うふふ…,Ufufu ...,0.125,0.19568919
"Sensei, I see you made it today!",あははっ いっそがしいね,"Oh, it's too much",0.15384615384615385,0.16276072
"Yes, I took just the morning off.",はい　午前だけ休みを取って,Yes take a holiday only in the morning,0.21428571428571427,0.54165626
You wanna see this?,これ 見たい？,I want to see this?,0.3333333333333333,0.8656593
Oh? Let me see.,あら〜？ どれ どれ,Oh~?let's see,0.375,0.7116087
"Come on, show me!",見せてあげよっか,Show me,0.3333333333333333,0.70367885
"What are you making, Tsumugi?","（公平）つむぎは
何を作ってるんだ？","Tsumugi
What are you making?",0.8571428571428571,0.9815848
A squid!,イカ！,squid!,0.6666666666666666,0.8603728
A squid?,（公平）イカ？,squid?,0.6666666666666666,0.903209
It's hard to make 'cause it's so big!,でっかいのだからさ 大変でさ〜,It's a big deal ~,0.25,0.2512229
"Today I'm sticking this to this,",今日は ここをくっつけて—,Today I will attach here-,0.2,0.43634155
Really?,ほんと？,real?,0.3333333333333333,0.46313038
Where?,どこが？ どこら辺が？,Where?Where is it?,0.5,0.668355
Um... It's so big and bold!,大きくて大胆で 大きいところが…,The big and bold and big enough ...,0.3636363636363637,0.734964
"Yuuka-chan's mommy is good at handicrafts, \Nso if she says so, it means something.","ゆうかちゃんママは
手芸とか上手だから—","Yuuka-chan Mom
Because it is good or good-",0.19047619047619047,0.5652349
Yeah!,（ハナの母）うん,Yeah,0.5,0.8074407
I'm not really...,あるわよ〜,I have,0.16666666666666666,0.30949682
Your bags and purses look \Nlike store merchandise!,バッグも巾着も売り物みたい,Bags and drawstrings are also selling goods,0.14285714285714285,0.5564115
"If you have a daughter, you like to be \Nable to do things like that for her.","やっぱり 女の子には
これくらいやってあげたいわね","After all girls
I want to do this",0.09090909090909093,0.4264813
It's so nice to have a talent for that.,"うん うん
センスあるって いいわね","Yes Yes
It is good that there is a sense",0.1875,0.21845067
"The one you made this year was cute, too.",今年のも かわいいじゃない,This year is not cute,0.2307692307692308,0.66460055
