en_text,jp_text,google_translated,score,semantic_score
I was overjoyed and left the house thinking it was a date.,〈もう　すっごくうれしくて デート気分で出かけたら〉,<If you're too happy and you go out for a dating feeling>,0.08333333333333333,0.35708317
"However, Junichi just wanted me to help him choose a Christmas present for the girl he liked.",〈実は　純一が好きな女の子に贈る クリスマスプレゼント選びに〉,"<Actually, for choice of Christmas present to give to girls who like pureichi>",0.1724137931034483,0.6418882
But it looked like things didn't go well for Junichi and the girl in the end.,〈でも　結局　その子と純一は うまくはいかなかったみたいで〉,"<But after all, it seems that the child and the pure is not good enough>",0.13333333333333333,0.22932221
"Back then, and even now...",〈あの頃も今も〉,"<At that time, still still>",0.07692307692307693,0.43484697
My love for Junichi has always been one-sided.,〈私は　ずっと純一に〉,<I have always been purely>,0.14285714285714285,0.23226021
If we could understand each other completely,全て分かり合えたら,If you understand everything,0.2222222222222222,0.65144217
The seasons have come and gone since that day,何度も季節を重ねたね　あの日から,I repeated the season many times from that day,0.2,0.56039
"And even today, I remain so grateful",今日までどうもありがとう,Thank you very much until today,0.07692307692307693,0.3620736
As our white breaths dance in the air,白い息が踊る,White breath dances,0.1,0.7743092
You hold me by the hand so hard it almost hurts itai kurai nigitta te wo hiite,痛いくらい握った手をひいて,Hold a hand with a hurting,0.1,0.5671515
We shyly gazed at each other,ハニかんで見つめあった,I felt honey,0.0,0.25404197
And I was overcome with kind feelings for you,優しいキモチ溢れた,Gentle girlfriends,0.0,0.24485056
The two of us would become one,２人は１つだよ,Two people are one,0.2222222222222222,0.40405408
No matter how small it may be,どんな小さな幸せも,No matter what little happiness,0.2,0.4560372
We'll surely find happiness,見つけ出せる気がするよ,I feel like I can find out,0.1,0.19701463
I learned to be kind because of you,優しくなれたのは　君のおかげ,Thank you for your kindness,0.08333333333333333,0.4191462
It's so cold...,寒いよ,it's cold,0.6,0.76673347
"What are you, a pill bug?",あんた　ダンゴムシか,Ann d'Angko,0.0,0.056541473
"Your alarm did go off, loud and clear!",ガンガン鳴り響いてたよ 目覚まし,Gangan sounding sound and wake up,0.06666666666666668,0.29549995
"I'm glad you came to get me, Kanae-chan.",よかった 香苗ちゃんが迎えに来てくれて,It was good to come to pick me up,0.1176470588235294,0.4023218
"Geez, you're really troublesome.",まったく　世話が焼けるわね,I will take care of myself at all,0.0,0.108677804
"At any rate, you're late way too often these days.",それにしても 最近　遅刻多すぎだよ,"Even so, it's too late recently",0.16666666666666666,0.5683181
Oh no!  I forgot something!,えへへ…　あッ！　いけない忘れ物,Hey ...!Do not,0.1,0.30872977
"Quick, go back and get it! really?",早く取っておいで,Get quickly,0.09090909090909093,0.51722026
I don't have enough time to make it through the main gate.,〈うわあ 正門まで回ってる時間ないなあ〉,<It does not time to turn to the main gate>,0.3157894736842105,0.7255347
All right!,〈よ～し〉,<Yo ~>,0.0,0.16880895
If I can't pull myself through... I'll push!,引いてダメなら押して…　うん？,If you pull it and push it ... yes?,0.25,0.4934102
I was just trying to take a shortcut!,ちょっと近道しようと 思っただけなんです～,I just wanted to see a little ...,0.3076923076923077,0.3383966
"I'll come out right away! calm down, rihoko.  it's me.",今すぐ抜けますから～ 落ち着け　梨穂子　僕だよ,I'll come out now ~ ~ I'm calm Rihiko,0.2631578947368421,0.7169636
"Junichi, is that you?",純一なの？ ああ,Is it pure?Ah,0.2222222222222222,0.14439975
What are you doing?,何してるんだよ？ それが　その…,What are you doing?That's that ...,0.625,0.7324328
Don't tell me... you're stuck?,まさか　抜けないのか？,Isn't it too bad?,0.15384615384615385,0.14959988
Then I guess I'll have to make a dash to the gate.,じゃッ　僕は正門までダッシュする,I dash up to the main gate,0.35714285714285715,0.71977085
"We've been friends for so long, but who would've thought we'd part like this?",長いつきあいだったが こんな別れ方するなんてな,"It was a long time, but it's like this",0.2272727272727273,0.22483416
"May you rest in peace, Rihoko!",成仏しろよ　梨穂子！,Buddha Toyo Rihiko!,0.09090909090909093,0.40115455
No!  Don't abandon me!,イヤ～ッ！　見捨てちゃイヤだよ,Ear!It is abandoned,0.1,0.37158462
"I'll get you out of there, so don't get so mad.",今　助けてやるから　あんま怒るな,Don't get angry because you will help you,0.2352941176470588,0.54240173
Relax your body and lie flat.,体の力を抜いて　うつぶせになれ,Remove the power of your body and make it up,0.21428571428571427,0.45457804
See what?,その…,That…,0.0,0.24729085
"Come on now, you're thinking about pancakes at a time like this?",おいおい　こんな時にも食い気か？,Do you even eat at this time?,0.2777777777777778,0.38740376
Can you see my panties?!,パンツ　見えてない！？,I can not see the pants!?,0.3636363636363637,0.5727873
I-Idiot!  Don't make noises like that!,バッ　バカ！　何て声　出すんだ,Bash!What a voice,0.08333333333333333,0.34389657
But my chest got caught...,だって　胸が引っかかって…,Because the chest is caught ...,0.3333333333333333,0.70348316
Huh?  You sure it wasn't your belly?,はあ？　腹の間違いだろ,Is it?It's a mistake in the belly,0.2,0.701986
It's not!,違うもん いいから　もう一度いくぞ,Different It is good again,0.125,0.25798273
I'm out!  Hooray!,助かった　バンザーイ！,Banza that was saved!,0.1111111111111111,0.093100324
Geez... did you put on weight again?,まったく また体重　増えたんじゃないのか？,Aren't you going to increase your weight at all?,0.17647058823529413,0.5816936
What?!,え～ッ！？ だから　通れないんだよ,Eh!?So I can not go,0.2222222222222222,0.27822834
"No, I'm sure it's because I'm wearing a lot today!",ううん　これは　きっと 着膨れだよ,Ummmmm This is surely swelling,0.0,0.3409362
"Nope, it's because you eat too much.",いや　食べすぎだろ えッ？,"No, it's too eating?",0.3076923076923077,0.6203018
So your PE uniform was what you forgot?,忘れ物って体操服だったの？ うん,Did you forget yourself?Yes,0.15384615384615385,0.3077907
"No, not at all.",ううん　そんなことないよ,"Umm, there is no such thing",0.18181818181818185,0.051239625
"If Junichi hadn't come for me, I'd probably spend the rest of my life stuck there.",純一が来てくれなかったら あそこに挟まったまま,"If I did not come, I caught it over there",0.2,0.36896536
"Uh, I highly doubt that...",いや　いくらなんでも　それは…,No matter how much it is ...,0.07692307692307693,0.15976055
I've always made it through that hole before.,前は　あの穴 ちゃんと抜けられたのにな,Before I was missed with that hole,0.3076923076923077,0.674657
Maybe I really did get fatter recently.,やっぱり最近　太ったかも,After all it may have become fat recently,0.06666666666666668,0.5744017
Is it because I eat too much?,食べすぎかなあ？,Is it too much ate?,0.5555555555555556,0.66119117
"Yeah, when you feel like eating something, you go like this...",うん　食べたいなって思ったら,If you want to eat yeah,0.13333333333333333,0.4760348
And take in a deep breath of air while pretending you just ate it.,食べたふりをして　思いっきり 空気を吸い込んでおくの,Pretend to eat and suck in the air,0.15,0.7321536
"Oh yeah, you also need to exercise after eating.",あッ　それとさ 食べたら運動しなきゃ,"If you eat it, you must exercise",0.2,0.6310801
"Here it comes, Hibiki!",いくよ　響→,Sounds →,0.0,0.18482742
What's that supposed to mean?,何それ？ いくよ！,What that?I will go!,0.2727272727272727,0.18281405
Ah!  Sorry!,あッ　ごめん あッ,I'm sorry,0.2,0.37321132
"It's fine, yes.",えへへへ　平気です　はい,Ehen to go,0.0,0.19218609
Thanks.,ありがとう,Thank you,0.0,0.58388233
I'm really sorry about that.,本当に　ごめんなさいね,I'm really sorry,0.5714285714285714,0.78006077
How nice.  They both have have great figures.,いいなあ　２人ともスタイルがよくて,Good It is good with two people,0.0,0.3099037
I guess exercise really is important.,運動は　やっぱり大事なんだね,The exercise is still important,0.3333333333333333,0.6914455
I'll start doing that tomorrow too!,私も明日から　ちゃんとしよう,I will try properly from tomorrow,0.16666666666666666,0.48967895
But why are you starting a diet again?,でも　何でまた　ダイエット復活なの？→,But what is the diet revival again?→,0.2857142857142857,0.6957042
Didn't you say you were done with them?,この前は　もういいって 言ってたじゃない,I did not say that I already had this,0.13333333333333333,0.25301367
There's no real... reason.,特に理由は…　ないよ,The reason is not particularly ...,0.18181818181818185,0.51445884
Junichi has nothing to do with this.,純一は全然関係ないよ,Net one thing is not related,0.0,0.11781329
"Yeah, right.  It's written all over your face.",はいはい　バレバレだよ,Yes Yes Yes Barbare,0.0,0.059199043
You're wrong...,違うもん…,Different ...,0.2,0.4412812
I'll slim down enough to fit through that hole!,穴　通れるくらいスマートになる,Become smart enough to go through,0.21428571428571427,0.17573406
"If you weren't so late all the time, you wouldn't need that hole-",遅刻しなければ 穴を通らなくてもいい,If you don't have to go through the hole,0.2,0.65671194
"Oh, I know!",あッ　ひらめいた,I'm sorry,0.14285714285714285,0.35604358
So which girl did you like best?,ちなみに どの子が　お気に入りだ？,"By the way, what kind of child is your favorite?",0.05263157894736842,0.38685936
That girl in the back with the pink bikini and short hair.,そうだな～　後ろの方に載ってた ピンクのビキニを着た,Yes ~ I arrived at the pink bikini on the back,0.2222222222222222,0.5845799
"Keep your voice down, boss.",シーッ！　声がデカイぞ　大将,Sea!Voice is big General,0.08333333333333333,0.4057422
Neither of you have submitted your Japanese History assignments yet.,２人とも　日本史のプリント まだよね？,"Two people are printed by Japanese history, right?",0.10526315789473684,0.5970313
Can you turn them in if you're done with them?,もうできているなら 出してくれるかな,Can I get it if I'm making it already,0.125,0.11809776
Yeah!  Right away!,あッ　ああ すぐ出すよ,It will come out soon,0.0,0.21226065
"Okay, I'd appreciate it.",じゃあ　お願いね,Well then please,0.0,0.3768045
These are for me?,くれるのか？ うん,Will it be?Yes,0.1111111111111111,0.11470357
"Well, they're kinda like a thank-you for this morning.",あのね　今朝のお礼っていうか私…,I say that I'm sorry this morning ...,0.1111111111111111,0.5009838
Right.  And I've heard you say that so many times that I'll probably go deaf.,て　そのセリフ　もう耳に タコが　できるほど聞いてるぞ,I have heard that the octopus can be heard anymore,0.13636363636363635,0.34841868
I'm gonna try really hard this time!,今回は　ちゃんと 頑張るつもりなんだよ～,I'm going to work hard this time,0.38461538461538464,0.68391466
"Yeah, right. so you're giving me the treats you originally made for yourself?",はいはい　で　本当は自分で 食べるつもりだったおやつを,"Yes yes, really a snack I was going to eat by myself",0.037037037037037035,0.42049718
"They're a little beat up from this morning, but I'm pretty confident about them.",今朝のことで ちょっと潰れちゃってるけど,I'm crushed for a while this morning,0.2380952380952381,0.3675781
Sakurai and I were talking about doing some sports together.,桜井と何か スポーツしようって話してたんだけど,I was talking about Sakurai and something sport,0.35714285714285715,0.8866666
"Boss, you're coming too, right?",大将も　いいだろう？ えっと…,General would be good?Well ...,0.07142857142857142,0.18609415
"Well, see you on Sunday!",香苗ちゃん？ じゃッ　日曜日,Kana-san?Sunday,0.1111111111111111,0.4055875
Why'd you ask them to go skating?,急にスケートって　どういうこと？,Suddenly what does it mean?,0.07142857142857142,0.1686733
"It's fine, it's fine.",いいから　いいから,Because it is good,0.125,0.22814445
oolong tea,はあ…,...,0.0,0.09565266
"Ah, I'm sorry!",ああ　ごめんなさい いえ→,Oh sorry no →,0.1111111111111111,0.2975654
That has a pretty addictive flavor.,それ　ちょっと 病みつきになる味だよね,It's a taste that gets sick,0.16666666666666666,0.5559398
But it has a lot of calories.,でもカロリー高そう 太っちゃうかなあ,But karorie is high and it will be fat,0.13333333333333333,0.36191103
I think you'll be fine.,大丈夫じゃない？,I'm not okay?,0.09090909090909093,0.39782938
"PERSISTENCE YIELDS RESULTS senpai, there's something i want to tell you-",先輩　ちょっと　お話が,Seniors a little story,0.0,0.042935982
"Ah, it's the choux crème from the bakery at the train station!",あッ　駅前のパティスリーのシュークリーム！,Cream cream of Patisserie in front of the station!,0.16666666666666666,0.51521313
That's Dazzling Custard.,めくるめくカスタード　真実のチョコレート,Chocolate of Me-Rummed Custard Truth,0.1111111111111111,0.37059075
Wow!  They look delicious.,すご～い　おいしそうですね,It looks delicious,0.125,0.59320056
"Nobody's gonna take them from you, so eat as much as you want.",誰も取ったりしないから 好きな方から食べなよ,I do not eat anyone because I like it,0.045454545454545456,0.52461475
It's delicious!,おいしい,delicious,0.25,0.66027033
"Rihocchi, do you know the etymology for the word ""choux crème""?",りほっち　シュークリームの語源って 知ってるかい？,Do you know the origin of the word cream?,0.35294117647058826,0.6378198
"In ancient Hebrew, ""shook"" stood for ""love"", and ""lim"" meant ""charm"".",古代ヘブライ語で 「シューク」は「愛」,"""Shuc"" in the ancient Hebrew is ""love""",0.3333333333333333,0.61148113
You'd do well to remember that.,・覚えておくといい はい,· I hope to remember,0.18181818181818185,0.45703733
"Rihocchi, your cheek.",りほっち　ほっぺほっぺ えッ？,Rho ほ ほ?,0.0,0.24558426
Not that side.  Your right cheek.,違う違う　右側 あッ,Different right side,0.25,0.6795309
