en_text,jp_text,google_translated,score
Little Bear Sae-chan ready... start!,用意　スタート！,Preparation Start!,0.25
What a bear y situation...,クマったなあ,I'm sorry,0.0
"A-As a bear about to go into hibernation, I-I have to make sure I eat my fill before then.",あッ　と　冬眠前のクマさんは,Mr. Kuma before the hibernation,0.08695652173913043
It's too late to play dead now.,あッ　ダメですよ 今ごろ死んだふりしても,It is good! Even if it is dead now,0.21428571428571427
"How is it, director?",監督　どうでした？,How was the supervision?,0.2222222222222222
You're right. I was thinking the same thing.,そうですね 私もそう思いました,That's right I also thought so,0.13333333333333333
...seems to be growing ever stronger even after ten months had passed.,〈どうやら あれから１０ヵ月たった今も〉,<Now that it was 10 months since then>,0.043478260869565216
Nakata Sae 1st Half,〈以前は自販機だった 食堂のおばさん達も〉,"<Previously, the aunt of the cafeteria who was a vending machine also>",0.0
Doubt,〈以前は自販機だった 食堂のおばさん達も〉,"<Previously, the aunt of the cafeteria who was a vending machine also>",0.0
"The cafeteria ladies used to look like vending machines to her, but they're normal cafeteria ladies to her now.",〈以前は自販機だった 食堂のおばさん達も〉,"<Previously, the aunt of the cafeteria who was a vending machine also>",0.14814814814814814
What's the recommendation for today?,今日のおすすめは何ですか？,What is the recommendation today?,0.625
Eat your fill! she's now able to converse with anyone naturally...,〈誰とでも　こんなふうに自然な 会話ができるようにもなり…〉,<It will be able to talk about natural conversations like anyone ...>,0.16666666666666666
...and she's even become friends with the puppy she used to be so scared of.,〈あんなに怖がっていた こいぬとも仲良くなった〉,<I'm getting along well because I was so scared>,0.07692307692307693
"There, there... he really likes you now.",よし　よし… すっかり仲良しになったんだね,Yoshidoshi ... I was completely good friends,0.06666666666666667
"Yes, we even got a dog at my house recently, too.",はい　最近　ウチでも イヌを飼い始めたんですよ,Yes I started keeping dogs recently,0.11764705882352941
I'm still really scared of big dogs.,大きいイヌは やっぱり　まだダメです,Big dog is still no good,0.15384615384615385
...was what the boy was thinking.,〈と　少年は思っているのだった〉,<And boy thinking something>,0.18181818181818182
Could I please have some water?,≪すみません　お水ください はーい　ただ今　お持ちします,"«Excuse me Water Water, I'll have now",0.23076923076923078
"It's been so long since I visited, but Sae-chan sure is popular here as well.",久しぶりに来てみたけど,I came after a long time,0.09090909090909091
Here as well?,ここでもって？,Here too?,0.4
"Wow, really?",へえ　そうなのか？ もう　お気楽だね,Is it not?It's already easy,0.1
"I mean, didn't you and Sae-chan participate in the Best Couple contest at the Founder's Festival last year?",ほら　去年　にぃにと紗江ちゃん,Little year,0.045454545454545456
Sae-chan was so pretty and adorable!,≪あのときの紗江ちゃん きれいで　かわいかったもん,«Aoi River's pretty and cute,0.16666666666666666
"Because of that, she's become really popular among her classmates, underclassmen and upperclassmen!",≪あれが　きっかけで 今じゃ　同級生は　もちろん→,"«Now the classmate is, of course →",0.08695652173913043
