en_text,jp_text,google_translated,score,semantic_score
"Day after day, I awake in a daze,",目覚めては繰り返す,Wake up and repeat,0.0,0.47281185
mezamete ha kurikaesu nemui asa ha,目覚めては繰り返す,Wake up and repeat,0.0,0.12756965
目覚めては繰り返す　眠い朝は,目覚めては繰り返す,Wake up and repeat,0.0,0.03867511
And fasten my collar tightly.,襟のタイをきつく締め,Tighten the color of the collar,0.1,0.6141855
eri no tai wo kitsuku shime,襟のタイをきつく締め,Tighten the color of the collar,0.0,0.068978116
襟のタイをきつく締め,襟のタイをきつく締め,Tighten the color of the collar,0.0,0.06276955
"As I walk through the door to my classroom,",教室のドアくぐると,If you go to the door of the classroom,0.2857142857142857,0.7585136
kyoushitsu no doa kuguru to hon no sukoshi,教室のドアくぐると,If you go to the door of the classroom,0.07142857142857142,0.15308887
教室のドアくぐるとほんの少し,教室のドアくぐると,If you go to the door of the classroom,0.0,-0.015822263
"I have a feeling it's on its way,",もう来る気がした,I felt that I came,0.07692307692307693,0.2592156
mou kuru ki ga shita,もう来る気がした,I felt that I came,0.0,0.12535504
もう来る気がした,もう来る気がした,I felt that I came,0.0,0.11692939
"As the millions of stars began to disappear,",幾億の星が消え去ってくのを,Many million stars disappear,0.18181818181818185,0.8413892
ikuoku no hoshi ga kiesatteku no wo,幾億の星が消え去ってくのを,Many million stars disappear,0.0,0.062214613
幾億の星が消え去ってくのを,幾億の星が消え去ってくのを,Many million stars disappear,0.0,0.123297624
見送った,見送った 手を振った,I wired the hand-off hand,0.0,0.023447474
"I sent them on their way,",見送った 手を振った,I wired the hand-off hand,0.09090909090909093,0.23877005
miokutta,見送った 手を振った,I wired the hand-off hand,0.0,0.029078878
"Whispering, ""Congratulations"".",良かったねと,It was good,0.0,0.18837929
"yokatta ne, to",良かったねと,It was good,0.0,0.14165759
よかったね、と,良かったねと,It was good,0.0,0.023587365
"Wow, we're finally free.",かぁー やっと解放された,Kaa I finally released,0.1,0.15761991
"Oh, that's good, mate.",あんなかってぇ床で寝かされて首いったー,It's been able to go to bed in the bed,0.06666666666666668,0.16053422
I thought this school was supposed to become our paradise if we tarnished Tenshi's name.,天使を失墜させればワタシたちの楽園となるんじゃなかったんですか,"If you lost an angel, didn't you become a paradise of Wati?",0.10714285714285714,0.26520228
"They're NPCs, so you can't.",一般生徒だからダメよ,Because it is a general student,0.0,0.11128055
