en_text,jp_text,google_translated,score,semantic_score
And fear not the evil shadows,凶キ影ヲ恐レルナカレ,Friend crushing ヲ レ レ レ,0.0,0.050039712
Born from a dusky coffin,産み堕とされた人形のように,Like a doll to be produced,0.1,0.31678912
And a heart soothed by darkness,心は闇にあやされ育つ,The mind is grown and grown in darkness,0.18181818181818185,0.50065523
My nails steeped in fresh blood,つなぐ手の冷たさに,To the coldness of the hand,0.0,0.19035052
"Now, let me see you frown",眉寄せてごらんよ,Let's take care,0.1,0.26284423
Let us destroy one another,壊し合おう先に続く 謎に満ちる結末を,Bringing the mystery that follows,0.0,0.15840007
Before we rot away in emptiness,羽も脚ももがれたまま,The feathers and legs remained,0.0,0.24757089
With our wings and legs ripped away,虚空のなか朽ち果てるより,Rather than decorpiration,0.0,0.16512942
There is another me,もうひとり僕がいて,Another one,0.2,0.53953314
Who loves someone so much it hurts,誰かを痛いほど愛しているんだ,Someone loves as it hurts,0.5,0.8338982
"I wonder, which one is the illusion?",さぁどっちが幻だろうね,That's a vision,0.0,0.36372027
Was anyone hurt?,怪我した者はいないな,There is no injury,0.0,0.31640226
Are you all right?,榊原くん 君は,Kuwahara-kun,0.0,0.05794022
I'm at my wit's end.,もう疲れた,I've got tired,0.09090909090909093,0.29061565
I'm so tired.,疲れました,I'm tired,0.6,0.78648245
I don't know what to do.,どうしたらいいのか 分からないんです,I do not know what to do,0.625,0.8089616
I leave the rest to you.,後は よろしくお願いします,Thank you later,0.1111111111111111,0.27501315
That troubled me.,あれが気にかかって 仕方なかったんだ,I could not help but care,0.0,0.1585741
Sorry.,すまんね,Cum,0.0,0.14672329
Mr. Kubodera was a bachelor who still lived with his mother.,ずっと母親と二人暮らしでね,I have been living with my mother and two people,0.1,0.25312087
"She was well on in years,",母親はもう高齢で,My mother is already an elderly,0.0,0.2621081
"and had been bedridden for some time, due to a serious illness.",重病をお患って寝たきりの生活が長いこと続いていたらしんだが,It would be nice if the life of sleeping with severe diseases continues to be long,0.03571428571428571,0.47729486
They found her dead in her bed.,その母親だがね,That mothers,0.0,0.28794277
She had clearly been murdered.,状況的には明らかに他殺,Clearly another kill,0.125,0.41828442
The stress of caring for her... the class 3 calamity...,介護の疲れ 三組の災厄,Tired of nursing care Three pairs of disasters,0.0625,0.45385078
Perhaps he felt so trapped by it all,のっぴきならない精神状態に追い込まれて,I was driven into a mental state that is not,0.0,0.2647381
that it drove him to kill his own mother.,母親を危めてしまった,I dangered my mother,0.07692307692307693,0.49865732
And then he killed himself in front of his students.,そして自らの教え子の前で自殺した,And I committed suicide in front of my teaching girl,0.2352941176470588,0.48242235
Why would he make such extreme decisions?,どう思う この常軌を逸した選択を,What I think,0.0,0.059349727
You think this was a result of the phenomenon?,これも「現象」の結果だと,"This is also the result of ""phenomenon""",0.35714285714285715,0.715462
So he was drawn into death by otherwise unlikely means?,だから 普通なら起こりえない形で,So in a form that can not occur normally,0.05263157894736842,0.26036668
Could there be any other explanation?,そう考えるのが妥当だろ,It is reasonable to think so,0.0,0.1831201
The calamity hasn't been stopped.,災厄は止まらない,Disaster does not stop,0.0,0.6012005
"Until recently, you were...",ついこの間までさあ,From this time,0.0,0.33327174
"Yeah, and it was breaking my heart!",そりゃあ心が痛んださあ,It hurts her,0.09090909090909093,0.16938436
"You know the whole story now, right?",事情はもう全部知ってんだろう,The circumstances will know everything anymore,0.15384615384615385,0.38494053
So you get where I'm coming from?,だったら 察してくれよな,"If so, please consider",0.07692307692307693,0.076656416
"Yes, I understand perfectly well.",十分に察してるよ,I'm looking well,0.2222222222222222,0.19812807
"What about you, Misaki? Feel like a weight's been lifted?",見崎も肩の荷が下りたって感じか,Seisaki also feels down the shoulder load,0.0,0.46436426
I didn't really feel a weight to begin with.,さあ もともと重くなんてなかったし,Sometimes I did not go heavy,0.13333333333333333,0.6207982
You are seriously weird.,やっぱお前変わってんな,After all it has changed before,0.0,0.046642907
"Jeez, what's your problem?",何だよ お前いきなり,What is it?,0.2222222222222222,0.034053493
"You both might exist again,",「いないもの」は終わったけど,"""No things"" are over",0.0,0.10950924
It's your fault.,「あなたたちのせいよ」,"""You're a little""",0.0,0.16584969
H... Hey!,お おい,Hoping,0.0,0.07216255
"There's no way you'll be considered completely innocent,",お互いまったく責任が無いとはいえないし,It can not be said that there is no responsibility for each other,0.14285714285714285,0.29769552
"and I'm sure I'll be accused of incompetence, as well.",私も「無能」の謗りを受けても仕方なし,"I can not help even receive ""incompetent""",0.047619047619047616,0.49603006
Where do you stand?,お前はどうなんだよ,What is you,0.14285714285714285,0.29231137
"I can't blame Kouichi,",恒一くんのせいにはできない,I can not do it because of Natsu-kun,0.07692307692307693,0.25078428
are only just beginning.,まだまだこれからよ,From now on,0.0,0.23732401
"I wonder if anyone will go into hiding now, until summer break?",このまま夏休みまで出て来ない人もいるのかな,Some people don't come out until summer vacation,0.09523809523809523,0.4698409
"You think? yes, it happens every year.",そう 毎年いるらしいから,It seems that there is a year,0.13333333333333333,0.43865162
There are always people who leave Yomiyama for summer break.,夏休みに夜見山から逃げ出す人たち,People who escape from Night Mountain in summer vacation,0.17647058823529413,0.43081617
"But you really are weird, Misaki.",にしても見崎 やっぱお前って変わってんな,Even if it is,0.0,0.15113135
"It could very well be you, you know.",当の勅使河原くんがそうかもしれないよ,This special educawa-kun may be so,0.07142857142857142,0.33096522
I have no memories of dying!,いやいやいや 死んだなんて心当たりはこれっぽっちもねえし,No kindness and death,0.1,0.37869266
Thanks.,おかげさまで,Thanks to you,0.25,0.47875294
but considering what she's up against...,戦いを挑む相手がな,There is a partner to challenge the battle,0.0,0.22246997
I pity her.,不憫でならんよ,I can not get involved,0.125,0.091626726
"By the way, Ms. Mikami dropped by today too.",ああ そういえば 今日は三神先生も来られてね,"Oh, for example, Today's Today is also coming",0.1176470588235294,0.19023578
She knows my history here.,私の経歴については彼女も知ってるからね,Because she also knows about my career,0.3,0.615086
There was something she wanted to formally discuss.,それで改まって相談をと,So I changed and consult with,0.0,0.16783968
And what brings you two here?,で 君たちは,And you,0.2857142857142857,0.4948818
"I wanted to ask about fifteen years ago, when the calamity stopped midyear.",十五年前 途中で止まったという話を聞いたんです,I heard that I stopped on the way 15 years ago,0.25,0.35505807
That was the one time in the past twenty-five years,この二十五年間で唯一途中で止まった年だ,It is the only year who stopped in the middle of these twenty-five years,0.2222222222222222,0.51356924
"April 12, sister, Kyouko, illness July 23, sister, Ikumi, illness     June 6, accident",その年度の犠牲者は,The victims of that year are,0.0,0.34214845
In July.,七月です,It is July,0.2,0.7319338
"Yes, and look at the date of the August deaths.",そ 八月の日付けを見てご覧,Look at the date of August,0.5454545454545454,0.58201975
That class had just left for a class trip on August 8.,実は その年の三組は八月八日から合宿を行っててね,"Actually, the three sets of that year are training camps from August 8 (",0.125,0.49509466
I think something may have happened during summer break...,確か夏休み何かが,Certainly summer vacation something,0.16666666666666666,0.45967725
"So, two students died in accidents on that trip?",その合宿で二人が事故に,Two people in the camp camp,0.14285714285714285,0.2772892
And something happened on that trip that stopped the calamity?,そして その合宿で何かがあって,And there is something in the training camp,0.2,0.1719817
"Notice that no one is listed as ""deceased"" on that page.",おそらく そのページ 「死者」の名前が書かれてないだろう,"Perhaps the name of the page ""dead"" will not be written",0.13636363636363635,0.70140034
Deceased: it never became clear who the dead person was that year.,誰が「死者」だったのか その年は確認できなかったんだよ,"Who could not confirm that year if it was ""dead""",0.3,0.713881
I'm not certain.,はっきりとは分からない,I do not know clearly,0.25,0.4661734
But I do know that they visited the Yomiyama Shrine.,ただ合宿中に夜見山神社へお参りに行ったらしい,It seems that I went to Night Mountain Shrine during the training camp,0.2,0.47498277
"A very old shrine, located halfway up Mt. Yomiyama.",「夜見山」という山の中腹にある,"It is in the middle of the mountain called ""Night Mountain""",0.0,0.41106424
Their lodge was at the foot of that mountain.,合宿施設もその山のふもとでよ,The training camp facility is also the foot of the mountain,0.26666666666666666,0.48537084
"So, maybe if we visit the shrine...",じゃ その神社へお参りに行けば,Then if you go to the shrine,0.2307692307692308,0.7933938
"Naturally, people went back to it in years when the calamity occurred,",当然 その後の「ある年」にお参りに行ったようだが,"Naturally, it seems to have been visited to the next ""one year""",0.2272727272727273,0.3247529
but it had no effect.,効果は しかし なかった,There was no effect,0.25,0.7895714
So the shrine had nothing to do with it?,意味は無かった,There was no meaning,0.0,0.3437289
"It could be that going there in a large group, in early August, was effective.",八月上旬に大勢で行ったから効果があったの かもしれない,It may have been effective because I went in early August,0.2272727272727273,0.71520257
This is what Ms. Mikami came here to discuss with me today.,実は今日 三神先生が来られた時もこの話になってね,"In fact, it is also a story when Mr. Mami Today is coming today",0.08333333333333333,0.41827095
July 17,急な話ですが,It is a steep story,0.0,0.09355037
"Please prioritize this event,",これは大切な行事だと思ってください,I think this is an important event,0.2,0.60404235
"and plan to participate, if at all possible.",都合のつく人はできるだけ参加してください,Please participate as much as possible people,0.14285714285714285,0.58079934
You will receive additional details in the coming days.,詳細については近日中に皆さんにプリントをお送りします,We will send you a print to your details about the details,0.2352941176470588,0.5326957
Who is dead?,「死者」は誰,"Who is ""dead""",0.5,0.8352108
The dead one... ...is you.,「死者」は あなた,"""Dead"" is you",0.3333333333333333,0.7285379
"Yeah, everyone's doing well.",皆元気にしてるよ,Everyone is fine,0.1111111111111111,0.6152057
I'm pretty sure she showed me her graduation album when we got engaged.,卒業アルバムは確か 婚約した頃に見せてくれたな,Graduation album was surely showing me when I was engaged,0.3333333333333333,0.8624165
after their graduation ceremony?,集合写真 何でまた,Collective photo what,0.0,0.10444297
"Well, I've heard that it was kind of weird.",その ちょっと変な写真だったって,It was a bit strange picture,0.125,0.41507685
"Like, a ghost photo.",えっと 心霊写真みたいな,It looks like a spiritual photo,0.3333333333333333,0.5837135
Where did you hear a silly story like that?,どこで仕入れて来たんだ そんなような話,Where did you buy it?,0.3333333333333333,0.1721665
"For one thing, ghost photos are just...",だいたいお前 心霊写真なんてものはだな,I want you to do something about your spirit photo,0.0,0.46317405
"I might have heard a story like that, a long time ago. something about a creepy photo.",そういえば昔 そんな話を聞いたっけなあ,"Speaking of which, I wanted to hear that story",0.17391304347826084,0.2926545
"No, nothing.",あっ ないない ちょっと退屈なだけ,There is no boring that is not good,0.1,0.066672795
"You know, Ritsuko was a very special lady.",理津子はな 本当に魅力的な人だったぞ,Riewsuko was a really attractive person,0.14285714285714285,0.7577512
My feelings for her haven't changed a bit.,私のあいつに対する気持ちは今でもまったく変わってない,My feelings for me are still unchanged,0.21428571428571427,0.5913744
And that's why you're my...,だから 恒一 お前は私にとって,So I am for me,0.0,0.2997816
"Yeah, I know where that is, but...",そのお店の場所は知ってるけどさあ,I know the place of the shop but,0.2307692307692308,0.4272381
You got a date with Mei?,もしかして 鳴ちゃんとデートか,Maybe I wonder,0.0,0.14507747
Well? What is it you want to talk about?,で 何の話,What story,0.09090909090909093,0.34795868
"If you've got a date, just bring Mei along.",デートなら 彼女も連れて来いよ,"If it is a date, she will come to you",0.2777777777777778,0.5086066
"All right, I'll be there.",じゃあ 行くよ,Then go,0.0,0.36079094
"Only because he said it ""involves the whole class.""",そっ クラスの問題だっていうから,Because it is a class of class,0.2,0.53123724
I wouldn't go anywhere at his invitation otherwise.,じゃなきゃ あんな男に呼び出されて 出て来るわけない,"If so, you can not come to such a man and come out",0.0,0.4524322
Teshigawara filled me in on what happened fifteen years ago.,勅使河原から大体聞いた,I heard about it from Teshigawahara,0.0,0.6337553
"And about your mom, too.",その 恒一くんのお母さんのことも,The mother of that,0.0,0.34124738
"This is my classmate, Kouichi Sakakibara.",ええ クラスメートの榊原恒一くんです,Yeah Classmate's Kuwahara Nori,0.08333333333333333,0.58874094
"Oh, that must make you Yuuya's friend, too.",あら じゃあ 優矢くんのお友達ね,Oh yeah yo Yaya-kun's friend,0.21428571428571427,0.5642505
