en_text,jp_text,google_translated,score
Why'd he get mad at me?,(立花)立花は どうして,Why is Tachibana,0.1
Yes. In other words...,こんなところに いるのだろうか,Are you in such a place,0.09090909090909091
"Of course, people mistake me for a guy \Nall the time, anyway. I'm used to this.","(松岡)起きろ 蛍
ｻﾊﾞｲﾊﾞﾙｹﾞｰﾑしに出かけっぞ！","startup firefly
I'm going out to the survival game!",0.15384615384615385
Huh?,定例会？ 何ですかそれ,Regular meeting?What is it,0.14285714285714285
"No, I mean... I'm a man, \Nbut I'm not someone suspicious.","<クソッ 思い返すと
みるみる怒りが…>","<When I remember
Seeing anger to see ...>",0.09523809523809523
Don't worry about it.,<それが４時間ほど前のこと>,<It is about 4 hours ago>,0.16666666666666666
This man is a true pervert!,"サバゲーのイベントだ！
はあ…","It is a savage event!
...",0.2727272727272727
And what kind of job is that?!,"おッ あの子かわいい
おいッ！","Ko of the child is cute
Oh!",0.21428571428571427
"I stand for good, but he called me a pervert...","立花 やるなんて ひと言も…
おい そんなこと言っていいのか？","A word that I will do Tachibana ...
How can I say that she saying that?",0.13043478260869565
I want to die...,<いつか本気で断罪してやる>,<Someday I will try to get sincomized>,0.16666666666666666
Let's hurry. Our third is already fighting.,"そッ 今日は
三人で一組のチーム戦なんだ","Today is
Three people team battle",0.07142857142857142
Our third?,"今日 俺とお前は仲間なんだからさ
仲間？","Today I and you are friends
Buddy?",0.1
Hit!,"すみません お手数おかけします
って コラーッ！","I'm sorry I'm sorry
Color!",0.16666666666666666
Wow...,"<三人組… ということは
もう一人いるのか？>","<Three-person set ...
Are you another one?>",0.09090909090909091
Who is he?,<何で 俺 怒られたんだ？>,<Why did I get angry?>,0.09090909090909091
It's the pervert from the restroom!,"<そう 立花は
れっきとした女子なのだ>","<Each flower is
It's a good girl",0.14285714285714285
I beat them all.,"何 勝手に脱がそうと
してるんですかッ この変態！","Come on the way
I'm doing this motion.",0.15384615384615385
I'm in that kind of mood.,<そう つまり>,<That ie>,0.09090909090909091
