en_text,jp_text,google_translated,score,semantic_score
"The era of Parsis, December 320 years.",パルス暦３２０年１２月,Pulse calendar December 320,0.18181818181818185,0.3844382
"Arslan reached Peshavarda, the fortress on the border,",国境の城塞　ペシャワールに入城を果たしたアルスラーンの前に,"Before the Arran, who played the castle on the border castle Peshawar",0.2857142857142857,0.38449967
"where a man in a silver mask,",突如　銀仮面の男　ヒルメスが襲いかかった,Suddenly Silver Masked Man Hilmes attacked,0.18181818181818185,0.6126365
The sword of Hermes Arslan rescued General Bachmann.,ヒルメスの凶刃からアルスラーンを守った老将バフマン,General General General General Generated Buffman who protected Arslan from Hilmeth,0.13333333333333333,0.5141773
But his last words were discouraged Arslan.,だが　彼の今際の言葉はアルスラーンの心に大きな影を落とした,But his broad words dropped a big shadow in the heart of Arslan,0.2352941176470588,0.7558367
"And in the midst of all this was reported,",そんななか　東方の大国　シンドゥラ侵攻の急報が伝えられた,Such a steep report of the Dongrai invasion of such an eastern country was transmitted,0.15,0.27493703
I will not let this pass me Gadevi.,ガーデーヴィめに先を越されてなるものか,Is it going to be ahead of Gardevice?,0.0,0.16352177
In sindoor history will forever be engraved one name ...,シンドゥラ国の歴史に不滅の名を刻むのは,It is noticed to be an immortal name in the history of Sindra,0.21052631578947367,0.6424789
The army has invaded sindoor,侵攻してきたシンドゥラ軍の数は　ざっと見積もって５万,"The number of syndrome forces who have been invaded is 50,000",0.14285714285714285,0.39178562
They had already crossed the river on the border,すでに国境の川を越え　パルス領内に入っています,It is already in the pulse area over the border river,0.2857142857142857,0.49395138
"and set foot on the land Parsis. yeah, hour by hour is not easier.",まったく…　次から次へと厄介事ばかり降りかかってくるものだ,"At all ... From the next to the next, it will come off only the annoyance",0.07407407407407407,0.19190866
Prince.,ああ　すまない,Oh no,0.0,0.22921744
Please be a good king ...,よい王とおなりくだされ…,It is a good king ...,0.5,0.7082228
"Before we go to Ecbatana,",エクバターナへ進軍する前に　まずは降りかかる火の粉を払わねばならぬ,"Before I advance to Ekulatah, I would like to pay for a fire powder",0.1875,0.28153646
"The second prince of the kingdom sindoor, Rajendra",おお　冷たい　冷たい,Cold cold,0.0,0.07067289
"Clear. This is what is called ""snow.""",なるほど　これが雪というものか,I wonder if this is snow,0.25,0.50646913
"As to the situation, then this also applies to our kingdom.",混乱というなら　我が国とてそうでありましょう,"If it is confusing, let's be a country",0.047619047619047616,0.24340223
"Now, when there was our ruler, His Majesty King II of Karikaly,",国王カリカーラ二世陛下がお倒れになった今,King Carrica III now has been down,0.1111111111111111,0.18615685
Prince missing in sindoor ...,殿下がシンドゥラを留守にされては…,The Hase is away from Sindura ...,0.09090909090909093,0.3128284
On it there is no need to worry.,ヤツのことなら　気にする必要はない,There is no need to worry about the guy,0.5,0.66162413
What other first prince?,何が第一王子だ,What is the first prince,0.42857142857142855,0.9029118
He was born just a month earlier.,たかが　ひと月ほど早く生まれただけだろう,It will only be born as early as one month,0.13333333333333333,0.69536257
"According to their abilities and skills, no matter what, and the throne is more suitable for me.",才能も器量も　どう考えても　俺の方が王としてふさわしい,"Even if the talent and the volume are also considered, I am suitable as a king",0.13333333333333333,0.59376657
"So, how about take the head of the Crown Prince Parsis",さあ　パルスの王太子の首を手土産に　王都に凱旋といこうか,Let's take the neck of the pulsed pulsed king of the kingdom to the kingdom,0.16666666666666666,0.46352896
"Prince, we are ready to go into battle.",殿下　出撃準備が整いました,Preparation for the Hall,0.0,0.2454708
"I, too, can do something.",私にも何かできることがあるはずだろう,I should have something to do for me,0.25,0.47426838
You are now manages several tens of thousands of people in peshavarde.,今やあなたはこのペシャワールの数万の兵を束ねる身,Now you are bundling tens of thousands of soldiers of this Peshawar,0.375,0.30423903
You do not need to go out on the field every time.,いちいち御自ら戦場に出られる必要はありません,There is no need to be able to go out to the battlefield one by one,0.2380952380952381,0.34775347
Do as you would be easier.,分かった　お主たちのやりやすいようにやってくれ,Do it like the main of the main other,0.07692307692307693,0.16125302
Yeah. I yesterday and thought that it is something disturbing.,まったく　昨日のことを気にされているのかと思えば,If you think that it is worrying about yesterday at all,0.2222222222222222,0.3204759
"Well, I'm sure of it, he would not think of.",まあ　それを考えたくもないというのもあろうがな,Well I do not want to think about it,0.3125,0.46030375
"Said, breaking a promise, if it is to just sit and wait, huh?",ただ座っているだけでは皆に申し訳が立たぬ…か,"Just sitting alone, I apologize for everyone ...",0.09090909090909093,0.3335196
I can not believe that this is the word army commander.,一軍の将の言葉とは思えんな,I think it is the word of the war margin,0.2352941176470588,0.4031594
He has a very kind soul.,本当に心優しいお方だ,It is a really kind person,0.18181818181818185,0.5556914
"But a little kindness, to become king.",だが　ただ優しいだけでは王にはなれぬ,But just gentle is not a king,0.2307692307692308,0.5759243
You think?,そうかな,I do not think so,0.14285714285714285,0.38031048
"It is because he is,",ああいうお方だからこそ　我々も兵たちも信じてついていける,That's why we can also believe our soldiers,0.0,0.22175169
