en_text,jp_text,google_translated,score
"Hi, everybody! It's me, Kunudon!",やあ　みんな　くぬどんだよ,"Yo, everyone is Numan",0.08333333333333333
A miserable future as a loser awaits the human garbage who can't reach the bar!,結果を出せないクズは　人生の落後者として惨めな未来が待ってるよ,Kuzu who can not give out the result is a miserable future as a dropping person of life,0.23076923076923078
They'll wind up in the gutter!,野垂れ死にだー,Inflimental death,0.0
"I wonder how our very own garbage class, the E Class, will do?",クズ代表　Ｅ組のみんなは大丈夫かな,Everyone of the Kuz representative E group is okay,0.09523809523809523
"Terribly, of course! Yay!",どうせ駄目だ,It is useless,0.0
"You got the basics down cold over the past semester, students.",皆さん　１学期の間に基礎ががっちりできてきました,Everybody has been found in the first semester,0.1111111111111111
"At this rate, I expect your grades on finals to shoot right up.",この分なら　期末の成績はジャンプアップが期待できます,If this minute is the end of the year can be expected to jump up,0.11538461538461539
"Korosensei, do you want us to make the top fifty this time too?",殺せんせー　期末もまた全員５０位以内を目標にするの,The death-year end is also the target of all the 50th place,0.041666666666666664
No. I was too focused on your total scores for midterms.,いいえ　先生はあのとき総合点ばかり気にしてました,"No teacher, when that time, I was careful not",0.15789473684210525
English i've come to believe that each student should have a goal better suited to themselves.,生徒それぞれに見合った目標を立てるべきかと思い至りまして,I think that it should be a goal that matches each student,0.3333333333333333
And that's why I've come up with the perfect target for our assassination classroom!,そこで　今回は　この暗殺教室にぴったしの目標を設定しました,So this time we set the goal of pit in this assassination classroom,0.11538461538461539
"D-Don't worry, Terasaka-kun!  You've got a shot at reaching it too!",だ…大丈夫　寺坂君にもチャンスがある目標ですから,... because it is a goal with a chance to okay Teraka,0.08333333333333333
"Now, then... As Shiro-san said, when I lose a tentacle, I also lose speed.",さて　前にシロさんが言ったとおり,"Well, I said that Shiro said",0.16666666666666666
"As you can see, even one tentacle makes a difference.",１本減っても影響は出ます,"Even if it decreases, the impact will come out",0.1
So that's how images are reduced!,分身って　そういう減り方するもの,Subheritance and how to reduce it,0.07692307692307693
and you get more child images with the parent images fretting about how to make ends meet.,子供の分身がさらに増え,Children's dividency further increases,0.0
This has taken a rather heartbreaking turn.,何か切ない話になってきた…,Something has become an incorrect story ...,0.07142857142857142
"Lose yet another,",さらに　１本,One more,0.0
leaving the mother image to raise the children on her own.,母親分身は女手一つで子供たちを養わなくてはいけません,Mother should not be able to feed children with one female hand,0.15
"Here's the deal: each student who receives a top score,  either overall or in an individual subject,",そこで　本題です,So this is the main subject,0.08333333333333333
will have the right to destroy one tentacle.,触手を１本破壊する権利を進呈します,We will provide the right to destroy one tentacle,0.6363636363636364
This is the final exam for our assassination classroom.,これが暗殺教室の期末テストです,This is the end of the fashion of the assassination class,0.2857142857142857
Can you get any closer to that ten-billion-yen prize?,賞金１００億に近づけるかどうかは,Whether to get close to 10 billion prizes,0.13333333333333333
"That, my students, is up to you.",皆さんの努力しだいなのです,Everybody's effort,0.0
This teacher...,この先生は　やる気にさせるのが本当にうまい,This teacher is really good to feel motivated,0.2222222222222222
The target is our teacher!,ターゲットオン,Target on,0.14285714285714285
potential takai,ターゲットオン,Target on,0.0
We've got a lot of potential,ターゲットオン,Target on,0.0
It's just that we're not trying,ほどめんどくさい,Slickly,0.0
dropout mentality,ドロップアウト　メンタリティー,Dropout mentality,1.0
We had that dropouts' mentality,ドロップアウト　メンタリティー,Dropout mentality,0.14285714285714285
总监...Maki,ドロップアウト　メンタリティー,Dropout mentality,0.0
台本...小伍,ドロップアウト　メンタリティー,Dropout mentality,0.0
hinichijou wo ryougashi,ドロップアウト　メンタリティー,Dropout mentality,0.0
No matter the unusual situation we were in,ドロップアウト　メンタリティー,Dropout mentality,0.0
bokura wa utatatanegao shite we pretended to doze off,僕らはうたたね顔して,We have a song,0.08333333333333333
While holding on to a hidden knife,ナイフ隠し持った,Hidden knife hidden,0.2857142857142857
翻译...兰樱,ナイフ隠し持った,Hidden knife hidden,0.0
校对...Maki,ナイフ隠し持った,Hidden knife hidden,0.0
翻译..兰樱,ナイフ隠し持った,Hidden knife hidden,0.0
校对..Maki,ナイフ隠し持った,Hidden knife hidden,0.0
"Stand, bow, lock on",ほっとけば　きっと誰か　やってくれると,If you're going to do someone,0.0
