en_text,jp_text,google_translated,score,semantic_score
"These are exams we each take separately,",本来　一人一人で受けるはずの試験,Testing that should be received alone,0.0,0.29773903
and yet we still feel like we're entering the same arena as many others:,なのに　いろんな人と同じ舞台に立っているのを感じる,I feel that I'm standing on the same stage as various people,0.17391304347826084,0.4053446
"those we fight beside,",一緒になって戦う者,Those who fight together,0.2857142857142857,0.67617655
"those we fight against,",敵となって戦う者,Those who fight as enemies,0.25,0.6265166
and the onlookers who cheer and jeer.,やじと声援を飛ばすギャラリー,Gallery flying softly cheering,0.0,0.24056992
We are assassins.,僕らは　暗殺者,We are assassin,0.4,0.9230622
But right now we're also gladiators.,おまけに　今はグラディエーター,Below is the Gradiator now,0.08333333333333333,0.203632
"Today, the bell signals the start of a battle.",戦いの鐘が…,Bell bell ...,0.09090909090909093,0.56086123
Tests are a good thing.,テストはいい,Test is good,0.125,0.8113917
The knowledge gained from a night of cramming,一夜漬けで得た知識など,Knowledge of one night pickled,0.3,0.6175238
will be all but forgotten once you hit adulthood.,大人になったら　ほとんど忘れてしまうだろう,"If you become an adult, you will almost forget",0.1176470588235294,0.7431076
all under the same set of rules...,その結果から得る経験こそ　宝物だ,The experience gained from the result is a treasure,0.06666666666666668,0.07169268
It's so much tougher than midterms!,中間より　ずっと,Mid begins,0.0,0.44321582
"At a combined junior-senior high prep school,",中高一貫の進学校では,In the middle school consistent advance,0.07692307692307693,0.5950704
it's not unusual for junior-high students to start  learning at a high-school level during third year.,中３から高校の範囲を習い始めることは珍しくない,It is not uncommon to start learning the range of high school from 3,0.1851851851851852,0.7759941
"The fastest-paced subjects at our school are English, math, and science.",特にペースが速いのは　うちでは　英　数　理,Especially the pace is fast in English,0.1111111111111111,0.50838244
But the same conditions apply to us all.,けど　学校内での条件は　皆同じだ,But everyone in the school is the same,0.2307692307692308,0.35915595
The target is our teacher!,ターゲットオン,Target on,0.14285714285714285,0.56246746
We've got a lot of potential,ターゲットオン,Target on,0.0,0.13776584
potential takai,ターゲットオン,Target on,0.0,0.12492952
It's just that we're not trying,ほどめんどくさい,Slickly,0.0,0.06918092
dropout mentality,ドロップアウト　メンタリティー,Dropout mentality,1.0,0.9999994
We had that dropouts' mentality,ドロップアウト　メンタリティー,Dropout mentality,0.14285714285714285,0.80421644
台本...小伍,ドロップアウト　メンタリティー,Dropout mentality,0.0,0.032755025
总监...Maki,ドロップアウト　メンタリティー,Dropout mentality,0.0,0.08570303
hinichijou wo ryougashi,ドロップアウト　メンタリティー,Dropout mentality,0.0,0.0021792117
No matter the unusual situation we were in,ドロップアウト　メンタリティー,Dropout mentality,0.0,0.15895699
We pretended to doze off bokura wa utatatanegao shite,僕らはうたたね顔して,We have a song,0.08333333333333333,0.20537911
While holding on to a hidden knife,ナイフ隠し持った,Hidden knife hidden,0.2857142857142857,0.73183554
翻译...兰樱,ナイフ隠し持った,Hidden knife hidden,0.0,0.088443525
校对...Maki,ナイフ隠し持った,Hidden knife hidden,0.0,0.08273356
校对..Maki,ナイフ隠し持った,Hidden knife hidden,0.0,0.08121508
翻译..兰樱,ナイフ隠し持った,Hidden knife hidden,0.0,0.076674186
"Stand, bow, lock on",ほっとけば　きっと誰か　やってくれると,If you're going to do someone,0.0,0.13259292
Thinking someone would deal with you eventually,ほっとけば　きっと誰か　やってくれると,If you're going to do someone,0.16666666666666666,0.39144582
时间轴...歪歪,ほっとけば　きっと誰か　やってくれると,If you're going to do someone,0.0,0.08362327
BDRip...VCB-Studio,ほっとけば　きっと誰か　やってくれると,If you're going to do someone,0.0,0.1769525
We didn't really feel invested in the job,どこか　他人事だった,Somewhere else,0.0,0.07386833
だけど but now,だけど,However,0.0,0.17275986
"Teacher, teach us, we're still growing up mister teacher oshiete mikansei na bokura",Mr.ティーチャー教えて　未完成の僕ら,MR. Teacher Tell me and not completed,0.05,0.4232005
Will we be able to shoot through an invincible target like you? anata to iu furaku no target uchinukeru deshou ka,あなたという不落のターゲット　撃抜けるでしょうか,Will you shoot a troubled target,0.18181818181818185,0.54055595
"Teacher, watch us, as we try to find a direction in life mister teacher mite ite mayoi ooki bokura",Mr.ティーチャー見ていて　迷い多き僕ら,MR. Teacher watching and lost Many,0.04166666666666666,0.5219546
We're studying our ass off for you more than anybody else,誰よりもあなたのために猛勉強中さ,Less than anyone else for you,0.2857142857142857,0.29365608
Only the bloodlust is our message to you,殺意だけが,Only killed,0.1111111111111111,0.22286685
We'll make our dreams come true on our own for real,あなたへのメッセージ,Message to you,0.0,0.19098388
本願　行くよ,レボリューション,Revolution,0.0,0.14372711
revolution,レボリューション,Revolution,1.0,1.0000001
A revolution!,レボリューション,Revolution,0.3333333333333333,0.84330004
So this is the last problem?,これがラスト問題か,Is this a laste problem?,0.4444444444444444,0.72753024
There's no way any junior-high level stuff  will trip me up now!,いまさら　中学レベルでつまずくかよ,Now it's not good at junior high school level,0.14285714285714285,0.57043356
That was a textbook answer!,嘘だろ　満点解答の見本だぞ,It's a lie It's a sample of full interest answers,0.07142857142857142,0.21896139
"Honestly, I wanted to give that cook a hundred slaps in the face.",力抜こうぜ　優等生,Wear,0.0,0.032481443
A perfect score? From the E Class?!,満点解答　Ｅ組ごときが,Full-scale answer E-set,0.0,0.452576
"I'm guessing you never read  Salinger's ""The Catcher in the Rye.""",たぶん　読んでないっしょ　サリンジャーの『ライ麦畑でつかまえて』,"Maybe I have not read it Sarring jar ""Care in the rye field""",0.3043478260869565,0.63225424
Leave it to a fine school to  come up with some fine questions.,さすが名門校　いい問題を作りますね,I will make a good deal,0.05882352941176471,0.1223151
They'll want the scoring standard to include how much a student reads and how adaptable she can be.,生徒の読書量や臨機応変さも採点基準に加える気でしょう,The student's reading amount and the change of the specifier will also be added to the scoring criteria,0.20689655172413796,0.7330177
They'll probably lose points if they don't answer in the same rough and concise colloquial style as the source text.,おそらくは　原文に準じた雑で簡潔な口語体で答えなければ減点になる,Perhaps it will decrease if you do not answer with a simple and brief word body according to the original text,0.16666666666666666,0.4756532
"Honestly, I wanted to give that cook a hundred slaps in the face.",やった,Hooray,0.0,0.16142404
"I guess you didn't have many  friends overseas, eh, Seo-kun?",外国でいい友達いなかったっしょ　瀬尾君,I didn't have a good friend in foreign countries,0.21052631578947367,0.6232946
Like an octopus who practically  pushed books onto you?,やたら　熱心に本を勧めるタコとかさ,An octopus that encourages the book enthusiastic,0.13333333333333333,0.6810041
I've always admired this kind of subtle rebellion.,先生　こういう繊細な反逆に憧れてましてね,Teacher Have you been in love with such delicate rebels,0.0,0.4210721
You simply must read it in both languages.,ぜひ２カ国語で読んでください,Please read in two languages by all means,0.21428571428571427,0.7075084
It ought to strike a real chord with you at your age.,君たちの年頃なら　キュンキュンくるはずです,It should be Kyun Cun if you are around you,0.1,0.1774973
Huh? I can't get its armor off!,何　装甲が剥がせない,What do you do not peel off,0.06666666666666668,0.43309203
But I know I memorized this!,ちゃんと暗記したはずなのに,I should have memorized properly,0.2222222222222222,0.65832645
Real science isn't any fun if it's just memorization.,本当の理科は　暗記だけじゃ面白くないです,The real science is not funny,0.2,0.6663458
"Science absolutely loves when you tell it— in words, mind you—",君が君であることを知っているよって,I know that you are you,0.0625,0.16841017
that you know what it is.,この理科　すごく喜ぶんです,This science is very pleased,0.09090909090909093,0.20387332
"Even in science, you need language skills  to reach other people.",理科にも相手に届く国語力が必要って,It is necessary to have a national language power that can be reached with science,0.12,0.6047418
How am I supposed to know how many times the tokyo international conference on african development has met?!,アフリカ開発会議の会談の回数なんて分かるかよ,Do you know the number of meetings of the African Development Conference,0.20833333333333331,0.812489
and when I looked it up out of sympathy for Africa's poverty issues...,アフリカの貧困にちょっと共感して調べてたら…,If you sympathize with a poverty in Africa ...,0.14285714285714285,0.7437509
No time like the present!,思い立ったが吉日,"I thought, but Yoshini",0.0,0.13212359
Being taken to the actual location,実際に現地に連れてかれて　さらに興味が広がっただけだよ,It's actually enough to take it on the site and more interested,0.125,0.22199863
"""Spring has passed and summer come, it would seem—",「春すぎて夏来にけらし白妙の,"""Spring too long and summer and white",0.2857142857142857,0.6744927
"from those white hemp robes laid to dry in the sunlight on kagu's heavenly hill.""",衣ほすてふ天の香具山」,Kinhosu-Futt Hot Mt.,0.047619047619047616,0.2502542
Your words are as lovely as your face.,顔だけでなく　言葉も美しい,Not only the face but also the words are beautiful,0.2307692307692308,0.63302517
But a mere sliver of a satisfactory answer does not an aced exam make.,だが　ただいっぺんの会心の解答で　テストの勝敗は決まらない,But I will not decide the test of the test with the answer of the meeting,0.19047619047619047,0.51705354
First Term Final: Math,数学か,Math,0.2,0.58228195
Akabane's in the E Class?,Ｅ組には　赤羽がいたっけ,The E group has red wings,0.18181818181818185,0.2652256
"He came in second on the midterms, after me.",中間の数学は　僕に続いて２位,Middle mathematics continuing to me second place,0.125,0.3344631
Quite the showing for an E-Class student.,Ｅ組としては　飛び抜けている,I'm jumping out of the E group,0.06666666666666668,0.27248427
I have no blind spots—not in math nor any other subject.,僕には　数学はもとより　全教科死角はない,I do not have all the subjects in the mathematics,0.16666666666666666,0.5682457
Everyone's in such a tizzy.,みんな　目の色変えちゃって　まあ,Everyone is changing the color of my eyes,0.07142857142857142,0.3851595
That's not what winning is all about.,勝つってのはそういうことじゃないんだよね,It's not that thing to win,0.2307692307692308,0.6177946
Total victory is scoring an easy win by doing what you always do.,通常運転でさらっと勝ってこその完全勝利,Complete victory that wins in normal driving,0.05,0.57208186
He'll be my sacrifice to the proper way of winning.,正しい勝ち方…,How to win the correct way ...,0.1875,0.2667865
That'll show 'em.,こいつをいけにえにみんなに教えてやるよ,I will teach everyone in this guy to everyone,0.0,0.2763074
Two days of exams.,テストは　２日間,Test is 2 days,0.125,0.7082422
