en_text,jp_text,google_translated,score
"He's going at it, he's going at it!",撃つてるねえ やつてるねえ,You can do it,0.1
Now that is interesting in its own right!,面白そうじやん!,Funny side!,0.09090909090909091
"What was that, sis?!",ノ\ツ ノ\ツ ハツ… 何だつてんだよ 疆さんよお,No \ Tsun \ Tsubaki ... I'm sorry Mr. Xin,0.0
I didn't know it was going to turn out like this!,こんなの 聞いてねえぞ~,Please listen to this ~,0.125
What's going on in the dining car?!,ヤバい 何だよ 何が起こってんだよ 食堂車でよォ !,What is it? What happened.,0.14285714285714285
"Hey, hey, this is exciting!",オイオイ ドキ ドキするなあ,I'm doing Ooi Doki Doki,0.0
you tell me to believe such a silly story?!,そんな与太話で俺を ごまかせると思つてんのかつ !,I think that I will give me me in such a big deal!,0.21052631578947367
Well it is the truth...,う それが事実なんで…,"Uh, it's a fact ...",0.18181818181818182
A pair of robbers wearing a Babe Ruth and a Ty Cobb uniform...,ベ一ブル一スと夕イ力ツブの ユ二フオ一ムを着た2人組の強盗に…,Built Bull 1 and Two-person robbery wearing Unophone in the evening tub ...,0.13636363636363635
Are you tellin' me Sidalis screwed up too?!,ふん! そのうえシダリスも ドジつたつてのかい…,Fumu! That's right of Cidaris,0.058823529411764705
You can't underestimate those people!,あの連中は あなどれません! 偵察に行ったほかの,That kind of guys are not accepted! Other than being in reconnaissance,0.05263157894736842
We'd better tell the police— enough!,もういい! 雑魚に手こずりぉっz,It's already good!,0.08333333333333333
We're gonna deal with that strange robber duo first.,まずは その妙な強盗からだ,"First of all, it is from the strange robbery",0.1
Let's put the heat on each and every couple in the city!,街中の力ッブ丿しという力ッブ丿しを 締め上げてやる!,Tighten the capabulatory for the body in the city!,0.23529411764705882
"What harsh things are you saying now, uncle...",あれあれあれ? 何冷たいこと 言っちゃってんだよ 叔父貴ィ,That's a cold thing that I'm sorry,0.0
"The only thing you care for less than your life: money, has been plundered from you by other people, right?",あんたの命の次に大事な金が 人様にぷんどられちまったんだろ?,The next important money was pudded by the next time of your life?,0.21428571428571427
