en_text,jp_text,google_translated,score,semantic_score
"You were threatened, and so accidentally... yes... when it comes to gustavo baggetta's monstrous power...",脅されて つい ?,Is it threatened?,0.1,0.44253612
It's just too much...,普通ではありませんので このままでは殺されると思つ亡 つい…,"It is not normal, so I think it will be killed as it is ...",0.1176470588235294,0.16610853
That's no reason to say things that might put little Eve in danger!,だ力らって イブちゃんを 危険にさらすようなこと言うなん亡,I'm going to say something like I'm dangerous,0.1,0.45610547
I know... I have no excuse.,いやあ 申し訳ない ちゃんと手は打つてあるガら,"No, I'm sorry I'm striking",0.18181818181818185,0.18342918
Even if you think your life may be in danger...,たとえ命の危険を感じたと しても,Even if you felt the danger of life,0.35714285714285715,0.82311857
to use such a lovely little girl to get out of it...,あんな いたいけな女の子を 言い訳に使うのは,It is to use such a quite a good girl for excuses,0.35294117647058826,0.53711617
"Like Elean, I can't sympathize with you.",工レアン君同様 感心しないね,Candhinoan You are not impressed,0.07142857142857142,0.28049287
It is obvious that Nicholas should take full responsibility in this case.,この件に関しての責任は あくまでも二コラス君 個人が取ること,Responsibility for this matter is that two-law-kun's individual take,0.2777777777777778,0.41485202
Pay close attention to your actions.,重々注意し亡事に当たりたまえ,Cautions and hit a decisive school,0.0,0.25143766
"You understand, right?",分力つたね,I diverted,0.0,0.16165903
Understood.,力しこまりました,I was welcome,0.0,0.17629889
It seems they haven't moved yet.,ありません まだ動きはないようです,There seems to be no move yet,0.15384615384615385,0.7521385
Tell me if anything happens.,何力少しでも動きがあっ たら教えろ,Teach me if there is a movement a little,0.16666666666666666,0.20417354
"If Gustavo and the Gandors get into a dispute over Dallas, there should be some information leak.",グス夕一ヴオとガンド一ルが ダラス絡みで もめ亡くれれば,Guus evening 1 Vo and the one-tailed single left can be lost with dallas,0.13793103448275862,0.39995223
Tell me all of it.,ー つも漏らさず私に伝えるんだ,I will not leak-tell me,0.1,0.18130347
This is the luggage room! This is the luggage room!,ノレム レ一ス Gの無線の声丿 助ノプごくカ ノ こちら貨物室… こ ちら貨物菫,Norrem-Les' G Wireless Voice プ カ カ こ ... こ こ こ,0.0,0.08265722
Reinforcements! Send reinforcements right away!,すぐノご応接き 応接きよこ レ ごく杓,Soon Your Recommended Recommendation Kiyoko Lady,0.0,0.10253441
Calm down! What happened? what happened?!,落ち着け! 何があった 何があったんだ!?,Calm! What happened?,0.8333333333333334,0.8478889
