en_text,jp_text,google_translated,score,semantic_score
nya ha ha ha,ニャ〜ハハハ！ ニャ〜ハハハ！,Nya ~ Hahaha!Nya ~ Hahaha!,0.2,0.7959973
Oshino! Why is Black Hanekawa back?,忍野 なんで あいつ,What is Oshino?,0.3333333333333333,0.5265315
I thought we sealed it away for good during Golden Week.,ゴールデンウィークに しっかり封じたはずじゃないか,You should have been sealed with Golden Week,0.17647058823529413,0.79405934
I never said that.,そんなことは言っていないよ,That's not saying that,0.125,0.45541537
"Last time, she was able to let stress off just going wild like that.",前回は暴れるだけ暴れまくって,I'm going to rampaw the last time,0.2,0.15047695
Se we sealed it away. But it's not gone.,だから封じることは できた,So I was able to seal,0.0,0.36055487
"Animation Number 15 stress, huh...",ストレスか…,Stress ...,0.2857142857142857,0.54052
Seems like she has a bell around her neck.,一応 首に鈴を付けておいたからね,I put a bell on my neck,0.21428571428571427,0.63102424
That does the trick.,それが功を奏したって感じか,I feel that it was successful,0.1,0.031549294
That's how you catch the meddlesome cat early.,障り猫の早期発見につながった,It led to early detection of a cat,0.125,0.589366
What is that bell?,その鈴ってのは何だ？,What is that bell?,1.0,1.0000002
That's why she could only tell you.,でも せめて阿良々木くんにだけは 言っておくべきだったな,"However, I should have said that Atsugi-kun",0.0625,0.13006923
"Anyway, the problem is stress.",でも まあ 問題はストレッサー,But the problem is the stressor,0.3333333333333333,0.764511
That means it's a matter of what's causing that stress.,つまり ストレスの原因は 何なのか… だ,"In other words, what is the cause of stress ...",0.15789473684210525,0.7575912
Animation Number 25 i wonder about that.,どうなんだろうね？,What is it?,0.0,0.12819502
It just cleared up. Could it really get that bad again this quick?,それが 解消されたばかりだというのに,Even though it has just been eliminated,0.10526315789473684,0.21550186
"Even if we've got the reason, neither you nor I can do anything about it.",しかし 忍野 原因を突き止めたところで,"However, when I stopped Nino Cause",0.08695652173913042,0.24163717
I don't think we have any option but to treat the symptoms when they pop up.,前回と同じで その場しのぎの 対処療法しか道はないと思うけれど,I think that there is only the way to the same place for the same place as the previous time,0.13793103448275862,-0.0077237193
"What's wrong, Oshino? You're being vague.",あ？ 何だよ 忍野 言葉を濁すじゃないか,a?What is it? I'm turbid,0.1176470588235294,0.22632486
"Well, Prez does look pretty good in cat ears.",いや〜 しかし 阿良々木くん,No ~ But Atsugi-kun,0.0,0.13666177
You read it? It was drawn by Nekobe Neko.,読んでるかい？ ほら あの 猫部ねこ先生の…,Do you read it?The cat club cat teacher ...,0.25,0.37224117
"Nekobe Neko drew Goldfish Warning, not that!",猫部ねこ先生は 「きんぎょ注意報！」だろうが！,"The cat club cat teacher will be ""Kinkyo warning!""",0.1111111111111111,0.2998084
"Red Scene come on, oshino, are you trying to trick me?",お前 忍野 ひょっとして 何か ごまかそうとしてないか？,Don't you try to say something?,0.16666666666666666,0.2214241
Why don't you bring out Shinobu?,とにかく 忍野 早く忍を連れてこいよ,"Anyway, take Shinobu Ninno",0.08333333333333333,0.73257005
REMINISCENCE we're up against a stupid cat. it's not like we have any options but her.,相手は化け猫だ,The opponent is a cats,0.045454545454545456,0.44603047
Bad luck brings along its friends.,不幸は友達を連れてくるとか,Unfortunate comes with friends,0.1,0.56526303
"Hey, knock it off, Oshi-",おい 忍野 いいかげんに…,Good Ninhono Good Kagen ...,0.0,0.24849622
Missing,あれ？,that?,0.0,0.21063387
Oshino. There's something I want to ask you.,忍野 聞きたいことがあるんだが,I have something I want to listen to Ninhono,0.3076923076923077,0.14361873
What happened to Shinobu?,忍は どうした？,What happened to Shinobu?,1.0,0.9999997
Animation Number 57,忍ちゃん 自分探しの旅に出ちゃった,Shinobu I went on a trip to find myself,0.0,0.09531033
She's just a kid. She can't have gone very far.,子供の足だ そう遠くまで行けるはずもない,It's a child's foot I can not go far away,0.15,0.47303706
"Plus, she's not like a vampire out of the legends anymore.",それに 今の忍は 伝説の吸血鬼でも何でもない,"Besides, Noto Ninhu is not a legendary vampire",0.21052631578947367,0.5412464
Shinobu,僕が そばに いなければ,If I do not be by,0.0,0.088268556
Animation Number 67,僕が そばに いなければ,If I do not be by,0.0,0.102880694
"If I'm not near her, she's even weaker than a kid.",僕が そばに いなければ,If I do not be by,0.16666666666666666,0.077969305
"Even if she went to Mister Donut, she doesn't have a cent to her name.",ミスタードーナツに来ようが お金を１円も持っていない,I do not have money for money to come to Mister Donut,0.18181818181818185,0.58210176
Maybe she's hungry.,あいつ お腹をすかしているのかも,I wonder if he is hungry,0.1,0.6215146
"She's somewhere in this city, alone...",この町の中 どこかで１人で,"In this town, one person somewhere",0.3333333333333333,0.5181713
Animation Number 84,何良々木さん,What kind of tree,0.0,-0.0013325763
"Sorry, I stuttered.",失礼 かみました,I was rude,0.14285714285714285,0.38832143
Time passes,いや そんな場合じゃない！,No such case!,0.0,0.12252049
"If you try to do it all yourself, it's like finding a mummy in a pyramid.",全部 １人で何とかしようとすれば,If you try to do anything with one person,0.2380952380952381,0.31249505
Koyomi-oniichan! You called me?,暦おにいちゃん,Calendar to the calendar,0.0,-0.028001294
"Girl #2 what's going on, koyomi-oniichan?",あっ どうしたの？ 暦おにいちゃん,What happened?Calendar to the calendar,0.14285714285714285,0.12972698
Calm down. Did something happen?,落ち着いて　何かあったの？,Did you calm down?,0.5,0.78084874
"Well, yeah, something's up.",何か あったっていうか…,Something happened ...,0.1111111111111111,0.36513916
"Just calm down, Koyomi-oniichan. I know, I'll tell you a funny story.",とっ とにかく落ち着いてよ 暦おにいちゃん,Topy calmly calmly calendar,0.0,0.18730228
"Animation Number 98 you know,",えっとね,Umm,0.0,0.21256153
but being a maid must be incredibly stressful work.,メイドっていうのは意外と 大変な仕事なんだよ,Maid is surprisingly a big job,0.14285714285714285,0.71919525
"Animation Number 100 who the hell are you, ""the big bear cat lover""?",“大熊猫 大好き”さんは,"""I love big bear cat""",0.2777777777777778,0.67058533
