en_text,jp_text,google_translated,score
"Hey, how long are you going to lay  around? Either get a job or get married!",おめ 仕事も結婚もしねぇで いつまでそうしてる気だ,Thank you for your job and get married,0.18181818181818182
"Shut up. How about you find me a match, then?",うっせ～な だったら 見合いの相手でも探してくれよ,Please look for it even if it is a meeting person,0.045454545454545456
Who wants to marry an unemployed guy?,仕事もしねぇ男の嫁に誰が来っか,Who is your wife's daughter-in-law,0.07692307692307693
"Hey, old man, give me a whole bottle!",おい おやっさん 瓶ごと頼む,Hey Oyan Bottle,0.18181818181818182
"Nice to meet you. i'm nanamine tooru, a new author who's just been serialized in jack.",僕 今度 「ジャック」で連載させてもらう事になった 駆け出しのマンガ家,"Manga family of rushes that became serialization in ""Jack"" this time",0.06451612903225806
Can I really use any room except yours?,本当に七峰君の部屋以外は 自由に使って いいのか,Do you really want to use it freely except Mr. Nanakamine's room,0.2222222222222222
We've got 14 assistants; let me  know if you don't like any of them.,アシスタント14名のうち 気に入らない者がいたら 言って下さい,Please say if there are people who do not like the 14 assistant,0.14814814814814814
All to make it easier for you.,全て 中井先生のやりやすいように,Everything is easy to do with Mr. Nakai,0.06666666666666667
"Clean up the art so that it doesn't lose to Aoki Kou's new series What God Gave Me, which started last issue,",1号前から始まる 蒼樹 紅の新連載「神様がくれた」と,"New series of 紅, which starts from 1st, and ""God gave me""",0.21212121212121213
and Ashirogi Mutou's PCP.,亜城木夢叶の「PCP」に負けない仕上げをしてもらう事,"Ayugu Koda's ""PCP"" Do not lose finish",0.14285714285714285
They're no match for me.,僕の敵じゃないね 両方 僕が世話してやった作家だ,It's not my enemy Both is a writer who cares,0.0
And that woman...,それに あの女,That woman,0.5
I have a score to settle with Aoki Kou.,蒼樹 紅には 借りがある,There is a borrowing in the red crimson,0.058823529411764705
That's good to hear.,いい事です,It is good,0.125
Aoki's new serialization is fresh.,蒼樹さんの新連載 爽やかだなぁ,It is refreshing new series of Mr. Yuki,0.15384615384615385
"There are some battle elements to it,  and it feels more like a shounen manga.",バトル要素も入って 少年マンガらしくなってる,Battle element also enters a boy manga,0.15
alternating,バトル要素も入って 少年マンガらしくなってる,Battle element also enters a boy manga,0.0
I'm just,バトル要素も入って 少年マンガらしくなってる,Battle element also enters a boy manga,0.0
with him.,バトル要素も入って 少年マンガらしくなってる,Battle element also enters a boy manga,0.0
m 430 90 l 1230 90 1230 720 430 720,バトル要素も入って 少年マンガらしくなってる,Battle element also enters a boy manga,0.0
m 830 90 l 1230 90 1230 720 830 720,バトル要素も入って 少年マンガらしくなってる,Battle element also enters a boy manga,0.0
What are  you doing to  my master?,バトル要素も入って 少年マンガらしくなってる,Battle element also enters a boy manga,0.0
"Okay, it's all set.",よし OKだ,Good OK,0.0
The third chapter of this arc is good indeed.,やはり このシリーズの3話目は 面白い,After all the third episode of this series is interesting,0.3333333333333333
Chapter 2,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.0
New series,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.0
Chapter 3,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.0
Issue 47,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.0
Issue 46,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.0
Issue 45,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.0
Arc 3,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.0
Arc 1,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.0
Arc 2,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.0
Pitting this against Nanamine's second chapter is a smart idea.,これを 七峰君の2話目にぶつけるのは いい手だよ,It is a good hand to hit this to the second episode of Tanimine,0.19047619047619047
"After running our mouths about winning, we'd better do it.",あれだけの事 言ったんですから 勝たないと,I just said that only because I won't win,0.0
All that's left is to see how Nanamine plays his hand.,あとは 七峰君が どんな策を とってくるか,"After that, what kind of measures will take you",0.045454545454545456
"Oh, this is amazing, just like I expected!",やっぱり すごいですよ,After all it is great,0.07142857142857142
"At this rate, I don't need to butt in at all.",これなら 僕は下手に口を出さない方がいい,If this is better not to take a mouth,0.1
"Please take care of it, then.",じゃあ お願いします,Well then please,0.2222222222222222
Right here.,ここなんですけど ベタとトーンの境目の線が入っていないので,"This is here, but because the line of the boundaries and tone is not included",0.0625
"Oh. In this situation, just match the ink and  gradient tone together in the right amounts...",この場合 適当にベタとグラデトーン 合わせて,"In this case, with a good set and grand tone appropriately",0.20833333333333334
"Actually, I can do this bit myself.",というか このくらい 僕が やってあげるよ,I will do this so much,0.25
I'm also not sure where to ink because this area here isn't clearly marked...,ここも 七峰先生のベタ指定の範囲が あやふやで,"Here too, the scope of the setting of Tanamine teacher is a floyal",0.07407407407407407
