en_text,jp_text,google_translated,score
Hey there.,よう！貴様が末子殿の契約者か。→,NS!Are you a subscriber of Sue to Sako?→,0.0
My name is Hecadoth!,我が名は　ヘカドス。 ベヘモット３４柱師団　第八の柱。,My name is Hekados.Behemot 34 pillars eight pillars.,0.3
"Anyway, keep a fixed distance from him.",とにかく　一定距離以上　奴に 近づくな！その上で引き付けろ。,"Anyway, don't get closer to those above a fixed distance!Attach it on top of it.",0.2727272727272727
"And hold his attention on you! i don't care if you die, but the  master's safety is foremost!",貴様は死んでも構わん。 坊っちゃまの安全が第一だ。,You may die.The safety of the blot is the first.,0.14814814814814814
Now just up and die!,そのまま　潰れちまえっ！！,It is crushed as it is!!,0.1
"But, I hate to say...",だが　悪いな。 その程度では虫も潰せんぞ。,But it's bad.The worms are crushed in that extent.,0.058823529411764705
You won't be killing me  with something like that.,《マジかよ…》,"""Are you serious…""",0.06666666666666667
"Right then. Good going, Hilda.",よぉっし。 やるじゃねえか　ヒルダ。,Yes.You're not doing he hilda.,0.16666666666666666
The biggest obstacle is  the Demon Maidservant.,一番　邪魔なのは侍女悪魔 お前だ！,The most disturbing is the maiden devil!,0.16666666666666666
Everything is for Lord En.,全ては　焔王様のために。,Everything is for King.,0.5714285714285714
What's with all these Demon Maidservants?!,お願いしま～す。 なんじゃあ あの侍女悪魔の群れは！？,Thank you.What a herd of that maiden devil is!?,0.1111111111111111
"Isabella, are you sure we have time for this?",イザベラ…このままで大丈夫？,Isabella ... Is it okay?,0.13333333333333333
Behemoth's servants are probably  already making their move.,ベヘモットの部下たち おそらく　もう動き出してるわよ。,Behemot's subordinates probably come out again.,0.2
"It may be harsh for Beelze-sama,",ベルゼ様には酷ですが 捨て置くことしかできません。,"Berese is awful, but can only throw away.",0.0625
yet we have no choice but  to leave him on his own. our mission is to watch  over and protect lord en.,私たちには　焔王坊っちゃまを 見守るという使命が…。,We are the mission of watching 坊 ちゃ ....,0.10344827586206896
Can I have a picture?,写真いいっすか～！？ え？,A photo!?picture?,0.375
Whoa! Hot girls!,えっ　美人だ！お店どこすか！？,Eh it is a beautiful woman!Where is the shop!?,0.07142857142857142
