en_text,jp_text,google_translated,score,semantic_score
"I'd rather die struggling than
get eaten up by worms!","俺は虫に食われて死ぬより
足?いてから死ぬ方を選ぶぜ","More than I die by eating
Choose how to die from your feet",0.2,0.48699582
"The Endearing
Kaori Sweet Seventeen!",KAORIちゃん どんどん作るのだ,KAORI Chan Makes,0.125,0.4802777
<i>Hi! I'm Kaori Sweet Seventeen.</i>,こんにちは　私 17歳のKAORIちゃんなのだ,Hello I'm 17 years old KAORI,0.21428571428571427,0.7741814
"<i>I want you all to take a good</i>
<i>whiff of the scent I produce!</i>",私の作る香り 皆で クンクンしてね,I'm crunching with all the smells to make,0.18181818181818185,0.5216146
"<i>Kaori's going to make</i>
<i>more and more!</i>",クンクン香るのだ　どんどん作るのだ,Kunkun's flavor of it is made more and more,0.16666666666666666,0.30130056
"Aoku uneru shijima
A calm, blue silence",ゆらりゆられて何処(いずこ)へ,Looking for a long time,0.08333333333333333,0.020710707
"Gin no kobune ukabeshi
Floating the silvery boat",銀の小船浮かべし,Silver small boat,0.1,0.4545125
"Namae shirenu tami yo
Those people with names unknown",名前知れぬ民よ,Nameless people,0.1,0.43963808
"Kokoro michibiki tamou
Guides the way for my soul",魂(こころ)導き給(たも)う,Soul  guidance,0.1,0.5359493
"Oh, boy... I'm feeling dizzy...",ああっと　あ お星さま見えた,"Oh, I saw a star",0.2727272727272727,0.24801078
Wow. I see stars.,とと っとと  立ちくらみ いい,I will not stand with,0.1111111111111111,0.1788891
It's like I'm above the clouds.,何だか 雲の上みてえ,Somehow the clouds of the clouds,0.18181818181818185,0.5940974
"<i>Your Suparobo K-100</i>
<i>is pretty incredible...</i>",君のスパロボ K-100はまさに,Your sparrow K-100,0.16666666666666666,0.41593155
"<i>Father! The doctor said</i>
<i>you should stay in bed!</i>","お父さん 寝てなくちゃ駄目って
お医者様が","My father is not sleepy
Doctor",0.1111111111111111,0.547937
<i>Hinoki?</i>,んっ ひい かっぱ君？,Hyuka Kappa?,0.125,0.4014015
"...he's not as weird as you
all think he is, that's Kei-chan.",でも 皆が思ってるほど変な奴じゃないよ,But it's not a strange guy that everyone thinks,0.14285714285714285,0.5973908
<i>Kei-chan?!</i>,ケーちゃん？,Key?,0.125,0.12731695
"Is El Nino to blame for this, <i>too?</i>",こいつもエルニーニョのせいなのか？,Is this always because of Ernino?,0.16666666666666666,0.33438432
"Apparently, half of Japan
is under a fog.",日本の 半分以上が 霧の中らしいっすわ,More than half of Japan will be the midfest,0.1875,0.59780854
"I just want to hand it over to
Mode Warp as soon as possible.","早く モーディワープに
渡しちまいたいんだがなあ","Fast and Moadwar
I want to pass",0.17647058823529413,0.247197
"A thick fog is a sign that the door
to the spiritual world is opening.","霧が濃い日はね 霊界への扉が
開いてる知らせなのよ","The fog is a dark day The door to the spirit world
It is notified that it is open",0.42105263157894735,0.75641376
"But vampires with
strong spiritual power...",でもね 強い霊力を持った吸血鬼は,But there is a strong spiritual vampire,0.2727272727272727,0.8857265
"...can transform into a fog
and move.",霧に変身して移動する事も出来るの,You can transform into the mist and move it,0.38461538461538464,0.60148776
"Hey, girl...!",ひいっ,Thoroughly,0.0,0.22225487
"What's the matter, <i>Li-chan?</i>",どうした りっちゃん　忘れもんか？,What's wrong?,0.25,0.2563809
"I can't take working in a
creepy place like this anymore!",もう こんな気持ち悪い職場 耐えられない,I can not withstand such a bad work,0.10526315789473684,0.3103813
"The fog was too thick,
so the trains weren't running.",霧が濃くて 列車動いてなかった,The fog was thick and the train was not moving,0.25,0.9011664
"I was scared being in
my apartment by myself...",アパートに一人でいると 怖いから　ここに,I'm scared if I am alone in the apartment,0.26666666666666666,0.79562557
Welcome back.,おかえり,Welcome back,0.6666666666666666,0.8967554
I'm back.,ただいま,I'm back,0.75,0.8992292
I know about you guys going out.,知ってんだぜ お前らが付き合ってんの,I know I'm going to get along,0.25,0.4827147
We just work at the same place.,"-ふへへへへへへ
-同じバイトやってるだけだって 言ってんだろ","-Endead to
-You just saying the same part-time job",0.21428571428571427,0.3482943
First <i>base?</i> Second <i>base?</i>,いっ？,Is it?,0.1,0.13697106
Hot damn! You devil you!,うっ,Pet,0.0,0.16794708
"Oh, no. They're going to
run out of my bread.",こうっ　あいやっ パン売り切れちゃうよ,I'm out of sale of this kind of bread,0.16666666666666666,0.5579717
"Kei-chan, did you get <i>hurt?</i>",ケーちゃん 怪我しなかった？,Ke-chan did not get injured?,0.21428571428571427,0.53820884
You fell again this morning.,今朝 また転んでたでしょ,I also rolled this morning again,0.3333333333333333,0.58035016
"Oh, right.
Happens to me all the time.",ああ ああ　あんなのしょっちゅうだからさ,"Oh Oh, it's like that",0.14285714285714285,0.48450083
But I'm so glad that you were alive.,それよか 良かったよ　火乃紀が 生きてて,That's good It was good Kirano alive,0.13333333333333333,0.37756398
