en_text,jp_text,google_translated,score
The sky is in the heavens.,空は天にあり,The sky is in heaven,0.5714285714285714
The stars are in the heavens.,星は天にあり,The stars are in heaven,0.5714285714285714
The Dive Inspection...,ダイブインスペクション,Dive inspection,0.5
"By inducing a mutation
at the genetic level...",遺伝子レベルの突然変異を引き起こし,Causing genetic level mutations,0.18181818181818182
However...,しかし,However,0.5
Could it be that..., 私はベターマンにはなれなかった,I could not be a betman,0.2222222222222222
"Here in the underground labs
of Mode Warp...",このモーディワープの地下実験施設で,In this Mode Warf's underground experiment facility,0.21428571428571427
"...I underwent many
Dive Inspections.","何度もダイブインスペクションを
繰り返したが","Dive-in sparking many times
Repeated",0.09090909090909091
"But I was never able to
become a Better Man.","だが リミピッドチャンネルを
手に入れることはかなった","But Limipid Channel
It was difficult to get it",0.1875
"I was able to cross an enormous
sea of consciousness...",そして私は膨大な意識の海を渡り,And I cross a huge conscious sea,0.2
"...and finally reach the one
who could give me the answer.",遂に答えを知る者にたどり着いたのだ,I finally reached the person who finally told the answer,0.25
"The water of Lake Poopo
in Peru...",ペルー ポーポ湖の水のみが,Peru Popo Lake Water Only,0.3
"...was the antidote that could
suppress my destructive powers.",我の災力を鎮める唯一の解毒剤であった,It was the only antidote that shysed my disaster,0.3333333333333333
"The environmental destruction
causing the abnormal phenomena...",異常気象を招いた人による自然破壊が,Natural destruction by people who invited abnormal weather,0.15384615384615385
Despite having lost my memory...,"記憶を失った我はチャクラの
導きによってここまで来た","I lost my memory
I came here by guiding",0.2727272727272727
What's <i>Kankel?</i>,カンケルって？,Cancel?,0.1111111111111111
"People have tried to find a cell
that can never die.","人は寿命なるものを超越した
不老不死への進化を望んだ","People transcended things that have a lifetime
I wanted to evolve the immortal immortal",0.25
"Death is the way that
life evolves into new forms.",滅びは新たな命への進化,During the evolution of new life,0.21428571428571427
"But people have refused
to accept that.",しかし 人はそれを拒んだのだ,But people refused it,0.3333333333333333
"They aren't able to face
their fears of growing old!",老いていくことの恐怖に耐えられぬのだ,It is not endured to the fear of old,0.16666666666666666
But this is the result!,だが その結果がこれだ,But the result is this,0.8333333333333334
"Gin no kobune ukabeshi
Floating the silvery boat",銀の小船浮かべし,Silver small boat,0.1
"Namae shirenu tami yo
Those people with
names unknown",名前知れぬ民よ,Nameless people,0.1
"Yurari yurare izuko e
Drifting and fluttering
everywhere",いま一度目覚めし精気(ちから),I waker and see it now,0.07692307692307693
"Kokoro michibiki tamou
Guides the way for my soul",魂(こころ)導き給(たも)う,Soul  guidance,0.1
"So, the eminent Yakusugi had
already become the Best Man.","やはり 尊者ヤクスギは
ベストマンとして完成していた","After all Haku Sugi is
It was completed as the best man",0.15
"...is an immune antibody
that protects people's lives.","それはベターマンが人を守る
免疫抗体だから","It protects people by Betterman
Because it is an immune antibody",0.4
"The donor that provided the
dura mater to Keita Aono...",蒼斧蛍汰に硬膜を提供したドナーは,Donor with a dura,0.16666666666666666
"...was the geologist who was
working in Japan at the time...",当時日本在住の地質学者ロリエ・ノワール,Geologicalist Lolier Noir living in Japan at that time,0.26666666666666666
"You mean the leading researcher
of the Linker <i>Gel?</i>","リンカージェル研究の第一人者と
言われた あの","With the first person of Lincolger Gel Research
That said",0.15
Laurier told me.,ロリエが教えてくれたの,Lolier taught me,0.16666666666666666
But now...,でも今は,But now,0.6666666666666666
"It was no coincidence when he
first approached the Kakuseijin.",彼が覚醒人に近づいたのは偶然ではない,It is not a coincidence that he approached the awakening,0.3125
"...used the Linker Gel in order to
reestablish her neuron <i>network?</i>",リンカージェルを利用したと,When I used a linkage gel,0.15
"So, I was able to pilot the
Kakuseijin by myself because...",じゃあ俺が一人で覚醒人を動かせたのって,Well then I moved the awakening alone,0.1111111111111111
"There are the neuron networks
for two Dual Kinds...","デュアルカインド二人分のニューロが
蛍汰君の脳内には存在している","Dual Cind Two Neuro
It is present in the brain of the lifetime",0.15789473684210525
