en_text,jp_text,google_translated,score
Sorry... I'm sure you're tired.,蓮太郎)悪い 疲れてるよな,Hasutaro) Bad tired,0.08333333333333333
"I heard that despite being a genius,  she is extremely strange.",なんでも 天才の例に漏れず 大変な変人だとか,Anything doesn't leak to an example of a genius,0.09523809523809523
That's putting it lightly...,そんな なまやさしいもんじゃねえぞ,Such a mild salmon,0.0
"You really saved me, Rentaro-kun. #09 the protectors of the barrier",いやいや 助かったよ 蓮太郎くん,I was helpful and saved,0.058823529411764705
My food supply had run out  and I was about to die...,備品の食料が尽きていて 危うく死にかけた,Equipment food was exhausted and dangerously died,0.17647058823529413
But the sticky sweet fruit of dried  persimmons keeps stimulating,しかし 干し柿というのは,"However, the dried persimmon",0.15384615384615385
my empty stomach and it's rather unpleasant.,ドロドロの甘い果肉が すきっ腹を刺激して非常に不快…,Dorodoro's sweet flesh stimulates stimuli and is very uncomfortable ...,0.1111111111111111
and invaded elementary schools to  steal stool samples a thousand times.,小学校に侵入して 検便を盗むこと1000回,1000 times that invaded elementary school and steal the inspection,0.29411764705882354
He is the grand master of all perverts.,変態グランドマスターだよ,It is a transformation Grand Master,0.25
I didn't know you were a  person of such stature.,そのような 大層なお方とは つゆ知らず,Such a large-tailed person,0.23076923076923078
I've been terribly rude to you...,今まで とんだご無礼をば…,"Until now, if it is rude ...",0.14285714285714285
"By the way, just the day before yesterday, shoma-kun was looking for you.",そうだ　つい 一昨日 彰磨くんが君を訪ねてきたよ,"That's right, I'm visiting you for one day yesterday",0.23809523809523808
then he left without telling me anything.,今はいないと言ったら 話を聞かずに出ていってしまった,"If I said that now I said, I went out without talking",0.058823529411764705
He's a senior practitioner of  mine in the Tendo Martial Arts.,天童式戦闘術の 俺の兄弟子だ,It is my brothers of Tendo style fighting,0.10526315789473684
He was so strong that I stood  no chance against him...,俺なんか足元にも及ばないくらい 強かった,I was strong enough to reach my feet,0.17647058823529413
"But one day, he suddenly left the dojo.",でも ある日 突然 道場を辞めちまって,"However, I suddenly quit the Dojo",0.3076923076923077
You respected him?,尊敬してたんですか？,Do you respect you?,0.3333333333333333
I didn't get why he left without saying anything.,なんで 何も言わずに 行っちまったんだよってな,Why did you go without saying anything,0.38461538461538464
"Doctor, I'd like to discuss something with you.",ドクター 相談があります ん？,Do you have a doctor consultation?,0.125
Wouldn't it be better if I left  the Tendo Civil Security Agency?,私 やっぱり 天童民間警備会社を 出るべきじゃないでしょうか,I should not leave Tendo Private Security Company after all,0.14285714285714285
How foolish.,バカだねえ アホ！,Idiot fool!,0.0
so weak that you need to worry about us.,木更さんも延珠も俺も お前に心配されるほど弱かねえよ！,Timasama and Toba are also weak enough to worry about you!,0.29411764705882354
"It'd be: ""You're a vital part of  my little girl harem plan,",お前は 幼女ハーレム計画の 貴重な１匹だから,You are one valuable animal of the young girl Harem plan,0.21739130434782608
"so there's no way I'm letting you get away.""",逃がすわけにはいかねえぜ,I'm sorry I'm sorry,0.14285714285714285
She obviously made that up!,作り話に決まってんだろ！,It is decided to make a format!,0.07692307692307693
Thank you...,よろしくお願いします,thank you,0.6666666666666666
She's a good kid.,いい子じゃないか,Isn't it good?,0.1
The things they do without thinking  make my heart skip sometimes.,時々 何気ないしぐさに ドキッとさせられる,Sometimes I can be duck,0.0625
Being so honest is a good thing. However...,素直でよろしい,Honest and good,0.18181818181818182
Don't get too attached.,でも あまり肩入れしすぎるな,But too much shoulder,0.1111111111111111
"The Cursed Children are bound  by their body corrosion rate,",彼女たちには 体内侵食率という 逃れられない枷がはまっている,They are unable to escape in the body erosion rate,0.23529411764705882
They are different from us.,我々とは違うんだ,It is different from us,0.375
But people who believe that are the minority.,だが そう思っている人間は少数派だ,But people who think so are minority,0.45454545454545453
"If you want to change our world, you should have become a politician.",こんな世界を変えたいと思うなら 君は 政治家になるべきだった,"If you want to change such a world, you should have become a politician",0.8
There's more than one way  to change the world.,世界の変え方は 一とおりじゃないだろ,How to change the world is not one,0.35714285714285715
The freedom to see a bigger world,ガストレアに おびえなくてもいい,You don't have to look at Gastrea,0.07142857142857142
I'd like to give that to Enju and Tina.,延珠や このティナに俺は与えたい,I want to give it to Tenno and Tina,0.38461538461538464
"And for that, I'll defeat all of the Gastrea!",そのために倒す！ ガストレアを全部！,Defeat it for that!All Gastrea!,0.46153846153846156
I see. So that's your answer.,フッハハハハ… なるほど そうきたか,Fuhahahahaha ... I wondered if I came,0.07692307692307693
You truly are different from me.,やはり 君は 私とは違うね,After all you are different from me,0.5555555555555556
Do you know what the most beautiful  thing in this universe is?,君 この宇宙で一番美しいものが なんだか知ってるかい？,Do you know what the most beautiful thing in this universe?,0.9230769230769231
"In Buddhism, apparently it's the  lotus flower... in other words,",仏教の世界ではね 蓮の花だそうだよ,It seems that it is a lotus flower in the Buddhist world,0.2777777777777778
"you, since your name comes from that word.",つまり 君だ 蓮太郎くん,"In other words, Hasutaro-kun",0.07142857142857142
"Seeing the way you are now, i believe it'd be all right  to show you that thing.",今の君ならば あれを見せても大丈夫だろう,"If you are here, you will be fine if you show that",0.2608695652173913
This is the data I was able to get from  the Level Five access key you brought me.,君から預かった レベル５のアクセスキーで―,With a level 5 access key from you-,0.18181818181818182
This is...,あ… これは？,Oh ... this?,0.4
"A time line going back twenty  years from the present 2031. ""heaven's ladder"" project secretly plotted by the government",2031年現在から 過去20年にわたって―,"From now on 2031, over the past 20 years-",0.10344827586206896
"""New Humanity Creation Plan""",さかのぼった年表だ,It is a sunny year,0.0
Take a look right here.,ここを見ろ,See here,0.14285714285714285
should have been destroyed.,焼失してるはずだ！,You should have burned!,0.25
The whitening of the Monolith  has been discovered.,モノリスの白化現象が発覚したわ！,Whitening phenomenon of monolith is discovered!,0.36363636363636365
"Including today, Monolith 32",本日を１日目とカウントして,Counting today on the first day,0.1
What can you tell us about a  new Monolith being constructed?,新しいモノリスの建設については,About construction of new monolith,0.21428571428571427
She's having to bear the full  brunt of it all... Poor thing.,玉樹) 矢面に立たされて―,Tamaki) Stood in the arrow-,0.05
They say there are arguments for and against using a lottery  to screen candidates,地下シェルターに入れる市民を 抽選でふるいにかけてるって政策も,Policies are also policies to sieve citizens into a subway shelter by lottery,0.18181818181818182
for the underground shelter.,賛否両論みたいだ,It looks like pros and cons,0.0
I heard the rich men have  already spent a lot,リッチメンたちは すでに 大金積んで,Richmen has already adjusted,0.07692307692307693
I'm sure it's only a matter of time  before everyone else starts rioting.,それ以外の連中が殺気だつのも 時間の問題だろ,It is a matter of time that other people are killed,0.22727272727272727
"Rentaro, it's finished!",延珠)蓮太郎 出来たぞ,Hasutaro Hasutaro,0.0
Is this really a tent?,マジで これテントなの？,Is it really a tent?,0.7142857142857143
they won't give us a JASDF tent.,自衛隊のテントは 支給してもらえねえんだ,Self-Defense Force tents are paid,0.0
"We're going to find them  today, no matter what!",あと１組 なんとしても 今日中に見つけるよ！,I will find it all today!,0.1875
There's no way I can sleep in such  a cramped space with this pervert.,こんな変態と こんな狭いとこで 一緒に寝れないっての,I can not sleep together in such a transformation and such a narrow cousin,0.2727272727272727
Don't worry about it.  Your rank's currently revoked.,気にすんな お前は 序列剥奪中なんだから,Because I'm worried about it,0.13333333333333333
"Don't worry, Tina!",心配するな ティナ,Worried Tina,0.14285714285714285
It's not as fun as you're making it sound...,お前が思ってるほど 楽しい作業じゃないぞ,It's not a fun as you think,0.5
Then I shall make it fun!,じゃあ 妾が楽しくする！,"Well then, make it fun!",0.5555555555555556
Rentaro! Hurry! Hurry!,わあ～！ 蓮太郎 早く早くー！,Wow!Hasutaro early!,0.16666666666666666
There are so many people...,すっげー人だな,It is a horny,0.0
"No, let's skip them.",いや あいつらはやめておこう 見てみろ,"No, I'll stop it",0.18181818181818182
He's armored from head to toe.,全身防具でびっしりだ,It is a full-body armor,0.0
but that'd be fatal in a battle against Gastrea.,ガストレアとの戦いでは致命的だ,It is fatal in the battle with Gastrea,0.26666666666666666
So it's better to pick people with light gear.,なるほど じゃあ 軽装なヤツがいいのだな,"Well, I'm a light guy",0.058823529411764705
I found them!,見つけた！ おっ,I found it! Oh,0.5
They're harder to find than I expected.,ハァー 意外と見つからないものだな,It is not found unexpectedly,0.0
