en_text,jp_text,google_translated,score
"and the order was given\Nto destroy all of the Mod Souls, but…","すべてのモッド･ソウルに
廃棄命令が出されたはずだったが…","In all Mod Seoul
It was supposed to have been discarded.",0.14285714285714285
Hmm?,"（雨(うるる)）あっ あの… 喜助(きすけ)さん
（浦原）ん？",") Ah ... King Sakai
?",0.14285714285714285
Uh… I'm sorry…\NThis is all my fault…,"その… ごめんなさい
私のせいで こんな…","That ... sorry
I like my fault ...",0.15384615384615385
Don't worry. I'll take care of everything.,ぜーんぜん気にしてないよ,I do not care about it,0.23076923076923078
Mr. Kisuke…,（雨）き… 喜助さん,... Mr. Kiyo,0.25
"Now, now…\NThere, there…","（浦原）
はいはいはいはい
よーし よしよしよし…","Yes Yes Yes Yes
Good morning ...",0.0
"Manager, everything is ready.","安心して
僕が ぜーんぶ なんとかするから","Relieved
I am because she is what she is",0.08333333333333333
Uh…that guy…\NWhat's he doing all by himself?,"（橋上(はしがみ)）
あ… あいつ １人で何やってんだ？",")
Oh ... What are you doing alone?",0.125
"If I stay calm, I can easily\Nread your moves!","（一護）
冷静になれば
てめえの動きなんて…","If it becomes calm
What is the movement of me ...",0.10526315789473684
Damn!,"（仮一護）ふっ！
（一護）うっ",!,0.5
"Wait, Ichigo!","（一護）てめえ！
（ルキア）待て 一護！","!
 Wait for a while!",0.2857142857142857
What?! At a time like this?!,"（ルキア）指令だ
（一護）何？　こんな時に","Directive
 What is it?At this time",0.45454545454545453
A Hollow is about to appear!,"ホロウが出現する
近いぞ！","Hollow appears
Close up!",0.2
It's near!,でやっ！,Do it!,0.4
"Oh, damn!",あー クソッ んっ,"Oh, I'm sorry",0.2857142857142857
Let's go!,"（ルキア）行くぞ！
（一護）うっ",I will go!,0.3333333333333333
Teacher!,（橋上たち）先生！　先生ー！,teacher!Teacher!,1.0
He had orange hair…,（金田）オレンジ色の頭の,Orange head,0.2
A high school student?,高校生が？,Do you have high school students?,0.3333333333333333
What can this be…?,"（橋上たち）あっ
（教師）何かな？　これは ハァ…",What?This is Hua ...,0.375
It's around where I was…,"せっかくの いい気分が
台なしじゃねえかよ クソッ","I feel good
It's not a stand",0.2727272727272727
Is it going to attack those kids?,あっ ホロウ？　ホロウの気配だ,Hollow?It is a sign of hollow,0.25
Why should we do this?\NWhy doesn't she believe us?,"やってらんねえ 何で
俺らの言うこと 信じねえんだよ","What do you do
I believe that we say",0.17647058823529413
Probably because\Nwe're always misbehaving.,"（伊野）消しちゃえば？
（金田）アハハハ","If you're erased?
 Ahahaha",0.09090909090909091
That's right.,"（金田）
日頃の行いが悪いからじゃん",It's bad for a daily basis,0.1
What?!,（一護）うっ どうした？,What happened?,0.5
I can't figure out the location\Nof the Hollow.,う… ホロウの位置が つかめん,Hollow ... Hollow position,0.09090909090909091
I-It's that high school student!,さ… さっきの高校生,Senior High School Students,0.2222222222222222
Blood?!,"（仮一護）うっ
（橋上）血…",Blood ...,0.25
That's it!,（一護）あれは！,That's!,0.75
Okay!,"（ルキア）いたぞ！
（一護）よし！","!
 Yoshi!",0.3333333333333333
That idiot!,あのボケ！,That bokeh!,0.5
"You interfere with my meal,\Nthen you run all over the place.","（ホロウ）
俺の食事の邪魔はするわ
うろちょろ逃げ回るわ","I'm in the way of my meal
I'm going to run away",0.19047619047619047
Exactly!,"（ホロウの叫び声）
（一護）そのとおり！",That's right!,0.2
Whose body do you think this is?!,"ケガしてんじゃねえか
誰の体だと思ってんだ こら！","Don't you get injured?
I think it's my body!",0.375
What do you mean?!,"（仮一護）う… 何だと？
（ホロウ）うーっ お前ら！","... What?
 Uh!",0.375
I had to fight it because\Nyou took so long getting here!,戦おうとかすんじゃねえよ！,I'm going to fight!,0.2857142857142857
Shut up! You're supposed to be\N a battle-ready Mod Soul!,"うるせえ！
それでも戦闘用魂魄か 情けねえ","shut up!
Even if it is still a fighting soul",0.2777777777777778
"Once you crack its head,\Nthe Hollow will disappear on its own!","ホロウは 頭 割りゃ
ほっといても消えるんだ うっ","Hollow is a head
I'm going to disappear even if I'm relieved",0.13636363636363635
And you had to...,"（教師）
ハァ… いないじゃない",Hua ... not,0.14285714285714285
Are you boys pulling my leg?,"（教師）
じゃあ どこにいるの？
血だらけの高校生なんて","So where are you?
Healthy high school students",0.23076923076923078
No! It's true! You have to believe us!,"違うよ 本当だって
信じてくれよ！","No, it's true
Believe!",0.5454545454545454
But it's true… Right?,でも 確かに… なあ？,But certainly ... Na?,0.2222222222222222
"All right. I want you to stay and\Nclean after school again tomorrow, okay?","分かったわ
明日も居残り掃除 よろしくね","I understand
It will be cleaned after tomorrow",0.14285714285714285
What…?! Wait a minute!,"（金田）ちょっと待ってよ 先生
（橋上）先生！","Wait a minute teacher
 teacher!",0.5714285714285714
Didn't you hate them?,"（一護）
お前 嫌ってたんじゃねえのか？",Do you hate it?,0.375
And I won't let anyone get killed.,俺は 誰も殺さねえんだ,I'm killed anyone,0.3
"Soon after I was created,","俺が作られて すぐに
尸魂界(ソウル･ソサエティ)は—","As soon as I was created
The Soul Society -",0.36363636363636365
In other words...,つまり それは—,"In other words, it-",0.5
"I trembled in fear every day,\Ninside that pill,","俺は あの丸薬の中で
毎日おびえてたよ","I am in that pill
I was scolded every day",0.46153846153846156
"by hiding among other pills,","運よく他の丸薬に紛れて
倉庫から抜け出せた後—","Luckily it is mixed with other pills
After retaining from the warehouse-",0.125
"All the while, I wondered:","ビクビクしてる最中
ずっと考えてた","Bikubiku Mottled
I was thinking all the time",0.25
Why should others determine my fate?,"どうして俺の命が
他人に決められちまうのか","Why my life
Is it deciding to others?",0.3333333333333333
Why? Why can't I decide for myself?!,"どうして
自分じゃ決められねえんだよ","why
I can not quit myself",0.25
That's why…,だから—,that's why-,0.5
And I don't want to see anyone killed.,"そして 誰も死ぬとこなんて
見たくないんだ","And no one dies
I do not want to see",0.42857142857142855
Looks like all the equipment\Nwe prepared was for nothing.,"こりゃ 用意した道具 ほとんど
ムダになっちゃったっすねえ","Most of the tools prepared
I'm sorry I'm sorry",0.125
Collection completed.,"（一護）なっ
（浦原）回収完了",collection completed,0.6666666666666666
"Let's go home, everyone.",帰るよ みんな,Everyone will return,0.1111111111111111
"But I thought I'd finally\Nbe able to fight it out, after all this time.","久々 バトれると
思ったのに","When it is a long time
Thought",0.15
Wait a minute!,ちょっ ちょっと待てよ,I will wait for a while,0.25
What are you going to\Ndo with that?,何者だ？　あんた,Who are you?Aunt,0.3
Do with it?,"どうって…
破棄するんですが？","How do I ...
Do you destroy it?",0.3333333333333333
A greedy merchant.,強欲商人だ,It is a greed merchant,0.2857142857142857
Do you take back goods you've sold to\Npeople without giving them a refund?,"客に売った商品を
金も返さずに奪い取るのか？","Products sold to customers
Do you take the money without return?",0.3
"Oh, well, I guess I'll refund you then.","あ… そんじゃ しかたない
返金しますよ","Oh ... there is only such
I will refund",0.1875
That's not necessary.\NI'm satisfied with this item.,"（ルキア）
必要ない
こちらは この商品で満足している","unnecessary
This is satisfied with this product",0.23076923076923078
"Besides, you guys work outside\Nthe laws of the Soul Society.",何だ 浦原 貴様の店は—,What is the store of Urahara-,0.125
"You're not really obligated\Nto collect these things, are you?","それに もともとが
霊法の外で動いている貴様らだ","Originally
You are moving outside the spirit",0.125
Don't worry.\NI've gotten used to trouble lately.,"心配するな
最近は 面倒にも慣れた","Do not worry
Recently I got used to troublesome",0.1875
Here…,ほれ,Sore,0.0
Let's go home.,"（ルキア）帰るぞ
（一護）あ… ああ","I will go home
 ... ah",0.2222222222222222
"Hm? What's the matter, Ichigo?",ん？　どうした？　一護,Yeah? What happened? Ichigo,0.3
"Hey, I'm talking to you!","てめえに言ってんだぞ おい
聞いてんのか？　こらあ！","I'm telling me
Do you hear?Kowa!",0.2857142857142857
"Rukia, what do I do to\Ncomplain to him directly?",どうしたらいいんだ？,What should I do?,0.36363636363636365
"in other words, a dead body.",つまり 死んだ肉体に注入すれば…,"In addition, if it is injected into dead body ...",0.26666666666666666
I'm not going to find one lying around!,"って そんなもん
落ちてるわけねえだろ！","Such moth
You're not falling!",0.13333333333333333
This is…,こいつは…,This guy…,0.3333333333333333
"In other words,\Nall I need is a receptacle, right?","おい 要するに
入れ物がありゃあいいんだよな？","In order to
Is there any food?",0.17647058823529413
"Please pardon the inconvenience during\Nthe construction.\N		O-Okay, let's give it a try.",よ… よし 試しにやってみよう,Yo ... Let's try to try it,0.2222222222222222
"You sure? So, what do I do?",何だ やっぱダメじゃん,What is it?,0.2
"You put it into its mouth, I guess…","（ルキア）
やっぱり 口に入れる… だろう",After all it puts in the mouth ... it will be,0.11764705882352941
Okay…like this?,（一護）よ… よし こうか？,... good?,0.2
"That hurts, you idiot!",そのようだな,That,0.16666666666666666
You! Ichigo Kurosaki!,"てめえ 黒崎(くろさき)一護
もう一度 勝負しろ！","Mie Kurosaki 
Come again!",0.2857142857142857
"No, I'm small! What's going on?!","だあっ でけえ！
あっ 違う 俺が… ちっちぇえ！","It's not good!
There is a difference I ...",0.15789473684210525
Ohh… I'm all soft!,ああっ 柔らかに！,Oh soft!,0.2857142857142857
Morning! Morning!,（コン）おらあー！,Oh!,0.3333333333333333
"If you don't, I'll get in your school bag\Nand follow you to school.","参ったんなら さっさと起きて
ごめんなさいって言わねえと","If you come to you
I'm sorry I said",0.21052631578947367
"The girls in your class will say,",クラスの女子とかに,Class girls,0.25
"""Oh, Kurosaki… you carry\Na stuffed animal around? How weird!""","“キャー 黒崎って ぬいぐるみとか
持ち歩いてんの？”","""Curgo Kurosaki stuffed toy
Have you carried it?""",0.25
Yammering away first thing\Nin the morning…,朝っぱらから ベラベラベラベラ,Verabellabella from the morning,0.1111111111111111
"I told you to shut up and\Nact like a stuffed animal, didn't I, Kon?!",改造魂魄(かいぞうこんぱく)とか 呼びにきいんだよ,I'm looking for a remodeling soul,0.09090909090909091
Kon's good enough for you.,おめえなんか“コン”で十分だ,"Thank you very much for ""Con""",0.15384615384615385
That's no reason for you\Nto call me Kon!,"そうだ 上の“改造”のほう取って
“カイ”ってのはどうだ？","That's right ""Remodel""
How is the ""Kai""?",0.10526315789473684
I like Kai. Call me Kai.,"“カイ”がいいな
“カイ”って呼んで","""Kai"" is good
Call ""Kai""",0.2
– No way.\N– Why not?!,"（一護）ダメ
（コン）何で？","no
 What?",0.25
Damn you…,落ち着いて着替えもできん,Calm and change clothes are also ready,0.0
Don't get smart! You…,ふざけんな！,Do not be silly!,0.2222222222222222
"What's all this racket,\Nso early in the morning?",朝っぱらから うるさいぞ,It's noisy from the morning,0.2
