en_text,jp_text,google_translated,score,semantic_score
"with the failed attempts\Nto assassinate Rurichiyo,","（ナレーション）
度重なる襲撃失敗に 業を煮やした",I simmered the business with a repeated raid failure,0.14285714285714285,0.17895699
and dispatches them\Nto the World of the Living.,"不気味な獏爻刀 烈雷(れつらい)の攻撃で
ダメージを受けるが","In the attack of the uncomfortable 獏 爻
Damage",0.14285714285714285,0.16337192
"Here I come, Ichigo Kurosaki!",（貫井）いくぞ 黒崎一護(くろさき いちご)！,I'm going to do Kurosaki Ichigo!,0.3636363636363637,0.80872023
Bankai!,（一護）卍解(ばんかい)！,solution !,0.3333333333333333,0.2979384
"Rukia battles one of\Nthe assassins, Douko,","（ナレーション）
刺客のひとり 銅虎(どうこ)と戦うルキアは",Rukia fighting with a single copper tiger,0.07692307692307693,0.6108152
Amazing!,（銅虎）すげえ！,!,0.5,0.46444356
This is the power\Nof the Bakkouto?!,"体に力が満ちてくるぜ！
これが獏爻刀の力か！","Body is full of power!
This is the power of the 獏 爻!",0.3076923076923077,0.44123077
"and is locked in a corridor of mist\Ncreated by the Bakkouto, Shiragiri.","（ナレーション）
一方 九頭竜(くずりゅう)と戦う石田(いしだ)は","On the other hand, Ishida  fights",0.10526315789473684,0.26613352
This is…,"（石田）これは…
（九頭竜）フフフフッ…","This is ...
 Hofufuhu ...",0.2,0.33386168
There!,ハッ… そこか！,Ha ... there!,0.5,0.66085684
What?!,なに!?,what!?,1.0,0.8981639
Over here.,こっちだ　ハハハハッ…,Here's Hahahaha ...,0.16666666666666666,0.3744328
How long can you\Nkeep running?,"（九頭竜）
いつまで逃げられるかな？",How long can I escape?,0.5,0.4309892
I’ll show you…\Nthe true power of my Kakuyoku!,"（厳牙）見せてやるぜ
この角翼の真の力をな！","Show me 
The true power of this corner wing!",0.3125,0.36512265
He is much faster\Nthan I thought.,こやつ 思った以上に素早い,It is quicker than I thought,0.3,0.541608
"Don’t think that’s the extent of\Nthe power of this Bakkouto, Retsurai!","（銅虎）この獏爻刀 烈雷の力
こんなものだと思うなよ！","This 獏 獏 爻 力
Don't think this is something like this!",0.125,0.21342346
What? Is it over already?,なんだ　もう終わりか？,What is it over?,0.8333333333333334,0.7132332
Enryu!,"（斬る音）
（瑠璃千代）ああっ！",Oh!,0.3333333333333333,0.2994975
Damn it!,あっ そうか！,Is it so!,0.4,0.41947013
Not only his speed…,ヤツの素早さだけでなく,Not only the quickness of the guy,0.25,0.57000417
"I must immobilize the blades on his back,","背中の刃(やいば)も同時に封じなければ
勝ち目はない","If the back blade  is not sealed at the same time
There is no win",0.1,0.38845354
Damn!,ンンッ！,Nhen!,0.3333333333333333,0.24184945
Die!,グオッ！,Guo!,0.3333333333333333,0.28937846
Somenomai…,初(そめ)の舞…,The first dance dance ...,0.0,0.21998644
Tsukishiro!,月白(つきしろ)！,Tsukihiro !,0.3333333333333333,0.8563254
I did it.,やったか？　ハァ…,Did you do it?Hua ...,0.2222222222222222,0.4791864
I won’t forgive you.,許さんぞ…,Thank you ...,0.1111111111111111,0.19256271
I won’t forgive you!,ハァ… 許さんぞ！,Hua ... Thank you!,0.2,0.116311625
What is this?!,"（銅虎）アアッ！
（ルキア）何だ？","AAA!
 What is it?",0.5714285714285714,0.4152369
Stop!,（銅虎）アッ！　やめろ！,! Stop!,1.0,0.96088123
What…What happened just now?,一体 何が起こったのだ？,What happened?,0.3333333333333333,0.52183986
and I can’t sense his presence.,"ヤツの霊圧が拡散していて
気配が読めない","The repass of the guy is spreading
I can not read the sign",0.1111111111111111,0.3499789
What is that sword?,（九頭竜）何だ？　その刀は,What is it?The sword,0.5714285714285714,0.87633824
