en_text,jp_text,google_translated,score
What should I pick? shouldn't we order something?,≪何にしようかな～,«What should I do?,0.36363636363636365
Hey.,ねえ 何か歌わないの？ いいです,Hey Don't sing something?Is good,0.1111111111111111
No one told me this would be a mixer.,私 合コンなんて聞いてなくて 分かった 分かった,I knew I didn't hear it,0.0
"If you're too embarrassed, I'll sing with you.",恥ずかしいなら 一緒に歌ってあげるからさ,"If you are embarrassing, they will sing together",0.25
Come on. Pick a song.,ほら 選んで ちょ… 離してください,Choose and choose ...,0.0
When you talk like that...,そんなこと言われると あッ…,It is said that it is said that ...,0.2222222222222222
it makes me want to do bad things to you.,イジワル したくなる,Igwar,0.0
What if something like that happens?!,何てことになってたら どうしよう,What should I do if it is done,0.14285714285714285
The guy turned into you partway through.,途中から相手 宇佐君になってるよ,I'm getting the opponent Usa from the middle,0.06666666666666667
I bet he has 108 different fantasies involving sexual harassment.,こいつのセクハラ妄想は 108あるぞ きっと,There are 108 sexual harassment delusions of this guy,0.17647058823529413
"Because I don't want to see Senpai with other guys, even in my fantasies!",妄想でも他の男は嫌なんです！,Even delusions or other men are disgusting!,0.13636363636363635
I thought this was a gathering for book lovers.,これ 本好きの集まりじゃ？ そうだよ こう見えてｺｲﾂら,Is this a collection of this book?That's right I see it,0.21052631578947367
"Despite appearances, everyone here reads lots of books.",読書家なんだから,Because it is a reading house,0.0
What?,あれ 俺って 本読むように見えない？,"Well, don't you look like reading book?",0.09090909090909091
"That's because you look like a player, Mitsui.",三井は見た目チャラ男だからね ひっでえ,Mitsui looks at the eyes of the sight,0.058823529411764705
Harsh. but mitsui's also a fan of,でも 律ちゃんが教えてくれた ｢ﾍﾞｲﾘｰ伯爵の余罪｣,"But ""Bailey's Cross"" that Ritsu-chan taught me",0.11764705882352941
It was really interesting.,すげえ面白いよね 特にモリーの妊娠発覚から,"It's really funny, especially from Molly pregnancy discovery",0.15384615384615385
"Yeah, I wasn't expecting that to happen.",うん まさか ああなるとは あれ 続編があるの知ってる？,"Well, do you know that there is a sequel to that?",0.15789473684210525
"I guess it's not really a sequel, but the same characters in new roles.",続編つうか ｽﾀｰｼｽﾃﾑなんだけど,It is a sequel or a star system,0.14285714285714285
I'd rather talk to Rit-chan about books than listen to you sing.,お前の歌より 律ちゃんとの本談議選ぶわ,Meisuke's Meeting with Ritsu from Your Song,0.0
"What else do you read, Rit-chan?",律ちゃんは他に どんなの読んでるの？,What do you read?,0.625
"Um, I've also read Mishima Yukio,",えっと 三島由紀夫とか,Ehimi Mishima Yukio,0.2222222222222222
End of song,山崎豊子とか,Yamazaki Toyoko,0.0
You can really tell when a girl is a true reader.,やっぱ ちゃんと読んでる子は違うな,After all the children reading properly are different,0.0
I met this girl from South High the other day,こないだ会った南高の女子がさ 趣味は読書っつうから,"I'm not here, because the southern high girls are reading",0.15789473684210525
who said her hobby was reading.,何読んでんの？ って聞いたらさ ファッション誌だって,"What are you reading?If you ask, it is a fashion magazine",0.05263157894736842
"So I asked her what she read,",何読んでんの？ って聞いたらさ ファッション誌だって,"What are you reading?If you ask, it is a fashion magazine",0.10526315789473684
"and she said, ""Fashion magazines.""",何読んでんの？ って聞いたらさ ファッション誌だって,"What are you reading?If you ask, it is a fashion magazine",0.1
That's sad. and i can't stand people who cry over cell phone novels.,≪ｹｰﾀｲ小説で 泣けるってﾔﾂも困るよなあ➡,«You can also cry with a mobile phone novel and you're troubled.,0.15384615384615385
People who are into that stuff really like to brag about it.,ああいうの好きなヤツらって 自信満々じゃね？ あと,"Oh, I'm confident that my favorite is my favorite.another thing",0.043478260869565216
Then there are people who act like they're readers,読みやすいの ちょっとかじった だけで読書家気取りなの➡,It is easy to read and ready and ready-minded,0.0
And then they ask for a recommendation.,オススメ貸してとか言われても 読めるレベル違うしさ,"Even if it is said that it is recommended, it can be read even if it is said",0.0
was really good!,《先輩 これ すげえ面白かったっす》,"""Senior this is wonderful""",0.0
Especially that one scene...,《特に あそこのシーンが》,"""Especially there is a scene""",0.2
Can't they bother to look for a book themselves?,自分で探す気もないのかよってね,It is not a feeling that you look for,0.17647058823529413
Wouldn't you agree?,そう思わない？ 思わない,Can't you think so?Do not think,0.3
It's normal to start by reading easier books.,読みやすいのから 本に興味持つの普通だし,It is normal to be interested in books because it is easy to read,0.23529411764705882
It's not normal to make fun of people,色んな本を読んでみたいって 気持ち バカにする方が変,It is strange that you want to read various books,0.11764705882352941
Rit-chan...,律ちゃん…,Ritsu ...,0.3333333333333333
You're really nice.,優しい子なんだな 俺 別に,I'm a kind child,0.0
I didn't mean to make fun of anyone.,バカにしてるつもりは なかったんだけど,I did not intend to be stupid,0.21428571428571427
I really like that about you.,そういうとこ すごくいいと思う,I think that kind of so good,0.16666666666666666
Don't run away.,逃げないで,Do not run away,0.5
