en_text,jp_text,google_translated,score,semantic_score
Uninstall.,♪～,♪ ~,0.0,0.13157286
What?,（ウシロ）何だよ？,What is it?,0.5,0.43105996
"Ushiro, I'll let you be the successor.","（コエムシ）宇白(うしろ)
ちょっと 俺と２人で話そうや","Ushiro 
I'm going to talk with me and two people",0.10526315789473684,0.5999185
"Don't wanna die, do you?",死にたくないんだろう？,Do you not want to die?,0.3636363636363637,0.8263093
Onii-chan...,アア…,Oh ...,0.3333333333333333,0.12194052
"I... don't mind joining the contract, too.",（カナ）私 契約してもいいよ,I can contract,0.16666666666666666,0.6502519
And then you can...,そしたら お兄ちゃんは…,Then my brother is ...,0.25,0.42814896
We're not even real brother and sister!,"本当の兄妹(きょうだい)でもないのに
なんで そんなこと…","Even though it is not a real brother and sister 
Why she said that ...",0.3333333333333333,0.69290465
Don't say it like that!,そんな言い方しないで！,Don't say that!,0.7142857142857143,0.7892697
Dad?,父さん？ 順(じゅん)だけど,Father?Originally,0.25,0.66559815
Yeah.,うん…,Yes…,0.0,0.58335364
Tomorrow... I'll be coming home with Kana.,あした カナを連れて帰ります,I will take tomorrow kana,0.25,0.7455377
Okay.,ああ,Ah,0.0,0.39018825
Morning.,"（マチ）おはよう
（カナ）マチさん","Good morning 
 Machi",0.25,0.58704245
"You're leaving, right?",お兄ちゃん 用意できた？,Have you prepared your brother?,0.2,0.2151845
I thought I should see you off.,"もう行っちゃうんでしょう？
見送りぐらいしようと思って","Do you go anymore?
I'm thinking of taking off",0.2,0.40725026
Thank you.,ありがとう,Thank you,0.6666666666666666,0.7717476
"Ah! Machi-san, please take this!",これ 持っていってください,Please have this,0.25,0.2361985
Huh? Cup noodles?,えっ？ カップ麺… こんなに？,eh?Cup noodles ... so?,0.42857142857142855,0.9464501
I gave him a call a little while ago.,"関さん いなかったけど
（ウシロ）電話はしてある","I was not there
 Call is",0.15384615384615385,0.46204203
I see...,"定期的に連絡くれってさ
（マチ）そっか",I will contact you regularly,0.14285714285714285,0.023909759
"I guess that makes sense,\Nsince we're the only ones left...","もう 残ってるの
私たちだけだもんね","It's already left
Only we are",0.16666666666666666,0.65711355
That's not exactly true.,"軍のほうで仕事が増えてるとかで
来られないから―","In the army's more work
Because I can not come-",0.13333333333333333,0.16755004
The only ones still contracted are me and Seki-san.,"契約してるのは 俺と関さんだけだ
お前は関係ない","It is only me who is contracting
You are not related",0.17647058823529413,0.425151
Where to...?,"来るんだよ
（マチ）どこに？","I will come
 Where?",0.2857142857142857,0.39665243
There'll be a place where you can stay.,"父さんのとこ
泊まれるとこもあるから","Father's cousin
Because there is also a room",0.1176470588235294,0.14337458
But why...?,でも どうして？,But why?,0.75,0.79714775
Do you have anything to take care of today?,"お前も来い
（マチ）えっ？","You also come
?",0.16666666666666666,0.19731364
"You'll need an interline ticket, so I'll buy it for you.",連絡切符だから 俺が買うよ,I will buy because I'm a contact ticket,0.16666666666666666,0.5902283
Isn't it great?,"（要次郎）
順 どうだ？ いい所だろう",How is it?It will be a good place,0.2727272727272727,0.41531363
Let's all work together and live life to the fullest.,３人で 力を合わせて生きてこうな,Three people together to live and live,0.2857142857142857,0.30800265
A school?,（マチ）学校？,school?,0.6666666666666666,0.79432565
"When Kana was born, Mom died...\NAh, it wasn't her fault, but...","こいつが生まれたとき
母さんが死んで","When this is born
Her mother is dead",0.16666666666666666,0.5435787
That's really great.,"へえ　すごいね
（ウシロ）ああ","It's great
 Oh",0.2857142857142857,0.5291949
The train we're switching to is already here! Hurry!,"あっ 乗り換えの電車が来てる
急げ！","A car train is coming
hurry up!",0.26666666666666666,0.6106758
"Compared to my run-down place, this is really a work of art.",（宮本）うちのボロより立派ですよ,It is a greater than Boro,0.1111111111111111,0.080879085
"Now then, Jun, be sure to listen to Miyamoto-san, all right?","（要次郎）じゃ 順
宮本さんの言うことをよく聞いてな",I often listen to Mr. Miyamoto,0.125,0.64265454
That's a pretty big face!,（先生）大きなお顔ね　誰？,Who is a big face?,0.3,0.7161535
Daddy.,（ウシロ）父さん,Father,0.0,0.7179792
"Jun-kun, hurry and eat up.",順君　早く食べちゃってね,Please eat it quickly,0.1,0.37120315
No!,（ウシロ）ヤダ！,Yada!,0.3333333333333333,0.38277575
I want to show him this picture.,"父さん待ってる
この絵 見せるんだ","Father waiting
I can see this picture",0.25,0.49611446
"Not tonight. If you don't get to bed,\Nyou won't have the energy to play tomorrow.","電気 消さないで
（宮本）はいはい","Do not erase electricity
 Yes Yes",0.09523809523809523,0.18159992
Really?,ホント？,really?,1.0,1.0000004
You got it.,"じゃ お父さん帰ってきたら
起こしてあげるから","If you're back home
I will raise it",0.18181818181818185,0.17261577
So was your dad's school built soon after?,"（ウシロ）
校舎が なかなか建てられなくて",The school building has not been built quite easily,0.1176470588235294,0.5532032
and held something more like a summer nature school.,"自然学校みたいなことを
やってたんだ","Things like natural school
I did it",0.13333333333333333,0.5635864
"Quit it, Kanji-kun!","（ウシロ）
いや　実際には時間がかかった","No, it was actually time",0.2222222222222222,0.08158422
Geez!,"（押す音）
ウワッ！",Uwa!,0.3333333333333333,0.23755305
"He was here last year, too. He's from Tokyo.","元気ね
（北野(きたの)）去年も来てた東京の子よ","Witly feel
) Last year I came to Tokyo",0.17647058823529413,0.572862
"Let me play with it, too!","カナにも やらせて
（ウシロ）お… おい","Let me do it in Kana
 ...",0.25,0.3135501
You little...!,お前！,you!,0.5,0.42371765
Are you okay?,"（泣き声）
大丈夫か？",Are you okay?,1.0,1.0000004
"I'm sorry, Jun.","俺は それを
なんだか よそよそしく―","I
Somehow I'm so familiar-",0.2222222222222222,0.20091912
"Now that I think back to those days,\NI think Dad was really watching out for me.","（ウシロ）今思えば 父さんは
俺に気を遣ってくれてたんだと思う","If you think now, father
I think he was aware of me",0.25,0.6863611
