en_text,jp_text,google_translated,score
I haven't smelled tatami mats in a long time.,久し振りに嗅ぐ　畳の匂い,Smell of tatami tatami after a long time,0.2857142857142857
Where am I?,あれ　ここどこだっけ,Where are you,0.16666666666666666
What happened last night?,確か　昨夜…,Certainly last night ...,0.2857142857142857
Do you remember nothing at all  from when you were transformed?,変身中の記憶は全くなしかい,My memory during transformation is quite,0.0
What are you talking about?,何のことです,What is,0.14285714285714285
But your right hand's still there.,でもまだ右手に残ってる,But it is still right hand,0.4
It's been so long,久し振りだなー　天井,It's been a long time,0.5714285714285714
What? what?!,なっなに　なに　なにっ,Nanagana,0.0
Today's another fine day.,今日もいい天気だねぇ　新しい寮のほうはどうだい,It is good weather today. How is your new dormitory?,0.13333333333333333
"Great, thank you. compared to sleeping outdoors, it's heavenly.",おかげさまで　野宿に比べたら雲の上の宮殿のようです,Thanks to the palace above the clouds compared to Nobuangs,0.1111111111111111
Thank you so much for everything.,本当　何から何まで有り難う御座います,Thank you very much for everything,0.625
"By the way, Atsushi-kun, i apologize for asking  this out of the blue,",ところで　敦君　いきなり申し訳ないが…,"By the way, I'm sorry I'm sorry ...",0.3125
but there's been an emergency.,実は緊急事態が発生したのだ,Actually an emergency occurred,0.2222222222222222
"Yes, there's no time to waste.",ああ　一刻を争うのだよ　直に指定の場所に来てくれたまえ,"Oh, I'm fighting for a moment, please come to the specified place",0.09523809523809523
It's a crisis!,大変な事態だ　君だけが頼りだよ,It's a big deal only You are relying on,0.25
く,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
導,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
へ,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
前,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
を,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
膝,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
足,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
い,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
重,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
の,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
そ,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
sono omoi ashi o hiza o mae ni michibiku,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
"That feeling pulls your feet onward,",その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.06666666666666667
负,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
责,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
人,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
Maki,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
负责人,その重い足を膝を前へ導く,Lead the knee in front of its heavy feet,0.0
江,本物か偽物か つれて行けよ,Let's go with real or fake,0.0
小,本物か偽物か つれて行けよ,Let's go with real or fake,0.0
伍,本物か偽物か つれて行けよ,Let's go with real or fake,0.0
