en_text,jp_text,google_translated,score
What? The station?,"（草薙護堂(くさなぎごどう)）えっ 駅？
駅なんてないぞ","Yo Station?
There is no station",0.25
Okay. I'll ask someone.,"うん
誰かに聞いてみるよ","Yes
I will ask someone",0.375
I'll manage somehow.,じゃあ 切るぞ,Then I'll cut,0.2857142857142857
"Being an ethnologist, my grandfather has \Ntraveled all over the globe since his childhood.","じいちゃんは民族学者で
若いころから―","Great-chan is an ethnologist
From younger-",0.1
This stone tablet is one of them.,"この石版も
その中のひとつ","This lithograph
One of them",0.4444444444444444
"He was holding onto it for a \Nwoman who lives on this island,","この島に住む女性から
預かっていたもので―","Women who live on this island
She was deposited-",0.2777777777777778
come out here to return it.,ここまで返しに来たのだ,I came to return to here,0.3333333333333333
Me?,俺？　え… ええと,I?Eh ...,0.2
U-Um...,"（エリカ･ブランデッリ
のイタリア語）
（護堂）あ…",A ...,0.3333333333333333
Passami subito quella guida diabolica!,ああ…,Ah…,0.0
My name is Kusanagi Godou.,"マイ･ネーム･イズ
ゴドウ･クサナギ","My name is
Godow Kusanagi",0.5714285714285714
You don't speak Italian?,"もしかして イタリア語
分からないの？","Maybe Italian
I do not understand?",0.3
"Then, I'll tell you again in Japanese.","なら 日本語で
言ってあげるわ","If it is Japanese
I'll tell you",0.38461538461538464
Grimoire?,魔道書？,Magician?,0.3333333333333333
I am a knight of the Copper-Black Cross.,私は赤銅黒十字(しゃくどうくろじゅうじ)の騎士よ,I'm a Knight of a red copper black cross,0.38461538461538464
I can't! I was asked to deliver this to—,"あっ だめだよ
これは届けるように頼まれて…","It is not good
This is asked to deliver ...",0.26666666666666666
Are you... a robber?,もしかして… 強盗か？,Maybe ... Is it a robber?,0.4444444444444444
What is that noise?,あっ な… 何だ？,What is it ... what?,0.42857142857142855
"Forty-eight hours later, I, Kusanagi Godou, became the seventh king of the world.","俺 草薙護堂は
世界で７人目の王となった","I'm Hikedo Hido
It became the seventh king in the world",0.3157894736842105
You get away from here.,あなたは逃げなさい,You run away,0.2857142857142857
Arianna!,"（エリカ）アリアンナ！
（アリアンナ）はい！","Arianna!
 Yes!",0.6666666666666666
"Erica-sama, where shall we go?",な… 何だ？　神って,... What?Let,0.1
It's still at the harbor.,"まだ港にいるわ
ローマ通りを南へ","I'm still in the harbor
To Rome Street South",0.21428571428571427
I have to stop it soon!,うっ… 早く止めないと　あっ！,Uh ... I can not stop early!,0.25
This is far enough! You go somewhere safe!,ここでいいわ　あなたも逃げて！,Here you will run away!,0.15384615384615385
Erica-sama!,（アリアンナ）エリカ様,Erica-sama,0.5
"O' lion of steel and your forebear, the lion-hearted king,",鋼(はがね)の獅子と その祖たる獅子神王よ,Steel 's lion and its idiot dumpling,0.1875
"please accept this knight's, Erica Blandelli's, oath.","騎士エリカ･ブランデッリの
誓いを聞け","Knight Erica Brandelli
Listen to the oath",0.21428571428571427
Time for a showdown.,さあ 決闘の時間よ,Let's duel time,0.125
Cuore di Leone!,クオレ･ディ･レオーネ！,Quore di Leone!,0.6
An omen of an impending \Nbattle between gods nearby!,"ここで神々の戦いが
始まろうとしている","Here is the battle of the gods
I'm trying to start",0.1111111111111111
"Jesus, where did she go?","イタッ… ったく
どこ行ったんだ？　あいつ","Ida ...
Where did you go? that person",0.3333333333333333
"Is this yours, boy?",（ウルスラグナ）これはお主のか？,Is this main?,0.42857142857142855
"Y-Yeah, you should run away too.","早く逃げたほうがいいぞ
なんか化け物が…","It is better to run away early
Something is ...",0.13333333333333333
"""Delightful""?",面白い？,interesting?,0.2
"Who are you, anyway?","っていうか お前 誰だ？
日本語ちょっと変だぞ","I mean or who are you?
Japanese is a bit strange",0.2857142857142857
"I am the victorious one,",我は勝者じゃ,I am a winner,0.25
The victorious one?,（護堂）勝者？,winner?,0.2
"I have been reviving the olden kings of gods and challenging them to matches,","古き神々の王をよみがえらせ
立ち合うてみたが―","Let's make the king of the old gods
I tried to stand-",0.22727272727272727
Feels like I'm talking to Gramps again.,"なんか じいさんと話してる
気分になるな","I'm talking to something
Mood",0.36363636363636365
