en_text,jp_text,google_translated,score,semantic_score
Thank you.,ありがとうございます,thank you,0.6666666666666666,0.7717478
t,♪～,♪ ~,0.0,0.395715
se,～♪,~ ♪,0.0,0.18218091
"Known as the Devil King of Eastern Europe, he is the most senior Campione.","〝東欧の魔王〞と
呼ばれる―","With the ""Demon King of Eastern Europe""
Called-",0.25,0.7146896
It seems he's kidnapped one of our hime-miko.,"最古参のカンピオーネが
うちの媛(ひめ)巫女(みこ)を拉致したようです","The oldest Campione
It seems that I was abducted by my wife  Maiden",0.09523809523809523,0.28914297
Why would Duke Voban take Yuri?,"ヴォバン侯爵が
なぜ祐理をさらうのかしら","Voban
Why do you expose your",0.18181818181818185,0.3339677
"Well, I think I might know why.",まあ いろいろと…,"Well, various things ...",0.18181818181818185,0.31205812
She met the Duke once before.,"あのお姫様
侯爵とは過去に面識がありまして","That princess
I have a sense in the past",0.06666666666666668,0.3918703
"Wait, you mean four years ago?",あっ まさか４年前の？,Is there a four years ago?,0.3636363636363637,0.78758276
"Well, there's more to it than that.","それに関しては思い当たる節が
なきにしもあらずで","There is a truth that you think about it
Don't do anything",0.15789473684210525,0.24779133
Do you think you could help us out?,ご協力いただけないでしょうか？,Could you cooperate?,0.3333333333333333,0.466533
Of course.,（草薙護堂(くさなぎごどう)）もちろんです,Of course,0.6666666666666666,0.8766717
That moron Doni called me yesterday.,"昨日ドニの野郎から
連絡があった","Yesterday from the guy of Doni
There was a contact",0.13333333333333333,0.53214437
Lord Salvatore?,"（エリカ）我が主(あるじ)よ
（護堂）あっ",Our Lord,0.25,0.47559464
My master...,言ってたけど…,I said but ...,0.16666666666666666,0.30697626
"You wouldn't be planning to see the Duke without bringing me, your knight, along?",居場所を教えてください,Please tell me the place,0.1,0.049027212
W-Well...,フッ… ありがとうございます,Hop ... Thank you,0.2,0.1814004
I cannot abide.,従うことはできません,I can not follow,0.5,0.42694253
What was that?,"（サーシャ･デヤンスタール･
ヴォバン）何だと？",What?,0.5,0.54910004
