en_text,jp_text,google_translated,score
"This is the island
that the outside people were living on.","（オウニ）
これが 外の人間が住んでいた島？",Is this an island where people outside the person lived?,0.375
It's a ruin.,"これが
お前らの世界だっていうのかよ","This is
It's a world of you",0.3
"Ouni, stop. Ouni.",オウニ！,Ouni!,0.2
"You really don't know about anything,
do you?","（リコス）
あなたたちは
本当に何も知らないのね","You are
I really don't know anything",0.5454545454545454
<i>We didn't know anything,"（チャクロＮ）
私たちは何も知らなかった",We did not know anything,0.4444444444444444
What is this?,（オウニ）何だ？ これは,What is it?this is,0.8
<i>This many friends and peers?,"（チャクロＭ）
友達や仲間を こんなに？",Are friends and friends so much?,0.25
You did all this without any feelings?,これを君が一人で送ったの？,Did you send this alone?,0.4
<i>Why did this many people have to die?,"（チャクロＭ）
なぜ こんなたくさんの人が
死ななきゃならなかったの？","Why so many people
Didn't it die?",0.4
"Hey, where are we headed?","（オウニ）
おい どこに向かってるんだ？","Hey, where are you going?",0.5555555555555556
We're here.,（リコス）ここよ,here,0.25
"Hey, what is this?",おい これは何だ？ 答えろ,Hey? What is this?Answer,0.7142857142857143
Lykos isn't my name.,“リコス”は私の名前じゃない,"""Ricos"" is not my name",0.3
"It's the name of this creature
that's called Nous.","この“ヌース”と呼ばれる生き物の
名前よ","Of the creatures called this ""nuth""
Named",0.25
A creature?,生き物？,Creature?,0.6666666666666666
The shape of a soul.,（リコス）ヌース… 魂の形,Nuh ... Soul shape,0.25
"We gave our emotions
to Lykos as nutrients.",人の感情を吸収して食べる生き物,Creature to absorb human emotions,0.16666666666666666
That's why we have no emotions.,私たちは自分の感情を,We have their own feelings,0.18181818181818182
"People who found Nous decided
to entrust it with their emotions.","ヌースを発見した人々は
感情を預けることにした","People who found nuh
I decided to leave my emotions",0.375
Emotions destroy the world.,感情は世界を滅ぼすから,Emotion destroys the world,0.2857142857142857
It's something unnecessary.,必要のないものだから,Because it is not necessary,0.1111111111111111
The outside world you want to know...,"あなたが知りたがっている
外の世界は","You know
The world outside",0.625
"to continue an endless war.
It's a world like that.","いつ終わるとも知れない戦いを
続けている そんな世界","A battle that does not know when it ends
Such a world that continues",0.2
"Does my world have
what you were looking for?","あなたたちの求めるものは
私たちの世界にある？","What you want for you
Is it in our world?",0.3333333333333333
Leave me here and go home.,私を置いて帰って,Put me and go home,0.5
I'll die alone,私は一人で この船で死ぬから,Because I die by this ship alone,0.375
Lykos...,リコス…,Ricos ...,0.3333333333333333
I don't care,（オウニ）俺は別にかまわない,I do not talk separately,0.2857142857142857
"if there's a war or not,",戦争だろうが何だろうが,"It will be a war, but what would be",0.21428571428571427
"If it's going to let me get out of there,
I would give it all my emotions.",あそこから出られるなら,If it comes out there,0.2
<i>What is this?,"（チャクロＭ）
何？",what?,0.2857142857142857
<i>Hundreds and thousands of memories,頭の中を何百 何千…,Hundreds of thousands of heads ...,0.3
"<i>of people I don't know are coming
<i>and disappearing in my mind.","見たことのない数の人間の心が
よぎっては消えていく","The number of people who have never seen
I will disappear",0.125
<i>This chaos...,ああ これは… この混沌(こんとん)は,Oh this is ... this chaos,0.375
"<i>It's the scene that reoccurs to me
<i>when I can't stop myself from writing.",浮かぶ情景だ,It is a scene that floats,0.13636363636363635
<i>No. That's my memory.,ダメ これは俺の記憶,Dame This is my memory,0.16666666666666666
"<i>No. I don't want to erase it,
<i>even if it's a sad memory!",悲しくたって消したくない！,I do not want to erase it sadly!,0.3333333333333333
Hey. Do you understand what you guys did?,"お前ら
何をしたか分かってるのか？","You guys
Do you know what you did?",0.6
Chakuro?,（ハクジ）チャクロは？,Cro Cro?,0.3333333333333333
Sami...,あ… サミ？,Oh ... Sami?,0.5
Was that really all?,大丈夫？,All right?,0.3333333333333333
Yes.,（チャクロ）はい　ほかには何も…,Yes nothing more ...,0.2
"Okay. We'll believe
what you both just said.","（ハクジ）
分かった
二人の言うことを信じよう","Do you get it
I will believe in what I say",0.17647058823529413
"Taisha, tell everyone this.",タイシャ 皆に伝えなさい,Tell everyone Thaiha,0.2857142857142857
You're not allowed to bring anything back.,"あの島への渡航は
一切禁止にすると","Transages to that island
If you do not",0.21428571428571427
Cool your heads in there.,（マソオ）そこで頭を冷やせ,Cool your head there,0.42857142857142855
"Were you okay, Ouni?",心 取られてないよね？,"You have not taken your mind, right?",0.25
I... saw something weird back there.,俺 あのとき おかしなもの見たんだ,I saw something strange at that time,0.25
"I wonder if that's really a creature
that takes away your heart.","あれ ホントに
心を取っちゃう生き物なのかな","That really
Is it a creature that takes mind",0.3125
I saw it just for a second.,…一瞬だけ見えた,... I saw only for a moment,0.36363636363636365
Is the war in the outside world,"外の世界の戦争って
情念動(サイミア)を使った戦争なのか","War of the world outside
Is it a war using the intent conduction ?",0.38461538461538464
"I'm a little scared
of the outside world now.","俺 外の世界が
少し怖くなっちゃった","I am out of the world
I'm a little scared",0.6153846153846154
"I mean, why didn't you rescue me?","ていうか
なんで助けてくれなかったの？","I mean
Why didn't you help me?",0.7272727272727273
If Lykos didn't rescue me...,リコスが助けてくれなかったら…,If Ricos did not help ...,0.3
Then... why did she try to rescue me?,"だったら なんで
俺を助けようとしたんだろう…","Why
I guess I tried to help me ...",0.2857142857142857
