en_text,jp_text,google_translated,score,semantic_score
Na-gi-sa! Na-gi-sa!,バーン！,Burn!,0.3333333333333333,0.26873147
Go! Go!,ゴーゴー！,Go Go!,1.0,0.9141513
Let's go!,レッツゴー！,Let's go!,1.0,0.9999995
"""If Nagisa Matsumura doesn't quit\Nsinging within one week, she dies?""","１週間以内に引退しなければ
松村渚を殺すと？","If you do not retire within one week
When I kill Matsumura Aoi?",0.2608695652173913,0.5013698
"there was a singer who had sulfuric acid\Nthrown on her during a concert, right?","アイドル歌手がコンサート中に
硫酸をかけられる事件がありましたわね","Idol singer is in the concert
There was an incident that could be sulfated",0.16,0.6710224
It's the same person.,同一人物だった,It was the same person,0.5714285714285714,0.7908424
Yes. She's our number one star.,"はい 渚はうちの看板スターです
彼女にもしもの事があったら会社は…","Yes Aoi is a signboard star
She has a company if she has something wrong ...",0.16666666666666666,0.41239682
"By the way, how old is she?",ところで この子いくつ？,"By the way, some of these children?",0.38461538461538464,0.30988222
Fifteen?!,は？ 15ですけど,teeth?15,0.2,0.5864728
I'm happy to hear it.,ならば安心ですわ,It is safe if,0.1,0.10694281
What in the world?,お２人とも足は速いほうですか？,Is the feet fast?,0.25,0.1334092
Quick!,はあ はあ ああーっ！,Oh yes!,0.25,0.41896647
What was that?,な 何なんだ あ ああーっ！,What is it?,0.3333333333333333,0.50959116
I can't count on you. How can you\Nbe a bodyguard like that?,ほんっとに頼りないわね,I can not rely on,0.17647058823529413,0.19313602
"If something should happen to me, the\Nproduction company will be in trouble.","あたしにもしもの事があったら
うちのプロダクションは大損害なんだから","If there is something wrong
My production is a big damage",0.09090909090909093,0.37980634
I'm so lucky just to be meeting\Na beautiful lady like you.,"あなたのような美人に
出会えただけでも幸運なのに","For beautiful girls like you
Even though I just met",0.2777777777777778,0.6302413
It's true. I'm not someone to lie.,"ほんとですよ
僕は嘘をつけない性格なんだ","It is really
I do not lie",0.3076923076923077,0.6976087
I've never before in my life met a\Nwoman with such gentle eyes.,"あなたのように優しい瞳をした女性には
これまで 出会った事がない","For women who have gentle eyes like you
I have never met so far",0.2272727272727273,0.78301907
I have a meeting with the person\Nin charge of recording now.,"はぁ あ あ あたし 担当者とこれから
レコーディングの打ち合わせがありますので","Haa ah ah, from now on
Because there is a meeting of recording",0.25,0.60440564
"All right, it looks like fun tonight.","でへーっ！
今夜は楽しく過ごせそう… ん？","Hey!
It looks like it will be fun tonight ...?",0.3333333333333333,0.6448219
You're a strange one.,じゃあ… 後で,see you later,0.125,0.13585387
"You're indifferent to me, the pop idol,\Nwhile you flirt with my manager.","アイドルには無関心で
そのマネージャーに愛想をふりまくなんて","Idol indifferent
How to sprinkle the manager",0.29411764705882354,0.6297044
"Give me ten years, and I may just\Nbe more beautiful than she is.","あたしだって10年経てば
あの人以上に美人になるかもよ","After 10 years
It may be a beauty more beautiful than that person",0.21739130434782608,0.7761233
I'm not interested in something\Nthat's ten years down the line.,10年先の事にゃ 興味がないんでね,I'm not interested in 10 years ahead,0.4,0.80140233
"Right. I'd like to just stick you in my\Npocket, and guard you that way.","そう できれば俺は
君をポケットに詰めてガードしたいなぁ","If so, I
I want to stuff in the pocket and guard it",0.2608695652173913,0.44110864
That's the best way to\Nguard little things.,"ものをガードするには
そいつが一番なんだ","To guard things
That's the best",0.4545454545454545,0.34417233
What do you mean? Are you trying\Nto treat me like some object?,"ずいぶん刹那的なのね
あたしを女扱いしてないって事？","It's a very moment
Do not handle me?",0.15789473684210525,0.3395361
"In a pinch, you're going to\Nhave to protect yourself.","で とっさの場合
君は自分で身を守るしかない","In the case of
You have no choice but to protect yourself",0.2631578947368421,0.627787
I'm going to show you how.,その方法を 俺は君に教えてやる,I will teach you how to,0.4,0.5707533
The main thing is that your\Nfirst punch be a good one.,要は 最初の１発が決まればいいんだ,The necessity should be decided at first one shot,0.16666666666666666,0.26653504
Here. Aim your punch here.,"ここだ ここを狙ってパンチを放つ
アゴをねじ上げる要領でー","I'm here to aim at this for a punch
A guideline to bring up the jaw",0.17647058823529413,0.6109938
"When someone gets their head popped\Nlike that, it's disconcerting.",さっ やってみな,Let's do it,0.14285714285714285,0.022815365
Even a young girl has the strength\Nto KO a man like that.,女の子の力でも 男をノックアウトできる,You can knock out a man with the power of a girl,0.21052631578947367,0.58734924
"Okay, give it a try!",もっと腰を引いて！,Draw a lower back!,0.2,0.06360687
Put all of your weight into the punch.\NDon't hold anything back.,"全身の体重をかけるように殴るんだ
遠慮はいらないぞー","I'm going to put my weight of the whole body
Do not hesitate",0.17391304347826084,0.40575066
No good! Sharper!,はああ ふっ！,Hoa!,0.2,0.32301176
What are you doing?!,何をしてるんです！,What are you doing!,0.8333333333333334,0.885574
"Oh, Miss Kushida!",ああっ！,Oh!,0.4,0.23435554
I'm sorry!,ご ごめんなさい,Sorry,0.25,0.5287072
Not too bad.,あっ 串田さん,Mr. Kasuda,0.0,0.13526145
...and then a meeting until noon.,で 12時まで打ち合わせ,Meet until 12 o'clock,0.09090909090909093,0.6264291
"Later the rehearsal, and then\Nthe concert from five to seven.","その後リハーサルを挟んで
コンサートは５時から７時までの予定","After that, with rehearsal
The concert is scheduled from 5 o'clock to 7 o'clock",0.3,0.7958286
That's my schedule for tomorrow.,以上が明日のスケジュールです,This is the schedule tomorrow,0.2,0.8102476
"So, you have nothing planned\Nfor the evening then?",んー 夜は特に予定はないわけ？,"Hmmm, there's no particular plan to do?",0.1111111111111111,0.48431817
What do you think?\NShall we make it one mokkori date?,"どうです？ ひとつ
もっこりデートといきませんか？","how is it?one
Could you go to a dating?",0.21052631578947367,0.29082182
What is this monster high heel?\NIt's as big as a carrier!,"んん？ な 何だ
このバカでかいハイヒールは","?What
This stupid high heel is",0.4,0.6859079
Just be quiet! You want me to pop\Nyou on the back of your head again?!,もう１発 後頭部にくらいたい？,Do you want to be at the beginning of another?,0.3333333333333333,0.25903264
"Oh, yeah, just what was\Nthe big idea anyway?!","えっ それ おたくの靴？
なんてまた大足なんだ","Eh itoyo shoes?
What is a big feet again",0.16666666666666666,0.21619384
Did I really say that?,やあ だっ そんな事言ったっけ？,"Yeah, did you say that?",0.4444444444444444,0.6088269
Just come on!,いいから来るの！,It's good!,0.14285714285714285,0.18921374
"Hey, my date!",えーっ！ お 俺のデートー！,Eh!My date!,0.5,0.8431186
She sure is sticking to him. I wonder\Nif it's because her life's in danger?,"彼女イラついてるわね
命を狙われてるせいかしら","I have she Ira
Because of the aiming of life",0.18181818181818185,0.26313442
"No, it's probably because she doesn't\Nlike Saeba flirting with me.","あ　あんたが
いつまで待っても来ないからよ","Oh,
Because it does not come to me forever",0.21052631578947367,0.28111583
What? You mean that\NNagisa likes Ryo?!,"ええっ？ それってもしかして
渚ちゃんがリョウを好きだって事？","Eh yeah?But all
Aoi-chan likes Ryo?",0.2307692307692308,0.6740739
Yes.,ええ,Yes,0.5,0.8368554
"He's looking, he's looking.\NSo, how do you like my shapely legs?",気に入らないのよ,I do not like it,0.125,0.20203097
No man has ever withstood\Nthe beauty of my legs.,"うふっ… 見てる見てる
どう？ あたしの脚線美は","Ufu ... I'm watching
copper?My leguminous beauty",0.1111111111111111,0.34879082
You're wearing a miniskirt today.,今日はミニをはいてる,Today is Mini,0.1111111111111111,0.59664285
That's right!,そうよ,that's right,0.75,0.84444773
Jerk!,あーっ！,Oh!,0.3333333333333333,0.35794085
"In your case, I'm thinking kicking\Nmight suit you better.",君の場合 蹴りのほうがいいように思えるね,In the case of your case I seem to be better to kick,0.2777777777777778,0.7495398
"Okay, try to kick my hand.\NGo for it!",さっ この手にキックしてみな さあ来い！,I'm going to kick this hand!,0.2,0.6851679
"Okay, next try one this high. Okay!","そうそう あ じゃあ
次はこの高さねー はいー","Oh yeah
Next is this height.",0.2307692307692308,0.3117223
"What's the matter?\NOkay, give it a shot.",どうした？ さっ いってみようー,What happened?Let's go,0.2,0.2848568
"Oh, I'm so dreadfully sorry.",あ あ～ら ごめんあそばせ,"Oh, I'm sorry",0.625,0.68039745
I can't see the panties for the stars.,"あっ ああっ 闇夜のパンツは
見えませんー ん…","There is no dark night pants
I can not see it ...",0.10526315789473684,0.5262804
"Kaori, just look at their eyes,\Ntheir totally intoxicated eyes.","-香さん 彼らの目を見て下さい
-え？","-Becure Please look at their eyes
-Huh?",0.26666666666666666,0.45128238
Those that climb the steps of super-stardom\Nhave a frightening attraction.,スーパースターの階段を駆け上る者は,The person who rises the stairs of the superstar,0.125,0.48808917
They are drunk!\NNagisa is the only thing that they see.,"彼らは酔っています
渚しか見えないんです","They are drunk
I can only see the salmon",0.4,0.622278
"I suspect you could do anything to\Nthem, and they wouldn't even feel it.","あ ほ～んと感じないみたい ほら
もみもみって あははは","I do not feel like it
Momomihahaha",0.21052631578947367,0.21720617
Wow! They really don't\Nfeel anything! Look!,うわー これ以上前へ出ないで下さーい！,Wow I will not go out more than this!,0.13333333333333333,0.23801109
"Rubby, rubby...",何をされても… か,Whatever you are ...,0.16666666666666666,0.24545516
Ryo!,リョウー！,Ryoue!,0.3333333333333333,0.6558603
Don't push!,ああ 押さないで下さーい！,"Oh, don't press it!",0.375,0.54858834
Saeba!,いやあーっ！,No!,0.3333333333333333,0.31106004
But it looks like I underestimated him.,やったね リョウ,I did it,0.2222222222222222,0.21822232
"Thank you, Saeba.",ありがとう 冴羽さん,Thank you Thank you,0.4,0.36401096
"""Nagisa giving her boyfriend\Na hot kiss?""","“渚ちゃん 恋人と熱烈キッス”か…
はあ…","""Ao-chan Lover and Thermal Kiss"" ...
...",0.21428571428571427,0.512004
"Causing a scandal like this,\NI'm going to get the axe.","はははは…
こんなスキャンダル起こしちゃ… クビだな","Hahaha ...
This scandal happens ...",0.1176470588235294,0.5509563
"Thank you, Mr. Saeba!",冴羽さん ありがとうございました,Thank you very much,0.25,0.26887524
"The fact is, the culprit saw it, and\Nsent another threatening letter.","実はそれを見た犯人から
また脅迫状がきたんですのよ","Actually from the criminal who saw it
I also have threatened",0.15,0.58229434
Here it is.,はあ？ ありがとうってあの,Is it?Thank you,0.2857142857142857,0.33529696
If you don't mind...,"スキャンダルで
クビじゃなかったんですか？","In scandal
Didn't you have a cub?",0.15384615384615385,0.12089172
"""However, Germ, I'm going\Nto kill you first!""","なのにやい このバイキン
お前のほうを先に殺してやる","But this bykin
I will kill you first",0.25,0.3836841
"Yes, thanks to you,\Nhis target has changed.","ええ ええ あなたのおかげで
犯人の標的が変わったんですの","Yeah yeah thanks to you
The target of the criminal has changed",0.42857142857142855,0.5297109
What about the scandal?,じゃあ スキャンダルは？,"Well then, what is the scandal?",0.4444444444444444,0.8266315
"In the entertainment world these days,\Nscandals are just part of being a star.","今の芸能界では
スキャンダルもスター性の１つですわ","In the current entertainment world
Scandal is also one of the star",0.2857142857142857,0.52288765
Please?!,お願いします,please,0.3333333333333333,0.7150313
What is this?,うひょ～ん がっ 何じゃこれー！,What is this?,1.0,1.0000001
"Ryo, it's you?!",リョウ あんただったの？,Did you do Ryo?,0.3333333333333333,0.5459782
Be quiet! I've got to confess\Nmy love to her.,"静かにしてろ 俺は彼女に
愛の告白をしなきゃいけないんだ","I'm quiet and I am she
I have to confess her love",0.29411764705882354,0.8254875
Saeba?,"-んんーっ
-うるさいなぁ 誰？","-Nench
-Uoosai?",0.25,0.29586872
What is it? It's a strange ring.,何これ？ 変な指輪,What's this?Strange ring,0.5,0.9361978
"It's a kind of ring, all right,\Nbut not just any ring.","まあ 指輪といえば指輪だが
でも ただの指輪じゃない","Well, speaking ring is a ring
But he is not just a ring",0.2631578947368421,0.7564555
It's a ring that will protect you.,君を守る指輪だ,It is a ring to protect you,0.4545454545454545,0.94889396
"""Protect me?""",あたしを守るって…,Protect me ...,0.3333333333333333,0.61490405
"I'm sorry, Saeba.\NI'm honored, but I can't...","ダメよ 冴羽さん 嬉しいけど
こんな物もらうわけには… あっ！","I'm sorry I'm glad I'm happy
Here's something like this ...!",0.2222222222222222,0.22408468
Engagement ring?!,うっ うううう… こ 婚約指輪だと？ くく…,Uhuu ... that is the engagement ring?...,0.3333333333333333,0.8690332
"So, he had her place bugged?",ああーっ いてー,"Oh,",0.1111111111111111,0.18836065
"Right, it was in a stuffed animal\Nthat was a gift.",そうさ 贈り物のぬいぐるみの中にな,That's in the stuffed toy of the gift,0.2,0.73806834
"he would go mad with jealousy,\Nand be sure to come after me.","ヤツは嫉妬に狂って
必ず俺を襲ってくるだろうと思ったんだが","The guy is crazy about jealousy
She always thought he would attack me",0.16666666666666666,0.55514276
But I was only thinking\Nof Nagisa's safety.,だって あたしは渚ちゃんの安全を思って,Because I think of Safety of Aoi-chan,0.15384615384615385,0.43057808
Thanks to you events have\Ntaken an unexpected twist.,"お前の仕掛けたトラバサミのおかげで
な～んも喋れんかった","Thanks to the traverse you handed
Na-I wanted to fall",0.2,0.24420732
Unexpected?,んん？,?,0.5,0.33147582
"Right, just take a look at that.",ああ あれを見てみなよ,"Oh, let's look at that",0.3333333333333333,0.5060407
"Well, well, Nagisa, you're\Nwearing a ring. What is it?","お～やおや渚ちゃん
指にはめてるそれは何かな？","Oh Yao-chan
What is it to finger?",0.26666666666666666,0.28740034
"Oh, you mean this?",ああ これですか？,Oh this is this?,0.42857142857142855,0.55837035
What's going on?!,ど どういう事よ これ！,What kind of thing is this!,0.18181818181818185,0.2408878
"Well, I'm not sure how it happened,\Nbut it appears she actually fell for me.","だから渚 何も言えなくなって
受けちゃったの","So I can not say anything
I received it",0.13636363636363635,0.07298865
Just look at her eyes.\NShe's absolutely serious.,"彼女の目を見てごらん
あれはもうマジだよ","Look at her eyes
That's really serious",0.4166666666666667,0.87604195
Maybe I'd just better tell her\Nit was part of my plan.,"やっぱ作戦だったって事
説明しといたほうがいいだろうなぁ","After all it was a fight
It would be better to explain",0.09090909090909093,0.11030489
"Nagisa, are you there?\NYou're back, aren't you?",渚ちゃん いる？ 帰ってんだろ？,Is there a 渚?Are you back?,0.38461538461538464,0.5528907
What's the matter? Are you angry?,"あ どうしたのかな？
渚ちゃん怒ってんの？","What happened?
Aoi-chan is angry?",0.2727272727272727,0.39263618
"Yes, I am very angry!",そう 猛烈に腹が立ってるの！,That's why I'm hungry!,0.16666666666666666,0.3480862
"Oh boy, I should have cleared up this\Nmisunderstanding more quickly.","まじい～ もっと早く
誤解を解いとくべきだった","Maji ~ earlier
I should have solved the misunderstanding",0.16666666666666666,0.3232093
Everyone says this isn't a ring.,みんな これが指輪じゃないって言うの,Everyone says this is not a ring,0.6666666666666666,0.98598427
Those tears were genuine.,あの時の涙 あれは嘘じゃなかったもん,At that time the tears were not a lie,0.16666666666666666,0.7306505
I will declare my intention to retire\Nat the concert tomorrow.,"こうなったらあたし
明日のコンサートで引退宣言をするわ","If this happens,
Declare a retirement at a concert tomorrow",0.16666666666666666,0.7896264
And then I will announce my\Ndecision to marry you!,そしてあなたと結婚するって発表するの,And announce to marry you,0.5,0.8399709
"Well, Nagisa, I think...",ああっ あのね渚ちゃ～… あぐっ,"Oh, that's a girl ~ ...",0.16666666666666666,0.2507812
"Saeba, we will overcome this test with\Nthe strength of our love! Saeba!","冴羽さん この試練を
２人の愛で乗り越えましょう","冴 Mr. this test
Let's get over with the love of two people",0.17391304347826084,0.6049461
"Yeah, whatever. I've had it!","ああ とぅら～い とぅら～
あのねぇ渚ちゃん だから～ あ？","Oh, I'm sorry ~
That's because it is ちゃ ~ ~?",0.15789473684210525,0.17272262
Marriage?!,"-冴羽さん！
-へっ","-Suke Sue!
-",0.16666666666666666,0.115274236
Today's the showdown.\NHave you prepared yourself?,"いよいよ今日が勝負だ
心の準備はいいか？","Finally today is a game
Are you ready for your heart?",0.17647058823529413,0.47800004
"Yes, I've already decided what I'm going to\Nsay for our engagement announcement!","はい！ 婚約発表の言葉は
ちゃんと考えてきました","Yes!Words of engagement announcement are
I thought properly",0.25,0.7358593
"In this case, you wear it on the right.","あの この場合は
右手にするって決まってんの","In this case
It is decided to be a right hand",0.29411764705882354,0.5324837
"I see! Some engagement rings are meant\Nfor the right hand, others for the left.","あっ そうか！ 婚約指輪って
右手用と左手用ってあるのね","Is it so!Engagement ring
It is useful for the right hand and left hand",0.3181818181818182,0.8336461
"After the concert, buy me one\Nfor the left, okay?","コンサートが終わったら
左手用も買ってね！","When the concert is over
Buy for left hand!",0.25,0.6797312
"Right, right.",はい 大丈夫,"Yes, okay",0.2,0.39830738
This is going to be my\Nlast time on stage.,"これが あたしの
最後のステージになるのね","This is my
It will be the last stage",0.26666666666666666,0.7557216
I want you to see me off to\Nthe stage with a kiss.,"あなたのキスで
あたしをラストステージに上げてほしいの","With your kiss
I want you to raise me to the last stage",0.4705882352941176,0.7419337
You're kidding?! You mean in\Nfront of all these people?,"へっ？ バ バ～カ～
な～に言ってんだよ人前で","?Baba ~
I'm telling you",0.125,0.19014537
I think I'll go keep an eye\Non her from the seats.,お 俺 客席から見張ってようかな～,I wonder if I will watch from the audience,0.17647058823529413,0.39319706
"It's dark, so watch your footing.",足元暗いから気をつけてね,Be careful because it is dark,0.15384615384615385,0.6275528
Mr. Saeba!,冴羽さん しーっ,Mr. Shihira,0.25,0.5148953
Sorry. Pardon me.,どうも すいません,I'm sorry,0.16666666666666666,0.44822377
There are more guards than before.\NI wonder where he'll strike?,"前よりも警備員は増えている
さて ヤツはどう出るか","Security staff are more than before
Well, how does it come out?",0.18181818181818185,0.44582722
"Everyone, thank you for coming today!\NToday is a wonderful day!","みんな 今日はどうもありがとう！
今日は最高の日です！","Everyone Thank you very much today!
Today is the best day!",0.4117647058823529,0.8135129
Something important?,大事な発表？,An important announcement?,0.4,0.5443637
"Actually, today",実は 今日…,Actually today ...,0.5,0.8053114
my sixteenth birthday!,16の誕生日なの！,16 birthdays!,0.16666666666666666,0.7537282
"Hey, everybody! It's him.\NHe's the guy who kissed Nagisa!","おい みんな こいつだぜ
渚ちゃんとキスしたヤツは","Good morning everyone
The guy who kissed me",0.25,0.4757346
"Well, well...",それはそれは,well well,0.3333333333333333,0.72646844
Kissing my Nagisa like that...,あのねー へっ,That's,0.14285714285714285,0.16858663
