en_text,jp_text,google_translated,score
Why don't you stop hanging around\Nhere and go look for Snake?,"お前 こんなとこにいないで
スネークを探しに行けば？","Don't do this
If you go to search for snakes?",0.3333333333333333
"Kaori, what's keeping you here?\NGo home!",香 お前は何でここにいるんだよ 帰れ！,What is it here? I'm here!,0.26666666666666666
That Fall wind sure is cold.,秋の夜風は冷たいのよね,Autumn night wind is cold,0.3333333333333333
Damn!,ふ んん…！,Fun ...!,0.25
"What a strange, mutually hostile\Natmosphere between those three.","な 何か この３人
異様な殺気が漂ってるわねぇ","Something about these three people
I'm a strange heartwarming",0.17647058823529413
Please...,どうぞ,please,0.5
"Detective, Sir? Are the wounds\Non your back really all right?",背中の傷 本当に大丈夫なんですか？,Is it really okay to scratch your back?,0.23529411764705882
I don't need your concern!,ふんっ！,Fun!,0.125
"No, it's all right.\NPlease forgive my rudeness.",よ よけいなお世話だ！,It's a good care!,0.14285714285714285
Can't get to sleep?,寝付けないのかい？,Do you not sleep?,0.2222222222222222
Mr. Saeba...,冴羽さん…,Mr. Suehira ...,0.5
but we don't know where he'll\Nstrike next. Be careful.,"敵はどこで狙ってるか分からん
気をつけろ","I do not know where the enemy is aiming
Be careful",0.29411764705882354
I get the feeling that this isn't\Nthe first time we've met.,"冴羽さん 実は あの探偵さん
初めて会った気がしないんです","冴 さん 実 は 探
I do not feel like I met for the first time",0.21739130434782608
He has the same feel about him\Nas my father did.,父と同じ匂いがするんです！,I smell the same as my father!,0.26666666666666666
"I'm not sure how to put it, but the\Natmosphere about him seems similar.",でも 冴羽さんもなんです！,But I'm also Mr. Suga!,0.15
Somehow your feel is different\Nfrom that of other people!,"あなた方からは
他の人と違うような匂いが","From you
There is a smell different from other people",0.1875
What kind of nonsense am I spouting?\NGoodnight.,"あ… わ 私 何わけの分からない事を
お おやすみなさい","Oh ... Wow I do not know what kind of thing
Oh she good night",0.2
Same feel? Does that mean Ryo\Nwas a mercenary too?,"同じ匂いって…？ねえ
それリョウも傭兵だったって事かな？","The same smell ...?Hey you
Is it a mercenary?",0.23529411764705882
You don't mean...,ふっ…,Fucking ...,0.16666666666666666
This violin...,この バイオリンは…,This violin is ...,0.75
Sorry!,ん！,Hmm!,0.3333333333333333
...was my father's.\NIt's all I have of his.,父の形見なんです… たったひとつの,My father's shape is ... only one,0.1875
He often played this for me.,"父もバイオリンの名手で
よくこれで弾いてくれました","My father is also a man of violin
I often played this",0.1875
Doesn't mean anything to me!,ふん 俺には関係ない！,I do not matter to me!,0.2727272727272727
"Please wait, Detective!",待って 探偵さん！,Wait and detective!,0.5
"Why am I being targeted?\NYou've checked into it, haven't you?","私 なぜ狙われてるんでしょう
調べて下さったんでしょう？","I'm aiming for
Did you check?",0.15
A lady deceived by that playboy Saeba\Nis getting her revenge!,"女ったらしの冴羽にだまされた女が
復讐を…","A woman who was fooled by a woman who was a woman
Revenge ...",0.1875
Is that true?,そ それ ほんとなんですか？！,That's why?!,0.2857142857142857
"You're funny. Thank you, Detective.","うふっ おもしろい方…
ありがとう 探偵さん","Ufu interesting one ...
Thank you detective",0.2727272727272727
