en_text,jp_text,google_translated,score
SIGNS,"{\fad(200,200)}本字幕由茉語星夢字幕組製作 視訊由自由字幕組-RAW提供\N翻譯：傻瓜三世 Yoshino_san 日聽&校對：為愛而暗 時間：傻瓜三世 後期：Shadow1and",This Subtake Yuka Haru Yumeji Takeer Clothing Take-Display Free Takebook-Raw Provided by RAW \ Na-Nihon Yoshino_San Nishi & School: Seagami: Sekito: SHADOW 1And: Shadow1and,0.0
"While it doesn't work as a 500 million yen request,",{\blur2}5億の書類としては失格だが,It is disqualified as a 5 billion documents,0.17647058823529413
You've clearly expressed both your needs and the effects in numbers.,{\blur2}必要性も効果もしっかりと数字で示している,The necessity and effect are also shown firmly in numbers,0.21052631578947367
"There's no overlap, either.",{\blur2}内容の重複もない,There is no duplication of the contents,0.16666666666666666
"Even if I'd checked it beforehand, I couldn't have vetoed it.",{\blur2}もし僕が事前にチェックしたとしても,Even if I checked in advance,0.26666666666666666
"Well, if you'd sent over all 30 at once, I would've stopped it there.",{\blur2}まあ　一度に30枚も来たら流石に止めるけどなあ,"Well if 30 sheets come at once, stop it",0.3333333333333333
"Just you wait, Kiryu Nagisa.",{\blur2}等著瞧吧 霧羽渚,etc.,0.125
"I gave you orders to shut down A-TEC,",{\blur2}私はお前にA-TECを潰せと命じたはずだ,I should have commanded you to destroy A-TEC,0.3076923076923077
so why haven't they stopped their R&D work?,{\blur2}だというのになぜ奴らは未だに開発を続けている,Why are they still continuing to develop?,0.17647058823529413
"Actually, I was ordered to sever the ties between the Oozora Party",{\blur2}瀬良カイトの繋がりを切れとのことでしたので,because it was about the connection of Kite Kite,0.1111111111111111
And how is giving them access to our resources any better!?,{\blur2}どんな手を使ってでも,Any hand using,0.06666666666666667
"Come to think of it, did you manage to buy out Tsuda Heavy Industries yet?",{\blur2}そういえば　須田重工を買収する件はどうなった,Sometimes what happened to acquire Suda Heavy Industries,0.14285714285714285
"Oh, that deal?",{\blur2}ああ　あの件でしたら　既に先方との仮調印は済ませてあります,"Oh, if that's the case, a temporary measure with the other side has already been done",0.15789473684210525
Impossible. It should've taken you at least a month!,{\blur2}まさか　一月はかかる取引だぞ,It is a transaction that is also a month in January,0.16666666666666666
And yet you asked me to do it in a week anyway?,{\blur2}それを一週間で私にやらせるおつもりだったんですか,Was that a week to do it in a week,0.4
The funding process will be completed by the end of tomorrow.,{\blur2}あとは期日通り　明日先方への資金提供を済ませれば,If you finish funding for the other day as it is,0.1
Now you can get on with dismantling A-TEC.,{\blur2}ではまたA-TECを潰すことに専念できるなあ,can also concentrate on collapsing A-TEC,0.25
"Yes, of course.",{\blur2}ええ　勿論です,Yes,0.2
Next Day,{\blur1.5}あの日の君の誓い　少しくらい見栄を張ったっていい,Your vows of your day,0.2
Want another?,{\blur2}もう一個食べる？,Do you eat another?,0.3333333333333333
"Excuse me, Sera-sensei!",{\blur2}我說瀨良老師！,} 瀨 瀨!,0.14285714285714285
What's up?,{\blur2}なんだ？,What is it?,0.3333333333333333
Would you mind putting a stop to all this insanity!?,{\blur2}ちょっと瀬良先生！,A little sight teacher!,0.13333333333333333
Why?,{\blur2}なんで　みんな楽しそうじゃないか,Why not everyone enjoys,0.2
Can't you see that it's hindering Nagisa-sama's work!?,{\blur2}ナギサ様のお仕事の邪魔になるでしょう,It will be in the way of the work of Nagisa,0.10526315789473684
The class has been waiting for this big event all year!,{\blur2}学生にとってビッグイベントの修学旅行だぞ,School trip to Big Event for Students,0.1875
Just forget about work for today.,{\blur2}こんな時ぐらい　仕事のことは忘れろ,Forget about work about this time,0.3333333333333333
Both Nagisa and I already told you we couldn't make it today!,{\blur2}ナギサ様と私は　以前からこの日は同行できないと言ってたはずです,Nagisa and I should say that this day could not be accompanied by before,0.16666666666666666
We had a lot on our plate thanks to a certain someone.,{\blur2}俺たちだけこんな時期にずれたんだけどなあ,We were off at such a time as much as we,0.10526315789473684
"With the designs for the new SWNPR engine and X-3 finished,",{\blur2}これはな　新型SWNPRエンジンとX-3の設計を終えて,This is the design of the new SWNPR engine and X-3,0.4
Nagisa-sama is supposed to be wrapping up an important deal today!,{\blur2}ナギサ様には　今日中に処理しなければならない重要な案件があるというのに！,Nagisa is an important case that has to be processed during today!,0.3888888888888889
Isn't it unsafe to carry around a laptop with that much important data on it?,{\blur2}そもそも　そんな重要な案件の入ったPCを外に持ち出していいのかよ,I wonder if it is good to bring out the PC with such important projects outside,0.18518518518518517
Not a problem. I'm using a thin client.,{\blur2}問題ない　これはシンクライアントだ,No problem This is a thin client,0.3333333333333333
