en_text,jp_text,google_translated,score,semantic_score
Dialogue,（妖魔）グオオ,Goo Oo,0.0,0.19957352
This is horrible...,（男性）これで６人目だぞ,This is the sixth person,0.2857142857142857,0.1773285
"So, what are we supposed to do?",（男性）だからって どうするんだ,What do you do?,0.3,0.4258797
How about we just grab everyone we find suspicious...,"（男性）怪しいやつを
片っ端から捕まえたら…","Suspicious guy
If you caught from one end ...",0.125,0.43487605
Like who?,（男性）例えば誰だ？,"For example, who?",0.3333333333333333,0.55643594
I-I don't...,（男性）あっ…,...,0.25,0.30750862
I-I didn't say that...,（男性）そ… そんなことは…,... That's why,0.25,0.27846164
"Yeah, you're suspicious indeed.",（男性）ああ 怪しいね,"Oh, it is suspicious",0.2,0.7294222
"Kenneth, who got eaten today,\Nlives right across the street from you.","今日 喰われたケネスだって
おめえんちと目と鼻の先だ","It is Kennes who was caught today
It is the end of the sight and nose",0.125,0.39422536
What did you say?!,"（ザキ）やめろ！
仲間同士で争ってどうするんだ","Stop!
What do you do with your friends",0.2727272727272727,0.15289125
Stop it!,（男性）何だと！,What is it!,0.4,0.31402773
Calm down!,（村長）落ち着け！,calm!,0.6666666666666666,0.8360135
I received a reply this morning.,今朝 返事が来た,An replicacy this morning came,0.2,0.35281304
It appears they're willing to come to this village.,"どうやら
この村に来てくれるそうだ","Apparently
It seems to come to this village",0.4166666666666667,0.7108299
What's coming?,えっ 何がです？,What is it?,0.3333333333333333,0.25839064
A Claymore.,クレイモアだ,Claymore,0.3333333333333333,0.8428797
A Claymore...,（ザキ）クレイモア…,Claymore ...,0.6666666666666666,0.85414755
"A Claymore? Are you serious, Chief?","（男性）クレイモアって
本気ですか 村長","Claymore
Seriously? Village",0.2,0.7425799
"At this rate, the village will be completely annihilated if we don't take action.","このまま放っておけば
村は全滅するかもしれん","If you leave this
Village may be annihilated",0.25,0.80823535
But they're...,（村長）でも あいつらは…,but also those guys ...,0.2857142857142857,0.5658256
But they're the only ones that can tell Yoma apart from us once Yoma have disguised themselves as humans.,"しかし 人に化けた妖魔を
判別できるのも あいつらだけだ","But the magicizer
He can judge as much as they",0.20833333333333331,0.21618327
Brother.,兄さん,Elder brother,0.3333333333333333,0.54229087
How did the meeting go?,会議 どうだった？,How was the meeting?,0.5714285714285714,0.86683196
"Ah, it seems the chief has called for a Claymore.","ああ 村長が
クレイモアを呼んだらしい","Oh, the village is
It seems to call Claymore",0.29411764705882354,0.7043469
Claymore?,クレイモア？,Claymore?,1.0,0.99999994
...and are the only ones that can fight them in this world.,"この世で唯一
妖魔と戦うことができる存在だ","The only thing in this world
It is an existence that can fight with the magic",0.3809523809523809,0.32899836
Amazing people like that exist?,半人半妖？,Half people?,0.2857142857142857,0.2562415
"Half-human, half-Yoma...",（ラキ）んっ…,...,0.25,0.20336416
Over here!,"（男性）こっちだぜ
（女性）来たよ","I'm here
 came",0.16666666666666666,0.38022158
The Claymore's here!,（男性）クレイモアが来たってさ！,Claymore has come!,0.2857142857142857,0.83115715
Huh? A girl?,えっ 女の子？,Eh girl?,0.4,0.68599945
"What, you didn't know?",（男性）何だ お前 知らないのか,What do you do not know?,0.4444444444444444,0.6247369
"Ah, her eyes are silver.",あっ 目が銀色だ,The appearance is silver,0.1,0.6386653
She's scary.,（女性）怖い,scary,0.25,0.52901924
"She won't target us, as well, I hope.","（男性）
俺らまで的にしねえだろうな",I will not do it up to us,0.1176470588235294,0.27486995
Why did the chief have to ask for one of them?,"化け物を倒せるのは
化け物だけってことさ","It is possible to defeat the monster
It is only a monster",0.10526315789473684,0.16860633
There's no choice.,"（男性）バ… バカ野郎
うかつなこと言いやがって","Ba ... stupid guy
Let's say goodbye",0.08333333333333333,0.2157539
Only monsters can kill monsters.,（男性）しかたねえだろ,only,0.2,0.21613133
Y-You idiot!,（男性たち）ううっ,Uu,0.0,0.13253695
"What are you going to do if she gets pissed and kills us, as well?","機嫌損ねて 俺らまでやられたら
どうするんだよ","If you get up to us
What to do",0.3157894736842105,0.4013221
Please have a look.,"こ… これが お約束の金です
お確かめを","This ... This is a promised gold
Make sure",0.08333333333333333,0.05183669
Afterwards?,後で… ですか？,... is ...?,0.25,0.19272542
"If I fail and die,",（クレア）しくじって 私が死ねば,I'm going to die,0.2222222222222222,0.38609794
then you won't have to pay.,払う必要はないということだ,It is not necessary to pay,0.16666666666666666,0.7143473
O-Okay.,ああ は… はい,Oh ... yes,0.0,0.2847245
