en_text,jp_text,google_translated,score
I see... You were Zero all along.,そうか… ゼロの正体は お前だったのか,Yes ... Was Zero's true body?,0.13333333333333333
Someone with a grudge against the Britannian imperial family...,ブリタニア皇族に対する恨み ダールトンの分析は当たっていたな,Analysis of darton for Britannian royal was hit,0.058823529411764705
Y- You did this all for Nunnally's sake?,ナ… ナナリーの為に こんな事を？,Na ... What a thing for Nanary?,0.125
Correct. i will destroy the present world and build a new one in its place.,そうです　私は今の世界を破壊し 新しい時代を創る,Yes I destroy the world and create a new era,0.3684210526315789
You killed them for the sake of that madness?!,そんな世迷言の為に殺したのか？ クロヴィスを… ユフィまで！,Did you kill for such a sense of purpose?Kurovis ... Yufi!,0.25
"You're one to talk, sister, considering how you idolized my mother, Marianne the Flash.",姉上こそ 私の母 閃光のマリアンヌに憧れていたくせに,My sister is drowning to Marianne of my mother flash,0.3157894736842105
It would seem... Any further talk with you would be useless.,ふっ どうやら これ以上の会話に 意味はないようだな,It seems that there is no meaning to the conversation more than this,0.041666666666666664
"Indeed. Well, then...",そうですね　ならば,That's right,0.0
Lelouch vi Britannia orders you to answer him!,ルルーシュ・ヴィ・ブリタニアが 問いに答えよ,Lelouch Vi Britania answers questions,0.16666666666666666
Then why did you withdraw her escort?,なぜ警護隊を引き上げたのですか？,Why did you raise the guardian?,0.36363636363636365
Mother did?! That's impossible!,ああっ！ 母さんに？　まさか そんな…,Oh!Mother?Such ...,0.3
Are you saying Mother knew she would be attacked that day?!,という事は 母さんは あの日 襲撃がある事を知っていた？,Mother knows that Mother has had that day raid?,0.23529411764705882
"No, it's impossible! If she did, she would have gotten us out of there!",いや あり得ない なら俺達を逃がしているはず,"No, we should have missed us",0.21052631578947367
His Majesty the Emperor ordered Schneizel to transport the body out of there.,皇帝陛下に命じられて シュナイゼル兄様が遺体を運び出した,The Emperor Emperor was ordered to carry the body carried out the body,0.375
The body? You mean mother's? Then what was in that coffin?,遺体って母さんの？ じゃあ あの棺の中…,What is your mother?Well then in that coffin ...,0.4117647058823529
No! Your little sister's been kidnapped!,違う！　お前の妹がさらわれた！,different!Your sister has been exposed!,0.36363636363636365
This is no time for jokes.,ん？　冗談を聞いている暇はない 今はコーネリアを人質として本陣に…,"Yeah?There is no spare time to hear a joke now, Now Cornelia as a hostile ...",0.14285714285714285
I just know this! It's the reason you have for living!,私には分かる！ お前が生きる目的なのだろう？,I understand!Are you the purpose of living?,0.2777777777777778
Kamine Island?,ん？　神根島？,Yeah?Netherlands?,0.2
What's this? Can it really be? Zero?!,おや あなた様は？　ゼロ！,"Oh, what are you?Zero!",0.2857142857142857
"Oh, what luck! What fate! What evil fortune!",なんたる ぎょう倖！　宿命！　数奇！,What a good luck!Late!Numerous!,0.25
Yes! And so... all hail britannia!,そう ならばこそ オール・ハイル・ブリターニア！,"If so, it is all Hyle Brittana!",0.21428571428571427
Such a disgrace! How do I report this to the prince?,あっ このような失態 我が君に なんと報告すれば…,Such discretional failure if you report ...,0.1111111111111111
It's just his emotions which are running wild. It's hard to predict his actions.,情念だけが暴走しています さすがに行動予測までは…,"Only the passion is runaway, but until the action forecast ...",0.0
I just wish we could communicate with him!,せめて会話が可能な 状態であれば良かったんだが,I wish I had a conversation at least,0.14285714285714285
itamu basho darenimo iwanai I don't tell anyone where I hurt,痛む場所は 誰にも云わない,There is no place where it hurts,0.058823529411764705
isogu kokoro ga kakushita yume wo I stare at the dreams hidden by my hurried heart,急ぐ心が 隠した夢を,A dream that hung hidden,0.05
kowaresouna hitomi de mitsumeru With fragile eyes,壊れそうな 瞳で見つめる,Start with a broken eyes,0.2
hanasazu ni tobitatsu Flies out without separating from me,離さずに 翔び立つ,Flow standing without separation,0.08333333333333333
unmei wo hayamete Destiny as it starts to move,運命を早めて,Fate early,0.0
isshun wo oshiete When you come running through,一瞬を 教えて,Tell me a moment,0.0
"It was my duty as a civilian military contractor, wasn't it?",軍属としては当たり前でしょ？,Is it natural as an armnum?,0.1875
"Please, you know me better than that.",まさか 君も知ってるくせに,Even if you know you,0.18181818181818182
"Nevertheless, you can't bend people or the world to the way you want.",だからといって 思い通りになる人や世界なんて,That's why the people and the world,0.16666666666666666
But I want that sort of part.,でも 僕はそういうパーツが欲しいんだ,But I want such parts,0.3
"If Major Kururugi turns out to be no good, we'll just look for the next Devicer.",枢木少佐がダメなら 次のデヴァイサーを探すだけさ,"If you are not good if you are no good, you can find the next Devaisser",0.24
"He's been shot! We're treating him, but he's unconscious.",撃たれたんだ 手当てしてるが意識がない,"I was shot, but I have no awareness",0.16666666666666666
I'll arrange a replacement later! The girl in the wheelchair comes first!,代わりなら あとで手配する 今は車椅子の少女が先だ！,"Instead of arranging later, the girl in wheelchair is ahead now!",0.3
All the students we had confined disappeared.,拘束していた学生達はみんな消えたよ 扇が撃たれた どさくさに…,"Everyone who was detained has disappeared, but the fan was shot.",0.17647058823529413
I can't get through to Nunnally or even Sayoko!,ええーい！　ナナリーには繋がらないし 咲世子も,Yes!I can not connect to Nanary,0.1875
"Lelouch, I'm your accomplice. Your ally.",ルルーシュ 私は お前の共犯者だ お前の味方だ,Lelouch I am your kind of friend,0.25
"So, I should just trust you? The word of a woman who won't give me the reason?",信じろと？ 理由すら言わない女の戯言を,Believe?A girl who doesn't say why,0.16666666666666666
I don't want you to die. That part is true!,お前に死なれては困る　それは本当だ,I'm troubled if you are dead,0.1111111111111111
Hmpf! That's just one-sided convenience!,ふん！　一方的な都合ばかり,Hmm!One-sided convenience,0.375
I see them... I see them...,見えた 見えた…,I saw it looked ...,0.2857142857142857
Wh- What the hell is it?!,なっ なんだあれは？,What is it?,0.5
Cannon fodder! I don't have time to fool with you!,雑魚が！ お前の相手をしている暇はない,Miscellaneous fish!There is no time to do your partner,0.21052631578947367
C.C.! Pop out on 12th street!,C.C. 12ストリートに出ろ！,C. C. 12 Go to Street!,0.18181818181818182
Speaking of one-sided convenience!,一方的な都合ばかり！,One-sided convenience!,0.6
You can't hit me! Not Jeremiah Gottwald!,当たらず このジェレミア・ゴットバルトには！,Not hit this Jeremia Gottobart!,0.25
"Wrong, my dear Orange. You're being hit right now.",違うな オレンジ君　もう当たっている,Different orange is already hit,0.13333333333333333
"Be smashed, you relic!",潰れろ 古き者よ,Crush old person,0.0
"All right, now to get to Nunnally.",よし これでナナリーの元に,Yoshiki Nice to Nanary,0.09090909090909091
"Tamaki, what do we do with these ones?",玉城さん　こいつら どうしますか？ 他の学生達と一緒に 寮か体育館に,Tamashiro-san How do you do this?Dormitory and gymnasium together with other students,0.15789473684210525
He's done it all along... shut up! i know zero better than anyone!,うるせえ！　ゼロの事は この俺が一番よく知ってんだよ！,shut up!Zero is that he knew most!,0.25
He wouldn't hesitate at a time like this!,こんな時あいつなら 迷わないって事もなあ,It is also possible to get lost if you,0.0
"Oh, what's this? You'll come out to help Brits, huh?",あっ なんだよ ブリキの為なら外に出るってか？,"Oh yes If it is for Buriku, do you go outside?",0.17391304347826086
Retreat! Retreat for now!,引けー！　ひとまず引くんだー！,Plush!I'm going to draw a moment!,0.08333333333333333
Impossible! The Earl of Pudding came out to the front lines?!,ああ まさか あのプリン伯爵が 前線に出て来るなんて！,"Oh, that pudding will come out to the front!",0.35294117647058826
Rakshata... I thought it was you.,ラクシャータ やっぱりいたのか,Is it a Laksata?,0.08333333333333333
Looks like we can put them to use.,いけそうですね 実用化,It looks like a commercialization,0.16666666666666666
It's back!,戻った,Returned,0.0
Open your filler cover. I'll exchange energy with you.,フィラーカバーを開けて エナジーを交換するわ,Open the filler cover and replace the energy,0.2857142857142857
"Right! But Miss Cécile, why did you come out here, too?",はい　でも どうしてセシルさんまで,"Yes, no matter how to Cecil",0.05
We just came to take back the Lancelot! And do a few other things.,取り返しに来ただけだよ ランスロットとか まあ色々と,You just come back to the return,0.21052631578947367
"They're Sutherland parts, but they should work.",サザーランドのパーツだけど いけそう？,Will it be a sandwich part?,0.0
"Understood. My fiancée is here too, after all.",分かってるよ 婚約者もいるしね,I know I'm also a fiancee,0.0
Damn their tenacity! Just what you'd expect of Cornelia's elite!,しぶとい さすがはコーネリアの精鋭,Cornelia's elite,0.23076923076923078
Tohdoh! I'm leaving all operations from here on in your hands!,藤堂 以降の作戦は全てお前に任せる,All strategies after Fujido leave you,0.05555555555555555
"""Leaving"" them to me? What do you mean?!",任せる？　任せるとは いったい？,Entrust?Do you want to leave it?,0.25
There's something else that I have to do!,私は 他にやらなければ ならない事がある,I have something to do,0.5
I will not respond to any more communications from you!,以降 そちらからの通信は全て切る,After all the communication from that,0.0625
W- Wait! What else could possibly be more important in this situation?!,ま 待て！　この状況で他があるのか！,Wait!Is there anything else in this situation?,0.4117647058823529
"Squad 7, wiped out! what?!",ええーい！,Yes!,0.1111111111111111
"Keep calm! You're safe, so wait your turn! Youngest students first!",落ち着いてー！ 大丈夫だから順番にね 下級生から,"Calm!Because it is okay, from the lower class students in order",0.16666666666666666
This... this battle situation has turned to my side's favor...,せ… 戦況は 我が軍に有利だ,Meta ... The war is advantageous for my army,0.1111111111111111
Am I clear? Do all you can to hide the fact that I've been wounded.,いいか… 私の負傷は 極力伏せろ… 動揺する,Good ... my injury is extremely swayed ... upset,0.0
