en_text,jp_text,google_translated,score,semantic_score
"She said she's sorry, but she won't be able to buy us any souvenirs.",お土産買えそうにないからごめん だって,I'm sorry I'm sorry I can't buy a souvenir,0.14285714285714285,0.66059977
"Big brother, do you have a second?",兄さん ちょっとと,Brother,0.1111111111111111,0.40504566
"Attention, all students! This is an emergency announcement!",生徒のみなさんに緊急伝達です,Everyone's emergency transmission,0.07692307692307693,0.38185853
It's been confirmed that student council president Milly in the Chinese Federation is all right!,中華連邦にいるミレイ会長の無事が確認されました,Milet chairman was confirmed in the Chinese Federation,0.25,0.52639514
She's apparently escaped from the scene of the coup d'etat...,ナイトオブセブン 枢木スザク様ともども クーデターの現場からはのがれているようです,Night of Seven Sebiki Suzaku seems to be from the scene of the coup,0.2777777777777778,0.3761052
Does it look that way? I'm terribly sorry.,そのようにみえましたか？もうしわけありません,Did you see that way? Sorry,0.2857142857142857,0.42660165
You're acting too nice to people.,他人に対し いい顔しすぎです,It is too good to face others,0.15384615384615385,0.46604538
"Please, try to understand that.",理解してください,Please understand,0.2857142857142857,0.6380841
I was told he was in a stalemate with the Chinese Federation.,え？中華連邦と膠着状態だと,picture?If it is a Chinese federal and a stomatic state,0.09523809523809523,0.40558848
Prince Schneizel is also joining the battle.,シュナイゼル殿下も参戦された,Snisy Zelle was also participated in,0.07692307692307693,0.24508323
Britannia will be fighting inside of the Chinese Federation?!,中華連邦でブリタニアが？,Britannia in the Chinese Federation?,0.4166666666666667,0.7621132
Yes. The Knights of the Round have apparently been sent into battle.,ああナイトオブラウンズも出撃したらしい,"Oh, it seems that Night Oblowns also dispatched",0.0,0.32838959
"What are we supposed to do now, with no reinforcements coming?!",どうすんだよ！援軍もないってのに！,I'm sorry!There is no reinforcement!,0.1,0.38835302
Calm down! We still have their empress!,落ち着けこっちには天子様がいる,There is a petland here,0.0,0.16167969
They can't just start shooting at us!,相手だって下手に手出しはできないから,Because the opponent can not get out well,0.0,0.23324364
"In other words, they've abandoned the empress!",つまり 天子を見捨てた,"In other words, he was abandoned",0.4166666666666667,0.38887933
Damn the High Eunuchs! they'd go so far as to violate the mausoleum of 88 emperors like this?!,大宦官め天帝八十八陵までその欲で汚すか,Is it dirty to that desires to the eunomenenten Eight eight 18 tomb,0.06896551724137931,0.59924275
We've already arranged for a new empress.,すでに新しい天子は手配したしな,I have already arranged new territory,0.25,0.41294292
A puppet who will be a well-balanced match for Prince Odysseus.,オデュッセウス殿下とのつりあいもとりやすい人形だよ,It is a good doll with Odysseus Hall,0.1176470588235294,0.5759407
You dare say that about Her Majesty?!,くっきさまら 天子様を,Kiki Sao Tenko,0.0,0.10576189
Is that you? The guy who started the coup?,君かい？クーデターの首謀者は,Are you?Court of coup,0.25,0.66262203
"Stand aside, Britannian! This is my country's affair!",ブリタニアはどけこれはわが国の問題だ,Briitania is a problem of Japan,0.0625,0.30439296
"However, internationally speaking, those other guys represent your country.",でも 国際的にはあっちが国の代表だからさ,"But internationally, it is a representative of the country",0.16666666666666666,0.6218701
"Besides... I heard you captured the Guren, right?",それに 君が紅蓮を捕まえたんだって？,And you caught Guren?,0.2307692307692308,0.7577334
I've got some unfinished business with that Knightmare and its pilot.,かりがあったんだよ こっちには,There was a picture,0.0,0.030260256
We have limited air power here!,こちらの航空戦力は限られている,This aviation force is limited,0.09090909090909093,0.48734233
Stand like unmatched warriors and hit them hard!,一騎当千の気構えで当たれ！,It is hit by Ikki Tousen!,0.14285714285714285,0.16219172
"I'll go out in the Akatsuki, as well.",私も暁ででる,I am also,0.07692307692307693,0.18779944
Come up with a solution before that happens.,ふっその前に手をうっておけ,Hold your hand before,0.08333333333333333,0.26633477
The Ikaruga won't hold out for long against this!,このままでは このイカルガももちません,This Ikaraga is no longer,0.06666666666666668,0.62949854
"Stand aside, for you face Kyoshiro Tohdoh!",藤堂鏡志朗 まかり通る！,Fujito Karushi Shiro passes!,0.07692307692307693,0.35886794
What do you know? They've got someone good aside from the Guren.,なんだよ紅蓮意外にも戦力がそろってきてるじゃないか,What is the battle power unexpectedly.,0.15789473684210525,0.1492602
Mordred... You've come to attack us?!,モルドレッド まさか 我らを？,Moldread Masaka---,0.0,0.2720103
The rebel forces... will be destroyed.,反乱軍は せん滅,The rebels are dead,0.09090909090909093,0.6424648
Split into three groups! Surround her and fire!,三方にわかれよ！包んで討ちとれ！,Welcome to three ways!Wrap up!,0.14285714285714285,0.40862453
"Useless, those physical bullets...",無駄実弾では,In a waste bullet,0.0,0.504798
If I can get inside her shields!,シールドなど 内側にはいれば！,"If it is inside the shield, etc.",0.13333333333333333,0.55597705
"Oh, no! I'm the one leading this dance here!",おっと 君の担当はこっちですよ,Oops of you are here,0.0625,0.2070816
We could collapse the mausoleum with a single shot...,モルドレッドのシュタルクハドロンをつかえば,If you use Mold Red Starkhadron,0.0,0.059577473
"from the Mordred's Stark Hadron cannon, couldn't we?",一撃で陵墓を崩せますが,You can break the tomb with a blow,0.05263157894736842,0.28928265
"Well, yes, assuming we just wanted to destroy them.",まあ破壊するだけならね,Well if you just destroy,0.2307692307692308,0.570274
"However, the moment we did, they'd say we killed the empress.",でもそのときは私たちが天子殺しと言われるわ,But then we say that we are,0.125,0.29152653
We have to let the High Eunuchs make the final blow.,最後の一手は大宦官たちにうたせないとね,The last one hand does not sing to the general public,0.10526315789473684,0.19525777
"If this keeps up, the empress will die as well!",このままでは 天子も死ぬ,Tenko will die as it is,0.2,0.36440754
The empress is merely a system.,天子など ただのシステム,Tenko etc.,0.1111111111111111,0.06911898
There are plenty more to replace her.,かわりなどいくらでもいる,There are some otherwise,0.2,0.30585936
You can't use her as a bargaining chip.,取り引き材料にはならぬな,It is not a traditional material,0.06666666666666668,0.13251385
Weren't you preparing to use her as tribute to gain noble titles in Britannia?,貢物として ブリタニアの爵位以上を用意しろと？,Prepare more about Britannia 's peerage as a contribution?,0.13636363636363635,0.6735358
"Oh, my, you have sharp ears, don't you?",ほほっ耳聡いこと,Homes of,0.0,0.02364069
It's really a cheap price to pay for collateral.,やすいみ返りだったよ 実に,It was a good time,0.14285714285714285,0.05304163
You've already ceded your territory and signed an unequal treaty with them?!,領土の割譲と 不平等条約の締結がか！,Sign of territory and conclusion of the Inequalities Treaty!,0.2,0.6694646
"You throw away the paper that clings to your rear, don't you? This is no different!",尻を拭いた紙は捨てるだろう？,Whering the ass will throw away?,0.18181818181818185,0.39900255
What do you hope to gain in the end?! i'm amazed! to think that zero is such an idealist.,驚きだなゼロがこんな理想主義者とは,Surprise Zero is such an idealist,0.21739130434782608,0.70600295
Leaders and commoners will always breed.,主や民などいくらでもわいてくる,Some of the Lord and the people,0.08333333333333333,0.24201143
Numbers 2 and 5 radiant shield generators are off-line!,第二第五輻射障壁機関停止しました,Second 5th Radio Barrier Organization Stopped,0.0,0.3525887
That leaves the deck exposed!,それじゃ甲板がむきだしに,Then the deck board merely,0.2222222222222222,0.6580026
Stop it!,もうやめて！,stop it!,1.0,1.0000004
You're rotten! What sort of noblemen are you?!,腐っている！何が貴族か！,It is rotten!What is the noble?,0.2857142857142857,0.7357796
