en_text,jp_text,google_translated,score,semantic_score
"The star fell, Bull.",星が落ちたよ ブル,The star has fallen Bull,0.375,0.9011052
That is no ordinary star.,あれは ただの星ではない,That is not a just star,0.3333333333333333,0.811044
That is the tear of a warrior.,戦士の涙だ,Warrior tears,0.1111111111111111,0.78209233
What is a warrior?,戦士って何？,What is a warrior?,1.0,0.99999964
One who has finished his battle somewhere on this planet...,この星のどこかで戦い果てた者,Those who are fighting somewhere in this star,0.1875,0.48295203
A pitiful soul that could not believe in the Great Spirit.,グレートスピリットを 信じられなかった哀れな魂,Poor soul who did not believe in Great spirit,0.4,0.77226996
He is requesting a deal for Red-Eye.,レッド･アイの取引を 要求しています,Requesting Red Eye Trading,0.09090909090909093,0.7150106
"30,000 Woolongs per gram.  A total of 7500 grams.",グラム ３万ウーロン 全部で7500グラムです,"7500 grams in total of 30,000 olong",0.4166666666666667,0.6608905
Why did he specify you as the dealer?,なぜ お前を指名したのだろうな,Why did you appoint you,0.3,0.34778643
He is a Titan veteran.  We were in the same unit.,相手はタイタン帰還兵です 私と同じ隊にいた,The opponent was a Titan returned soldier,0.1875,0.6038965
Why does he rely on you now?,なぜ いまさら お前を頼る？,Why do you want to rely on you?,0.4545454545454545,0.65065074
Callisto is undergoing a depression right now.,カリストは今 恐慌に陥っている,Callist is now crafting,0.2,0.34441212
"If he can't see the future, he is sure to worry.",先が見えず 焦りも出ましょう,Let's get rid of it,0.0,0.05235807
All the more reason to keep our hands out of that moon.,なおのこと 手を付ける意味のない星だ,It is a star that does not make sense to handle,0.09090909090909093,0.27903387
"Vicious, are you not the one that is worrying?",焦っているのはビシャス お前では ないのか？,Is it not before you are upset?,0.35714285714285715,0.3921484
You have no permission to make your own decisions.,独断の意志を持つことは お前には許されていない,It is not permitted to have a denial will,0.1176470588235294,0.42268005
"Regardless of who it is, those who go against the Van's will are punished.",万機を乱す者への制裁は 誰であろうと下される,Who is sanctioned to those who disturb,0.15789473684210525,0.37931088
You believe that I would betray my own mentor?,私が師父を裏切るとでも？,Can I betray my father?,0.3333333333333333,0.54490936
Mao's case was merely bad luck.,マオは不運であった,Mao was bad luck,0.5,0.90747374
"Lin, you shall go with Vicious.",リン お前は ビシャスと共に行け,Lynn you go with Ebisas,0.3,0.25580058
