en_text,jp_text,google_translated,score,semantic_score
I'm done with Mr. Sean Conecone's class.,"（堅次(けんじ)）ショーン･コネコネ先生の
授業 終わったし―",") Shaun Connercone teacher
Class ended-",0.06666666666666668,0.53774804
m 0 0 l 100 0 100 100 0 100,"（芦花(ろか)）わ～
（堅次）うわっ",) ~ ~,0.0,0.09349719
Help!,"（芦花）助けてください！
（堅次）うわ～！","Please help !
 Wow!",0.5,0.6082935
The enemy?,敵？,enemy?,0.6666666666666666,0.92128867
"Anyway, I'll be hiding here.",とにかく私は隠れるので―,"Anyway, I can hide-",0.3,0.7238749
Tell me if the enemy shows up.,敵が来たら教えてください,Please let me know if the enemy comes,0.3333333333333333,0.69536847
"Hey, why are you taking cover behind me?","（堅次）ちょっ なぜ俺の後ろに？
だいたい敵ってどんなヤツだよ","Why me behind me?
It is what kind of guy",0.25,0.53598595
"And what's this enemy like, anyway?","（堅次）こいつを
脅かす敵がいるってのか？","This guy
Is there a threaten enemy?",0.21428571428571427,0.53494257
"No matter how fast you run,","こちらが
いくら速く走っていても―","This is
No matter how fast it runs-",0.3636363636363637,0.7028546
they can catch up with you without breaking a sweat.,なぜか歩いて追いついてくる,Why walk and catch up,0.14285714285714285,0.3820162
I can run a hundred meters in ten seconds flat! \NHow can this be happening?,"（女性）100メートル
10秒フラットの私に―","100 meters
10 seconds Flat I-",0.15789473684210525,0.61824566
That's the kind of enemy we're talking about.,"（芦花）そうですね
しいて言えば―","That's right
Speaking of",0.2307692307692308,0.3228997
That doesn't paint a very clear picture.,"（女子生徒）
あっ 子王(しおう)くん 久しぶり",A child king,0.09090909090909093,0.07414099
Who could her enemy be—,ったく にしても敵って,Even if it is an enemy,0.1,0.49163234
You're back!,"（子王）やあ ただいま
（女子生徒）戻ってきたんだ",I came back,0.16666666666666666,0.56218237
Come now. No point in hiding.,"（子王）さあ 隠れてもムダですよ
（堅次）ちょっ 何だ お前","I'm also a hiding
 A little bit",0.07692307692307693,0.56141526
What's with you?,"（足音）
（子王･堅次）ん？",?,0.2,0.2004749
Hey!,（堅次）こ こいつだ！,This guy!,0.25,0.4052157
When did she run for it?!,いつの間に！ あ？,For always!a?,0.3,0.21116424
It's my job to chase after Roka-san.,"フフッ 芦花さんを追うのは
僕の役目です","To chase Fufu Shuhira
It is my role",0.3076923076923077,0.52668625
It is not okay!,"（芦花）よくないでしょ！
（堅次）うわ～","It is not good!
 Wow-",0.5714285714285714,0.5362097
Now she's here again!,（堅次）何すんだ てめえ,What's wrong,0.125,0.090114325
But this has nothing to do with me!,（堅次）俺には関係ねえ！ おお？,I have a relationship with me!Oh?,0.2,0.2485312
