en_text,jp_text,google_translated,score
"If I approach Toshiyuki from behind,",トシユキは背後から近づくと,Toshiyuki approaches behind,0.25
"When we're talking face-to-face,",向かい合って話をするときは,When talking facely,0.2857142857142857
he always frees up both his hands.,必ず両手をフリーにする,Be sure to free your hands,0.07692307692307693
he puts distance between us.,距離を開ける,Open the distance,0.125
"When I laugh loudly,",私が声を上げて笑うと,When I laugh and laugh,0.5
sweat appears on his face.,顔に汗を滲ませる,Wreath the face,0.125
he moves his hand near the ballpoint pen in his breast pocket.,胸ポケットのボールペンに手をそえる,Get hand on ballpoint pen in chest pocket,0.3333333333333333
He sprays it with something.,何かをスプレーする,Spray something,0.14285714285714285
"Maybe, Toshiyuki...",トシユキは　もしかして　トシユキは,Toshiyuki is also Toshiyuki,0.16666666666666666
feels something special for me?,私に特別な何かを,Something special to me,0.42857142857142855
I'm sure I'm misunderstanding things.,きっと私の勘違いだ,Surely my misunderstanding,0.125
"Well, she's right in a way.",いや　止めておこう,Let's stop,0.09090909090909091
In a way.,ある意味ね,There is a meaning,0.14285714285714285
"Hey, there's something I want to ask you.",な　ちょっと聞きたいことがあるんだけど,I have something I want to hear a little bit,0.25
"What's ""Twitter""?",ツイッターって何,What is Twitter,0.2857142857142857
"Lately, some famous people have been talking about it on the Internet.",最近はよく著名人がネットで呟くな,"Recently, the celebrity is often crawled on the net",0.15
"""I ate Twitter.""",ツイッターを食べたって,I ate Twitter,0.5
It's food?,食べ物なのか,Is it food?,0.6
It's Italian food.,イタリア料理だ,Italian food,0.4
"It's a kind of pasta made with a wheat flour-based dough,",小麦粉の練り物でパスタの一種だが,It is a kind of pasta with flour kneading,0.4
Only chefs of the highest caliber can make it.,本場の料理人でしか作るのことできない,I can only make it with a home cook,0.26666666666666666
There's one more thing I want to ask.,へ　後もう一つ聞きたい,I want to hear one more,0.45454545454545453
What's KY?,kyって何,What is ky,0.4
It's an international standard: the\N Environmental Protection Convention.,環境擁護規格,Environmental advocity standard,0.16666666666666666
I see.,最近よく見るだろう,I will see a lot recently,0.2857142857142857
The environment.,なるほど　環境か,Is it so an environment?,0.125
"What's ""tsundere""?",ツンデレって何,What is Tsundere,0.2857142857142857
It's a major topic of American criminal psychology.,アメリカの犯罪心理学での専門用語だ,It is a technical term in the American crime psychology,0.25
"As for the motives behind the killing, they tend to arise from a vindictive disposition.",殺人に至る動機としては増加の傾向にあるそうだ,It seems that it tends to increase as a motive to murder,0.13043478260869565
"In Hokkaido lingo, it means a face like a pair of sandals.",わらじみたいな顔という意味だ,It means a face like a whale,0.35714285714285715
