en_text,jp_text,google_translated,score
"In the previous battle,","（新ナナ）先の戦いで
我々はグランクレバスを制圧し—","In the battle ahead
We control grank levus-",0.3
"Many sacrifices will have to be made,","（新ナナ）
多くの犠牲が出るでしょうが
頑張りましょう","There will be many sacrifices
let's do our best",0.2857142857142857
Uh...,（新ナナ）ナナは私ですが…,Nana is me ...,0.2
"What is it, Code 390?","（ミク）あの…
（新ナナ）うん？　はい コード390","That ...
 Yeah?Yes code 390",0.2727272727272727
Where'd Nana go?,（ミク）ナナさんは どこに？,Where is Nana?,0.5
"Oh, I haven't introduced myself yet.",あっ 自己紹介が まだでしたね,There was a self-introduction yet,0.07692307692307693
"I'm Code 007, and I've been appointed \Nthe new caretaker of Squad 13.",新任の13部隊担当 コード007です,It is a new 13 unit of charge code 007,0.23809523809523808
And your code's...,"（ミク）
えっ 新任？　コードって…",Eprinear?Code ...,0.2857142857142857
"Um, this Star Entity is a \Nklaxosaur weapon, right?","そのスターエンティティって
叫竜(きょりゅう)の兵器なんですよね？","That star entity
It is a wolf of a yoke , right?",0.4375
Are you sure this isn't risky?,"（イチゴ）危険じゃないんですか？
（新ナナ）フフッ…","Isn't it dangerous?
 Fufu ...",0.25
There's no need to worry on that front.,（賢人Ｃ）それについては問題ない,There is no problem with it,0.14285714285714285
That's why we spent so long modifying it.,"（賢人Ａ）
そのために長い時間をかけて
換装したのだからな","Take a long time for that
Because it was replaced",0.17647058823529413
"Code 002, we raised you with \Nso much care, all for this day.","我々は この日のために
君を大切に育ててきた","We are for this day
You have grown you carefully",0.2631578947368421
"Assuming we do manage to control Star Entity,","（ヒロ）スターエンティティを
コントロールできたとして—","Star Entity
As we were able to control-",0.3076923076923077
what happens after that?,その先は どうなるんですか？,What happens to that ahead?,0.5714285714285714
"If we exterminate the klaxosaurs,","（ヒロ）
もし叫竜を全部 殺せたとして—",If you kill all the criminals-,0.2
will there be a place for us in that future?,その未来に 僕たちはいますか？,Do you have our future?,0.13333333333333333
Of course.,（主席）もちろんだ,Of course,0.6666666666666666
"If we win this war against the klaxosaurs,","叫竜との戦いに勝利できれば
未来は我々 人類のものだ","If you can win the battle with the shouten
The future is ours of humanity",0.15789473684210525
This will be the last time we call you Papa.,"（ヒロ）
あなたたちをパパと呼ぶのは
今回の作戦かぎりです","What you call your dad
It is as long as this strategy",0.15789473684210525
"Doctor, we've received word that \NHringhorni is ready for action.","（ハチ）博士　フリングホルニの
準備が整ったとの連絡が","Dr. Full Runi
Contact that it is ready",0.16666666666666666
Was such a thing really necessary?,"あんな物が
果たして必要あったのか","There is such a thing
It was necessary to play",0.4166666666666667
It's way too overboard.,"（フランクス博士）
あまりにも過剰すぎる",Too much too excessive,0.125
"More than anything, it isn't beautiful.",何より 美しくない,All more than anything,0.3
Humanity must need it to prevail.,"（ハチ）
人類が勝つために必要なのでしょう",It is necessary to win humanity,0.3
How's Nana doing?,（フランクス博士）ナナは元気か？,Is Nana well?,0.2857142857142857
I've had her brief Squad 13 on their mission.,"（ハチ）彼女には
13部隊への作戦指示を任せました","her
She left the operation instruction to 13 units",0.1111111111111111
The rings?,"（ゴロー）指輪？
（フトシ）しーっ…","ring?
 Shi ...",0.16666666666666666
"Seriously, what?",（ゴロー）だから 何だよ？,What is it?,0.3333333333333333
"If you don't like it, don't eat it.",まあよい　好きにすればいい,You should love it,0.18181818181818182
I'm amazed you noticed.,外しちゃってたんだ 指輪,I'm sorry I'm sorry,0.2857142857142857
Are you still not over...,"お前 よく見てんな
ひょっとして まだ未練あったり…","I look carefully
It's still uncompleted ...",0.16666666666666666
Kokoro?,"（水のこぼれる音）
（イクノ）えっ？",?,0.5
"Hey, wait!","（イチゴ）ココロ？
（ミク）ちょ…　待って！","? Cocolo?
 Cho ... Wait!",0.25
Are you okay?,"（ミク）ココロ？
（イクノ）ちょっと 大丈夫…","?
 A little okay ...",0.2857142857142857
Maybe you should take the \Nupcoming mission off.,"（イチゴ）
次の作戦 ムリしないほうが…",If you do not make the next strategy ...,0.125
"Papa sent me back here,\Neven after erasing my memories.","パパは記憶を消してまで
私をここに戻してくれた","Dadda until erased memory
I returned me here",0.1111111111111111
"So I must fight for him,","だから
パパのために ちゃんと戦わなきゃ","that's why
He must fight properly for dad",0.23076923076923078
even if it means laying down my life.,たとえ私が死ぬことになっても,Even if I will die,0.16666666666666666
No! You're wrong!,"（ミク）違うよ　違う！
（ココロ）えっ？","No difference!
?",0.2857142857142857
But...,"（ココロ）でも…
（ミク）ミクたちは生き残って—","...
 Miku survives-",0.25
We must survive and leave \Na mark on the future!,未来に 大切なものをつなぐの,Connecting things important to the future,0.13333333333333333
I did?,私が？,I?,0.6666666666666666
APE has always desired eternal \Npeace and prosperity for mankind.,（賢人Ａ）我らAPE(エイプ)の悲願,Shared APE,0.08333333333333333
Offer up everything you have in this mission!,この決戦に全てを注げ,Change everything to this final battle,0.15384615384615385
we shall finally wipe out the klaxosaurs,"ついに叫竜を殲滅(せんめつ)し
勝利をつかみ取るのだ","Finally destroying the yoke
Get wins",0.18181818181818182
You're like animals.,"（9'γ(ナインガンマ)）君ら かな〜り浮いてたぜ
（9'β(ナインベータ)）目障りなほどにな",") I'm floating with you
) Another interesting",0.08333333333333333
These guys are much stronger than you,"君たちなんかより ずっと強いし
ずっと未来を見てる","It is much more stronger than you
See the future for a long time",0.23529411764705882
Don't look down on humans.,人間をバカにするな,Don't make humans stupid,0.3333333333333333
"Don't get the wrong idea, Iota.",クッ…　勘違いするなよ イオタ,Ku ... Don't misunderstand Iota,0.25
You'll understand in due time.,そのうち分かるさ,I understand soon,0.1111111111111111
Klaxosaur pack currently at a distance \Nof 3000. Heading fast for Gran Crevasse.,"距離３０００の
位置を—","Distance 3000
Position-",0.0625
Multiple Gutenberg-class and \NLehmann-class klaxosaurs identified.,"（オペレーターＢ）
グーテンベルク級 レーマン級も
複数確認","Gutenberg class Laman grade
Multiple confirmation",0.08333333333333333
Estimated to reach first line \Nof defense in 103 minutes.,"（オペレーターＣ）
103分後には—",103 minutes later-,0.16666666666666666
We should be able to connect.,"（ミツル）
前もパートナーだったのですから
つながれるはずです","Because it was a partner before
It should be connected",0.14285714285714285
Gran Crevasse Ruins,ンッ…,...,0.0
"This could actually work, Code 55...",コード55…,Code 55 ...,0.375
Kokoro.,ココロさん,Cocolo,0.0
What was that?,ウッ…　何だ？,W ... what?,0.3333333333333333
Genista!,"（ココロ）ちょっと 返事は？
（イチゴ）ジェニスタ！","What is your reply?
 Genista!",0.2857142857142857
"H-Hey, what should I do?","（ココロ）
ね… ねえ　どうしたらいいの？",Ne ... What should I do?,0.5555555555555556
M-My head!,（ココロ）ウッ…　あ… 頭が！,Uh ... Oh ... Head!,0.3333333333333333
This pain...,"この痛み…
まさか 名前を呼んだせいで？","This pain ...
Because I called a name.",0.3333333333333333
Yeah.,"（ヒロ）静かだね
（ゼロツー）うん","quiet
 Yeah",0.3333333333333333
What do you want to do \Nonce we're done with this?,"（ヒロ）これが終わったら
ゼロツーは どうしたい？","When this is finished
What do you want to do?",0.4666666666666667
"You said you'd show me, remember?","ダーリン
見せてくれるって言ったよね？","Darling
Did you say that you will show you?",0.23076923076923078
Where should we go? The ocean?,どこに行こう…　海かな？,Where are you going ... in the sea?,0.23076923076923078
Then there's...,"（ゼロツー）フフッ…
（ヒロ）あとは…","Fuhu ...
 after ...",0.16666666666666666
"I just wanna travel the world,","世界を飛び回るんだ
あのお姫さまみたいに","I fly around the world
I want to see that princess",0.2
"Hey, darling.","（ヒロ）フフッ…
（ゼロツー）ねえ ダーリン","Fufu ...
 Hey Darling",0.3333333333333333
About the last page of that picture book...,あの絵本の最後のページだけど…,It is the last page of that picture book ...,0.7272727272727273
Huh?,（ヒロ）えっ？,?,0.5
Nah.,（ゼロツー）ううん　何でもない,Umm,0.0
Zero Two...,"（ヒロ）
ゼロツー　恐らく このあと—",Zero Two Oversho-,0.5
I'm sure we're going to be \Nput through a trial by fire.,"俺たちには 大きな試練が
待ち構えているんだと思う","We have a big trial
I think I'm waiting",0.2631578947368421
"We've gone through these things \Nmany times before, too.","でも これまでだって
何度も こういうことはあったんだ","But so far
Many times he was like this",0.05
You and I made things work out each time.,"その度に
俺と君は なんとかしてきた","Each time
I and you are somehow she",0.38461538461538464
"Together, we can defy any fate.","ダーリンとなら
どんな運命にだって打ち勝てるよ","If darling
I can beat it for any fate",0.21428571428571427
We'll be together forever.,ずっと一緒だ,It is all together,0.1111111111111111
But what if we're torn apart?,もし離れ離れになっても？,May I leave it apart?,0.16666666666666666
Promise?,"（ヒロ）約束だ
（ゼロツー）約束","promise
 promise",0.5
Star Entity is ready to go.,"（フランクス博士）
スターエンティティの準備が
完了した","Preparation of star entity
Completed",0.2
"Move out, Strelitzia.",ストレリチア　移動するぞ,I will move the strellicia,0.1111111111111111
Roger!,（ゼロツー･ヒロ）了解！,OK!,0.3333333333333333
Unidentified flying object approaching \Nrapidly from 10 o'clock!,"（オペレーターＢ）10時方向より
未確認の飛翔体が高速で接近中","From 10 o'clock
Unconfirmed flight is at high speed and close",0.17647058823529413
Here they come.,（主席）来たか,came,0.0
What?,何だ？,What?,1.0
It's heading for Gran Crevasse!,グランクレバスに向かってる！,I'm heading to Grank Levus!,0.16666666666666666
No... This can't be!,"（爆発音）
（ヒロ）これ…",This ...,0.2857142857142857
I'll call for reinforcements.,"（ハチ）今 増援を…
（フランクス博士）間に合わん",Now reinforcements ...,0.125
"They won't get here in time. \NPrioritize the mission, Strelitzia.",ストレリチア　作戦を優先しろ,Prioritize Strelician strategy,0.0
Get going!,（コドモ）ウワーッ！,Uwa!,0.25
Zero Two!,"（ヒロ）ゼロツー！
（ゼロツー）う… うん","Zero!
 ... Yeah",0.4
Humans...,（フランクス博士）ンンッ…,...,0.5
You will not do as you please with our child.,我らが子を好きにはさせぬ,I do not like we,0.15384615384615385
"I see! So it is you, Code 001...",コード001,Code 001,0.18181818181818182
Princess of the Klaxosaurs!,叫竜の姫よ！,Hayonryu princess!,0.3333333333333333
It has been far too long.,（フランクス博士）久しいな,Long,0.14285714285714285
Are you here to take back Star Entity?,"スターエンティティを
奪い返しに来たか？","Star entity
Did you come to retrieve?",0.4166666666666667
You don't have a partner.,お前には つがいが いないからな,Because you don't have to do it,0.4
"Ever since the day I first met you, \Nthat's all I've dreamed of!",お前と会った あの日から—,From that day I met you-,0.15789473684210525
That's what all my research has been for!,だから あれは この私が動かす,That's why this makes me move,0.13333333333333333
Doctor!,"（001）業の深き者め
（ハチ）博士！","Deeper
Dr. Hachi!",0.2
I...,（001）わらわには…,Warwa ...,0.3333333333333333
need no partner.,つがいなど不要,No need for,0.4
It's not budging.,"だが せっかくだ
ある物は使わせてもらおう","But it's a mess
Let's use some things",0.16666666666666666
Darling...,（ゼロツー）ダーリン…,Darling ...,1.0
Strelitzia here.,"（通信音）
（ヒロ）こちら ストレリチア",here Strelicia,0.25
"Reached entry point, but the door won't open.",突入ポイントに到着　けど 扉が…,"I arrive at the inrush point, but the door is ...",0.29411764705882354
The enemy caught up?!,"（激突音）
（ヒロ）アッ！",!,0.16666666666666666
A duplicate that does not realize \Nit is being used by the invaders.,"侵略者に利用されていることも
知らぬ複製よ","It is also used for invaders
Do not know",0.21052631578947367
What are you saying?,"（ゼロツー）まがいもの？
（ヒロ）何を言ってる…","?
 What are you saying ...",0.8333333333333334
I shall take him.,"（ゼロツー）ダー…
（001）こいつは もらっていく","Dar ...
 This guy gets she",0.0
Darling!,ダーリン！,Darling!,1.0
A curious taste.,"（ヒロ）ハァ…
（001）面白い味だ","Hua ...
 It is an interesting taste",0.1
I shall devour your body and soul.,"その肉も 魂も
わらわが食らい尽くす","The meat and the soul
Warwa is eaten",0.15384615384615385
Strelitzia has entered Star Entity.,"（オペレーターＡ）ストレリチア
スターエンティティ内部に侵入","Strelicia
Intrusion inside the star entity",0.2
The worst has come to pass!,"（たたく音）
（賢人Ｃ）最悪の事態だ",The worst situation,0.25
"Should the klaxosaur princess connect to \NStar Entity, our defeat is all but assured!","（賢人Ｅ）
叫竜の姫が スターエンティティと
つながれば 我らの敗北は必至","The princess of the yoke is her star entity
If it is connected, our defeat is inevitable",0.2916666666666667
Worry not.,"（フランクス博士）ウッ…
（ハチ）博士","W ...
Dr.",0.16666666666666666
What is this?,（ハチ）これは…,This is ...,0.4
She connected to Strelitzia?,ストレリチアにコネクトした？,Did you connect to Strelicia?,0.2222222222222222
she will devour once again!,また持っていかれてしまう,I will bring again,0.25
This was originally one of our brethren.,"（001）
当然だ　これは本来 我らの同胞","Naturally, this is originally our brothers",0.25
Brethren?,（イチゴ）なに？,What?,0.3333333333333333
A voice...,"（イクノ）声が…
（フトシ）聞こえる","voice ...
 I can hear",0.3333333333333333
...speaking...,"（高周波音）
（ヒロ）ウッ…",W ...,0.3333333333333333
"At some point in time, \Ntheir kind split into two forms.","ある時期を境に
ヤツらは２つの形態に—","Binding a certain time
The guy is two forms-",0.1
One returned to the earth and became energy.,"１つは 己の身を大地へと返し
エネルギーへと変質させたもの","One returns his body to the earth
An altered energy",0.35714285714285715
Steal? That's an affront!,"（001）人間は そのような
身勝手な考えによって—","Humans like that
Depending on your selfish idea-",0.07142857142857142
Magma energy is part of \Nthe planet's resources!,"（賢人Ｃ）
マグマ燃料は この星の資源だ",Magma fuel is the resource of this star,0.2
Its discovery saved human \Ncivilization from certain ruin.,"その発見は
人類を滅亡の危機から救ったのだ","The discovery is
I saved humanity from the destroying crisis",0.2
Do you realize how self-centered \Na viewpoint that is?,"その姿を変化させてきたことが
分かった","What has changed its appearance
Do you get it",0.11764705882352941
And now you wish to steal my child?,"今度は
我が子すらも奪い取ろうとしている","Next time
I'm trying to take away my child",0.1875
For this child is a \Ncrystallization of our bonds.,"この子こそが 我らの絆が
生みだした結晶体なのだから","This girl is our wolf
Because it is a raw crystal",0.25
Don't talk down to Papa!,それを見過ごすことは断じてできぬ,It is not possible to overlook it,0.08333333333333333
Damn klaxosaur!,叫竜のぶんざいでさ！,It's a wounding dragon's bun!,0.1111111111111111
And what was the other form?,"（ハチ）
では もう１つの形態とは？",So what is another form?,0.3
It consumed that energy \Nand evolved physically.,自らの体を進化させたのだ,I evolved my body,0.09090909090909091
"It took an absurdly long time,",（ハチ）叫竜とは一体…,Screaming is an integral part ...,0.08333333333333333
and eventually lost their intelligence.,"ほかの個と交わることなく
やがて その知性さえも失った","Without exchanging with other individuals
Eventually he lost its intelligence",0.23076923076923078
Biological weapons built by the klaxo sapiens.,"（フランクス博士）
叫竜人が作り出した生体兵器",Biomeman created by the shouting person,0.16666666666666666
They are comprised of one male \Nand one female klaxo sapiens.,雌雄２体の叫竜人からできている,It is made from the shouting person of 2 male and female,0.15
"The female's soul connected to the weapon,","メスの魂は
その兵器へとつながり—","The soul of female
Connect to the weapon-",0.36363636363636365
"and the male's soul took root \Nin the core, the cockpit.","オスの魂は
操縦席であるコアへと宿っていった","Male soul
I went to the core which is a steering seat",0.2
That sounds almost like the FRANXX...,"（ハチ）
それでは まるでフランクスの…",So he is like Franks ...,0.18181818181818182
The klaxosaurs had pilots just like us?!,"叫竜の中にも 俺たちみたいな
操縦者がいたってのかよ！","It is like us even in the shouting dragon
It's a pilot!",0.2222222222222222
Could it be...,ハッ…　もしかして…,Ha ...,0.2
The thing we saw back then?,"（イチゴ）
じゃ 私たちは 叫竜に乗って
叫竜と戦っていたっていうの？","Then we ride a shouten
Did you fight with a yoke?",0.2
Damn it... Damn it! What the hell is with that?!,"ちくしょう…
ちっくしょう！　なんだよ それ！","Chiku Soo ...
Chicken!What is it!",0.35714285714285715
Come.,（001）さあ 目覚めよ,Wake up,0.0
