en_text,jp_text,google_translated,score,semantic_score
"""Yesterday was rainy, and today is clear.",（ゴロー）昨日は雨で 今日は晴れ,yesterday is sunny today,0.2727272727272727,0.5962262
"What will tomorrow be like?""",あしたの天気は何だろう？,What is the weather tomorrow?,0.3,0.5409162
I'm always trying to figure \Nout what your outlook is.,"そうやって いつも
君の天気をうかがっている","That's why
I'm looking for your weather",0.16666666666666666,0.13521746
Guys! They're here!,（フトシ）みんな！　来たよ！,Everyone!I came!,0.125,0.5075632
Awesome! Which one's mine?,"（ゾロメ）
すっげえ！　俺の どれだろう？",Sull!Which of my her?,0.2727272727272727,0.32551447
You're still asking for that kiddie stuff?,"（ゴロー）まだ そんな
子供っぽい物をお願いしてんのか？","yet
Do you ask for a child like a child?",0.2,0.4835179
Presents?,"（ゼロツー）プレゼント？
（ヒロ）そう",present?,0.3333333333333333,0.7386348
"Yeah. Once every year, we can \Nask Papa for the things we want,","１年に１度 欲しい物を
パパに お願いしておくと—","What I want once a year
If you ask for her daddy-",0.18181818181818185,0.43460408
Huh... What's that?,それは… 絵本？,That's ... picture book?,0.5,0.35448134
A picture book?,"（ヒロ）絵本？
あっ…　いや これは図鑑だよ","picture book?
Oh ... No this is a picture book",0.4444444444444444,0.83223605
Do you like picture books?\NI think we have some in the study.,"絵本 好きなの？
だったら書庫にあるんじゃないかな","Do you like pictures?
If so, I wonder if it is a library",0.16,0.625202
"Okay, listen up!",（ゾロメ）おっしゃ！,!,0.2,0.2563735
I'm gonna read Papa's message!,パパからのメッセージ読むぞ,Read a message from dad,0.16666666666666666,0.53552204
Ahem. Er...,（ゾロメ）オッホン　え〜…,Oocho ~ ...,0.16666666666666666,0.28283328
"a ray of hope, a harbinger of \Npeace and prosperity for mankind.","“平穏と
繁栄をもたらす希望となっている”","""Peaceful and
Hope to bring prosperity",0.1875,0.5718826
"Glory be to you noble parasites, \Nwho risk your lives for us.""",“栄光あらんことを”,"""Glory Anything""",0.1176470588235294,0.49136165
Kiss me now,〜♪,~ ♪,0.0,0.23923968
What's this?,（ゼロツー）なに？　これ,What is it? this,0.5,0.71745545
It didn't feel right that we were \Nthe only ones who got presents.,"なんか 俺たちだけプレゼントを
もらって 浮かれてただろう","Something is presenting only
It will come and floated",0.09090909090909093,0.11689505
"So I wanted to find something for you, too.","だから
ゼロツーにも何かないかなって","that's why
I wonder if there is anything to zero",0.1,0.040393244
A girl called Naomi left that behind.,"ナオミって子が
置いていってくれた物なんだけど","Naomi is a child
It's a thing that I put it",0.2,0.63145894
Should I not have?,うれしいんだね,I'm glad,0.14285714285714285,0.059592046
Nah.,ううん,No,0.0,0.5566935
"Thank you, darling!","（ゼロツー）ありがとう ダーリン
（ヒロ）うわっ！　ちょっと…","Thank you Darling
 Wow! a little bit…",0.4444444444444444,0.7254102
I never knew getting a present from \Nsomeone could make me this happy.,"誰かから
プレゼントをもらうって","Someone
Get a present",0.125,0.63595974
I'll take good care of it!,ボク 大事にするよ,I will take care of me,0.4,0.51863986
Great.,うん,Yes,0.0,0.3634288
You think so?,（イチゴ）そう？,so?,0.5,0.55149734
"Anyway, I asked for another \Nstuffed toy! What about you two?","でね 私は また
ぬいぐるみをお願いしたんだ！","So I will
I asked for a stuffed toy!",0.2777777777777778,0.68570286
Sorry.,すまん,sorry,0.5,0.8435785
Isn't that Ichigo's...,（ヒロ）それって イチゴの…,That's a strawberry ...,0.375,0.2352568
