en_text,jp_text,google_translated,score
denno coil 15 - tl by jiru-kun,♪～,♪ ~,0.0
in the deepest part of obsolete Space,古い空間の最も深い部分には,In the deepest part of the old space,0.75
lives a dangerous Illegal.,"危険なイリーガルが
住んでいるそうです","Dangerous Irregal
It seems to live",0.1
Where are you?,"（ヤサコ）
京子(きょうこ) どこー？",Kyoko  Where?,0.4
"Anyway, this map never works at critical moments...",にしても この地図―,This map-,0.09090909090909091
The fog.,あっ 霧だわ,Aim fog,0.25
"whenever I couldn't use the map, there was an obsolete Space nearby...","そういえば 地図が使えないとき
いつも古い空間が近くにあった","Speaking of which, when the map can not be used
Always old space was near",0.19230769230769232
"Right, I didn't search on the other side of the station!","駅向こうは
まだ探してなかったわ","Go towards the station
I did not look yet",0.2222222222222222
"If I go there, maybe I can find an obsolete Space!","あそこまで行けば
古い空間が見つかるかも","If you go there
Maybe an old space may be found",0.35294117647058826
Service call for a missing child.,"（アナウンス）
迷子のお呼び出しをいたします",I will call you lost,0.09090909090909091
Your mother is waiting for you.,"小此木(おこのぎ)優子(ゆうこ)ちゃん
お母様がお待ちです","Kojima  Yuko 
Mother is waiting for you",0.5555555555555556
Me?,私のこと？,about me?,0.6666666666666666
"Third municipal elementary school,","小此木優子ちゃん
第三小学校６年３組","Kojima Yuko-chan
Third elementary school six years 3 sets",0.2727272727272727
She is wearing beige clothes and round glasses.,"ベージュのお洋服に丸いメガネの
小此木優子ちゃん","Beige's clothes round glasses
Kojima Yuko-chan",0.3333333333333333
Stop it!,や… やめて！,And ... stop!,0.4
"Kyoko was the one who got lost, wasn't she?!",迷子は京子のほうでしょ,Lost is Kyoko,0.15384615384615385
Kyo came back right away.,"（静江(しずえ)）キョウちゃんは
すぐ戻ってきたわ","Kyou-chan
I'm back soon",0.1
That's because the Space in this town is weird.,"それは この街の空間が
おかしいせいなの","It is the space of this city
Funny",0.26666666666666666
You're direction-poop!,"あなたは行ったっきりで
電話もつながらなかったじゃない","You're done
I did not connect",0.2222222222222222
"Yeah, back at Grandpa's funeral.","それに ほら
おじいちゃんのお葬式のときだって","To that
At the time of grandpa's funeral",0.3076923076923077
"Anyway, you were still thinking about your glasses, weren't you?","どうせ またメガネのことでも
考えてたんでしょ？","Anyway, even glasses
I thought about it?",0.3333333333333333
"If you don't cut it out,","いいかげんにしないと そのうち
メガネ脳になっちゃうわよ","If you don't get good
It will be a glasses brain",0.3333333333333333
What's wrong?,どうしたの？　ほら 乗りなさい,What's wrong?Ride,0.8
I'm not gonna ride.,乗らない,Not,0.14285714285714285
There's a place I want to search.,"（ヤサコ）
ちょっと探したい場所があるから
あとで１人で帰る","Because there is a place you want to search for a moment
I will go home later",0.3888888888888889
Hey! Wait!,"（静江）
ちょっと待ちなさいよ 優子！",Wait a minute Yoko!,0.3333333333333333
I'm already in sixth grade!,"私 もう６年生よ
ちゃんと帰れるもん","I'm already sixth grader
I can go back properly",0.3333333333333333
"Yuko, she said?",（一小の生徒１）ユウコだと？,Yuko?,0.4
I absolutely won't get lost!,絶対に迷わないもん！,I will never get lost!,0.4444444444444444
I-I got lost!,ま… 迷ったわ,I got lost,0.4
So I really have no sense of direction...,ハァ… やっぱ方向音痴なのかしら,Hua ... I wonder if it is a direction noise,0.1875
Densuke!,（ヤサコ）デンスケ！,Densuke!,1.0
Where are you going?,"（メガばあ）
優子 どこ行くんじゃ？",Yuko going?,0.3333333333333333
Poop!,（ヤサコ）ウンチ！,Uuncho!,0.3333333333333333
Right...,"そうだ あのとき
デンスケが勝手に走り出して…","That's right
Denske runs out of yourself ...",0.2222222222222222
And a bit later I met that person...,"そのあと
あの人と出会ったんだわ","after that
I met that person",0.4
What was that?,なんだっけ？,What was that?,1.0
"It feels like,","あのとき もっと大事なことが
あった気がする","At that time, more important things
I feel like I had",0.15384615384615385
It feels like I've been here before...,"（ヤサコ）
ここ 来たことある気がする",I feel like I've come here,0.36363636363636365
"Hey, you!","（一小の生徒１）おい お前！
（ヤサコ）ハッ！","Hey!
 Ha!",0.4
You...,ハァ… 気のせいか,Hua ...,0.3333333333333333
Is your name Yuko?,お前 ユウコって名前か？,Is Yuko Yuko name?,0.8
