en_text,jp_text,google_translated,score
"To protect the eighth child, Taichi and the others chased after Vamdemon and returned to Japan.","（ナレーション）
８人目の仲間を守るため―",To protect the 8th fellow-,0.17647058823529413
"At first they searched Hikarigaoka in Tokyo, but the eighth child was nowhere to be found.","最初に東京(とうきょう)の光が丘(おか)をさがしたが
８人目は そこにはいなかった","First of all, the light of Tokyo  was searched for the hill
She was not there in the eighth",0.3076923076923077
"With no other choice, the children decided to take their Digimon and return home for the time being.","仕方なく太一たちはデジモンを連れ
いったん家に戻ることにした","Single one will bring Digimon
I decided to go back to my house",0.10714285714285714
Raremon! Attack in Tokyo Bay!,「レアモン！東京湾襲撃(とうきょうわんしゅうげき)」,"""Real Mont! Tokyo Bay Assault""",0.2727272727272727
What?,（ヴァンデモン）なんだと？,What is it?,0.5
"Not only Mammon, but even Gesomon was killed?","マンモンに続いてゲソモンまで
やられただと？","Following Mammon, to Gesomon
Is it done?",0.26666666666666666
Yes.,（ピコデビモン）はい,Yes,0.5
What's so funny?,何がおかしい？,What's wrong?,0.5
Find the eighth child!,"（ヴァンデモン）とにかく８人目だ
８人目の子どもをさがし出せ","Anyway eight
List up the 8th child",0.2
"Y-Yes, sir!","は… はい　了解(りょうかい)しました
ういっ","Has OK 
Lean",0.0
I wonder if Hikari-chan's gotten over her cold yet...,"（コロモン）ヒカリちゃん
風邪(かぜ) 治ったかな","Hikari-chan
Cold",0.18181818181818182
"When we came back here earlier, Hikari remembered what happened four years ago.","こないだ帰ったとき
４年前の事件(じけん)のことを覚えてた","When I came home
I remembered about the incident 4 years ago",0.23809523809523808
We're home!,（太一の父）帰ったぞ～,I came home,0.16666666666666666
"Welcome back, Mom and Dad!","おかえりなさい
お父さん お母さん","welcome home
father, mother",0.2
How was Grandma?,"（ヒカリ）
おばあちゃん どうだったの？",How was your grandma?,0.8
She said she fell while walking down a slope and sprained her ankle a little.,"坂道を歩いてて転んで
ちょっと足をくじいたんだけど","Walking the slope and rolled
I've been a little feet",0.25
and she'll be out in two or three days.,２～３日で退院(たいいん)するそうだ,It seems to be discharged in 2-3 days,0.1875
That's great!,"（太一の母）
それより おばあちゃん
ヒカリの風邪のこと―","That's her grandma
Hikari cold-",0.25
Here!,よかった　はい！,Good Yes!,0.25
"Your Grandmother was more worried about your cold, Hikari.",心配してたわよ,I was worried,0.18181818181818182
Oh? Let's see.,おっ どら？,How is it?,0.1111111111111111
I'm home!,"う… うん
雪で中止になっちゃって","No
I'm canceled with snow",0.25
Taichi!,"（太一の母）太一！
どうしたの キャンプは？","Taichi!
What is his camping?",0.2857142857142857
"O-Oh, it got cancelled because of the snow.",ああ 熱は下がったみたいだな,"Oh, it seems that the heat went down",0.1875
Snow?,雪？,snow?,1.0
What's that?,それは？,that is?,0.4
That's very thoughtful of you.,そう　ずいぶん妹思いだこと,That's a lot of sisters,0.3
Taichi?,あ… 太一？,Oh ... Taichi?,0.5
Mom...,（太一）父さん…,Father ...,0.3333333333333333
What's wrong?,（太一の父）どうしたんだ？,What happened?,0.4
"In any case, your Koushiro is such a smart and polite boy.","（電話の女性）それにしても
お宅(たく)の光子郎くんは頭もいいし","Even if it is
Hojiro-kun of your home is also good",0.09090909090909091
I'm so jealous of you.,"好き嫌(きら)いは激(はげ)しいし
もうね わがままばっかり","I love you
I'm already selfish",0.3
Oh my.,"礼儀(れいぎ)正しいし
ああ うらやましいわ～","Certainly  correct
Oh yeah yeah ~",0.14285714285714285
Hey!,"（男の子の泣(な)き声）
（電話の女性）こら！",From the phone of the phone!,0.16666666666666666
"Mizuki, don't hit your little brother!","ミキ！ 弟たたいちゃ
ダメじゃないの","Miki!My younger brother
It is not no good",0.11764705882352941
Oh!,あら,Oh,0.5
Camp got cancelled.,キャンプ 中止になりました,Camping cancellation,0.0
Is that so?,（光子郎の母）そうなの？,That's right?,0.3333333333333333
I'm sorry for worrying you.,（泉(いずみ)光子郎）ただいま！,Mitsuko) I'm now!,0.18181818181818182
Hello?,なに？,what?,0.3333333333333333
Koushiro!,（光子郎の母）光子郎！,Mitsuko!,0.3333333333333333
Y-Yes?,（光子郎の母）どうかしたの？,What happened?,0.25
Okay...,（光子郎の母）あ… もしもし？,Oh ...,0.3333333333333333
I'm heading to Taichi-san's house for a bit!,"（光子郎）ちょっと
太一さんの家に行ってきまーす","a little
I'm going to Taiichi's house",0.42857142857142855
Now?,（光子郎の母）今から？,From now?,0.6666666666666666
"I need one of his reference books, so I'll be right back!",すぐ帰ってきます,I will come back soon,0.11764705882352941
It certainly does appear to be showing two monsters...,"参考書を
譲(ゆず)ってもらうことになって","Reference
It is decided to get Yushi",0.13333333333333333
But are these creatures really monsters?,"はたして
本当に怪獣なんでしょうか","In
Is it really a monster?",0.16666666666666666
We're quite interested to know if they're related to the giant elephant and fire bird that rampaged in Hikarigaoka.,"光が丘で目撃(もくげき)されたという
巨象(きょぞう)や火の鳥との関連も―","It is said that the witness was witnessed on the hills
Relationship between huge traps and birds of fire-",0.08571428571428572
Welcome back!,おかえりなさい,welcome home,0.25
I really didn't want to do this...,"（光子郎）本当は
こんなことしたくないんだけど","Really
I do not want to do this",0.6
There will be trouble if my parents find you in here while I'm gone.,君が見つかったら困(こま)るでしょ,If you find you,0.1875
That's true...,（テントモン）そうでんな,That's right,0.4
By the way!,ところで…,by the way…,0.4
Your mother must be making something delicious for you.,お母はんは光子郎はんのために―,Mother's Han is for Motoro Han,0.14285714285714285
She's a really good mom!,"（テントモン）さっきから
ええ においがしてきてますな","From a while ago
Yeah she is smelling",0.15384615384615385
Let's wait a little longer. Just a little longer.,"（光子郎の父）もう少し…
もう少し待とうじゃないか","A little more ...
Isn't it a little more waiting?",0.13333333333333333
...that he's not our real son...,"いつになったら
あの子に本当のことを…","When
The real thing to that child ...",0.23076923076923078
That he's adopted...,そういう気がして…,I feel like that ...,0.25
But what?,"（テントモン）
“でも” なんでっか？","""But what is it?",0.5
"No, it's nothing.","（光子郎の母）具体的に
何かあるわけじゃないんだけど","Specifically
It's not something there",0.2
