en_text,jp_text,google_translated,score
The father who fed his son    to the demons to fulfill his ambitions.,かつて己が野望のため、我が子を鬼神に喰らわせた父。,The father who once won the demons for the demons because of the ambition.,0.29411764705882354
The son who crawled from the ashes to    regain the body snatched away from him.,喰らわれた身体を取り戻すため、闇から這い出ようとする子,Child who tries to get out of darkness to regain the body,0.2631578947368421
"Here, in Daigo's land that thrives  upon the son's sacrifice,",その子の犠牲の上に反映する醍醐の国で、,"In the zone country that reflects the sacrifice of the child,",0.29411764705882354
the two meet for the first time.,今2人は初めて顔を合わせる。,Now two people will match the face for the first time.,0.5
Hyakkimaru knows not    what those flames mean.,その炎の意味を百鬼丸はまだ知らない。,I do not know the meaning of the flame yet.,0.125
"Yet, he is drawn to them.",知らぬままに、ただ引き寄せられていた,I was just attracted to my name,0.07142857142857142
Who... are you?,誰…だ…,Who…,0.0
What are you?,何だ…お前…,What ... you ...,0.4
"You do not know Lord Daigo Kagemitsu,  the lord of our land?",我が国がご領主、醍醐景光様を知らぬのか！,My country is a lord or a good idea!,0.047619047619047616
Where is he?,なっ…！ヤツは！？,...!The guy is!?,0.25
What on earth are you?,お前は…何だ？,What is ... what?,0.25
Why are you alive?,なぜ生きている…,Why is alive ...,0.2857142857142857
You half-born demon child!,この…生まれ損ないの鬼子めが,This ... is born and injured,0.0
There he is!,いたぞー！,I'm!,0.16666666666666666
"This way, get him!",こっちだ！逃がすな！,It's this way!Don't miss!,0.2727272727272727
I was only half born? A demon child?,俺は…生まれ…損ない…？鬼…,I'm born ... Don't lose ...?demon…,0.2
Let Sukeroku go.  He just came to find his mama.,助六を離せ！そいつはおっかちゃんに会いに来ただけなんだよ！,Help Help!I just came to see you!,0.1875
Land of monsters?,化け物の国…？,Country of a monster ...?,0.25
Couldn't make it home?,うちには戻れなかったのか,Did not come back to me,0.0
It was gone.,うち…なかった,I was not ...,0.14285714285714285
They were all killed...,皆殺しにされたって。,It was killed all.,0.25
I bet Mama was too...,おっかぁも…きっと…,I'm sorry ... surely ...,0.2222222222222222
