en_text,jp_text,google_translated,score,semantic_score
I'll leave the village for now.,"（ゲン）
とりま 俺は村から出とくよ",Torima I will come out of the village,0.2307692307692308,0.6023606
"who isn't even a contestant, \Nright, Kinro-chan the guard?","出場者でもない
よそ者がいたら","Unexistended
If there is a lie",0.125,0.08289632
We can talk about your end of our deal,"（金狼）あっ！
（ゲン）俺のほうの話はさ―","!
 I talk about me-",0.16666666666666666,0.4647887
"after you've captured \Nthe village, Senku-chan.","村を完璧に掌握しちゃったあとで
っつうことでね 千空(せんくう)ちゃん","After having a perfect village
Thousands  chan",0.14285714285714285,0.6056389
Chrome...,（ルリ）あっ…,...,0.5,0.18245485
Now it's just up to me or \NSenku to give up the victory.,"あとは 千空か僕が
決勝で勝ち譲るだけだから","After that, Chika or I
Because it only wins in the final",0.13043478260869565,0.43075076
The winner is going to be Chrome.,優勝はクロムだよ,The champion is chrome,0.3333333333333333,0.6281139
"I can tell, you know.",見てれば分かるよ,You can see if you look at it,0.16666666666666666,0.35321644
"You really wanted Chrome \Nto win, didn't you?","クロムに
優勝してほしかったんでしょ？","Chrome
Should I won the win?",0.21428571428571427,0.79284227
"Good job figuring out the difference \Nbetween convex and concave, Chrome.","（千空）よく凹凸の違いに
気づきやがったな クロム テメー","well with the difference in unevenness
I realized my name Chrome Teme",0.13636363636363635,0.53375465
"No, as the priestess, \NI have no such thoughts.","（ルリ）いえ 巫女の私に
そういった恣意(しい)はありません","I can't
There is no such arbitrator",0.13333333333333333,0.13767338
I will marry the winner of the Grand Bout.,"あくまで神の御前
御前試合の優勝者と…","Premise of God
The winner of the previous match ...",0.21428571428571427,0.24817832
Really?,（ルリ）え？　あ その はい…,?Oh yes ...,0.2,0.35346663
"Huh, I always thought...",な～んだ てっきり…,I'm sorry ...,0.25,0.21264225
Well...,"じゃじゃ… じゃあ
別に誰が優勝でもいいってこと？","Well then ...
Anyone who won?",0.2857142857142857,0.28487226
"Try to read between the \Nlines a little, Ginro.","（ジャスパー）
少しは言葉の裏を読め 銀狼",A little bit of words Read the back of the words Silver,0.25,0.2584471
What else is Ruri-sama supposed to say?,"ルリ様は立場上
そう言わざるをえないだろうが","Ruri is on the position
I can not but say so",0.1176470588235294,0.5486944
Ginro!,（銀狼）だ～っ！,!,0.5,0.30661926
Match two of the semi-finals will now begin.,"（ジャスパー）それでは
準決勝第２試合 千空 対 銀狼","So
Quasi-final 2nd Match Chizen Bank",0.07142857142857142,0.46826014
"What the hell's gotten into you, Ginro?!","来ちゃったんじゃない？
僕の時代～！","Aren't you coming?
My era ~!",0.17647058823529413,0.31990775
I mean...,ぎ… 銀狼 貴様,Gin ... Silver Silver,0.2,0.1559569
Ruri-chan said she'll marry anyone!,"やああ！
（千空）げ～！","Yo!
!",0.125,0.12359094
Maybe it's finally my time to shine!,"ルリちゃんが
誰でもいいって言うからさ～！","Ruri
Because everyone says it!",0.15384615384615385,0.11170038
"G-Ginro, you...",（ガーネット）ああ…,Oh ...,0.2,0.20718285
He's way too scummy.,（コハク）ゲスすぎる,too much,0.14285714285714285,0.25878796
"If I become the chief, \NI'll get to have ramen every day!","（銀狼）僕が長(おさ)になったら～
毎日ラーメン食べ放題！","When I become a long  ~
All-you-can-eat ramen every day!",0.3,0.7154924
And a harem!,"とにかく なんかすっごい
いい感じの村にしちゃうよ～！","Anyway somehow
It will be a good village!",0.18181818181818185,0.24583016
Ginro... Anyone but you.,だが 千空の戦闘力では…,But in the combat power of thousands ...,0.16666666666666666,0.032242157
Senku...,（クロム）ハァ ハァ…,Ha ha ...,0.3333333333333333,0.23716028
"Our weapon is science, is it not?",ああ しゃあねえな もう,"Oh, I can not",0.18181818181818185,0.04317989
No you don't!,"ぬおっ！　なんかすっごい妖術
使うつもりでしょ？","Now!Something greens mood
Do you intend to use it?",0.21428571428571427,0.2470037
"That man is smart. Senku, was it?","（コクヨウ）賢いな
あの千空とかいう男…","wise
A man with that thousand sky ...",0.125,0.28958195
Winner: Senku!,（ジャスパー）勝者 千空！,winner thousand sky!,0.3333333333333333,0.36262056
Now we can turn the village \Ninto a kingdom of science...,"これで完璧に
村が 科学王国になって…","This is perfect
Village becomes a science kingdom ...",0.3125,0.82121253
And we can save... Ruri...,ルリを… 助け… られる…,Ruri ... help ...,0.2857142857142857,0.6729576
"All right, it's the final now.",さあ 決勝だ,That's the final,0.3,0.7253421
"Now I just need to lose on purpose,","あとは これで
俺がわざと負けりゃ","After that
I will lose it",0.15384615384615385,0.3672369
"and Chrome, you'll marry Ruri \Nand become the village chief.","クロム テメーが
ルリと結婚して村長だ","Chrome Teme
Married Ruri and is the village",0.3125,0.7256318
Get up and...,（千空）ハァ…,Hua ...,0.2,0.22710706
He must be mighty relieved to know \Nthat Ruri-nee's going to be all right.,めっぽう安心したのだろうな,I'm relieved to be relieved,0.1875,0.38839436
Eh?,ん？,Yeah?,0.3333333333333333,0.6519756
