en_text,jp_text,google_translated,score
"If you can beat Mr. Popo, then you can see Kami-sama!","ミスターポポに勝てば
お前 神様に会える｡","If you win the Mister Popo
You can meet God.",0.23529411764705882
"You have incredible power, but you are not making use of it at all.","お前 すごいパワーあるが
全然 生かしてない｡ 駄目｡➡","You have a great power
I have not made use of it at all.",0.5263157894736842
That is no good. There is no point in taking the test.,テストしても無駄だ｡ 帰れ｡,It is useless to test. Returned.,0.2
"In order to bring Kuririn and the others who were slain by Piccolo back to life,","〈ピッコロによって殺された
ｸﾘﾘﾝたちを生き返らせるため➡","<Piccolo killed
To live back Curille",0.15
was the extraordinarily powerful guardian of the temple-- Mr. Popo!,"そこには計り知れない強さを
秘めた 神殿の番人➡","There is an unimportant strength there
Temple of the secret temple ➡",0.16666666666666666
Assisting Kami-sama keeps Mr. Popo incredibly busy. Leave at once.,"ミスターポポが
待ち受けていた｡〉","Mr. Popo
Waiting.>",0.23076923076923078
Wait!,(悟空)あっ！ ま… 待ってくれ！,!Ma ... Wait!,0.5
"I can't give up my quest to see Kami-sama, no matter what!","オラ 神様に会うのを どうしても
諦めるわけにいかねえんだ！","Why to meet Ola God
I'm sorry I'm sorry!",0.14285714285714285
Did you hear me?!,"だから オラに もう一度！
聞こえねえのか！","So again to Ora!
Do you hear it!",0.25
Dammit!,くそ！,Fuck!,0.3333333333333333
I believe I said it was pointless.,(ポポ)無駄だと言ったはずだ｡,should be said that it was useless.,0.36363636363636365
You are weak. Both your mind and skill are inferior.,"お前 弱い｡ 精神も技術も駄目｡
神様に会わせる値打ちない｡ 帰れ｡","You're the weak. Mental and technology are useless.
I will not hit God.",0.25
This guy's super strong!,"信じられねえ！
こいつ めっちゃくちゃ強え！","I can not believe!
This guy is very strong!",0.3333333333333333
You assumed you were the strongest person in the world,"お前 ピッコロ倒して 世の中で
自分が一番 強いと思った｡","You are beaten by piccolo and in the world
She thought that he was the strongest.",0.2631578947368421
You cannot beat Mr. Popo with strength alone.,"力だけでは
ミスターポポには勝てない｡","Only with power
I can not win the Mister Popo.",0.3125
I see... How dishonorable of me...,そ… そうはいかねえ！,Well ... so!,0.1
"If you understand me, then leave now.","(ポポ)
分かったのなら さあ 帰れ 帰れ｡","If you understand, she returned home.",0.4166666666666667
I can't! I want to bring everyone back to life right away!,"オラ 早く みんなを
生き返らせてやりてえんだ！","Oura early
I'm going to live back!",0.23529411764705882
You will only injure yourself by fighting Mr. Popo.,"ミスターポポと戦っても
お前 けがするだけ｡","Even if you fight with Mr. Popo
Just in order.",0.23529411764705882
"Hey, is it okay if I use this place?","特訓？ 無駄だと思う｡
でも 好きにしろ｡","Special training?I think it is useless.
But I like it.",0.2222222222222222
I'm gonna do some intensive training here!,オラ ここで特訓してえ！,Ora here training!,0.2727272727272727
Thank you!,それ～！,That ~!,0.2
His personality is not bad at all!,あいつ 性格は悪くない｡,The character is not bad.,0.2727272727272727
He's incredible! I've never met anyone as strong as him before!,"すげえな！
あんな強えやつ 初めてだぞ！","It's great!
That's the first time!",0.10526315789473684
Where do you suppose\NSon-kun could have gone?,"(ブルマ)それにしても 孫君
どこ行っちゃったのかしら？➡","Even if it is a grandchild
Where did you go?➡",0.17647058823529413
and the others back to life...,"(ﾔﾑﾁｬ)
あいつ 老師様やクリリンたちが➡",Apartians and Kuririn,0.1111111111111111
But do you suppose Kami-sama is real?,"(ﾌﾟｰｱﾙ)だけど この世に
神様なんているんでしょうか？","but in this world
What is God?",0.23076923076923078
"If he is, I'd sure like to meet him for myself...","(ｳｰﾛﾝ)そんな者いたら
会ってみたいもんだよな｡","If you have such a person
I want to meet you.",0.19047619047619047
