en_text,jp_text,google_translated,score,semantic_score
"Goku and Bulma set out on their journey in search of the seven Dragon Balls,","悟空とブルマの旅は
始まったのであります｡〉","Goku and Burma's journey
It has begun.>",0.13043478260869565,0.5078193
which are said to grant any wish at all!,"〈どんな願いでも
かなえてくれるという➡","<Any wish
It is said that it will be",0.1875,0.51565963
"We only need to find four more, right? This'll be easy!","(悟空)なあ なあ！
あと ４つ集めればいいんだろ？➡","Nana!
You should collect four more?➡",0.2,0.5375399
What're you talking about?,"簡単だなぁ｡
(ブルマ)何言ってんのよ｡","It's easy.
 What are you saying.",0.16666666666666666,0.32965347
but the world is a big place!,世の中 広いのよ｡,It's a wide in the world.,0.2307692307692308,0.61891407
I'm hungry...,(悟空)オラ 腹減った｡,Ola hungry.,0.16666666666666666,0.49599448
"Yeah, it is getting dark, so let's call it a day!","田舎者だから
知らないでしょうけど➡","Because it is a countryman
I will not know, but",0.2,-0.0016632206
"Heck, no! I'm way too delicate for anything like camping!","えっ!? その
何とかかんとかっちゅうやつ➡","Eh!
Somehow I'm sorry",0.1875,0.23151325
Then what are we doing? There aren't any houses around here.,"じゃあ どうすんだ？
こんなとこ うちなんかねえぞ｡","Well then what is it?
Such cousin he is something.",0.2,0.17250441
"Use a capsule, of course!",カプセル カプセル｡,Capsule capsule.,0.125,0.66537905
You mean you can make a house come out of one of those thingies?!,うちまで飛び出してくるんけ？,Did you jump out to your house?,0.2222222222222222,0.31251466
They're called Hoi Poi Capsules.,ホイポイカプセルよ｡,Hoi poi capsule.,0.375,0.80727
Okay! That'll make a good spot!,"ほら 投げるわよ｡ 離れて 離れて｡
それ！","I'll throw you away. Leave away.
That!",0.21428571428571427,0.2586322
Are you sure you're not a witch or something?!,"お前 本当に魔法使いか何かじゃ
ないんだろうな？","You are really wizard or something
Isn't there?",0.3125,0.548829
Don't be stupid. Would you rather camp out instead?,"ほら 何してんの？
入りなさいよ｡","What do you do?
Please enter.",0.26666666666666666,0.14710762
It's afternoon only in here!,"うわー！
こん中だけ 昼間になったぞ！","Wow!
It has been in the daytime only!",0.3333333333333333,0.4990957
I didn't think you were that rustic!,"そこまで田舎者とは
思わなかったわ｡","So far with the countryman
I did not think.",0.1875,0.036433775
"--Oh, darling...\N--Poruno...","(テレビ:ﾌﾞﾙｰﾉ)ああ ｼﾞｮｾﾌｨｰﾇ…｡
(テレビ:ｼﾞｮｾﾌｨｰﾇ)ああ ﾌﾞﾙｰﾉ…｡","Oh Josephine ....
 Oh Bruno ....",0.2,0.3819789
What's this?,こんなとこで 何してんだ？,What do you do in this?,0.42857142857142855,0.27375326
Just a little more...!,もう少し 頑張れ！,Good luck a little more!,0.5,0.46695003
"You're hungry, too?","何すんのよ！
お前も 腹減ってんのか｡","What's wrong!
Are you hungry too?",0.3636363636363637,0.7807068
You don't even know what a bath is?!,うそ！ お風呂も知らないの？,lie!Do you not know the bath?,0.42857142857142855,0.811461
Hurry up and come over here so I can wash you!,"ほら！
洗ってあげるから 早く来なさい｡","Here!
Get quickly because I will wash.",0.2352941176470588,0.7247462
So this is a bath?,うーん｡ これが お風呂か｡,Hmm. Is this a bath?,0.625,0.9244019
Turn your back to me!,あんた ばかね！,Annota!,0.14285714285714285,0.1644505
You attached this lame tail accessory directly onto your butt?!,"この ださい尻尾アクセサリー
直接 お尻に くっつけてんの？","This is the tail accessories
Are you sticking directly to the ass?",0.2631578947368421,0.7624315
What's an accessory?,アクセサリーって何だ？,What is an accessory?,0.6666666666666666,0.9904406
--Here!\N--Ow! That hurts!,"ほら ほら！
痛い痛い痛い…｡ 痛えよ！","Hey Hey!
It hurts painful .... It hurts!",0.16666666666666666,0.5881953
"Here, I can wash my own back.",いいよ 尻ぐらい｡ 自分で洗うよ｡,It is good. I will wash myself.,0.21428571428571427,0.48723587
