en_text,jp_text,google_translated,score
"The Tournament of Power, with the fate
of each universe at stake, continues.",圧倒的な破壊神ビルスのパワー,Overwhelming destruction god Bills power,0.058823529411764705
"You took Sis from me!
You'll pay for that, Son Goku!","だが その すさまじい攻撃が
悟空のハートに火をつけた","But that's a good attack
I put a fire on Goku heart",0.08695652173913043
Son Goku!!,すっげえワクワクしてきたぞ！,I'm excited!,0.16666666666666666
"Hey, Kale! Tone it down a bit!",いい顔だ,It is a good face,0.16666666666666666
"Do you hear me, Kale?!","君の底力に敬意を表して
見せてやろう","Respect you to your bottom power
Let's show me",0.125
"Bringing down Kale is
the 11th Universe's Jiren.",続けようぜ　ビルスさま,Let's continue Buffles,0.07692307692307693
challenges him to battle.,ここまで上ってきた—,Up to here-,0.14285714285714285
"""Warriors of Justice Close In!
The Pride Troopers!!""",頑張れ！　お父さーん！,Hang in there!Father!,0.14285714285714285
Sis...?,"な… 何なのよ？　これ
",What is ... what? this,0.3333333333333333
N-No...,ピッコロさん　これは…,Piccolo This is ...,0.2
Justice Flash!,なんとかしてるわよ！,I'm sorry!,0.16666666666666666
"I've selected a team of five
to deal with him.","おお すごい！　くっきり はっきり
あんな所や こんな所まで！","Oh!Clearly
To such a place!",0.11764705882352941
Hmm?,あれ？　ビルスさまがいねえ,that?Built-in,0.25
are you from the same universe as Top?,"同じ技は もう食らわねえ
分かってんだろう？","The same skill is already eaten
Do you understand?",0.26666666666666666
Tupper!,ンッ！,!,0.5
"Yeah, but she's...",ハッ…,Ha ...,0.14285714285714285
Wh-What is this technique?!,この宇宙は 何にもない—,This universe is nothing-,0.25
However...,も… もとい プリプリ年増に—,Also ...,0.3333333333333333
Shin Kikoho!,ああ！　これじゃ成仏できんぞ！,Ah!This is a buddhafk!,0.125
"Leave it to you, Tenshinhan.
I'm fine, thanks to you.","パフパフしてもらう約束
しておったんじゃぞ もう！","Promise to have a puff puff
I'm sorry!",0.17647058823529413
Where are the others?,たった２回？,Two times?,0.14285714285714285
"Oh, when that one Saiyan girl was
going berserk, we got separated.",あっ いや あの…　３回かも,There is that ... 3 times,0.05263157894736842
I'm right here!,砕けんじゃねえぞ,I'm not crushed,0.2857142857142857
Piccolo-san!,ウワーッ！,Wear!,0.3333333333333333
"That one was mine!
Don't go poaching from me!","聞こえてるんでしょう？
ビルスさま！","Do you hear it?
Bills!",0.125
"That leaves No. 17, No. 18...",アア…　ダメだ,Oh ... It is no good,0.16666666666666666
"Swipe, swipe...",クッ…,Ku ...,0.25
"It is right about time for the contestants
to start growing fatigued, after all.",野次馬の声が届くレベルの戦いかよ,It is a battle of the level that the voice of Norima can arrive,0.12
"Ah, look!","ハアーッ！
ウオーッ！","Haa!
Woo!",0.16666666666666666
Tch!,アッ！,!,0.5
Isn't that a bit of a waste?,あれ？,that?,0.25
What's so funny about it?,もしも〜し？　もしも〜し？,Hello? Hello?,0.125
It can't be...,ヒエ〜ッ…,Hie ...,0.16666666666666666
Justice Sabers!,おお！,Oh!,0.25
He's fashioned his Kiinto weapons.,危ない 危ない,Dangerous dangerous,0.0
That's a handy ability.,まだ勝負はついてないでしょう,It will not be a match yet,0.08333333333333333
"So the woman turned and ran, huh?",た… 助けてくれたのか？,... Did you help me?,0.07142857142857142
and use them in ever-changing ways.,夢で見たとおりだ,As I saw in a dream,0.08333333333333333
That's one down.,一応　ウフッ…,One wah ...,0.14285714285714285
"This guy keeps getting
heavier and heavier!",ンッ…　ハアッ！,... Hoad!,0.1111111111111111
Hurry up and release him.,"よくぞ ここまで たどりついた
褒めてやるぞ　超サイヤ人ゴッド","Well I got up to here
I will give up Super Saiyan God",0.0625
"Jeez, try to be a little more careful.",ヘヘッ…　ビルスさまのおかげさ,Heheet ... thanks to Birus,0.07142857142857142
"You blast him, too!",ありったけ込めさせてもらうぜ！,I'm asking you to break!,0.18181818181818182
Together!,ンンッ！,Nhen!,0.3333333333333333
The 11th Universe's Tupper drops out!,いくぞ！,let's go!,0.2
He got away from us!,来い！,come!,0.14285714285714285
Huh? General?,"あら…
えっ？","fault…
eh?",0.2
"Guys, they got Tupper!","ンンッ！
",Nhen!,0.14285714285714285
"Why, those... Now that we're down a man,","ハッ…
フッ…","Ha ...
Hook ...",0.07692307692307693
Sis! Sis!,アアッ！,Ah!,0.3333333333333333
"What is this? I ain't able
to sense any Ki inside!","ホントはさ ２発目くれえで
完成させるつもりだったんだけどよ","Hondatsu 2nd shot
I was going to finish it",0.09523809523809523
"It appears the inside
is in a separate space.","あやつ 全く同じ勢いと角度で
拳をぶつけ合わせることで—","Ayatsu at all the same momentum and angle
By hitting a fist-",0.1
"As a warrior, I would normally be
uncomfortable fighting like this,","さすがビルスさまだ　そう簡単には
やらせてくれなかった","It's a bill, so it's easy
I did not let me do it",0.13636363636363635
Sis...,ヘヘッ…,Heheet ...,0.3333333333333333
Zoire!,"ンッ！
オリャー！","!
Oriha!",0.3333333333333333
Is this... me?,"フン…
",Hun ...,0.16666666666666666
"You know who I am, don't you?","神の力を身につけて
なお 上に行こうというのか","Wear the power of God
Do you go above?",0.1875
"You know, I always knew that you
were capable of great things.",神の力をナメるんじゃないぞ,I'm not the power of God,0.1111111111111111
Right!,食らえ！,Eat!,0.3333333333333333
"Stick with me, wherever I go!",世界中を覆っています！,I cover the world!,0.18181818181818182
Oh!,ああ〜っ！,Oh!,1.0
Looks like we had you worried there.,け… 結局 こうなってしまったか,... After all did you get,0.07692307692307693
"Well, you can thank us for blasting
three of them out of the ring.","名残惜しいが どうやら
お別れの時が来たようじゃのぅ","Nameless but apparently
It seems that the time of a farewell came",0.08
"Yeah, she's got this Ultra-Super Power
completely under control.","こ… これが…
超サイヤ人ゴッドの限界…","This ... This is ...
Super Saiyan God's limit ...",0.1111111111111111
"Awesome, right?","ほれ
えっ？","Sore
eh?",0.16666666666666666
"I'm safe, now that I'm inside here.
You can't harm me.",ついていけそうもねえ,I'm sorry I'm sorry,0.13333333333333333
"Then off you go, sphere and all.","ビルスさま
やっぱ あんた すげえぜ","Bills
After all",0.09090909090909091
