en_text,jp_text,google_translated,score,semantic_score
Don't you wanna dream again?,♪〜,♪ ~,0.0,0.15047415
Something greater waiting not so far away,〜♪,~ ♪,0.0,0.11877884
"who had both gained
newfound power, had begun.",命からがら帰還した悟空たちは—,Goku who returned from life-,0.07692307692307693,0.20378931
"Goku is overwhelmed
by the power of Golden Freeza,","ゴワスを救うため
悟空たちは 第10宇宙へと向かった","To save Giss
Goku went to the 10th space",0.125,0.49732953
which was far beyond his imagination.,"だが そこに現れたのは
不死身の体となったザマスだった","But what happened there
It was Zamas that became an immortal body",0.05555555555555555,0.28916857
I have won. Die!!,ゴワスさま　お茶をお持ちしました,I have given a tea ceremony,0.2,0.30095646
However...,フッ…,Hook ...,0.3333333333333333,0.24821979
That bad habit is your weakness.,これは これは,This is this,0.125,0.083045796
by a simple ray gun?,えっ？,eh?,0.14285714285714285,0.051415764
"And so, the epic tale of revenge
is about to reach its climax!","そして ウイスさまと
確か 孫悟空さん","And with the whites
Certainly Son Goku",0.1,0.17429066
...you will die.,いらしているとは知らず…,Don't know what you are ...,0.2,0.20730887
time to tag in.,"いや 今回は
ザマス お前に会いに来られたのだ","No this time
Zamas she came to see you",0.16666666666666666,0.18823463
"Sorry, but I can't allow you to kill Kakarrot.","君と もう一度 戦いたいって
言うもんだからね","I want to fight again with you
Because it says",0.15789473684210525,0.29828402
"As aggravating as the bastard is,
I need him so I can be stronger.","いや なに
このバカが どうしても—","Normally
Why is this idiot.",0.1111111111111111,0.13022462
Vegeta...!,いてっ！,It is!,0.2,0.18905842
Now I've done it.,"私としても いささか
不本意なところがありましたから","I wonder if it's too
Because there was an unwilling point",0.125,0.02152322
This is what makes you such an idiot.,"このバカには
僕のほうから厳しく言っておこう","For this idiot
Let's say severely from me",0.125,0.32411045
I will not allow that!,いやいや　それには及ばん,"No, it will",0.1111111111111111,0.204748
Father!,"ンッ！
いっ…","!
...",0.3333333333333333,0.25882244
Are you all right?,行っちゃうんか？,Do you go?,0.2857142857142857,0.32953024
"Goku, this is the last senzu.",これは？,this is?,0.2222222222222222,0.14628425
Thanks...,ホイッ…,Whites ...,0.3333333333333333,0.17506501
"Thank you, Vegeta! You saved me!","ひと口食べれば フワ〜ッ…
それは もう—","If you eat a single mouth, Huwa ...
That's already-",0.1176470588235294,0.13081396
"...how dare you stand
in the way of my vengeance?","柔らか〜い皮で
包み込んだスイーツで","Soft-skin
In the wrapped sweets",0.13333333333333333,0.067075364
"but I can turn, too...",もちろん私もですが,Of course I am too,0.2,0.2198779
Th-This is impossible!,ゴワスさま　お茶でございます,It is Gourtheto tea,0.14285714285714285,0.12690847
but I'm not as forgiving as he is.,"しばらく
様子を見るしかないでしょうね","for a while
I have no choice but to look at the situation",0.1,0.2585226
Say your prayers.,ンンッ…,Network ...,0.0,0.07766819
"It is not possible for me to be beaten
by the likes of you, Vegeta!",不死身の体はいいぞ,The body of immortality is good,0.15,0.15523256
Wha--?!,"はい！
えっ？","Yes!
eh?",0.3333333333333333,0.31482744
He's done for.,このままじゃ いつまでもつか…,Let's go for some time ...,0.2,0.37242934
"Wh-Why, you...!",フフッ…　ありがとう,Fuhu ... Thank you,0.2857142857142857,0.21864873
Don't ever come back to life again.,"やらなくちゃいけないんだわ
私だけでも","I can not do it
Even me alone",0.0625,0.14595063
Wh-What?!,おいしい！,delicious!,0.25,0.19384882
Let's go shopping for supper.,"食べよう
うん！","Let's eat
Yes!",0.2,0.51248264
"So this is what's in style lately, huh?","マイ
こいつはチャンスだぞ","My
This guy is a chance",0.13333333333333333,0.08391024
How could he do that? The earth...,え… えっ？　マイ〜！,Eh ... Eh?My ~!,0.15384615384615385,0.124495514
Vegeta! Trunks!,トランクス！,trunks!,0.6666666666666666,0.7842871
Videl-san... Pan-chan...,ピラフさま…,Pilaf ...,0.25,0.2915448
"Damn it... I-l should have
settled things right away.","…たく トランクスの気持ちが
全然 分かってないんだから","... lottery of trunks
Because I have not seen it at all",0.15,0.1329586
A do-over.,"えっ…
ちょ… ちょっと トランクス","eh…
Cho ... a little trunk",0.125,0.26285487
"A do-over? Come to think of it, Whis-san,
you mentioned that before.",悪いが ひとりにしてくれないか,Do you not make it alone?,0.15789473684210525,0.14866354
Y-Yikes! I was not ready for that one!,あ〜あ！　未来の俺が—,Ah!The future I am,0.15384615384615385,0.20631918
I guess we will not need a do-over this time.,"この俺を倒してみろよ！
相手になってやるぜ","Let's defeat me this!
I will be the other party",0.15,0.22360119
You can do that?,来ないんなら こっちから行くぞ！,If you don't come from here!,0.18181818181818185,-0.026975553
