en_text,jp_text,google_translated,score,semantic_score
"P-please, wait, Lady Loki!",お お待ちください 神ロキ,Please wait for God Roki,0.1,0.29788348
"The path beyond leads to\Nthe sacred altar of Lord Uranus,",神ウラノスが祈祷を捧げる神聖な祭壇,Sacred altar dedicating prayer of God uranos,0.2,0.51985
where he offers his prayers to keep the dungeon at bay!,この先はダンジョンを鎮めるため,To calm down the dungeon,0.21428571428571427,0.47286054
"Goddess or not, the Guild must maintain\Nabsolute neutrality and this area is sacrosanct-",そもそも絶対中立であるギルドには,"In the first place, the guild is absolutely neutral",0.21052631578947367,0.58557135
Don't be such a stiff!,構わん,do not worry,0.1111111111111111,0.26731193
I'll allow it.,良いと言っている,I'm saying good,0.125,0.2907568
"But, Lord Uran-",ロイマン 通せ,Roiman,0.0,0.3015792
Later!,ああっ,After,0.0,0.5643108
"Yep! Finally, a REAL enemy for me to hack at!",ちょっと 何ぼーっとしてんのよ　来るわよ,I'm going to come a bit,0.1176470588235294,0.118332766
This blows.,こいつら いったいどこから現れるのよ,I will appear from anywhere this guy,0.1111111111111111,0.10290156
Forget the attack at Monsterphilia.\NWhere in the hell are all these things coming from?!,へ？,fart?,0.0625,0.13721097
"Creeping war, inescapable ruin.",忍び寄る戦火 免れえぬ破滅,Nelabi War fireless destruction,0.1111111111111111,0.45883238
The horn of battle echoes aloud.,開戦の角笛は高らかに鳴り響き,Halling of the war sounds highly,0.18181818181818185,0.52482694
Savage mayhem will envelope all.,暴虐なる争乱が全てを包み込む,Unusual disruption wraps all,0.1111111111111111,0.29863128
Bors! Gather up a team of fighters\Nwhile Riveria distracts them with her magic!,ボールス リヴェリアが魔法で引き付けているうちに,While Balls Rivellia is attracted with magic,0.10526315789473684,0.23368402
"If we strike in numbers, we can defeat them!",数で当たれば抑えられる,It can be suppressed if it hits,0.14285714285714285,0.1962469
There are too many...,出来すぎているな,It is too much,0.125,0.47812593
A Tamer... There must be a Tamer!,調教師 テイマーがいるのか,Is there a trainer Tamer?,0.3,0.45143437
The town is under attack by monsters!,街が モンスターに攻め込まれてる,The city is attacked by monsters,0.4,0.78095853
Let's catch up with Finn and the others.,フィンたちと合流しよう,Let's join with the fins,0.3333333333333333,0.34978062
"Lefiya, go on ahead of me!",先に行って,Go ahead,0.25,0.40431023
Miss Ais!,あっ,Ah,0.0,0.14948341
That's Miss Riveria's magic...,あれは リヴェリア様の魔法,That is the magic of Liveria,0.2,0.57315946
Who... are you?,誰 ですか,Who is it,0.14285714285714285,0.3665932
S-stop right there!,と 止まってください,Please stop,0.0,0.40270564
Let her go!,うあっ,Yare,0.0,0.19678389
Lu... lu...,う,Cormorant,0.0,0.07945668
Miss Ais...,アイズ さん,Eyes,0.0,0.25524756
Are you the one who murdered Hashana?,貴方がハシャーナさんを殺した人？,A person who killed Hasuna?,0.16666666666666666,0.40710154
But the killer should be a woman...,えっ 犯人は女の人じゃ,Eprit is a woman,0.2,0.34690666
What if I am?,だったらどうした,What if it was,0.2857142857142857,0.47695646
Thanks to this bloke I was able to go unnoticed.,おかげで疑われずに済んだ,I was not doubtful thanks,0.25,0.16292144
She's strong!,強い,strong,0.25,0.59538656
Thou art a master of the bow.,汝 弓の名手なり,Name of the bow,0.3333333333333333,0.62077045
"Fire, O elven archer. May your arrow strike true!",穿て 必中の矢,Arrow must,0.07692307692307693,0.5895367
Arcs Ray!,アルクス・レイ,Alks Ray,0.25,0.47332376
How... with her bare hands?!,そんな 素手で,With such bare hands,0.3333333333333333,0.70467275
Lefiya!,きゃー,Cabbage,0.0,0.22784802
Miss Ais is getting driven back!,アイズさんが 押されてる,Eyes is pressed,0.1111111111111111,0.0874977
At this rate...,このままじゃ,Let's leave this,0.14285714285714285,0.28966588
Tempest!,テンペスト,Tempest,0.5,0.88035154
That wind...,その風 そうか,It looks like that,0.16666666666666666,0.24906667
"I see, you must be Aria then.",お前がアリアか,You are an Aria,0.18181818181818185,0.8285039
What did... she just call me?,今 何て,What now,0.1111111111111111,0.173927
Run!,アアッ,An,0.0,0.21644928
"This year's Monsterphilia was a real shit show, wasn't it?",今年のモンスターフィリアは散々やったな,This year's Monster Filille did not do it,0.2222222222222222,0.37419048
Royman and the others are responsible\Nfor the city's administration.,都市の運営はロイマン達に一任している,The administration of the city is one of the Leumans,0.21428571428571427,0.44930607
I wonder where the heck those monsters came from...,あれ いったいどこから来たんやろなあ,I wonder where I came from anywhere,0.4545454545454545,0.4913757
"Or, maybe that's the whole reason\Nit's put on in the first place...",いや そもそも そのために祭を開催したんやろか,"No, I would hold a festival for that in the first place",0.2857142857142857,0.13845414
What are you implying?,なあ どう思う？,What do you think?,0.42857142857142855,0.4327108
Think the ones pullin' the strings... are in the Guild?,事件の黒幕は ギルドか？,Is the black screen of the case guild?,0.1875,0.33581614
Got it.,分かった　邪魔して悪かったな,It was bad to disturb you,0.125,0.13953745
Keep up the good work!,お勤めご苦労さん,Work hard work,0.14285714285714285,0.36167815
What's THAT?!,な 何でてめえら そんなに冷静なんだ,What is it so calm?,0.2222222222222222,0.19674602
Tempest.,ちったあ慌てろや,Hideakor,0.0,0.2921576
It can sense her magic.,魔法に反応している,Responding to magic,0.125,0.44225547
It seems like the monsters from before\Nhave evolved into something new.,どうやら あのモンスターが進化した物のようだな,Apparently the monster seems to have evolved,0.1875,0.7519133
Remember that combo we've used in the past?,以前行った連携を覚えているな？,Do you remember the cooperation you went before?,0.2,0.41006014
There's nothing else I can do about the seed...\NBut I'll be taking you with me at least.,お前だけでもついて来てもらうぞ,You'll be happy with you alone,0.17391304347826084,0.26996222
These things just keep on comin'\Nno matter how many I slice up!,わっ 分かりました,I understand,0.07142857142857142,0.14019994
Its Magic Stone must be buried\Nsomewhere within the upper body.,魔石が埋まってるのはおそらく あの上半身,It is probably that upper body that Magic Stone is filled,0.25,0.8111437
