en_text,jp_text,google_translated,score
He came to visit me sometimes...until recently.,時々 来てくれますよ その前まで…,It will come from time to time,0.06666666666666667
What is this?!,なんだ こりゃあ!?,What is it!?,0.6666666666666666
They disappeared after an altercation with another gang.,他のチームとの 抗争がきっかけで姿を消したんですけどね～,The anti-defat with other teams has erased the appearance.,0.125
You dragged me back into this...,オレを引き戻しやがって ちくしょう…,Turn back myself ...,0.2222222222222222
"So, your friend was hospitalized?",友達が入院したんだって？,Did your friends were hospitalized?,0.3
You came to visit every day.,窓から見えたよ 毎日 来てたもんね,I saw it from the window Every day I came every day,0.23076923076923078
"So, your friend's a girl, right?",やっぱり 女の子？,After all girls?,0.08333333333333333
She has a nice body and wears glasses; that lack  of balance makes her an attractive high schooler.,ナイスバディで眼鏡,Glasses with nice buddy,0.09090909090909091
It'd be a love square if you included me.,私も入れれば四角関係だよ,"If I put it, it is a square relationship",0.25
"We're done, finished, canceled, closed up.",オレたちはもう終わった フィニッシュ,Ore has already finished finish,0.07692307692307693
Have you decided you want to return to how things were?,また 昔に戻りたくなったとか？,"Also, if I wanted to return again?",0.1875
"Sorry, I'm going home.",悪い 今日はもう帰るわ,Bad today will come back anymore,0.0
So I'm fine no matter how many girls you fall in love with.,だから いくら ほかの女の子を好きになっても 平気,So no matter how else I like other girls,0.3333333333333333
"In the end, you'll show a much stronger  love toward me than any of them.",最後の最後に 正臣はその子たちより 私の方を強く愛してくれるんだから,Last end at the end Masah loves me stronger than their children,0.20833333333333334
I didn't have to listen to know what she was going to say.,聞かなくたって 分かってる,I understand without asking,0.0625
"And, more so than any of them, you'll love me on a much higher level.",そしたら そのほかの人との愛より もっともっと 高く高く 愛してくれるもん,Then I love you more and higher than the love with other people,0.25
"However, I didn't want to hear the words that would come next.",でも それから先の言葉は聞きたくなかった,But then I didn't want to hear the word ah,0.3684210526315789
"I mean, that's what Izaya said.",だって 臨也さんがそう言ってたもん,That's why Mr. Toya said so,0.23076923076923078
"I succumb to the illusion that I'm God when I look  at it like this, which feels pretty good, you know.",こうやって見てるとさ,If you look at this way,0.16666666666666666
Three-way fights are great.,三つ巴って いいね,Three tanki,0.0
"The sweeter the honeymoon, the higher the flames  of despair rise when it all comes crashing down.",蜜月が濃ければ濃いほど それが崩れたときの絶望は高く高く 燃え上がるもんだよ,"If it is thick, the greater the darker if it gets dark, the hopelessness is high and it will burn high.",0.14285714285714285
Look! The pawns are like garbage!,見ろ！ 駒がゴミのようだ,look!The piece seems to be trash,0.25
"Now, what do the cards say about the non-pawns?",さてと… あとはそれぞれ駒以外のカードがどう動くかだよねぇ,By the way ... the card other than the piece will work after that,0.047619047619047616
"Kadota's group, Shinra, Simon...",門田たちに 新羅 サイモン,Shuura Simon to Kadata,0.1
Umm...I guess Shizu-chan's the king after all.,えっと… キングは シズちゃんかな,Effort ... King is shaft,0.14285714285714285
"Celty's the queen, I suppose.",やっぱ セルティはクイーンだな,After all Celty is queen,0.18181818181818182
"Meh, whatever.",まあ どうでもいいわ,Well I don't care,0.0
"This has gotten fun, hasn't it?",楽しくなってきたよね,It has become fun,0.3333333333333333
"You think so too, right?",君もそう思うだろ？,Do you think so too?,0.625
I heard that she didn't die.,死ななかったんだって？,Didn't you die?,0.3
How fortunate.,僥倖じゃないか,Isn't it?,0.0
It's laudable that you haven't succumbed  to your emotions and tried to punch me—,感情にのまれて オレに殴りかかってこなかったことは称賛に値するよ,It is worthwhile that I could not beat me in my emotions,0.125
It's only natural that you'd channel your anger towards me.,今のはオレに怒りを向けて 当然だ,Now that I am angry now,0.058823529411764705
Since I was obviously trying to insult you.,明らかに悪意を持って 君をからかったわけだから,Because I was clearly malicious,0.16666666666666666
"So, she's unconscious?",目を覚ますといいね,I hope you wake up,0.0
"But, let's assume that she dies.",だけど 仮に このまま死んだとしたら どうだろう？,But what if I died temporarily?,0.06666666666666667
Wouldn't you feel guilty for the rest of your life that you killed her?,それこそ 一生償えない罪悪感にまみれて 生きることになる？,Is it a guilt that does not compensate for a lot of guilty?,0.21739130434782608
"In other words, your feelings of guilt are  meaningless whether she lives or dies.",つまり 彼女が生きようが死のうが,"In other words, she can live but death",0.25
"In absolute, complete, and total earnest.",ひたすら ひたすら ひたすら ひたすら…,Slightly died Nizuna ...,0.0
Do you know why?,なんでだか分かるかい？,Do you understand why?,0.6666666666666666
Because he doesn't have a fixed form.,存在が確定してないからね,Because the existence has not been determined,0.06666666666666667
"The past certainly does exist, even in a world  where the future doesn't have a fixed form.",未来でさえ確定してない世の中で,In the world that has not been decided even in the future,0.22727272727272727
"Even if it's been colored by misunderstandings and delusions,",たとえ それが誤解や妄想に彩られたことだとしても,Even if it was colored by misunderstanding and delusion,0.42857142857142855
a person's past can't be anything but  the truth as long as he believes in it.,本人がそれを信じるなら,If you believe that,0.0
"If that's what you base your actions...or your way of life on,",それに基づいて行動を… あるいは生きざまを決めるというのなら,If you decide to act based on that ... or,0.3157894736842105
isn't that like being a deity?,それは 確かに神の一種なんじゃないのかな,It is certainly not a kind of God,0.14285714285714285
I don't understand what you're trying to say at all!,何が言いたいのかさっぱり分かりません！,I do not know what I want to say!,0.375
You can't run from her anymore.,君はもう彼女から逃げられないよ,You can not escape from her anymore,0.36363636363636365
"Your feelings of guilt towards her will become  your past, and she'll become a deity to you.",彼女への罪悪感は過去となり,The guilt to her is the past,0.2
