en_text,jp_text,google_translated,score
Make it stop...,ハァ…,Hua ...,0.2
"Somebody make it stop!!
I wasn't... I didn't...!!",俺は… 俺は！,I ... I!,0.3
"<i>we have observed an</i>
<i>alpha 75-30 tectonic shift.</i>","アルファー75 30の
地殻変動が観測されました","Alpha 75 30
Crustal variation was observed",0.11764705882352941
"<i>Today, at approximately 8:48 AM,</i>","今日
午前８時48分頃―","today
Around 8:48 am-",0.16666666666666666
"<i>southeast of Nagaren Island in South</i>
<i>Arib at depth 60, we have observed...</i>","サウスアリブの
地下60の地点において―","South Alive
At the point of 60-",0.13043478260869565
"Why do I always have to tell
you to keep the radio down...?
<i>An alpha 75-30 tectonic shift.</i>","ラジオは小さくって
いつも言ってるで… ん？","Radio is small
I always say ...?",0.2
"<i>Due to this tectonic shift, part of the ley-line--</i>","この地殻変動により
レイライン上での一部の…","By this crustal change
Some of the lay lines ...",0.13636363636363635
Hap! Hap!!,"（ホランド）
ハップ！ ハップ！",Hap!Hap!,1.0
It's here!!,"（ハップ）うわあっ！
…んだよ どうした","wow!
... What's wrong?",0.2222222222222222
<i>The story that Eureka told me about her past...</i>,"（レントン）エウレカが
聞かせてくれた昔話…","Eureka
Old-fashioned story that you asked me ...",0.29411764705882354
"<i>Of course, I believe in Eureka,</i>","もちろん 俺は
エウレカを信じてるから―","Of course I
I believe in Eureka-",0.45454545454545453
"<i>so I have no intention of saying</i>
<i>anything to her or Holland...</i>",ホランドたち…,Holland ...,0.125
"<i>Seeing Eureka in so much pain like that,</i>","あんなに苦しんでる
エウレカを見ると―","I'm suffering from so much
When I look at Eureka-",0.15
"<i>Come to think of it, I don't know</i>
<i>anything about this world.</i>","考えてみれば 俺は
この世界のことを何も知らない","If you think, I
I do not know anything about this world",0.38095238095238093
<i>But...</i>,"ティプトリーおばさんが
言ってたとおり…","Tiptry aunt
As I said ...",0.2
"I-I-I'm not hiding anything!
Not a thing!","うわっ！ な な 何にも
隠してないっすよ 何にも！","Wow!What
I do not hide anything!",0.23076923076923078
I need some Green Steppin' Van.,"（ギジェット）
スッテピン･バンの緑",Sute pin van green,0.2
Board wax!,ワックス！,wax!,0.6666666666666666
Hold on just a minute.,"ああ～！
ちょっと待っててください","Oh ~!
Wait a minute",0.2
I have some that just came in.,最近 入荷したばかりのが…,I just have arrived recently ...,0.2727272727272727
"Hey kid, have you finished
getting your board ready?","（ムーンドギー）おめえ
板の手入れ 終わってんのか？",Is it finished on board?,0.21428571428571427
"If we calculate it using the
source of the tectonic shift...","（ホランド）
その地殻変動の発生源と―",Source of the crustal variation-,0.23076923076923078
and the flow of the strata...,地層の流れから計算すると―,Calculated from the flow of the formation-,0.3333333333333333
the best waves are gonna be...,一番いい波が来るのが…,The best waves come ...,0.4444444444444444
right here.,ここだ！,here!,0.25
That's in the southern hemisphere!,おい 南半球じゃねえかよ！,Hey southern hemisphere!,0.375
Too far.,（ヒルダ）遠すぎ！,too far!,0.5
"We're gonna do it?
Seriously?!","（ヒルダ）やるの！？
（マシュー）マジで！？","Do it!?
 Seriously!?",0.5555555555555556
"It's been a while, hasn't it?",（ストナー）久しぶりじゃね？,"It's been a long time, right?",0.5
All right!,（一同）よっしゃー！,Yusha!,0.25
I can't believe these guys...,どいつもこいつも…,I am always ...,0.2222222222222222
I'll just get it myself!,勝手にもらってくわよっ！,I'll get it myself!,0.8571428571428571
This is... This is...!,何なのよ これ！,What is this!,0.6
"I didn't even know
I still had this old thing...","まだ あったんだ
こんなの…","There was still
Such ...",0.14285714285714285
What's wrong?,（エウレカ）どうしたの？,What happened?,0.4
"They're talking about a big wave,
but it's really far away.","（レントン）大波ったって
ずーっと遠くの話じゃん","I waves a lot
Talk about far",0.15789473684210525
"I mean, by the time it gets here,
it'll be nothing but a little wave.","そんなの ここに来た時には
ショボイ波になってるのに…","When I came here
Even though it is a shrover waves ...",0.16
"Why is everyone getting so
excited about something like that?","何で この程度のことで
浮かれてるんだろう… みんな","What about this degree
It will be floating ... everyone",0.10526315789473684
"Huh? Well, because...",（エウレカ）えっ だって…,Well ...,0.3333333333333333
Trajectory flight?,（レントン）弾道飛行？,ballistic flight?,0.5
"Maurice, get in the copilot seat.","（エウレカ）モーリスは
コパイシートに","Maurice
In a copay seat",0.3
Okay..,（モーリス）うん,Yeah,0.0
"Renton, hurry up!
Get in the copilot seat, too!","（エウレカ）レントンも早く
コパイシートに！","Renton is also faster
Copy seat!",0.2
Fly over... the atmosphere?!,大気を… 飛び越える！？,End ... jump over!?,0.4444444444444444
"Give me our course as
soon as you've plotted it!","（タルホ）ウォズ 軌道を
割りだしたら すぐに回して！","Woze Trajectory
Turn it as soon as it is divided!",0.25
Already sent!,（ウォズ）送った！,sent!,0.6666666666666666
"We don't have much time
before the window.","（タルホ）ウィンドウまで
時間がないわ","Window
I have no time",0.25
Everybody ready?,"一気に限界加重
覚悟いい？","Limit weight at once
Are you ready?",0.2222222222222222
"<i>Boosters will fire 35 seconds</i>
<i>after trapar cycle shutdown.</i>","（タルホ）噴射は
トラパーサイクル閉鎖後 35秒","injection
35 seconds after traper cycle closure",0.25
"Here, take this!","（エウレカ）これ 持ってて！
（レイトン）え！？","Take it!
!?",0.2857142857142857
It's going to be a really intense one today.,今日のは強烈だから,Because today's is intense,0.23076923076923078
Confirmation complete!,確認完了！,Confirmation complete!,1.0
"<i>Release valve, closure confirmed.</i>","（ジョブス）リリースバルブ
閉鎖を確認","Release valve
Confirm the closure",0.2727272727272727
"Port side booster, pressure
building. No changes.","（タルホ）左舷ブースト
圧力上昇率に変化なし","port boost
No change in pressure rise rate",0.21428571428571427
All auxiliary systems are go.,"各種補機
システム･アー･ゴー","Various accessories
System Ah Go",0.1
Releasing pressure locks.,（ジョブス）圧力隔壁 開放,Pressure bulkhead release,0.16666666666666666
Commencing countdown.,カウントダウン 開始,Countdown start,0.25
Confirmed normal operation of all systems.,"（タルホ）
全システム 正常稼働を確認",Check all system normal operation,0.3333333333333333
Entering final stage.,最終段階に入ります,Enter the final stage,0.3333333333333333
Final check of plotted course... complete!,軌道 最終確認 完了！,Trajectory final confirmation complete!,0.3
Releasing booster locks!,ブースター･ロック 解除！,Booster lock release!,0.3333333333333333
Launching!,発進！,Start!,0.3333333333333333
Higher than the sun!,ハイアー･ザン･ザ･サーン！,Hyear Zan The San!,0.25
A r-r-r-r-rocket?!,"（レイトン）
ロロロロ… ロケット！？",Rorororo ... rocket!?,0.2857142857142857
because they pollute the air!,"いつもは空を汚すからって
噴射系使うの―","Because it always contains the sky
Use injection system-",0.15384615384615385
"Mama, this belt is tight.","（リンク）
ママ ベルトきつい",Mom belt tight,0.25
Isn't it okay now?,"（メーテル）
もういいでしょ～",It is already good ~,0.2222222222222222
"Yes, it's okay.",うん いいよ,"yep, OK",0.125
"Th-That was close...
I was about to throw up again...",またゲロを吐くところだった…,I was spiting gero again ...,0.3333333333333333
"Let's go, Renton.","（エウレカ）行こう レントン
（レントン）ええ！？","Let's go Renton
 yeah!?",0.4444444444444444
Planet?,星？,Star?,0.3333333333333333
"Amazing!
The planet, it really is... round!","星って ホントに
丸いんだ…","Story really
Round ...",0.2727272727272727
The Great Wall...,（ストナー）おお…,...,0.25
"This is the thing that
Miss Tiptory told me about...","これが あの
ティプトリーおばさんが言ってた…","This is
Tiptry aunt said ...",0.21428571428571427
<i>Eureka's eyes were saying at that moment...</i>,"このエウレカの瞳が
語っていたことを―","The eyes of this Eureka
What I was talking-",0.15789473684210525
"<i>Maybe we could</i>
<i>have made it through...</i>",済んだかもしれなかったんだ,I might have done it,0.21428571428571427
"<i>But... But, for now,</i>
<i>let me just say one thing.</i>","でも… でも今は
これだけは言わせてほしい","But ... but now
I want you to say this",0.2631578947368421
"of Operation Sora 107
in Ciudades Del Cielo.",ソラ107号作戦の状況経緯です,It is the situation of the situation of Sora 107 operation,0.3076923076923077
"7 minutes from enemy contact
to squadron withdrawal.","会敵より
部隊撤退まで７分","From the enemies
7 minutes to withdrawal",0.45454545454545453
by a rebel force like the Vodarac.,"ヴォダラクらの反抗勢力による
攻撃とは考えられません","By the rebellion of Vodalak et al.
It is not considered to be an attack",0.14285714285714285
"Tell me what you think, Dominic.","（デューイ）
お前の考えを言え ドミニク","Dominik, says your thoughts",0.08333333333333333
"What do you think that ""other force"" is?",その 別の勢力とは何だ？,What is the other power?,0.3076923076923077
Sir!,はっ！,Hey!,0.3333333333333333
"was very similar to that of the
old SOF 1st Mobile Squadron.","旧ＳＯＦ第１機動部隊の
それに酷似しています","Old SOF 1st Motor
It is very similar to that",0.4375
I see.,今回 加担したのは―,What I recipulated now-,0.16666666666666666
"there are no squadrons capable
of dealing with them at present.","現状において
それに対処できる部隊はない","At present
There is no unit that can handle it",0.2222222222222222
"I was going to wait until my squadron
was officially commissioned, but...","（デューイ）
私の部隊が 正式発足してからに
するつもりだったが…","My unit is officially launched
I was going to ...",0.4375
Yes!,あ… はい！,"Oh, yes!",0.5
How far can you stretch it?,"（ギジェット）
君はどこまで伸ばせるか！",How long can you stretch!,0.4444444444444444
"The Gekko Cup Competition!
Cheese Stretching Championship!","ゲッコーカップ争奪！
チーズ伸び伸び選手権～！","Getko cup battle!
Cheese elongation elongation championship-!",0.25
"So, where are we?",で ここ どこ？,Where is it?,0.25
Manaaki base.,マナアキ基地だ,It is Manaaki base,0.4
Manaaki?,マナアキ？,Manaaki?,1.0
"An air force base
that was abandoned...","（ヒルダ）半年前の
地殻変動で放棄された空軍施設","Half a year ago
Air Force facility abandoned by crustal variation",0.1875
"The largest military tower in
the southern hemisphere.",南半球最大の軍塔,Southern Hemispellar Maximum Tower,0.2
"But now it's just ruins, an empty shell.",今は廃墟 もぬけの殻…,Now the ruins is a shell ...,0.2
"So, why are we in place like this?","で どうして俺たち
そんな所にいるわけ？","What do we do
Are you in such a place?",0.3333333333333333
Hey.,"（エウレカ）ねえ
（レントン）ん？","Hey
?",0.3333333333333333
What are you going to do?,君はどうするの？,What do you do?,0.5714285714285714
"I'll be staying here.
I just want to stay here.",ここにいたいから,Because I want to be here,0.45454545454545453
