en_text,jp_text,google_translated,score
The Kingdom of Fiore...,フィオーレ王国,Fioret kingdom,0.16666666666666666
A neutral country of 17 million people.,"人口1,700万の永世中立国","Population of 1,700,000 permanent neutral",0.18181818181818182
It is a world of magic.,そこは 魔法の世界,There is a magic world,0.5
And there are those who use magic as their occupation.,"そして その魔法を駆使して
生業とする者どもがいる","And by making full use of the magic
There is a person who works",0.25
The wizards belong to various guilds \Nand perform jobs on commission.,"魔導士たちは さまざまなギルドに
属し 依頼に応じて仕事をする","Magicians are in various guilds
I belong to work according to request",0.21052631578947367
And in a certain city there lies a certain guild.,"そして とある町に
とある魔導士ギルドがある","And in a certain town
There is a Magician guild",0.5
"A guild from which various legends were once born... Or \Nrather, will continue to be born long into the future...","かつて… いや のちのちに至るまで
数々の伝説を生みだしたギルド","Once ...
Guild who produced numerous legends",0.16666666666666666
Fairy Tail!,その名は“妖精の尻尾”,"The name is the ""fairy tail""",0.25
Previously on Fairy Tail!,「FAIRY TAIL」 前回までは…,"""FAIRY TAIL"" until last time ...",0.18181818181818182
Save my dad!,父ちゃんを助けてよ！,Help Father!,0.16666666666666666
Give Macao back!,マカオを返せ！,Return Macao!,0.4
Guess I owe you one.,"ナツ グレイ
２人の力を貸してほしい","Natsugley
I want you to lend two people",0.16666666666666666
"I'll tag along, but I have one condition.",つきあってもいいが 条件がある,There is a condition that there is a condition,0.07142857142857142
"When we get back, let's have a match!",帰ってきたら 俺と勝負しろ,"If you come back, let me play with me",0.17647058823529413
Why are you doing this?,なんで そうなるの？,Why do you do?,0.42857142857142855
The number of dark guilds rivals that of the stars themselves.,闇ギルドたちは 星の数ほどある,The dark all the number of events are about the number of stars,0.35714285714285715
Then we should come up with a plan to wipe them all out at once.,では 一掃作戦を実行すべきだ,Then you should carry out a clean operation,0.2
"But, how?",どうやって？,how?,0.5
I will not stand for Zeref's magic falling into their hands again!,"根本的な問題は
何も解決しないのだよ","The fundamental problem is
I do not solve anything",0.09523809523809523
And how was it that they obtained such magic so easily in the first place?,そもそも これほどの魔法が―,"In the first place, there are so many magic-",0.23809523809523808
Blame goes all the way up to the administrative level.,"責任問題は
管理側にまで及びそうじゃのぅ","Responsibility problem
Up to the management side and",0.2
"It seems like this time we were saved by that thorn in our sides, Fairy Tail.",今回だけは助けられたみてえだな,It is afraid that only this time was helped,0.17391304347826086
They destroyed a whole dark guild with just 4 or 5 people. Impressive.,"たった４～５人で
ギルド１つをつぶしちゃうんだもん","4 to 5 people
I'm crushing one guild",0.21052631578947367
"I know it's not something you want to accept, but that's reality.","認めたくないのも
分かるが これは事実さ","I do not want to admit
I understand, but this is a fact",0.2727272727272727
We would be in dire straits if the Lullaby had actually killed those guild masters.,"もしも呪歌でギルドマスターたちが
殺されていたら 事態は最悪だった","Gildmasters in the spurs
The situation was the worst if killed",0.19047619047619047
It would have cost the heads of many of us standing here.,"ここにいる俺たちの中の何人かは
確実に首が飛んでいた","Some of us here are here
The neck was flying securely",0.2222222222222222
Fool! You intend to lay blame even on the Council itself?,"バカな！ 責任問題を
ここまで引き上げるつもりか","stupid!Responsibility problem
Are you going to raise it here",0.14285714285714285
Enough of this!,"ヤツらの派手な暴れっぷりには
今回も頭を抱えておるんじゃ","For the flashy of the guys
I have a head this time",0.15384615384615385
The incident with Eisenwald targeting the guild masters during their regular meeting,"ギルドマスターの定例会を
狙った呪歌事件は―","Regular meeting of Guild Master
The target spurring case is-",0.23529411764705882
became big news immediately and everyone in the country learned of it.,"一躍 大ニュースとなり
国中に知れ渡ったの","It becomes a great news
I knew it in the country",0.2777777777777778
I would have never believed I'd be at the center of such a huge event.,"あんな大事件の中心に
自分がいたなんて","At the heart of such a big incident
I was there",0.2857142857142857
"Even so, I'm living my day to day life just like I always do.","私は
いつもと同じ日常を送っています","I
I am sending the same everyday life as usual",0.09090909090909091
"Well, I guess that's expected.","たまに あのときのことを
思い出して ドキドキしてるけどね","Sometimes that time
I remember she is thrilled",0.14285714285714285
The one thing that scares me is they don't seem to have caught Erigor.,"ほとんどが捕まっちゃったみたい
まあ 当たり前か","Most seems to have caught
Well, is it natural",0.18181818181818182
What'll I do if he comes to take revenge on Fairy Tail?,"妖精の尻尾に
復讐とか しに来たら どうしよう","To the tail of the fairy
Revenge and she comes to me",0.2631578947368421
"But I'll be okay! Natsu, Erza, and Gray are Fairy Tail's strongest team!","妖精の尻尾には
ナツ グレイ エルザの最強チーム","For the tail of the fairy
Natsugrey Elsa's Strongest Team",0.22727272727272727
"Plus: Happy and I are there, too!",プラス ハッピーと私がいるからね,Plus Happy and I have,0.36363636363636365
"This guild's the best, so don't worry, Mom.",このギルドは最高よ,This guild is the best,0.3076923076923077
"Keep this a secret from Dad, 'kay?",追伸 パパにはナイショにしててね,Pursing dad is a naughty,0.16666666666666666
Maybe I'll do some shopping today.,"フゥ…
う～ん… 今日は買い物しようっと","Hu ...
Hmm ... Today is shopping",0.16666666666666666
"Thrilling adventures are great and all, but you can't beat relaxing at home!","しかも 人ん家で服脱ぐな！
グハッ！","Moreover, I will get off at home!
Guha!",0.18181818181818182
"Rent for this place is 70,000 jewel? That's really cheap.","これで家賃７万Ｊは
確かに安いな","This is the rent 70,000 j
Certainly cheap",0.3125
"You found yourself a nice pad, Lucy!",いいとこ見つかったな ルーシィ,I found a good cousin Lucy,0.25
Trespassing!,不法侵入！,Introductory intrusion!,0.25
Hold it! It's a misunderstanding!,ちょっと待て！ 誤解だ！,wait a minute!I'm misunderstood!,0.18181818181818182
"Today's the day, remember?","例のアレ 今日だぞ
忘れてんじゃねえかと思って―","An example of the example is today
I think I'm not forgetting-",0.125
"I figured you'd forget, so I came to get you.","来てやったのによ
アレ？","According to what came
Are you?",0.2
Huh?,やっぱ忘れてんじゃねえか,Do not forget it?,0.16666666666666666
"Natsu said so before we left, right?",出発前にナツが言ってただろう,Natsu would say before departure,0.16666666666666666
Natsu!,"いけ ナツ！
ナツ！","Natsu!
Natsu!",1.0
Natsu and Erza are fighting!,ナツとエルザが戦うんだ,Natsu and Erza fight,0.42857142857142855
