en_text,jp_text,google_translated,score,semantic_score
"Your eyes, always looking straight ahead,",～♪,~ ♪,0.0,0.205418
can surely see the light!,いってみるッス！,I will try to go!,0.09090909090909093,0.22944742
There's a giant amusement park and a five-star hotel next door.,"次の おハガキ…
“グレイさんの好みのタイプは？”","Next postcard ...
""Is Gray's favorite type?""",0.1,0.16371538
And then there's the sea expanding out to the infinite horizon...,…て 今回ぽっきり,... and this time,0.14285714285714285,0.15990534
"Using the tickets they received from Loke,","前回 初代マスター メイビスの
お墓の在りかを推測したルーシィは","Last first master Mavis
Lucy who guessed the grave",0.0625,0.07077582
Not on your life!,"うん？
よいしょ～！","Yes?
Good luck!",0.1111111111111111,0.22631434
Gray-sama... So bold!,ウー…,Woo ...,0.16666666666666666,0.18893094
The Tower of Heaven!,"いつの間に
カナと はぐれたのかしら？","Always
Kana and she got rid of it?",0.07692307692307693,0.11689884
Really...,ハッ…,Ha ...,0.3333333333333333,0.44109678
Erza...,うわぁ… 面倒くさい,Wow ... Bumps,0.25,0.22577901
A dream?,ハ… ハッタリ？,Hatari?,0.25,0.19597709
When did I fall asleep?,"あっ！
今 気づいたのかしら？","Ah!
Did you notice now?",0.18181818181818185,0.12669784
There's no help for a woman like me...,"では… 自分のゴワ毛をですね
こう ノーロさんにつけて…","Well then ... it's my own gow hair
Keeping her Norro ...",0.1,0.18720725
Erza!,ウーウェ！,Woew!,0.3333333333333333,0.39540535
"Oh, yes! They have a place like that, don't they?","ウーウェ… どうッスか？
すっごい魔力 感じないッスか？","Wow ... What is it?
Isn't it a wonderful magic?",0.15,0.17741546
"Um, maybe that's a little too flashy...","アハハハッ…
ちょ… ちょっと あんた…","Aha ha ...
Cho ... a little ...",0.2307692307692308,0.34444284
Whatever...,か… 返してッス,Or ... Returness,0.25,0.23541668
"Let's go, Erza!","エイッ！
グワーッ！","AI!
Gwa!",0.125,0.32747597
Sometimes taking a day to pamper myself... isn't such a bad thing.,"ちなみに
自分 ちょっと腹が減ったッスが…","as a side note
There is a bit of hungry and hungry ...",0.13636363636363635,0.18294095
"You can do it, 17!","結構 楽しんでない？
ないッス！","Aren't you really enjoyed?
No Susu!",0.14285714285714285,0.16680998
17!,ンッ！ ンッ！ ンッ！ ンッ！,!!!!,0.5,0.28932884
It's so cruel!,"どうしたもんかしら
こういうタイプ！","What's wrong
Such type!",0.2222222222222222,0.26476467
Crying isn't going to...,こうなった自分は残忍ッス,This is the case,0.1111111111111111,0.14856489
Juvia is here.,"星霊魔法ッスか
しかも 黄道十二門","Star spirit magic
And the eccentric twelve",0.0,0.07589653
Huh?,"あんた うまそうッスな
ひと口いいッスか？","Annota Umasu
Mouth Mouth Sass?",0.16666666666666666,0.12996237
Who are you?,牛なんか見たら―,If you look beef-,0.14285714285714285,0.16926041
Natsu!,どどすこーい！,Sorry!,0.3333333333333333,0.19135036
Live on as a dandy...,俺がパワーで負けた…,I lost with power ...,0.1,0.23138988
"So I take it you want to join Fairy Tail, then?","イヤーッ！
魔法を使わないほうが強いって―","Ear!
It is stronger that you do not use magic-",0.09090909090909093,0.1981239
"Yes, Juvia does!",はい もしも～し！,Yes!,0.4,0.2547505
But after all that...,足… 足止め！ そうだ！,Foot ... stop!That's it!,0.2,0.18926515
...he says.,サジタリウス…,Sagittarius ...,0.2,0.12110478
Juvia!,"蹴り返し！
ウソ！","Kick back!
Lie!",0.2,0.18127814
Who the hell are you?,"ウィーアー！
俺っちに任せな イエイ！","We are!
Ayay who can be left to me!",0.14285714285714285,0.21622166
Where is Erza?,それは ともかく―,Anyway-,0.0,0.102512546
I'm really on a roll today.,"今アクエリアスと
旅行中だったからなぁ","Now with Aquarium
Because I was in a trip",0.13333333333333333,0.19873084
R-Right...,か… 彼女と旅行とか―,.........,0.5,0.34195113
Then... why don't we play a special game?,"ウィーアー！ じゃ そういうことで
え～っ？","We are!So he is that
Eh?",0.1111111111111111,0.10057476
