en_text,jp_text,google_translated,score
Do not forget.,（ファブニール）忘れるな,Do not forget,0.75
What?,何だ？,What?,1.0
I am Servant Ruler.,"（ルーラー）
サーヴァント ルーラー",Servantruler,0.0
My true name is Jeanne d'Arc.,"（ルーラー）
我が真名はジャンヌ･ダルク",OurManaisJoan of Arc,0.0
"By my oath, I shall protect your life, your soul.","約定に基づき あなたの命
あなたの魂を守ります","Your lifeon the basis of thecommitments
Protect yoursoul",0.11764705882352941
I'm so glad you're alive!,生きてるよ～,I'm alive ~,0.3333333333333333
Thank God! I was so worried.,（黒のライダー）よかった！,was good!,0.2222222222222222
Siegfried's heart seems to be functioning fine.,"ジークフリートの心臓が
正常に機能しているようですね","Siegfriedof the heart
It seemsto be functioningnormally",0.14285714285714285
Siegfried?,ジークフリート？,Siegfried?,1.0
The hero from the Song of the Nibelungs?,「ニーベルンゲンの歌」の英雄か？,"Orheroof the""Nibelungenlied""?",0.2
I have his heart?,彼の… 心臓？,His ... Heart?,0.5
You're okay now!,それが重要なんだ！,It'mimportant!,0.16666666666666666
Right?,"（ダーニック）
ライダー 何があった？",Riderwaswhat?,0.3333333333333333
I cannot deny that.,それは そうですが…,It'sso ...,0.0
Rider.,ライダー,rider,0.5
"Hello, there.",来ちゃったか,DidIcome,0.0
"Uh, well...",えーと… その…,Well... that...,0.4
"He took his own life, I guess I could say?",自らの手で死を選んだ… のかな？,Chosedeathbyhis ownhand...I wonder if?,0.125
What transpired here?,"（黒のランサー）
セイバーは どうした？",SaberwasHow abouthim?,0.16666666666666666
Actually...,（黒のランサー）うぬ…,...,0.5
I can't believe we lost our Saber \Nto such a frivolous reason.,"（ダーニック）そのような些事(さじ)で
セイバークラスを失うとは…","Such a trifust
Losing Saber Class ...",0.16666666666666666
"Rider, hand him over.",ライダー 彼を引き渡せ,Rider hand over him,0.6666666666666666
I refuse.,断る,turn down,0.0
Do not make us waste a Command Spell on this!,"くだらぬことで
令呪を使わせるな！","Crapin
Do nottouse theRyonoroi!",0.14285714285714285
Even the Great Grail War has rules.,"（ルーラー）
聖杯大戦にもルールがあります",There is also a rule in the Holy Grail War,0.2
"You ought to know, Caster.","キャスター
あなたなら分かるでしょう？","caster
Do you understand if you know?",0.2727272727272727
