en_text,jp_text,google_translated,score
Are you all right?,大丈夫ですか,is it OK,0.0
The enemy is most likely Rider.,おそらく敵はライダーです,Perhaps the enemy is a rider,0.4444444444444444
How many times must I reach my hand out to this repeating world,繰り返す世界 何度手を伸ばしたら,Repeating the world how many times,0.35714285714285715
If these awakened feelings resonated in my heart,芽生え出した思いが胸に響いたなら,If the thought that the sprouted came out of the chest,0.0625
"Even these entwined, twisted wishes will come apart",絡まった歪な願いだってほどける,It is an entangled distorted wish,0.0
I've held up the light and erased my hesitation,光をかざして躊躇いを消した,I gave a lion to erase,0.06666666666666667
What I wanted to give you is in the future,あげたかったのは未来で,I wanted to give it in the future,0.6363636363636364
These legs that've stepped forward i'll hold on tight to these definite bonds as i advance,そっと癒してゆく,Heal softly,0.0
No matter where I go,どこまでも,Wherever,0.0
But it's kind of gloomy-looking.,何ともしけた所だのう,It is a place where I had,0.07692307692307693
And what's with that battle attire?,大体何だ のっけからその無粋な戦支度は,It is important that the ruler is,0.07692307692307693
You aren't wearing your fashionable suit tonight?,今宵は当世風のファッションはしとらんのか,Tonight is the fashion of the future,0.07142857142857142
"Rider, what did you come for?",ライダー 貴様 何をしに来た,Rider Your Come what I came,0.2727272727272727
Can't you tell?,見てわからんか,Do not look at it,0.0
"Come on, stop standing there and show me around.",ほれ そんな所に突っ立ってないで案内せい,I'm not going to stand in such a place,0.0
Surely you have a garden fit for a banquet.,どこぞ宴に誂え向きの庭園でもないのか,It is neither a garden with a garden where to go to everywhere,0.11764705882352941
I can't stand this castle. It's too dusty!,この荒れ城の中は埃っぽくてかなわん,Dust of this wild castle is dusty,0.1875
The Grail is fated to end up in the hands of the one most worthy of it.,聖杯は相応しき者の手に渡る定めにあるという,The Holy Grail is a definitely crossing the hand,0.15
And the battle here in Fuyuki City will determine who that person is.,それを見定めるための儀式が,The ritual for looking at it,0.05263157894736842
"But if it's just a means to decide, then there's no need for bloodshed.",なにも見極めをつけるだけならば,If it is just looking at everything,0.14285714285714285
If all the Heroic Spirits can acknowledge each other's ranks...,英霊同士 お互いの「格」に納得がいったなら,"If the English spirit is convinced to each other's ""case""",0.25
...then the matter will settle itself.,それで自ずと答えは出る,So the answer will come out freely,0.15384615384615385
"So you wish to start by comparing your rank against mine, Rider?",それで まずは私と「格」を競おうというわけか ライダー,"Then, first, I will compete for me and ""Radio""",0.04
You might consider this a Grail Dialogue rather than a Grail War.,いわばこれは「聖杯戦争」ならぬ「聖杯問答」,"So, this is the ""Holy Bur Conditioner"" not the ""Holy Grail War""",0.14285714285714285
Which of us is more suited to be the king of the Grail?,どちらがより「聖杯の王」に相応しい器か,"Which one is a device suitable for the ""King of the Holy Grail""",0.3
The matter will clarify itself as we drink.,酒杯に問えばつまびらかになるというものよ,It will be tough if you ask the liquor cup,0.11764705882352941
That's more than enough nonsense...,戯れはそこまでにしておけ,Play the fun,0.0
"Archer, what is your business here?",アーチャー 何故ここに,What is the archer here,0.4444444444444444
"You're late, Goldy.",遅かったではないか 金ピカ,It was late money Pica,0.1
"Well, you did come here by foot, unlike me. Makes sense.",まあ 余と違って歩行なのだから無理もないか,It's not impossible because it is a walking differently,0.0
