en_text,jp_text,google_translated,score
Berserker! Crush her!,"（ｲﾘﾔｽﾌｨｰﾙ･ﾌｫﾝ･ｱｲﾝﾂﾍﾞﾙﾝ）
バーサーカー！
そいつ 潰しちゃえ！","Berserker!
I'm crushed!",0.2857142857142857
"Kirameku namida wa
hoshi ni.",♪～,♪ ~,0.0
...surihetta kakato hokoru.,"（凛）
うっ うう…",Uh ...,0.16666666666666666
"Episode 16:
The Sword of the Promised Victory",～♪,~ ♪,0.0
Saber!,"（セイバー）うっ くっ！
（士郎）セイバー","I'm sorry!
 Saber",0.4
Shirou!,"（セイバー）士郎！
（せき込み）",Shiro!,0.3333333333333333
"Don't be a fool! You've done enough!
Get clear, Master!","（セイバー）
バカな！　もういい
離れなさい　マスター","stupid! enough
Master away",0.1875
"No, don't!",ダ… ダメだ！,Da ... No!,0.2857142857142857
"Don't!
Don't use it, Saber!",ダメだ　使うな　セイバー,Do not use Saber,0.375
Why did you stop me?,ど… どうして？,... why?,0.2857142857142857
"You can't use that sword,
not in the shape you're in.",今のお前に その剣は使えない,I can not use that sword before you,0.3125
So wait right here!,だから待ってろ,So wait,0.4
I'll create it!,用意してやる！,Prepare it!,0.3333333333333333
"Because that is the only thing
that you're capable of doing.","（アーチャー）
お前にできることなど
それぐらいしかないのだから","What you can do before
Because it is only that",0.29411764705882354
"I'll make one
for you!","（士郎）
俺が作る",I make,0.2857142857142857
"That sword, it's my...",あの剣は私の…,That sword is my ...,0.5
Begin Projection...,投影 開始,Projection,0.3333333333333333
"Basic structure, visualized.","（士郎）
基本となる骨子を想定し",Assuming the basic bone,0.125
"Accumulated age, duplicated!
All processes involved, exceeded!",あらゆる工程を凌駕(りょうが)し尽くし,Earn all processes,0.2
"Bind my visualizations together
to form a true sword!",ここに幻想を結び 剣と成す,Here is a fantasy with a sword,0.14285714285714285
"But I created a sword that was
more powerful than Berserker...","（士郎）
バーサーカーを上回る剣を
作ったっていうのに","A sword above a bar sarker
I made it",0.17647058823529413
"How could I not be
able to use it?!","俺には使いこなすことが
できないのか","I can use it for me
Can you not",0.26666666666666666
"Shirou, give me
your hand.","（セイバー）
士郎 手を",Shiro hand,0.125
"So, that is your sword,
Saber?","（バーサーカー）
それが貴様の剣か　セイバー",That's a Sword or Saber,0.2727272727272727
"This is Caliburn, the Sword in the Stone
which chooses kings.","（セイバー）
これはカリバーン
王を選定する岩の剣","This is Calivan
Rock sword to select the king",0.23529411764705882
"My sword,
lost for all eternity.",永遠に失われた私の剣,My sword lost forever,0.3333333333333333
"In the end, it is nothing but an illusion
that was called up by that man there.","（バーサーカー）
しょせんは
その男が作り上げた幻想","Sow
The fantasy that the man created",0.14285714285714285
"It is a sword that will
never exist again.",二度とは存在せぬ剣だ,It is a sword that is not existing twice,0.38461538461538464
However...,"（士郎）うっ うう…
（セイバー）士郎","Uh ...
 Shiro",0.25
"...even an illusion of it
is formidable.",いや 大丈夫だ,It is okay,0.2
